お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0733_1735_WOP,2023-01-01,86人,引っ越したのにガス会社に連絡し忘れた,NA,1位,家雨,あと火を通すだけが三品できた,38,82.49,kubodi/Yuki(2)/鉄シャリ/100エーカーの森喜朗/田口さん🍙/ハルマレ/シャンプー(2)/ましましのしま/GYAI/とほ/やじうさん/ぐすく/タマドラゴン/アイワ/がんばりま翔/漁業の星/ちくわうし/rayleigh/増田28号/kamenoue/けん坊(3)/カレーラ水/棘2(2)/ゆうとってゆうとるやん/中沢の人/マチヤマハブ/ダダダチョウ/業務用虚無/長老_M/頭脳まさき/投票ボーナス(3)
0733_1735_WOP,2023-01-01,86人,引っ越したのにガス会社に連絡し忘れた,NA,2位,がんばりま翔,だとするとこれは水風呂か,37,81.12,kuruto(3)/Yuki(2)/鉄シャリ/A味噌汁/ナルシマアンバイ/ハルマレ/シャンプー/納屋の鍵/D-6/スパルタ/タマドラゴン(3)/ラッキー/もるきで(2)/MODY/アイワ/射的屋/増田28号/すーず/てりあちゃん(2)/棘2/chikira/ダダダチョウ/業務用虚無/このしお(3)/頭脳まさき/投票ボーナス(3)
0733_1735_WOP,2023-01-01,86人,引っ越したのにガス会社に連絡し忘れた,NA,3位,ハルマレ,なのに何だこの匂い,34,77.0,南部屋敷/Yuki/A味噌汁/ナルシマアンバイ/ドゥラちゃん/ましましのしま/TwistNight/とほ/納屋の鍵/トロロイモ/遠くを見ている/メグメル/おきよ/初心者まゆげ/タマドラゴン/コモリヤ/錯乱/あいだほ＠俳句(2)/rayleigh/しらたき/すーず/オーバーニート(2)/ダダダチョウ/業務用虚無(2)/このしお(3)/3歳ちゃん！/投票ボーナス(3)
0733_1735_WOP,2023-01-01,86人,引っ越したのにガス会社に連絡し忘れた,NA,4位,A味噌汁,俺理科5だったから大丈夫,30,71.51,白滝BOX/Yuki(2)/矢野圭人/ドゥラちゃん/シャンプー/TwistNight/とほ/D-6/ノヨヒノ/ニンニキニキニキ/タブンネコ(2)/アイワ/春巻の中身/かごの中の鳥/春屋○イ/射的屋/rayleigh/棘2(2)/マチヤマハブ/よれん/長老_M/オロさん(3)/投票ボーナス(3)
0733_1735_WOP,2023-01-01,86人,引っ越したのにガス会社に連絡し忘れた,NA,4位,懸垂ができる,まあいいか連絡の会社じゃないし,30,71.51,kuruto/Yuki(2)/A味噌汁/ましましのしま/TwistNight(3)/GYAI/納屋の鍵(2)/PD/9月が終わったら起こして/家雨/もるきで/がんばりま翔/イーバ・メテオライト/錯乱/漁業の星/射的屋(2)/kamenoue/また師走が来たよ/ゆうとってゆうとるやん(2)/赤黄色/毒念/オロさん/harvest/頭脳まさき
0733_1735_WOP,2023-01-01,86人,引っ越したのにガス会社に連絡し忘れた,NA,6位,ニンニキニキニキ,ヨギボーを強めに抱きしめる,28,68.76,kuruto/矢野圭人(2)/ドゥラちゃん/ましましのしま/TwistNight/たいら/ノヨヒノ/イーバ・メテオライト/漁業の星/ちくわうし/射的屋(2)/ごまめ(2)/増田28号/けん坊/カレーラ水/また師走が来たよ/ゆうとってゆうとるやん/静かの海/マチヤマハブ/chikira/毒念/頭脳まさき/投票ボーナス(3)
0733_1735_WOP,2023-01-01,86人,引っ越したのにガス会社に連絡し忘れた,NA,7位,遠くを見ている,似たような感じで友達も２人消えた,26,66.01,白滝BOX/んん゛/A味噌汁/矢野圭人/とーちか(2)/ましましのしま/GYAI/スパルタ/タブンネコ/がんばりま翔/錯乱(2)/射的屋/rayleigh/てりあちゃん/棘2/また師走が来たよ/よれん/ダダダチョウ/業務用虚無/頭脳まさき(2)/投票ボーナス(3)
0733_1735_WOP,2023-01-01,86人,引っ越したのにガス会社に連絡し忘れた,NA,7位,静かの海,入れない別荘が出来たみたいだ,26,66.01,白滝BOX/んん゛/100エーカーの森喜朗/A味噌汁/ナルシマアンバイ/TwistNight/納屋の鍵(2)/メグメル/ニンニキニキニキ/錯乱/rayleigh/てりあちゃん(2)/棘2(2)/ゆうとってゆうとるやん(2)/マチヤマハブ/chikira/業務用虚無/長老_M/頭脳まさき/投票ボーナス(3)
0733_1735_WOP,2023-01-01,86人,引っ越したのにガス会社に連絡し忘れた,NA,9位,ｼｰｽﾞｰｷｬﾊﾞﾘｱ,電気は許してくれましたけどね,24,63.27,田口さん🍙/ましましのしま/TwistNight/とほ/納屋の鍵/ミス屋/家雨/MODY/がんばりま翔/イーバ・メテオライト/春屋○イ/ちくわうし/ごまめ(3)/kamenoue/けん坊(2)/よれん/chikira/頭脳まさき/投票ボーナス(3)
0733_1735_WOP,2023-01-01,86人,引っ越したのにガス会社に連絡し忘れた,NA,10位,rayleigh,違う手段で死ぬか,23,61.89,矢野圭人/シャンプー/ｼｰｽﾞｰｷｬﾊﾞﾘｱ/TwistNight/とほ/D-6/メグメル/ニンニキニキニキ/タブンネコ/家雨/コモリヤ/錯乱(2)/春巻の中身/漁業の星/業務用虚無/長老_M/オロさん/カナリカリガ・タカ/3歳ちゃん！/投票ボーナス(3)
0733_1735_WOP,2023-01-01,86人,引っ越したのにガス会社に連絡し忘れた,NA,10位,ちくわうし,ということは臭いのはオレか,23,61.89,Yuki/100エーカーの森喜朗/A味噌汁/とーちか/GYAI/納屋の鍵/PD/ぐすく/スパルタ/おきよ/タブンネコ/ラッキー(2)/コモリヤ/あいだほ＠俳句/すーず/棘2/chikira/ダダダチョウ/長老_M/投票ボーナス(3)
