お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,1位,フニャダキシン,次回から無料マンと呼びます,50,81.71,ケイト/錯乱(2)/りろ/大喜利の母(2)/緑茶/雑兵/泥のぷーまん/くすも(2)/ノビッタ/ピザ4回転(2)/棘2/川淵/一酸化炭素/長谷川キモ彦/ジョキオ石田/ハッチャケチャ夫/長老_M/四つ首舞妓バーバリアン/完全幕府制(2)/鮒侍/マルイは二進法で5(2)/ましましのしま/ハッスル運動会/手も繋いで/家田風車/軍手(2)/ダダダチョウ/やもりみゆき/りゃむむ/だうらぎり(2)/ほろほろ/デミ侍/きれいな市役所/ガッボデ/沈丁花/りんかんがっこう/寺井/ニナモリ/りす/ヘクトパスカルもりみち/がんばりま翔/きゅーきゅー
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,2位,みやまる,「食いしん坊だねぇ」とは言います,42,74.29,ケイト/錯乱(2)/その服装(2)/焼き網膜/緑茶/Y氏/らんごく/泥のぷーまん/コウチーニ/棘2/ジョキオ石田/nk_/ハッチャケチャ夫/四つ首舞妓バーバリアン/ましましのしま/手も繋いで/ダダダチョウ/TacICicy/ちくわうし/ほろほろ/業務用虚無/最寄り/射的屋(2)/一石二兆(3)/きれいな市役所/沈丁花/りんかんがっこう(2)/外反拇趾子(2)/有波/ヘクトパスカルもりみち/ミズノエル/ぐすく/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,2位,んん゛,所詮無料のやつだと思って作ります,42,74.29,りろ/みやまる/ヒステリックコボちゃん/れあ/泥のぷーまん/コウチーニ/ピザ4回転/棘2/とらぼる太/一酸化炭素(3)/ゆらう(2)/やんそん/ハッチャケチャ夫/長老_M/四つ首舞妓バーバリアン/薄切豆苗/ましましのしま(2)/軍手(3)/ダダダチョウ/ちくわうし/だうらぎり/業務用虚無(3)/最寄り/射的屋/がらん(2)/沈丁花/りんかんがっこう(2)/外反拇趾子(2)/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,2位,ケイト,嫌な指摘をいくつか,42,74.29,その服装(2)/焼き網膜/ヒステリックコボちゃん/雑兵(2)/泥のぷーまん/ノビッタ/副キャプテンアメリカ/ピザ4回転/一酸化炭素/長谷川キモ彦/ドルフィンキック/ジョキオ石田/長老_M/ウラニワ(2)/イタリア人/マルイは二進法で5(2)/タマドラゴン/タイファイター/＃の中のカマ吉くん/家田風車/ぐっ/豚の踊り食い/ほろほろ/射的屋/ノーウェア/ガッボデ/pokeki(2)/りんかんがっこう/中沢の人/懐かしむ会/同じSHARK/ぐすく/テクダ/きゅーきゅー/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,2位,長老_M,店側が損します,42,74.29,Y氏/みやまる/バトルアックス/イガイガの栗/ノビッタ/棒/ハチコー/nk_/hp/ラジウス/イタリア人/マルイは二進法で5(2)/ましましのしま/ハッスル運動会(2)/＃の中のカマ吉くん/軍手(2)/ダダダチョウ/やもりみゆき(2)/りゃむむ/kevin/店長(2)/業務用虚無(2)/brooks/がらん/りんかんがっこう(2)/牛頭馬頭/外反拇趾子/寺井/りす/中沢の人/きゅーきゅー(2)/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,6位,のちほど,3枚目はもっと無料！,40,72.44,錯乱/柚苑/ちまめ(2)/焼き網膜/桃山ももたろう/緑茶/Y氏/みやまる(2)/れあ/オズ/ピザ4回転/棘2/川淵/とらぼる太/一酸化炭素/んん゛/他のＰ/ジョキオ石田(2)/ハッチャケチャ夫/hp(2)/完全幕府制/マルイは二進法で5/ハッスル運動会/軍手(2)/豚の踊り食い(2)/業務用虚無(2)/デミ侍/射的屋(2)/沈丁花/寺井/懐かしむ会/ぐすく
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,6位,やもりみゆき,こんな平和は長く続かない,40,72.44,錯乱/柚苑/ちまめ/その服装(2)/焼き網膜/緑茶/しらたき/さしお/川淵/ハチコー/ウラニワ(3)/完全幕府制/薄切豆苗/タマドラゴン/手も繋いで/家田風車/りゃむむ/kevin/カクレミノムシ/ちくわうし/だうらぎり(2)/砂州/最寄り(2)/brooks/射的屋/ノーウェア/きれいな市役所/りんかんがっこう/有波/中沢の人/テクダ/きゅーきゅー/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,6位,ハッスル運動会,そのピザで救える命もあります,40,72.44,ケイト/錯乱/hamai(3)/緑茶/Y氏/ヒステリックコボちゃん/ノビッタ/とらぼる太/一酸化炭素(2)/んん゛/他のＰ/ねむみ/ジョキオ石田/鮒侍/ましましのしま/軍手(2)/ダダダチョウ/kevin/業務用虚無(2)/射的屋(2)/がらん/ガッボデ/りんかんがっこう/外反拇趾子(3)/有波(2)/goigois/同じSHARK/テクダ/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,9位,カクレミノムシ,みんな疲れてます,38,70.58,ケイト/錯乱(3)/大喜利の母/その服装(2)/みやまる/くすも/ノビッタ/ピザ4回転/nk_(2)/長老_M/完全幕府制(2)/鮒侍/ハコダイオ(2)/ハッスル運動会/手も繋いで/家田風車/やもりみゆき/店長(2)/業務用虚無/デミ侍/射的屋/ガッボデ/牛頭馬頭/寺井/ニナモリ/懐かしむ会(2)/きゅーきゅー/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,10位,だうらぎり,露骨に嫌な顔をします,36,68.73,ケイト/りろ/ちまめ/焼き網膜/緑茶/Y氏/しらたき/イガイガの栗/棘2/一酸化炭素(2)/んん゛/他のＰ/長谷川キモ彦/やんそん/ジョキオ石田/ましましのしま/タイファイター/＃の中のカマ吉くん/家田風車/軍手/ダダダチョウ/りゃむむ/業務用虚無(2)/射的屋/ガッボデ/福井とマルコ/りんかんがっこう/ニナモリ(2)/同じSHARK/きゅーきゅー/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,10位,川淵,無理しないで,36,68.73,大喜利の母(2)/ちまめ/みやまる(2)/ヒステリックコボちゃん/イガイガの栗/泥のぷーまん/コウチーニ/オズ/ピザ4回転/棘2/ねむみ/ハチコー(2)/ハッチャケチャ夫(2)/四つ首舞妓バーバリアン/タイファイター/やもりみゆき/店長/brooks/射的屋(2)/ノーウェア/りんかんがっこう/外反拇趾子(2)/寺井/中沢の人/懐かしむ会/ミズノエル/きゅーきゅー/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,12位,その服装,この雨が止むまでそばにいて,34,66.87,錯乱/桃山ももたろう/みやまる/ヒステリックコボちゃん/雑兵/泥のぷーまん/棘2/川淵/一酸化炭素(2)/ねむみ/四つ首舞妓バーバリアン/ハコダイオ/家田風車/やもりみゆき(3)/kevin/カクレミノムシ/ちくわうし/ほろほろ/射的屋/ノーウェア(3)/りんかんがっこう/外反拇趾子(2)/同じSHARK(2)/きゅーきゅー/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,12位,らんごく,心が痛みませんか？,34,66.87,ケイト/柚苑/大喜利の母/焼き網膜/緑茶/みやまる/ヒステリックコボちゃん/イガイガの栗/泥のぷーまん/くすも/水谷新太郎/棘2/んん゛/他のＰ/長谷川キモ彦/ドルフィンキック/棒/ねむみ/やんそん/イタリア人/ましましのしま/タイファイター/＃の中のカマ吉くん/家田風車/店長/ガッボデ/外反拇趾子(2)/ヘクトパスカルもりみち/ミズノエル/がんばりま翔/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,14位,夏痩せ,健康という観点ではどうでしょうか？,30,63.17,hamai/焼き網膜/みやまる/バトルアックス(2)/泥のぷーまん/オズ/ノビッタ(2)/水谷新太郎/川淵/ねむみ/ハチコー/ハッチャケチャ夫/hp/家田風車/だうらぎり(2)/砂州/業務用虚無(2)/ガッボデ/沈丁花/牛頭馬頭/ニナモリ/ヘクトパスカルもりみち/ミズノエル/同じSHARK/テクダ/きゅーきゅー
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,15位,kamenoue,当たり前じゃないと思って頂くように,29,62.24,ケイト/錯乱(2)/大喜利の母/イガイガの栗/れあ/泥のぷーまん/ノビッタ/んん゛/ねむみ/ハッチャケチャ夫/長老_M/ましましのしま/手も繋いで/家田風車/TacICicy/ちくわうし/射的屋/がらん/沈丁花/りんかんがっこう/外反拇趾子(3)/りす/中沢の人/懐かしむ会/ミズノエル/同じSHARK
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,15位,ちまめ,店長には内緒,29,62.24,大喜利の母(3)/緑茶/みやまる/しらたき/れあ/棘2/さしお/とらぼる太/ゆらう/ドルフィンキック/ハチコー/ハッチャケチャ夫/ラジウス(2)/暴風よ吹け/ましましのしま/タイファイター/だうらぎり/業務用虚無/最寄り/射的屋/goigois(2)/きゅーきゅー/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,15位,ウラニワ,無料なりの、ね,29,62.24,柚苑/大喜利の母/緑茶/みやまる/れあ/コウチーニ/オズ/ノビッタ/副キャプテンアメリカ/ピザ4回転/ゆらう/棒/ねむみ/長老_M/マルイは二進法で5/軍手/ちくわうし/ほろほろ/業務用虚無(2)/りんかんがっこう/ヘクトパスカルもりみち/同じSHARK/がんばりま翔/ぐすく/きゅーきゅー/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,15位,暴風よ吹け,裏に誰かの悲しみがある,29,62.24,ケイト/大喜利の母/らんごく/バトルアックス/ヒステリックコボちゃん/くすも(2)/棘2/ゆらう/ねむみ/ハチコー/ウラニワ/ましましのしま/店長/ほろほろ/業務用虚無(2)/最寄り/一石二兆(3)/りんかんがっこう/中沢の人/がんばりま翔/ぐすく/きゅーきゅー/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,19位,ガッボデ,この手離さないで,26,59.46,ケイト/柚苑/大喜利の母/ちまめ(2)/焼き網膜/くすも/一酸化炭素/他のＰ/ドルフィンキック/ラジウス/ウラニワ/＃の中のカマ吉くん/家田風車/カクレミノムシ(2)/砂州/brooks/射的屋/りんかんがっこう/外反拇趾子/懐かしむ会/きゅーきゅー/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,19位,ミズノエル,1ピース食べるごとに広告が流れます,26,59.46,錯乱/Y氏/バトルアックス/副キャプテンアメリカ/他のＰ/棒/やんそん(2)/ハチコー/長老_M/ダダダチョウ/業務用虚無(2)/デミ侍/射的屋/ノーウェア/がらん(2)/きれいな市役所/りんかんがっこう/外反拇趾子/懐かしむ会/がんばりま翔/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,19位,棒,バイトが勘で作ります,26,59.46,hamai(3)/りろ/コウチーニ/オズ/さしお/とらぼる太(2)/んん゛/ハチコー/ラジウス/大デブ/ましましのしま/kevin/ちくわうし/業務用虚無/最寄り/ガッボデ/沈丁花/福井とマルコ/りんかんがっこう/寺井/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,22位,懐かしむ会,泥棒らしく窓から帰れ,25,58.53,錯乱/ヒステリックコボちゃん/雑兵/とらぼる太/ハチコー/hp/完全幕府制/タイファイター/手も繋いで/＃の中のカマ吉くん(2)/カクレミノムシ/だうらぎり(2)/砂州/りんかんがっこう(3)/ニナモリ/ヘクトパスカルもりみち/テクダ/きゅーきゅー/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,22位,焼き網膜,何事にも例外があり、それがあなたです。,25,58.53,りろ/桃山ももたろう/ノビッタ/川淵/棒/ジョキオ石田/ハチコー/イタリア人/kevin/カクレミノムシ/業務用虚無(3)/射的屋/一石二兆(3)/pokeki(2)/りんかんがっこう/外反拇趾子(2)/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,24位,店長,俺たちはまだまだこんなもんじゃないです,24,57.6,錯乱(2)/Y氏/イガイガの栗/泥のぷーまん/水谷新太郎/棘2/とらぼる太/ゆらう/ドルフィンキック/ハッチャケチャ夫/長老_M/ハコダイオ/やもりみゆき/カクレミノムシ/砂州/射的屋/一石二兆(3)/りんかんがっこう/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,25位,ジョキオ石田,このキャンペーンは予告なく終了しました,23,56.67,柚苑/らんごく/ノビッタ/棘2/ゆらう/他のＰ/ハチコー/hp/完全幕府制/鮒侍/ハッスル運動会(2)/ダダダチョウ/りゃむむ/最寄り/デミ侍/福井とマルコ/牛頭馬頭/中沢の人/ぐすく/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,25位,ヘクトパスカルもりみち,光回線の新規加入が必要,23,56.67,水谷新太郎/棘2/とらぼる太/ハチコー/イタリア人/薄切豆苗/ハッスル運動会/軍手/TacICicy(2)/豚の踊り食い(3)/業務用虚無(2)/沈丁花/がんばりま翔(2)/ぐすく/きゅーきゅー/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,25位,寺井,円周率は3とします,23,56.67,りろ/焼き網膜/みやまる/イガイガの栗/一酸化炭素/ドルフィンキック/ねむみ/ジョキオ石田/長老_M/イタリア人/タイファイター/りゃむむ/業務用虚無(3)/最寄り/りす/中沢の人/同じSHARK/きゅーきゅー/投票ボーナス(3)
3151_9567_TJO,2023-01-13,124人,持ち帰りピザは2枚目が無料！ただし「　？　」,NA,28位,がんばりま翔,素人が空中で回します,22,55.75,その服装(2)/長谷川キモ彦/nk_(3)/hp/ましましのしま/タイファイター/kevin/ちくわうし/店長/ガッボデ/りんかんがっこう/ヘクトパスカルもりみち/goigois/懐かしむ会/きゅーきゅー(2)/投票ボーナス(3)
