お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2471_3431_LYJ,2023-01-16,162人,お正月がループする世界でのあるあるとは？,NA,1位,3ねこ,でっかく1と書いてある、無意味なカレンダーがある,58,82.35,うえじゅん/店長/オチのないミレ(3)/資本ネコ/カッツウォ/ちまめ/このしお(3)/物数/トリニダード木箱/大残渣/ううここ/rayleigh(3)/柚苑/ランゲル・ハンス/ダンシング爆弾/一石二兆(2)/永栄/ヌペシコ/きらら/葱仮面(2)/ほろほろ/eri(2)/アガリブル/りろ/二階から手続き/ひら/ほぼ赤ちゃん/たこかいな/あえんイオン(2)/すりりんご文書(2)/フニャダキシン/ひなた/錯乱/ダークエンジェル/煮え湯を飲まされたわけぎ/れあ/みやまる/人参/へサリム/みなぱら/静かの海(2)/寿司ブルドーザー/ヘクトパスカルもりみち/投票ボーナス(3)
2471_3431_LYJ,2023-01-16,162人,お正月がループする世界でのあるあるとは？,NA,1位,レイルレイル,絵馬に助けてと願う,58,82.35,うえじゅん/すーず/店長/渡利　巣手呂/ししだ/じゃん/資本ネコ/恥さらしのスパゲッティ/カッツウォ/がんばりま翔/ちくわうし/パンジ/焼き網膜/ランゲル・ハンス/ダスチン・コフマン/とりふぐ/すあま御殿/福井とマルコ/eri(3)/ひら/竜の叫び(2)/ぴのこ/フイ/男も育休(2)/たこかいな/バトルアックス(2)/悪魔が夜来る/アキラ/きゅーきゅー(2)/白黒まみれ/スパルタ/ぽにょ/トドのつまみ/RANRANRAN(2)/れあ/ぽっかりすえっと/さおさん/是非/100エーカーの森喜朗/人参/サメVS巨大タコス/電動お父さん/カタン(2)/へサリム(2)/静かの海/ケイト/投票ボーナス(3)
2471_3431_LYJ,2023-01-16,162人,お正月がループする世界でのあるあるとは？,NA,3位,カナリカリガ・タカ,「運」ではなく「慣れ」で優勝する福男,54,78.92,カクレミノムシ/あらあら帝国/おだンゴ/店長(2)/オチのないミレ/ししだ/恥さらしのスパゲッティ/カッツウォ(2)/シャンプー(3)/ちまめ(2)/がんばりま翔/トリニダード木箱/ちくわうし/大残渣/ばっは/rayleigh/大喜利の母(2)/タカノリ・タカノ/音鳴ヨチ/アガリブル/ひら/竜の叫び/秒速10m/ほぼ赤ちゃん(2)/男も育休/ねむみ/錯乱(2)/きゅーきゅー/しゅうぴょんz(2)/牛頭馬頭/ぽっかりすえっと/さおさん/赤黄色/机上で実演/沈丁花/100エーカーの森喜朗(2)/サメVS巨大タコス/電動お父さん/とんかつラーメン/チャイニーズマフィア/えふ/投票ボーナス(3)
2471_3431_LYJ,2023-01-16,162人,お正月がループする世界でのあるあるとは？,NA,3位,机上で実演,出川がはっきり「たすけて」と言った,54,78.92,白キごはん/確率論のパラテママ(3)/ししだ/じゃん/シャンプー/kevin/物数/ゴーダチーズ/大残渣/ばっは/野島久助/大喜利の母(2)/ランゲル・ハンス/一石二兆(2)/永栄/ヌペシコ/とりふぐ/タカノリ・タカノ/福井とマルコ/旋風客/eri/B群/二階から手続き/ひら/さっくら観光/ぴのこ/ミルクック/男も育休(2)/すりりんご文書(2)/ニナモリ/ミスティカティ(2)/煮え湯を飲まされたわけぎ(2)/トドのつまみ/しゅうぴょんz/牛頭馬頭/ぽっかりすえっと/骨密度/実家に帰った鶴/三角大陸/ルチード・ドルソニャ/電動お父さん/ぬこぐみ(2)/投票ボーナス(3)
2471_3431_LYJ,2023-01-16,162人,お正月がループする世界でのあるあるとは？,NA,5位,100エーカーの森喜朗,もう消す煩悩がない,52,77.21,カクレミノムシ/うえじゅん/もにもに/長老_M/恥さらしのスパゲッティ/このしお(3)/垂れ乳パンダ(3)/トリニダード木箱/ゴーダチーズ/大残渣/パンジ/rayleigh/野島久助/タマドラゴン/柚苑/ランゲル・ハンス/葱仮面(2)/ダスチン・コフマン/すあま御殿/音鳴ヨチ/ほろほろ/アガリブル/鴨とサイコロ/ひら/白滝BOX/竜の叫び/敵刺/ニナモリ/悪魔が夜来る/ねむみ/錯乱/気球マイスター/白黒まみれ/しゅうぴょんz(2)/牛頭馬頭/さおさん(2)/机上で実演/電動お父さん/のす/チャイニーズマフィア/ケイト/えふ/投票ボーナス(3)
2471_3431_LYJ,2023-01-16,162人,お正月がループする世界でのあるあるとは？,NA,6位,トリニダード木箱,何かから逃げるような駅伝が開催される,46,72.07,カクレミノムシ/アイワ/渡利　巣手呂/ししだ/じゃん/資本ネコ/恥さらしのスパゲッティ/ちまめ/焼き網膜/ヌペシコ(3)/葱仮面(2)/eri/アガリブル(2)/鴨とサイコロ(2)/二階から手続き/さんべ商会(3)/ほぼ赤ちゃん(2)/たこかいな/コモリヤ(2)/フニャダキシン/バトルアックス/錯乱/みっみ(3)/きゅーきゅー/頭脳まさき/しゅうぴょんz/牛頭馬頭/鉄シャリ/是非/実家に帰った鶴/人参/カタン/投票ボーナス(3)
2471_3431_LYJ,2023-01-16,162人,お正月がループする世界でのあるあるとは？,NA,7位,是非,年賀状を通じて親友になった,45,71.21,すーず/店長/長老_M/恥さらしのスパゲッティ/コウチーニ/物数/がんばりま翔/ちくわうし/rayleigh/焼き網膜/永栄/とりふぐ/鉛筆削り/eri(2)/鴨とサイコロ/ひら/フイ/コモリヤ(2)/フニャダキシン/悪魔が夜来る/ねむみ/気球マイスター/頭脳まさき/トドのつまみ/れあ/ぽっかりすえっと/赤黄色/三角大陸(2)/明石/100エーカーの森喜朗/そめはてこ/のす/とんかつラーメン/みなぱら/鹿の毛(3)/寿司ブルドーザー/えふ/投票ボーナス(3)
2471_3431_LYJ,2023-01-16,162人,お正月がループする世界でのあるあるとは？,NA,8位,ねむみ,目標ばっかり立ててる,44,70.36,うえじゅん/あらあら帝国/おだンゴ/確率論のパラテママ/じゃん/恥さらしのスパゲッティ/ちまめ/このしお(3)/がんばりま翔/ラッキー/ばっは/タマドラゴン/ダスチン・コフマン(2)/音鳴ヨチ/アガリブル(2)/鴨とサイコロ(2)/ぴのこ/男も育休/たこかいな/あえんイオン(2)/フニャダキシン/ミスティカティ/シンマイ子/骨密度/さおさん(2)/机上で実演/100エーカーの森喜朗/薄切豆苗/のす/へサリム/鹿の毛(3)/えふ/投票ボーナス(3)
2471_3431_LYJ,2023-01-16,162人,お正月がループする世界でのあるあるとは？,NA,9位,静かの海,こまが静かに回り続けている,43,69.5,カクレミノムシ/うえじゅん/白キごはん/すーず/渡利　巣手呂(2)/ししだ/トリニダード木箱/ちくわうし/やんそん/3ねこ(2)/ダンシング爆弾/タカノリ・タカノ/音鳴ヨチ/二階から手続き/秒速10m(2)/ぴのこ/フイ/フニャダキシン/ミスティカティ/悪魔が夜来る/にゃこアレイ(2)/白黒まみれ/鉄シャリ/レイルレイル(2)/赤黄色/是非/明石/人参/電動お父さん/桃山ももたろう/カタン/鹿の毛(3)/ケイト/投票ボーナス(3)
2471_3431_LYJ,2023-01-16,162人,お正月がループする世界でのあるあるとは？,NA,10位,RANRANRAN,泣きながらジャンプする,42,68.64,カクレミノムシ/白キごはん/すーず/渡利　巣手呂/カッツウォ/コウチーニ(2)/kevin(2)/ばっは/rayleigh/焼き網膜/柚苑/3ねこ/ダンシング爆弾/永栄/旋風客/鴨とサイコロ(2)/ぴのこ(2)/ミルクック/9月が終わったら起こして/カレーラ水/錯乱/気球マイスター(2)/頭脳まさき/ぽにょ/しゅうぴょんz/鉄シャリ/ぽっかりすえっと/骨密度(2)/赤黄色/ルチード・ドルソニャ/へサリム/ぬこぐみ(2)/投票ボーナス(3)
