お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1966_6874_RMR,2023-01-19,108人,中沢商事の人事担当に聞いた、今までで一番ヤバかった就活生の特徴,NA,1位,骨密度,笑うと履歴書の写真も笑う,66,107.4,しゅうぴょんz/眠れる森の二郎(3)/ほろほろ/じゃっくん(2)/頭蓋骨/フニャダキシン/６/うわぁ/A味噌汁(2)/家田風車(2)/コウチーニ/思い出/よんずい/実家に帰った鶴/マルイは二進法で5/Sierra/赤い髪/サーベルタイガー(3)/スポーツバッグ/ししだ/山本晃/高見盛/Figaro/家雨/段ボールメン/てりあちゃん/TwistNight/じゃん(2)/109万(2)/手も繋いで(2)/味しらべ/シャンプー(3)/イガイガの栗/チョゴゴロネ/ドロップシンカー/沈丁花/鉄シャリ/ヤマサワ/ドゥラちゃん(2)/daffle/hp/中沢の人/吉高(2)/明鏡シスコン/同じSHARK/雑兵/豚の踊り食い/むらさき(2)/投票ボーナス(3)
1966_6874_RMR,2023-01-19,108人,中沢商事の人事担当に聞いた、今までで一番ヤバかった就活生の特徴,NA,2位,よれん,「黒人は」で話し始めた,41,79.71,しゅうぴょんz/倉庫大男/眠れる森の二郎/じゃっくん(3)/頭蓋骨/６/ダンシング爆弾/きれいな市役所/ゆず茶/A味噌汁/ビーム(2)/コウチーニ/ここはが/フイ/受験生/思い出/いぬちゃん/赤い髪/Figaro/テロ本/しろねこ/段ボールメン/えのきときのこ/かごの中の鳥/てりあちゃん/大家/109万/ミスティカティ(2)/watoson/シーサイド品川/ドゥラちゃん/daffle/同じSHARK/むらさき/投票ボーナス(3)
1966_6874_RMR,2023-01-19,108人,中沢商事の人事担当に聞いた、今までで一番ヤバかった就活生の特徴,NA,3位,大家,入室してもノックをやめない,38,76.39,倉庫大男/フニャダキシン(2)/きれいな市役所/寿司ブルドーザー/ビーム(3)/家田風車/ここはが/フイ/受験生/その服装/はっぴーえんど/マルイは二進法で5/サーベルタイガー/らんごく/スポーツバッグ/高見盛/家雨/段ボールメン/サメVS巨大タコス/シャンプー/イガイガの栗/住まなくても都/沈丁花/鉄シャリ/ドゥラちゃん/800/明鏡シスコン/同じSHARK/杏露酒(2)/知ぬ子(2)/投票ボーナス(3)
1966_6874_RMR,2023-01-19,108人,中沢商事の人事担当に聞いた、今までで一番ヤバかった就活生の特徴,NA,4位,寿司ブルドーザー,オムライスを開いて履歴書出した,33,70.85,倉庫大男/ほろほろ/頭蓋骨/電動お父さん/きれいな市役所/ゆず茶/スピ力/ここはが/フイ/受験生/その服装/赤い髪/サーベルタイガー/セコイア(2)/山本晃(2)/高見盛/テロ本/TwistNight(2)/味しらべ/んん゛/ドゥラちゃん/hp(2)/同じSHARK/3ねこ(2)/むらさき/投票ボーナス(3)
1966_6874_RMR,2023-01-19,108人,中沢商事の人事担当に聞いた、今までで一番ヤバかった就活生の特徴,NA,5位,baseball ,自転車から降りない,30,67.52,プーアル茶(2)/じゃっくん(2)/悪魔が夜来る/きれいな市役所/うわぁ/ここはが/いぬちゃん/オードリーカットバーン/Sierra/サーベルタイガー/家雨/しろねこ/大家/じゃん/住まなくても都/みやまる/鉄シャリ/ドゥラちゃん/800/明鏡シスコン/骨密度(2)/なまこP/杏露酒/雑兵/投票ボーナス(3)
1966_6874_RMR,2023-01-19,108人,中沢商事の人事担当に聞いた、今までで一番ヤバかった就活生の特徴,NA,6位,家田風車,「内定しますように」と観葉植物にネクタイを結んで帰った,29,66.42,タカノリ・タカノ(2)/倉庫大男/眠れる森の二郎/頭蓋骨/６/閾値/ダンシング爆弾/うわぁ/ゆず茶/baseball /実家に帰った鶴/セコイア/高見盛/Figaro/桃山ももたろう/109万/シャンプー/イガイガの栗(2)/鉄シャリ/ヤマサワ/ドゥラちゃん/教えて欲しいテクノロジー/hp/明鏡シスコン/投票ボーナス(3)
1966_6874_RMR,2023-01-19,108人,中沢商事の人事担当に聞いた、今までで一番ヤバかった就活生の特徴,NA,7位,住まなくても都,個人でトキを飼ってる,28,65.31,ほろほろ/電動お父さん/家田風車(2)/はっぴーえんど/よんずい/オードリーカットバーン/ランゲル・ハンス/ししだ/山本晃/家雨/しろねこ/手も繋いで(2)/シャンプー/チョゴゴロネ/みやまる/よれん/ドゥラちゃん/800/樫本ほーほけきょ(2)/明鏡シスコン/雑兵/3ねこ/投票ボーナス(3)
1966_6874_RMR,2023-01-19,108人,中沢商事の人事担当に聞いた、今までで一番ヤバかった就活生の特徴,NA,8位,ししだ,就活太郎と名乗った,27,64.2,タカノリ・タカノ/眠れる森の二郎/閾値/A味噌汁/家田風車(2)/フイ/受験生(2)/その服装/思い出/スポーツバッグ/Figaro/鉛筆削り/えのきときのこ/イガイガの栗/watoson/ドロップシンカー/みやまる/シーサイド品川/ドゥラちゃん/教えて欲しいテクノロジー/800/hp/投票ボーナス(3)
1966_6874_RMR,2023-01-19,108人,中沢商事の人事担当に聞いた、今までで一番ヤバかった就活生の特徴,NA,8位,よんずい,自己紹介を断った,27,64.2,じゃっくん(3)/閾値/悪魔が夜来る/きれいな市役所/寿司ブルドーザー/ビーム/フイ/オードリーカットバーン/山本晃(2)/Figaro/鉛筆削り/大家/じゃん/手も繋いで/ミスティカティ/シャンプー/シーサイド品川/明鏡シスコン/同じSHARK/むらさき(2)/投票ボーナス(3)
1966_6874_RMR,2023-01-19,108人,中沢商事の人事担当に聞いた、今までで一番ヤバかった就活生の特徴,NA,10位,3ねこ,落ちた人を集めて起業してた,25,61.99,しゅうぴょんz/６/電動お父さん/閾値/悪魔が夜来る/うわぁ(2)/A味噌汁/ここはが/はっぴーえんど/よんずい/ランゲル・ハンス/らんごく(2)/家雨/桃山ももたろう/ドロップシンカー/daffle/吉高(2)/なまこP(2)/投票ボーナス(3)
