お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0407_4626_AQP,2023-01-22,216人,1000年生きてるギャル「なんかさー、○○○？」,NA,1位,ランゲル・ハンス,死んでから評価されるのズルくね,91,93.9,ぽんこつちゃん(2)/玄の字。/男も育休/オードリーカットバーン(2)/Yuki(2)/ももぐも/gas/kevin/グミガム/はちわれ/駄三盆/北戸田スイッチ/ちまめ(2)/ヘクトパスカルもりみち/住まなくても都/サメVS巨大タコス/寿司ブルドーザー/棘2(2)/ケイト/りんかんがっこう/はっぴーえんど/螺旋貝柱/其ノ蜩/豚の踊り食い/奥ノ広道(3)/たちまちダチ祭り(2)/あぐら(2)/ミッツ乾電池(3)/ひじかた/実家に帰った鶴/悪魔が夜来る/ユメムラ(2)/終わったまな板/雑兵/あいだほ＠俳句/アナゴさん/その服装(2)/みなぱら(2)/珍百景のクロ/ターンブル/むもん/達川@広島キャッチャー/シャンプー(3)/ダスチン・コフマン/ミスターすしでんせつ(2)/火の玉スローカーブ/こそば/赤ぺこり/ほしこ/６/ダンシング爆弾/旅人/オズ/リナちゃそ(2)/合鴨の世界/中沢の人/なまこP(3)/田口さん🍙/マービィ/ぜ。(2)/アマテイン(2)/安達些細/みやまる/まきびし/ミズノエル/ゆうとってゆうとるやん/投票ボーナス(3)
0407_4626_AQP,2023-01-22,216人,1000年生きてるギャル「なんかさー、○○○？」,NA,2位,試家軽気,リナにコケ生えてんだけど！,74,82.78,ぽんこつちゃん(2)/まめろう/ともこ(3)/赤黄色/素朴/奏でてる(2)/チャールズ・チャール(3)/pokeki(2)/はちわれ/野島久助/旋風客/サメVS巨大タコス/ぢる(3)/すりりんご文書/りんかんがっこう/やや不安(2)/せき/有波/チャイニーズマフィア(2)/螺旋貝柱/くら(3)/しろねこ/其ノ蜩/梅盾/さかなのたまり場/ちくわうし/奥ノ広道(2)/ばっは/たちまちダチ祭り(2)/9月が終わったら起こして/あいあむかつら(3)/ターンブル/このしお(3)/蛙科(2)/まちみ(3)/オズ/レイルレイル(2)/切り８/くぎぱんち(3)/しゅうぴょんz/アマテイン(2)/みやまる/まきびし/ミズノエル/らんごく/投票ボーナス(3)
0407_4626_AQP,2023-01-22,216人,1000年生きてるギャル「なんかさー、○○○？」,NA,3位,アナゴさん,これ規則あるくね,71,80.82,ウラニワ/ももぐも/gas/ニューロン/kevin/赤黄色/コウチーニ(2)/また師走が来たよ/スポーツバッグ/一流/初心者まゆげ(3)/たいら/旋風客/A味噌汁/寿司ブルドーザー/ヤクルトレディ(2)/ランゲル・ハンス/りんかんがっこう/やや不安/せき/はっぴーえんど/有波/骨密度/螺旋貝柱/むらさき/こんぺいとう雑誌/プーアル茶/ちくわうし/電動お父さん/9月が終わったら起こして/家雨(2)/悪魔が夜来る/アキラ(2)/終わったまな板/あいあむかつら/メロディックストーム/その服装(2)/みなぱら/シャンプー/TKD/緑が好き/懸垂ができる(2)/イガイガの栗/オズ/テロ本/中沢の人/ピザ4回転(2)/懐かしむ会/nanamelon(2)/ぜ。(2)/＃の中のカマ吉くん/スピ力/フェスタ/アマテイン/覇道きてぃ/まきびし/ラッキー/投票ボーナス(3)
0407_4626_AQP,2023-01-22,216人,1000年生きてるギャル「なんかさー、○○○？」,NA,4位,テクダ,残らない名言の方が良いの多くね,70,80.16,ぽんこつちゃん/牛頭馬頭/玄の字。/オードリーカットバーン/ももぐも/kokos/また師走が来たよ/ししだ/ヒカル/スポーツバッグ/大王にのまえ/ペッタ(2)/ping3500/A味噌汁(2)/おきよ/住まなくても都(2)/ヤクルトレディ(2)/りんかんがっこう/やや不安(2)/メスカマキリ(2)/螺旋貝柱/カレーラ水/むらさき/しろねこ/物数/さかなのたまり場/ちくわうし/たちまちダチ祭り(2)/あぐら/雑兵/あいだほ＠俳句/アナゴさん/珍百景のクロ/むもん/faru/ミスターすしでんせつ/灰色こたつ(2)/赤ぺこり/随契/チョコぴえ(2)/６/ダンシング爆弾/なまこP/レイルレイル(3)/田口さん🍙/吉高(2)/＃の中のカマ吉くん/フェスタ(2)/日野ヤヨイ(2)/ゆうとってゆうとるやん(2)/らんごく(2)/投票ボーナス(3)
0407_4626_AQP,2023-01-22,216人,1000年生きてるギャル「なんかさー、○○○？」,NA,5位,アマテイン,最近「乱」少なくね？,69,79.51,男も育休/オードリーカットバーン/Yuki(2)/ももぐも/kokos/まめろう(2)/gas/ニューロン/素朴/一流/グミガム/はちわれ/初心者まゆげ(3)/朝野鳩/北戸田スイッチ/ちまめ/寺井(2)/おきよ/赤い髪/はっぴーえんど/骨密度/チャイニーズマフィア/しろねこ(2)/さかなのたまり場/ミッツ乾電池(2)/ふもー/敵刺/黒胡椒/メロディックストーム/むもん/こそば/このしお(2)/RANRANRAN/ナイスな椅子(2)/月の瞼/明石/まちみ(3)/６/オズ/arkwd32/レイルレイル(2)/まる。(3)/マービィ/白ジョーア/くぎぱんち/＃の中のカマ吉くん(2)/大道無門/鳥のさえずり(3)/ザカ(仮)/投票ボーナス(3)
0407_4626_AQP,2023-01-22,216人,1000年生きてるギャル「なんかさー、○○○？」,NA,6位,その服装,もっと救えね,63,75.58,テクダ/男も育休/新大/コウチーニ(2)/また師走が来たよ(2)/Sierra(2)/チャールズ・チャール/一流/駄三盆/試家軽気/野島久助/ちまめ(2)/A味噌汁/棘2/ケイト/ランゲル・ハンス/有波/骨密度/チャイニーズマフィア(2)/カレーラ水/つか/こんぺいとう雑誌/梅盾/さかなのたまり場/馬ミノ/たちまちダチ祭り(2)/9月が終わったら起こして/あぐら/ひじかた/ユメムラ(2)/あいあむかつら/雑兵/メロディックストーム/アナゴさん/泥のぷーまん/みなぱら/懸垂ができる/蛙科/６/中沢の人/懐かしむ会/切り８/くぎぱんち(3)/＃の中のカマ吉くん/大道無門/スピ力/しゅうぴょんz/アマテイン/白滝BOX/安達些細/まきびし/投票ボーナス(3)
0407_4626_AQP,2023-01-22,216人,1000年生きてるギャル「なんかさー、○○○？」,NA,6位,ぽんこつちゃん,花だけはずっとキレイじゃね？,63,75.58,テクダ/オードリーカットバーン/コウチーニ/素朴/スポーツバッグ/一流/ペッタ/グミガム/駄三盆(2)/ちまめ/寺井/hayasaka(3)/赤い髪/wowwow(2)/ケイト/メスカマキリ/有波(2)/骨密度/螺旋貝柱/カレーラ水(2)/ひよれゐ(3)/しろねこ/其ノ蜩/梅盾/さかなのたまり場/ちくわうし/たちまちダチ祭り(2)/9月が終わったら起こして/ミッツ乾電池/アキラ(3)/メロディックストーム/その服装/ターンブル/むもん/TKD/キリバスで朝寝坊/月の瞼/田口さん🍙/切り８/ぜ。(2)/大道無門/アマテイン/白滝BOX/メゾンド戒名(3)/安達些細/ミズノエル/投票ボーナス(3)
0407_4626_AQP,2023-01-22,216人,1000年生きてるギャル「なんかさー、○○○？」,NA,8位,棘2,終わってほしい夏ってなくね,61,74.27,テクダ/玄の字。/男も育休(2)/新大(2)/kevin/ししだ/Sierra(2)/一流/ちまめ(2)/煮たまご屋(2)/寺井(3)/旋風客/寿司ブルドーザー/赤い髪/wowwow(2)/ケイト/ひよれゐ(3)/其ノ蜩/プーアル茶/物数(2)/電動お父さん(2)/9月が終わったら起こして/あぐら(2)/ミッツ乾電池/悪魔が夜来る/アキラ(2)/黒胡椒/アナゴさん/泥のぷーまん/むもん/TKD/ダスチン・コフマン/あらあら帝国/RANRANRAN/チョコぴえ/arkwd32/吉高(2)/ぜ。/くぎぱんち(2)/安達些細/ミズノエル/ゆうとってゆうとるやん/投票ボーナス(3)
0407_4626_AQP,2023-01-22,216人,1000年生きてるギャル「なんかさー、○○○？」,NA,9位,たちまちダチ祭り,人の愚かさすら愛おしくね,56,71.0,あおうろ(2)/男も育休(2)/オードリーカットバーン/Yuki/ももぐも/ニューロン/ししだ/素朴/スポーツバッグ/大王にのまえ/グミガム/初心者まゆげ(3)/駄三盆/北戸田スイッチ/安田1.2%(3)/ちまめ(2)/住まなくても都/寿司ブルドーザー/やや不安(2)/メスカマキリ(2)/カレーラ水/其ノ蜩(2)/プーアル茶/物数/さかなのたまり場/9月が終わったら起こして/ユメムラ/メロディックストーム/あいだほ＠俳句/みなぱら(2)/このしお(3)/ナイスな椅子(2)/月の瞼/ほしこ/明石/レイルレイル/＃の中のカマ吉くん/アマテイン/ザカ(仮)/投票ボーナス(3)
0407_4626_AQP,2023-01-22,216人,1000年生きてるギャル「なんかさー、○○○？」,NA,10位,フェスタ,得るばかりで捨ててこなかったっしょ,55,70.35,テクダ/玄の字。/スポーツバッグ/ペッタ(2)/駄三盆/北戸田スイッチ/煮たまご屋/旋風客/住まなくても都(2)/サメVS巨大タコス/寿司ブルドーザー/wowwow(2)/棘2(2)/ケイト/りんかんがっこう(3)/こんぺいとう雑誌/うら(3)/馬ミノ/（宇宙）(2)/電動お父さん/大中京大中京(3)/ひじかた/実家に帰った鶴/黒胡椒/雑兵/みなぱら(2)/シャンプー/TKD/ミスターすしでんせつ/ほしこ/チョコぴえ/オズ/合鴨の世界/中沢の人/懐かしむ会/田口さん🍙/日野ヤヨイ/まきびし/ゆうとってゆうとるやん(2)/投票ボーナス(3)
