お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
5892_7449_NTF,2023-02-06,261人,穴にハマったデブが一言,NA,1位,オードリーカットバーン,毎日ではないよ,82,83.13,きゅーきゅー/あいだほ＠俳句/ミソンジーエ(2)/ほのぼの/少しだけ賢い/希望給/100エーカーの森喜朗/ギギギーヌ/その服装/ディレ(3)/緑峰/ダァ(2)/瀬戸際ヤゴ/ゆめみ(2)/ゆかりそめ大明神/机上で実演/ブリウンチマン/800/コウチーニ/ネオ/テクダ(2)/ベンジャミン(2)/ほに(2)/ハルマレ/ガッボデ/フデイシ/新Goo/即席鯱(2)/新田.jpg/かぎや/海老崎/灰色こたつ/珍百景のクロ(2)/寺井/倉庫大男/おだンゴ/あああ/南部屋敷/ビーム/harvest(2)/ケイト/新大/ドルフィンキック/久民/餅橋桁/rayleigh/あらあら帝国/ぽよぽよ証券(3)/あいあむかつら/綿白 雪(3)/アルブラレリー/タイファイター/ウラニワ(3)/9月が終わったら起こして/雑兵/吉高/ナンの一部/けええ(2)/Yuki/是非/もんさん/投票ボーナス(3)
5892_7449_NTF,2023-02-06,261人,穴にハマったデブが一言,NA,2位,くすも,まだ言い伝えにしないで,81,82.54,気球マイスター/ジェリ/ミソンジーエ/とんこつ/ハタノダイ/スピ力/100エーカーの森喜朗/シンマイ子/カナリカリガ・タカ/ディレ(3)/億万百足/トリニダード木箱/トドのつまみ/ネオ/テクダ(2)/野上/試家軽気/ほに(2)/ハルマレ/先斗音頭(3)/やや不安(2)/即席鯱/じょっか(2)/ふわっと/新田.jpg/海老崎/白キごはん/のす/オードリーカットバーン/倉庫大男(2)/れあ/蛙科/ニューロン/PD/南部屋敷(2)/ししだ/真似き猫/ほろほろ/すーず/一石二兆(2)/rayleigh/美ナスビ(2)/ぽよぽよ証券(3)/あぐら/Apeos/春屋○イ/電動お父さん/棘2/ドロップシンカー/たこかいな/たくめ/タイファイター/じゃん/ウラニワ/雑兵/りんかんがっこう/大喜利の母(3)/吉高/一寸先は蟹(3)/是非/投票ボーナス(3)
5892_7449_NTF,2023-02-06,261人,穴にハマったデブが一言,NA,3位,きみをゆるさない。,グラタン置くのはずるいよ,80,81.94,ジェリ/堅あげポテト好き/いぬえもん(2)/ペッタ/スピ力/100エーカーの森喜朗/一石投じ男/刺さった氷(2)/ふもー/ディレ(3)/緑峰/瀬戸際ヤゴ/ゆかりそめ大明神/トドのつまみ/机上で実演/コウチーニ/くすも/試家軽気/ほに/先斗音頭(2)/ガッボデ/牛頭馬頭/かぎや/海老崎(2)/白キごはん/灰色こたつ/秋(2)/チャイニーズマフィア(2)/ニューロン/青いかさ/セトピア(2)/キタムランド(2)/カッツウォ/ジョンとも(2)/すーず/rayleigh(2)/あらあら帝国/キャッツアイ/めがじ(2)/あいあむかつら(2)/フェンリー/ダダダチョウ/果報者ミント(2)/棘2/教えて欲しいテクノロジー(3)/たこかいな(2)/物数(2)/9月が終わったら起こして/雑兵/りんかんがっこう/大喜利の母/liminalism(3)/吉高(2)/けええ/もんさん/投票ボーナス(3)
5892_7449_NTF,2023-02-06,261人,穴にハマったデブが一言,NA,4位,PD,それなんの拍手だ,74,78.38,きゅーきゅー/おさふね/気球マイスター/堅あげポテト好き(2)/あいだほ＠俳句/希望給/100エーカーの森喜朗/一流/刺さった氷/ふもー/おーしゃん(2)/ダァ/トリニダード木箱(2)/800/くすも/テクダ/野上/試家軽気/ほに/先斗音頭(2)/ガッボデ/即席鯱(2)/ふわっと/新田.jpg/黒胡椒(2)/海老崎/のす/オードリーカットバーン/珍百景のクロ(2)/倉庫大男/ましましのしま/れあ/青いかさ/まるまる(3)/ケイト/ししだ/ドゥラちゃん/真似き猫/ゆんける/おきよ/久民/すーず/あらあら帝国/美ナスビ(3)/キャッツアイ/ゆず茶/ダダダチョウ/HeeeeeHeeHee/春屋○イ/高見盛/モチ/みやまる/たくめ/じゃん/鴨とサイコロ/寿司ブルドーザー/liminalism/吉高/pokeki/もんさん/投票ボーナス(3)
5892_7449_NTF,2023-02-06,261人,穴にハマったデブが一言,NA,5位,ハルマレ,その案は摩擦を無視してる,71,76.6,希望給/とんこつ/ペッタ/100エーカーの森喜朗/シンマイ子(2)/うわぁ(2)/刺さった氷/緑峰(3)/おーしゃん(3)/ダァ/瀬戸際ヤゴ/トリニダード木箱(2)/ミスティカティ/机上で実演(2)/コウチーニ/テクダ/野上/試家軽気/ベンジャミン/ほに/ガッボデ/やや不安/牛頭馬頭/即席鯱/ササキ/かぎや/珍百景のクロ/れあ/蛙科/あああ/RANRANRAN/カッツウォ/ドルフィンキック/久民/きらら(2)/rayleigh/美ナスビ(2)/めがじ(3)/綿白 雪(2)/フェンリー/アルブラレリー(2)/春屋○イ/北戸田スイッチ/じゃん(3)/雑兵/リネン室(2)/吉高(2)/Yuki(2)/gas/投票ボーナス(3)
5892_7449_NTF,2023-02-06,261人,穴にハマったデブが一言,NA,6位,新田.jpg,俺のあだ名って明日からどっちになる？,70,76.01,きゅーきゅー(2)/おさふね/気球マイスター/ほのぼの/とんこつ/シンマイ子/ギギギーヌ/ううここ/緑峰/億万百足(2)/瀬戸際ヤゴ(2)/ゆかりそめ大明神/関税(3)/机上で実演/800/コウチーニ(2)/鉄シャリ/ガッボデ/フデイシ/やや不安(3)/即席鯱/ふわっと/海老崎/のす/珍百景のクロ/倉庫大男(2)/おだンゴ/蛙科/あああ/南部屋敷(2)/ビーム/6年2組の2組ちゃん/新大/りろ/きらら/きれいな市役所/明石/たいら/フェンリー/ゆず茶/螺旋貝柱/あぐら(2)/棘2/くりりン(3)/たくめ/りんかんがっこう/鴨とサイコロ(2)/牛耳る汁/liminalism/リネン室/Yuki(3)/投票ボーナス(3)
5892_7449_NTF,2023-02-06,261人,穴にハマったデブが一言,NA,7位,TKD,なんとか引き分けに持ち込めたな,69,75.41,おさふね(3)/気球マイスター/ジェリ(2)/堅あげポテト好き(2)/カタン/ハタノダイ/スピ力/ギギギーヌ/うわぁ(2)/800/ままごとうさぎ/テクダ/竜の叫び/野上/ベンジャミン/ほに/ハルマレ/スクハムハーフ/スポーツバッグ/フイ/のす/オードリーカットバーン/秋/れあ/こんなところにエビチリ/ニューロン/青いかさ/ぴかぶー/ケイト/ぽぽぽぽ〜ん/ぽにょ/真似き猫/ジョンとも/久民/ほろほろ/りろ/きらら/ヘクトパスカルもりみち(2)/キャッツアイ/めがじ/ゆず茶/螺旋貝柱/北戸田スイッチ(2)/高見盛/モチ/白黒まみれ(3)/ダスチン・コフマン/たくめ/タイファイター/9月が終わったら起こして/りんかんがっこう(3)/liminalism/Hfft6(2)/白滝BOX/投票ボーナス(3)
5892_7449_NTF,2023-02-06,261人,穴にハマったデブが一言,NA,8位,テクダ,ほら、ことわざにして,67,74.23,ミソンジーエ/ハタノダイ/ホルマリン/一流/一石投じ男(2)/しょーたろー(2)/その服装/ふもー/ゆかりそめ大明神/ブリウンチマン(3)/くすも/ネオ/鉄シャリ/野上/試家軽気/しゅうしゅう/先斗音頭(2)/やや不安/新Goo/即席鯱/じょっか/黒胡椒(2)/白キごはん/のす/オードリーカットバーン/蛙科/偽偽ビートルズ/ぽぽぽぽ〜ん/6年2組の2組ちゃん/ぽにょ/新大/RANRANRAN/餅橋桁/一石二兆(2)/rayleigh/あらあら帝国/ヘクトパスカルもりみち/五反田ソーマッチ(2)/ゆず茶/ダダダチョウ/HeeeeeHeeHee(2)/モチ/白黒まみれ(2)/みやまる/教えて欲しいテクノロジー(2)/たくめ/9月が終わったら起こして/鴨とサイコロ/吉高/Yuki(2)/gas/白滝BOX/投票ボーナス(3)
5892_7449_NTF,2023-02-06,261人,穴にハマったデブが一言,NA,9位,Guuden2009,まだ食欲が勝ってる,66,73.63,おさふね(2)/ジェリ/スピ力/ポットマン/ううここ/赤ぺこり/ふもー/白いえび/トリニダード木箱/トドのつまみ/机上で実演(2)/ブリウンチマン/コウチーニ(2)/くすも/ネオ/鉄シャリ/試家軽気/しゅうしゅう/ガッボデ/スクハムハーフ/むらさき/新田.jpg/のす/珍百景のクロ/Y氏/つか/PD/あああ/南部屋敷/まるまる/セトピア/ぽにょ/真似き猫/餅橋桁/りろ/きれいな市役所/あらあら帝国/Apeos/りゃむむ(3)/春屋○イ/果報者ミント/棘2/ドロップシンカー/くりりン(3)/たくめ/秋月杏子/じゃん/鴨とサイコロ(2)/AKIRA(3)/liminalism/ナンの一部/Yuki(2)/Hfft6(3)
5892_7449_NTF,2023-02-06,261人,穴にハマったデブが一言,NA,10位,9月が終わったら起こして,今これ運動かも,63,71.85,おさふね/スピ力/ホルマリン/ピザ4回転/カナリカリガ・タカ/その服装(2)/緑峰/瀬戸際ヤゴ/ゆめみ/トリニダード木箱/トドのつまみ/机上で実演/ブリウンチマン/ままごとうさぎ(2)/コウチーニ/旋風客/テクダ/試家軽気/ほに/ガッボデ/スクハムハーフ/やや不安(2)/TKD/新田.jpg/黒胡椒/かぎや/白キごはん/オードリーカットバーン/れあ/蛙科/PD/ビーム/キタムランド/新大/久民/すーず(2)/ヘクトパスカルもりみち/ぽよぽよ証券/たいら(2)/丙丙丙(2)/春屋○イ/モチ/ドロップシンカー/たこかいな/たくめ(2)/じゃん/ウラニワ(3)/吉高/ナンの一部(2)/是非/投票ボーナス(3)
