お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0606_5977_DMS,2023-02-07,141人,缶詰王国の抱える問題とは,NA,1位,是非,できた頃から滅ぶ日付が刻まれてる,69,94.93,6年2組の2組ちゃん(2)/ハルマレ/れあ/梅盾(2)/ゆかりそめ大明神/あああ/電動お父さん(2)/ひきにく/ふくらぎ三太郎(3)/少しだけ賢い(3)/ジョキオ石田/ニナモリ/赤黄色(2)/おてつき/ケレン味(2)/東京縦断12km/もんさん/シャケマヨ(3)/四回転サル子/ししだ/ワッショイサンバ(2)/Lonta0511/てりあちゃん/机上で実演(2)/男も育休(2)/蛙科(2)/しょーたろー(2)/くじ運/うえじゅん/sp(2)/ギギギーヌ(3)/ままごとうさぎ(2)/Gully/ハッスル運動会/（宇宙）/悪い犬(2)/こんなところにエビチリ(3)/むらさき/けええ(2)/田口さん🍙/木曜屋(2)/投票ボーナス(3)
0606_5977_DMS,2023-02-07,141人,缶詰王国の抱える問題とは,NA,2位,モチ,開国してから腐敗がひどい,52,80.22,6年2組の2組ちゃん/Hfft6(3)/梅盾(2)/明石/還暦ジャニーズJr./紙エプロン/ひきにく(2)/ジェリ(2)/カタン(3)/オードリーカットバーン/おてつき(3)/ケレン味(2)/東京縦断12km(3)/もんさん/ぎんなん/イタリア人/ハチコー/ザカ(仮)/男も育休/たこかいな/うえじゅん/ままごとうさぎ(2)/あちらの方/qwerty(2)/Haaa/Gully/野上/悪い犬(2)/ほのぼの/是非/kga/むらさき/田口さん🍙/むもん/投票ボーナス(3)
0606_5977_DMS,2023-02-07,141人,缶詰王国の抱える問題とは,NA,3位,あのあれ,フルーツ本来の美味しさがバレ始めた,50,78.49,みなぱら/梅盾/クマ牧場/あああ/紙エプロン/ジョキオ石田/猫屋敷/ニナモリ(2)/そめはてこ/東京縦断12km(2)/もんさん/シャケマヨ/やや不安(2)/じょっか/ししだ/イタリア人/ハチコー/まさお/鮒侍/ダスチン・コフマン/ワッショイサンバ(2)/てりあちゃん/おだンゴ/くじ運(3)/桃山ももたろう/高木パーキング/うえじゅん/科学準備室(2)/ままごとうさぎ/三ル貝/手向けられたナイフ/qwerty/とんこつ/他のＰ/ビーム/ハッスル運動会/玄米とムニエル/なかにし/両面/木曜屋/投票ボーナス(3)
0606_5977_DMS,2023-02-07,141人,缶詰王国の抱える問題とは,NA,4位,たこかいな,国王が膨れてきた,49,77.62,あのあれ(2)/6年2組の2組ちゃん/ハルマレ/クマ牧場/明石(2)/還暦ジャニーズJr./ひじかた/ゆかりそめ大明神/紙エプロン/リネン室/ジェリ/ふくらぎ三太郎(2)/五反田ソーマッチ/おてつき(3)/ダダダチョウ/モチ/やや不安/うわぁ/ワッショイサンバ/Lonta0511(2)/机上で実演(2)/おだンゴ/高木パーキング/うえじゅん/あちらの方/ジョンとも(2)/他のＰ/家雨/Gully/ハッスル運動会/野上/力(2)/悪魔が夜来る/ミスティカティ/むらさき(2)/ガッボデ/投票ボーナス(3)
0606_5977_DMS,2023-02-07,141人,缶詰王国の抱える問題とは,NA,4位,四回転サル子,「あと2、3年持てば」みたいな政治してる,49,77.62,6年2組の2組ちゃん/ハルマレ/梅盾/明石/ひじかた/ゆかりそめ大明神/リネン室/ひきにく/ジョキオ石田/赤黄色/おてつき/シャケマヨ/モチ/やや不安(2)/ぷ/大喜利の母(2)/まめろう/うわぁ(2)/ハチコー/まさお/Lonta0511/てりあちゃん/せいぎのみかたの片割れ(3)/桃山ももたろう/ギギギーヌ/あちらの方/とんこつ/Haaa/家雨/Gully/力/ミスティカティ/ほのぼの/kga/こんなところにエビチリ(3)/両面/むらさき/田口さん🍙/むもん/投票ボーナス(3)
0606_5977_DMS,2023-02-07,141人,缶詰王国の抱える問題とは,NA,6位,鮒侍,中身が視えない政治,47,75.89,6年2組の2組ちゃん/れあ/明石/螺旋貝柱/jomajoma/あああ/ニンニキニキニキ/ふくらぎ三太郎/猫屋敷/ニナモリ(2)/赤黄色/オードリーカットバーン/もんさん(2)/シャケマヨ(3)/モチ/ぷ/ぎんなん/うわぁ(2)/ハチコー/ザカ(仮)/蛙科/くじ運/高木パーキング/sp/あちらの方/qwerty/他のＰ/野上(2)/悪魔が夜来る/なかにし/悪い犬(2)/ほのぼの/kga/こんなところにエビチリ(3)/田口さん🍙/投票ボーナス(3)
0606_5977_DMS,2023-02-07,141人,缶詰王国の抱える問題とは,NA,7位,電動お父さん,頼みのツナがいない,46,75.02,みなぱら/れあ/還暦ジャニーズJr./jomajoma(2)/サラダサークル/少しだけ賢い/赤黄色/カタン/おてつき(2)/ケレン味/モチ/ぷ/じょっか/ハッチャケチャ夫/ザカ(仮)/ダスチン・コフマン/机上で実演/男も育休/おだンゴ/くじ運/qwerty/他のＰ(2)/ビーム/グリンチ(2)/家雨/野上(3)/ぽにょ/玄米とムニエル(2)/悪魔が夜来る/なかにし/ミスティカティ/kga/ケビンという男/ガッボデ/木曜屋(2)/投票ボーナス(3)
0606_5977_DMS,2023-02-07,141人,缶詰王国の抱える問題とは,NA,8位,TwistNight,缶詰前というバス停が多すぎる,37,67.23,6年2組の2組ちゃん/みなぱら(2)/ハルマレ/梅盾/明石/螺旋貝柱/電動お父さん(2)/ジェリ/ふくらぎ三太郎(2)/少しだけ賢い/ジョキオ石田(2)/鉛筆削り/杏露酒/シャケマヨ(3)/てりあちゃん/しょーたろー(2)/くじ運/科学準備室(2)/とんこつ/ビーム/ハッスル運動会/両面/けええ/田口さん🍙/ガッボデ/むもん/投票ボーナス(3)
0606_5977_DMS,2023-02-07,141人,缶詰王国の抱える問題とは,NA,8位,木曜屋,ご飯ありきの政治,37,67.23,れあ/梅盾/ゆかりそめ大明神/紙エプロン/赤黄色/カタン/オードリーカットバーン/ダダダチョウ/スクハムハーフ/Yまと/じょっか/大喜利の母(2)/まめろう/ししだ/野島久助/まさお/机上で実演(2)/蛙科/しょーたろー/おだンゴ/女将の見えざる手(3)/三ル貝/Gully/力/悪魔が夜来る/ミスティカティ/悪い犬/是非/たいら/ガッボデ/投票ボーナス(3)
0606_5977_DMS,2023-02-07,141人,缶詰王国の抱える問題とは,NA,10位,ダダダチョウ,凹んだ不良は更生しない,33,63.77,Hfft6(2)/還暦ジャニーズJr./紙エプロン/ひきにく/そめはてこ/オードリーカットバーン/おてつき/シャケマヨ(3)/Yまと/うわぁ/ダスチン・コフマン/机上で実演(2)/男も育休/たこかいな/うえじゅん/sp/TwistNight/手向けられたナイフ/あちらの方/グリンチ/Gully/罪作り屋さん(3)/木曜屋(2)/投票ボーナス(3)
