お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1555_5152_ORK,2023-02-15,164人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1555_5152_ORK.jpeg,1位,きりまる,残念、この部屋も僕でした,60,85.46,rayleigh/及川広大/ふくらぎ三太郎(2)/後悔しない名前を付けよう/長谷川キモ彦/のとさわ/アイワ/よいとまけ棒/半丙太/RANRANRAN/極悪疲労/おしゃる/ナンの一部/きらら/ミッツ乾電池/カクレミノムシ/C.C.C/そめはてこ(3)/とほ/ハタノダイ/拓佐々木(2)/ばっは/敵刺/鉄シャリ/家田風車/美ナスビ/とっぽぎほいほい(3)/スシざんがい(3)/じゃん(2)/U木U/びろびろーん/覇道きてぃ/たくめ/漁業の星/田口さん🍙/嫁の実家(2)/chocoxina/蛙科/バトルアックス(2)/マサ内藤/ケイト/あのあれ/Houston/A味噌汁/Qrrrr(2)/堅あげポテト好き(2)/明転や
1555_5152_ORK,2023-02-15,164人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1555_5152_ORK.jpeg,2位,800,どのインターホン押しても出て来る,58,83.71,カタン/おきよ/及川広大/ふくらぎ三太郎(3)/ミスティカティ/旋風客/のす/かくれどり(2)/Cafesippin/ジョンとも(2)/半丙太/やもりみゆき(3)/おしゃる/実家に帰った鶴/C.C.C/ばっは/鉄シャリ/美ナスビ/白いえび/えーす/じゃん/しょーたろー/びろびろーん/ちくわうし/覇道きてぃ/杜野/大喜利/ひきにく/ゆかりそめ大明神/ささちー(2)/じじじい(2)/蛙科/おだンゴ/まるまる(2)/セトピア(2)/ぷ/あのあれ/日直/BBG/Qrrrr(2)/堅あげポテト好き/木曜屋/ちまめ(2)/投票ボーナス(3)
1555_5152_ORK,2023-02-15,164人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1555_5152_ORK.jpeg,3位,ネオ,ネネちゃんこんにちは,54,80.22,rayleigh/安達些細/後悔しない名前を付けよう/くすも/旋風客(2)/長谷川キモ彦/のとさわ/よいとまけ棒(2)/やもりみゆき(2)/フニャダキシン/がばりこ(2)/さいころちゃらみん/ハルマレ/C.C.C/めがねの突撃(2)/アマテイン(2)/敵刺(2)/鉄シャリ/スシざんがい(2)/えーす/錯乱/ちくわうし/たくめ(2)/珍百景のクロ(3)/杜野/机上で実演/大喜利/ひきにく/3ねこ/chocoxina/蛙科/スピ力/台湾まぜそば/日直/久民/還暦ジャニーズJr./棘2(3)/赤黄色/投票ボーナス(3)
1555_5152_ORK,2023-02-15,164人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1555_5152_ORK.jpeg,4位,パサ,明日は201に住んでるからね。,49,75.84,rayleigh/安達些細/後悔しない名前を付けよう/のとさわ/へサリム/秋月杏子/半丙太/RANRANRAN/おしゃる(2)/実家に帰った鶴/カクレミノムシ/そめはてこ/ばっは/敵刺/鉄シャリ/しろねこ/美ナスビ/白いえび/しょーたろー/錯乱(2)/樫のブーメラン/さけのなかのいくら/大喜利/田口さん🍙/ダァ(2)/馬ミノ(2)/丈希/けええ(2)/たいよう。/まるまる(3)/マサ内藤/あのあれ/台湾まぜそば/日直/旅人/Qrrrr(2)/ネオ/明転や/赤黄色/木曜屋(2)
1555_5152_ORK,2023-02-15,164人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1555_5152_ORK.jpeg,5位,懐かしむ会,どうも、その具体例です,45,72.35,ミスティカティ/気球マイスター/釜ちびちび/ジョンとも(2)/ガッボデ/＃の中のカマ吉くん/ランゲル・ハンス/ハルマレ/実家に帰った鶴/その服装/新Goo/錯乱/樫のブーメラン(2)/覇道きてぃ/机上で実演/黒胡椒/3ねこ/嫁の実家/じじじい/蛙科/ピザ4回転/寺井(2)/おまつ大(2)/こんぺいとう雑誌/スピ力/ベンジャミン(2)/ケイト/新田.jpg(2)/あのあれ/Houston/よれん/BBG(2)/是非/堅あげポテト好き(2)/投票ボーナス(3)
1555_5152_ORK,2023-02-15,164人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1555_5152_ORK.jpeg,6位,おだンゴ,人気ある子から順に入りな,43,70.6,世界/たる棒/気球マイスター/open(3)/ジョンとも(2)/＃の中のカマ吉くん/がばりこ(2)/さいころちゃらみん/さいまつ先生/しろねこ/とっぽぎほいほい(2)/錯乱(2)/懐かしむ会/漁業の星/タイファイター/野島久助/PD(2)/ひきにく/黒胡椒/嫁の実家/馬ミノ/蛙科/けええ/こんぺいとう雑誌/ぷ/二階から手続き/いちごマシン(2)/新田.jpg/たこ焼きボンバー/A味噌汁/是非/赤黄色/投票ボーナス(3)
1555_5152_ORK,2023-02-15,164人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1555_5152_ORK.jpeg,6位,くすも,逮捕見に来たのかい,43,70.6,ふくらぎ三太郎/きみをゆるさない。/後悔しない名前を付けよう/気球マイスター/きれいな市役所/長谷川キモ彦/釜ちびちび/のとさわ/アイワ/半丙太/＃の中のカマ吉くん/おしゃる/ミッツ乾電池/C.C.C/ゆめみ/裕子/その服装/ハタノダイ/家田風車/びろびろーん/たくめ/珍百景のクロ/漁業の星/たいら(2)/田口さん🍙(2)/野島久助/PD/ひきにく/寺井/丈希/こんぺいとう雑誌/800/A味噌汁/旅人/Qrrrr(2)/ネオ/棘2/投票ボーナス(3)
1555_5152_ORK,2023-02-15,164人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1555_5152_ORK.jpeg,6位,ちくわうし,おいで、中はさらに暗いんだ,43,70.6,かごの中の鳥/後悔しない名前を付けよう/気球マイスター/open/Cafesippin(2)/へサリム/ガッボデ/やもりみゆき/がばりこ/さいころちゃらみん/ナンの一部/ハルマレ/ゆめみ/その服装(2)/家田風車/びろびろーん/樫のブーメラン/プーアル茶/机上で実演/たいら/タイファイター/嫁の実家/ダァ/馬ミノ/蛙科/ピザ4回転/寺井/おまつ大/たいよう。/二階から手続き/マサ内藤(2)/あのあれ/A味噌汁/BBG/是非/明転や/赤黄色/投票ボーナス(3)
1555_5152_ORK,2023-02-15,164人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1555_5152_ORK.jpeg,9位,PD,全部預かってるよ,41,68.85,rayleigh/及川広大/ミスティカティ/くすも/気球マイスター/よいとまけ棒/ジョンとも/ガッボデ/やもりみゆき/RANRANRAN/ハルマレ/さいまつ先生/実家に帰った鶴/めがねの突撃(2)/とほ/家田風車/美ナスビ/しょーたろー/錯乱(2)/懐かしむ会/黒胡椒/嫁の実家/ダァ(2)/けええ(2)/おまつ大/ぷ/ケイト/いちごマシン(2)/新田.jpg/たこ焼きボンバー/ネオ/棘2/赤黄色/投票ボーナス(3)
1555_5152_ORK,2023-02-15,164人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1555_5152_ORK.jpeg,10位,ゆめみ,隠れてない人は見つけなくていいの,40,67.98,おきよ/たる棒/きみをゆるさない。(2)/気球マイスター/かくれどり(3)/秋月杏子/半丙太/ガッボデ/おしゃる(2)/きらら(2)/ハルマレ/カクレミノムシ/とほ/白いえび/プーアル茶/机上で実演/たいら/3ねこ(3)/ダァ/けええ(3)/あのあれ/是非/明転や/赤黄色/木曜屋(2)/すでショ(2)/投票ボーナス(3)
