お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,1位,ハルマレ,追え、抜くな抜くな,43,83.65,800/あのあれ/みやまる(2)/Lonta0511(2)/チーズインパンパース/ping3500/ばけつぷりんちゃん(2)/ハッスル運動会/ユメムラ/四回転サル子/赤い髪/玄の字。/ごぜんぜうな/しゅうしゅう(2)/みなぱら/じゃん/音鳴ヨチ/ゐくてぃむ/堅あげポテト好き/崖の上の喪女/そいそーす(3)/よれよれ(2)/すくみ(2)/かずと(2)/大中京大中京/9月が終わったら起こして/二階から手続き/住まなくても都/ゆらう/日直(2)/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,2位,チーズインパンパース,そりゃ棒にも当たるわな,39,78.98,800/蜜柑色(3)/みやまる/Lonta0511/野島久助/GO‼️ﾁｿﾁｿGO‼️(3)/恥さらしのスパゲッティ(2)/灰色こたつ/りんかんがっこう/ping3500/オーバーニート(2)/ななし(2)/ハッスル運動会/qwerty/ウザいアイコン(2)/黒胡椒/永栄/nametime(3)/RANRANRAN/みなぱら/ゐくてぃむ/崖の上の喪女/さんべ商会(2)/大中京大中京/おしゃる/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,3位,四回転サル子,交尾は落ち着いてるの怖いよ,38,77.82,美ナスビ/たくめ(3)/ヒカル/のっぺ(2)/あちらの方/こんぺいとう雑誌(2)/玄の字。/へサリム/永栄/受験生/久民/ごぜんぜうな/nametime/ピザ4回転/じゃん/ガッボデ/BJ(3)/ゐくてぃむ/NASA(3)/ダダダチョウ/すくみ/むらさき/カッツウォ/白ジョーア/JinJin4112(3)/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,4位,ゐくてぃむ,ごめんね、ウチ(地球)では飼えないって,35,74.31,スパムおにぎり同担拒否(2)/ハム二郎(2)/ばけつぷりんちゃん(3)/ハッスル運動会/qwerty(2)/四回転サル子/さくら(3)/ウザいアイコン(2)/へサリム/はんドレ(2)/ガッボデ(2)/しとろ/崖の上の喪女/よれよれ(2)/すくみ(2)/資本ネコ/カッツウォ/二階から手続き/日直/もんさん/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,5位,すくみ,初めて聞く擬音だったね,32,70.81,800/スパムおにぎり同担拒否(2)/ちまめ/美ナスビ/たくめ/Lonta0511/ばっは/りんかんがっこう/高見盛/タイファイター/ウザいアイコン(2)/黒胡椒/RANRANRAN/じゃん/あああ/のす/堅あげポテト好き(2)/崖の上の喪女/さんべ商会/むらさき/釜ちびちび/カッツウォ/二階から手続き/JinJin4112(3)/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,5位,美ナスビ,親近感返せ,32,70.81,ちまめ/ベンジャミン(2)/スクハムハーフ/帰る亭中野周辺/青いかさ/丈希/ばっは/バーチャルバナナ/灰色こたつ/真似き猫/ping3500/ななし(3)/ユメムラ/高見盛/棘2/タイファイター/永栄/のす/堅あげポテト好き/ラーメン(2)/かずと/白ジョーア/ハルマレ/ゆらう/アキラ/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,5位,青いかさ,犬らしさは忘れるなよ,32,70.81,800/美ナスビ/みやまる/スクハムハーフ/Lonta0511/野島久助/あちらの方/アルブラレリー/また師走が来たよ/ななし/ラッキー/黒胡椒(2)/永栄/久民/みなぱら/あああ/のす/NASA(2)/ラーメン/水猫ラテ(2)/gas/釜ちびちび/テロ本/白ジョーア/アキラ(2)/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,8位,ガッボデ,途中発光したのなんで,31,69.65,美ナスビ/たくめ(2)/みやまる/Lonta0511(2)/野島久助/あちらの方/ばっは/灰色こたつ/こんぺいとう雑誌(2)/なぐ(2)/タイファイター/玄の字。/ピザ4回転(2)/堅あげポテト好き/崖の上の喪女/手向けられたナイフ/ダダダチョウ/ラーメン/さんべ商会/水猫ラテ/カッツウォ/住まなくても都/中沢の人/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,8位,中沢の人,ハウス！ゆっくり、ゆっくりな,31,69.65,800/たくめ(2)/蜜柑色/みやまる/Lonta0511(2)/あちらの方/恥さらしのスパゲッティ/おまつ大(2)/また師走が来たよ/四回転サル子/赤い髪/玄の字。/黒太郎/しゅうしゅう(3)/ガッボデ/崖の上の喪女/手向けられたナイフ/よれよれ/資本ネコ/かずと/カッツウォ/二階から手続き/アキラ/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,10位,ばけつぷりんちゃん,マジでくわえて戻ってきたの,30,68.48,たくめ/恥さらしのスパゲッティ/おまつ大/青いかさ/真似き猫/qwerty(2)/ユメムラ/赤い髪(2)/久民/ごぜんぜうな(2)/しとろ/そいそーす(3)/よれよれ/さんべ商会(2)/水猫ラテ(2)/カッツウォ/二階から手続き/ハルマレ/日直/もんさん/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,11位,のっぺ,流星群みたいなマーキングやめなさい,26,63.81,スパムおにぎり同担拒否/あのあれ(2)/Lonta0511(2)/恥さらしのスパゲッティ(2)/丈希/りんかんがっこう/真似き猫/ばけつぷりんちゃん/qwerty(2)/高見盛/棘2/ウザいアイコン(2)/へサリム/のす/崖の上の喪女/ダダダチョウ/よれよれ/ハルマレ/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,11位,恥さらしのスパゲッティ,それは承認欲求から来るやつ？,26,63.81,たくめ/スクハムハーフ/ケレン味/ばっは/ななし/棘2/玄の字。/へサリム/ごぜんぜうな/あああ/ガッボデ/BJ(2)/ゐくてぃむ/堅あげポテト好き/NASA(2)/ラーメン(2)/かごの中の鳥/かずと/カッツウォ/9月が終わったら起こして/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,13位,ちまめ,宇宙も悔しいんだぞ,24,61.48,美ナスビ/たくめ/みやまる/ケレン味/また師走が来たよ/灰色こたつ/高見盛(2)/赤い髪/へサリム/ごぜんぜうな/黒太郎/じゃん/しとろ/釜ちびちび/9月が終わったら起こして/二階から手続き/おしゃる/住まなくても都/ハルマレ/ゆらう/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,13位,むらさき,初速だけだろ、いずれ捕まる,24,61.48,ちまめ/みやまる/チーズインパンパース/おまつ大/青いかさ/ハム二郎(3)/灰色こたつ/棘2/タイファイター/玄の字。/ラッキー/永栄/はんドレ/のす/ゐくてぃむ/二階から手続き/白ジョーア/ゆらう/中沢の人/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,15位,gas,車道走れよ,23,60.31,800/ちまめ/スクハムハーフ/チーズインパンパース/野島久助/アルブラレリー(2)/青いかさ/高見盛/タイファイター/はんドレ(2)/ピザ4回転(2)/じゃん/堅あげポテト好き/釜ちびちび/大中京大中京/9月が終わったら起こして/テロ本/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,15位,あのあれ,もういま全然お前の方が怖いよ,23,60.31,スクハムハーフ/Lonta0511/おまつ大(3)/バーチャルバナナ/ごぜんぜうな(2)/みなぱら/ピザ4回転(2)/音鳴ヨチ/堅あげポテト好き/NASA(3)/むらさき/かずと/二階から手続き/ハルマレ/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,15位,ダム食,それはそれでUFOだろ,23,60.31,たくめ(2)/ベンジャミン/GO‼️ﾁｿﾁｿGO‼️(3)/バーチャルバナナ(3)/灰色こたつ(2)/ping3500/ユメムラ/タイファイター/久民/nametime(2)/RANRANRAN/むらさき/gas/釜ちびちび/大中京大中京/ハルマレ
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,18位,水猫ラテ,早く棒に当たれ,22,59.15,800/野島久助/帰る亭中野周辺/ケレン味(2)/また師走が来たよ/qwerty(2)/さくら(2)/受験生/ごぜんぜうな/RANRANRAN/かごの中の鳥/釜ちびちび/9月が終わったら起こして/おしゃる/白ジョーア/日直/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,18位,高見盛,俺と遊んでる時より楽しそうだな,22,59.15,たくめ/蜜柑色(3)/ばけつぷりんちゃん/ハッスル運動会/赤い髪/永栄/じゃん/あああ/音鳴ヨチ(2)/ガッボデ/よれよれ/水猫ラテ/カッツウォ/もんさん(3)/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,20位,あちらの方,お手は普通なんだよな,21,57.98,のっぺ/帰る亭中野周辺/おまつ大(2)/青いかさ/灰色こたつ/真似き猫/ばけつぷりんちゃん/玄の字。/ピザ4回転(2)/音鳴ヨチ/ガッボデ/しとろ/手向けられたナイフ/むらさき/釜ちびちび/白ジョーア/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,20位,みやまる,捨てられたというより、他を置き去りにしたのか,21,57.98,あのあれ(3)/オーバーニート(3)/ななし/ハッスル運動会/高見盛/音鳴ヨチ/すくみ(3)/テロ本/二階から手続き/ゆらう/アキラ(2)/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,22位,nametime,そっちはフリスビーじゃない,20,56.81,みやまる/アルブラレリー(2)/りんかんがっこう/真似き猫/オーバーニート(2)/qwerty/ごぜんぜうな/ガッボデ/のす/しとろ/よれよれ/さんべ商会(3)/おしゃる/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,22位,そいそーす,UFO特番から「趣旨がブレる」ってクレーム来てたぞ,20,56.81,美ナスビ/ヒカル/Lonta0511/帰る亭中野周辺/おまつ大(2)/りんかんがっこう/オーバーニート/高見盛/nametime(3)/みなぱら/崖の上の喪女/ダダダチョウ/白ジョーア/もんさん/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,22位,へサリム,君のための祭りしようか,20,56.81,ちまめ/美ナスビ/たくめ/帰る亭中野周辺/ケレン味/四回転サル子/タイファイター/久民/ピザ4回転(2)/音鳴ヨチ/ゐくてぃむ/しとろ/ラーメン/大中京大中京(2)/9月が終わったら起こして/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,22位,タイファイター,これなら姫を救える,20,56.81,ちまめ/野島久助/ケレン味/また師走が来たよ/バーチャルバナナ(3)/真似き猫/さくら(2)/玄の字。/へサリム/受験生/みなぱら/釜ちびちび/9月が終わったら起こして/ハルマレ/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,22位,釜ちびちび,お前しか知らない文明あるだろ,20,56.81,あのあれ/スクハムハーフ/Lonta0511(2)/りんかんがっこう/四回転サル子/さくら/へサリム/あああ/のす/堅あげポテト好き/すくみ(2)/テロ本/二階から手続き/ゆらう/日直/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,27位,ラーメン,庭は有利すぎたよな,19,55.65,ちまめ/美ナスビ/あのあれ(2)/ハム二郎/永栄/ごぜんぜうな/RANRANRAN/みなぱら/じゃん/あああ/すくみ/釜ちびちび/住まなくても都/中沢の人/アキラ/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,27位,丈希,お前メインの侵略じゃないだろ,19,55.65,みやまる/恥さらしのスパゲッティ(2)/真似き猫/こんぺいとう雑誌/ping3500/オーバーニート(2)/四回転サル子/永栄/みなぱら/ガッボデ/ダダダチョウ/二階から手続き/ハルマレ/ゆらう/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,29位,Lonta0511,先に落下地点に入るのは正しいけどさ,18,54.48,美ナスビ/帰る亭中野周辺/恥さらしのスパゲッティ(2)/ハッスル運動会/棘2(2)/久民/ゐくてぃむ/そいそーす(3)/かずと/二階から手続き/日直/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,29位,二階から手続き,お前でドップラー効果を感じれるとはな,18,54.48,スパムおにぎり同担拒否/たくめ/のっぺ/アルブラレリー/真似き猫/ななし(3)/ばけつぷりんちゃん/四回転サル子/玄の字。/へサリム/ダダダチョウ/よれよれ(2)/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,29位,堅あげポテト好き,違う、そんな青春はいらない,18,54.48,800/丈希/ばっは/ユメムラ/四回転サル子/タイファイター/玄の字。/へサリム/受験生/ゐくてぃむ/ラーメン/かずと/おしゃる/ゆらう/もんさん/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,29位,棘2,楽しめる速さで競走してくれ,18,54.48,ちまめ/ベンジャミン/スクハムハーフ/りんかんがっこう/ユメムラ/玄の字。/永栄/あああ/堅あげポテト好き/手向けられたナイフ/大中京大中京/テロ本/二階から手続き/ゆらう/中沢の人/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,33位,じゃん,マーキングもビームみたいだね,17,53.31,美ナスビ/たくめ(3)/みやまる/チーズインパンパース/ハム二郎(2)/オーバーニート(2)/赤い髪/永栄/カッツウォ/中沢の人/投票ボーナス(3)
0953_3669_TJY,2023-02-22,115人,UFOより速い犬に一言,NA,33位,ちゃーぱ,確実に、二足歩行で走ってた,17,53.31,みやまる/野島久助/あちらの方/GO‼️ﾁｿﾁｿGO‼️(3)/おまつ大/ばっは/こんぺいとう雑誌/オーバーニート/赤い髪/はんドレ/あああ/BJ(2)/かごの中の鳥/おしゃる
