お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3752_0754_FRO,2023-03-12,144人,｢優しい｣だけで食べログで星4.0を取った店,NA,1位,スポーツバッグ,★☆☆☆☆ なにを企んでる,60,91.88,みなぱら(2)/MODY/泥のぷーまん/山渕/ボサライミ/ライカ(3)/ピアニカ清掃員/学歴不問(2)/Y氏/野島久助/メスカマキリ(3)/駄三盆(2)/へサリム/じす(2)/ばりそば(2)/敵刺/後悔しない名前を付けよう/男も育休(2)/がんばりま翔/なまこP(2)/とりふぐ/米(おこめ)/とほ/机上で実演(2)/バーチャルバナナ/チャールズ・チャール/小脳/未来永劫ちゃんねる(2)/蛙科(2)/実家に帰った鶴/ダスチン・コフマン/棘2/東京縦断12km(2)/屋内用雨傘/モチ/メメントモリ/オーバーニート(2)/家雨/大残渣/ヨッすぃ〜/こんぺいとう雑誌/投票ボーナス(3)
3752_0754_FRO,2023-03-12,144人,｢優しい｣だけで食べログで星4.0を取った店,NA,2位,東京縦断12km,おじいちゃんも出世払いにした,56,88.0,みなぱら(2)/えのきときのこ/ししだ/山渕/ピアニカ清掃員/学歴不問/むらさき/メスカマキリ/じす/jomajoma(2)/堅あげポテト好き(2)/後悔しない名前を付けよう/男も育休/がんばりま翔/ハッスル運動会/還暦ジャニーズJr.(2)/なまこP/小テスト(2)/ちぇん/骨密度/さんべ商会(2)/お嬢様ですわぁ/二階から手続き(2)/vio/ジェット(3)/不幸の雨/また師走が来たよ/チャールズ・チャール/小脳/すーず/スポーツバッグ/蛙科/かごの中の鳥/実家に帰った鶴/棘2(2)/ジュディコング/ニューロン(2)/屋内用雨傘/家雨/風吹かぬ(2)/大残渣/投票ボーナス(3)
3752_0754_FRO,2023-03-12,144人,｢優しい｣だけで食べログで星4.0を取った店,NA,3位,BBG,｢でもどこか寂しそう」というレビューもある,52,84.12,めがじ/みなぱら/えのきときのこ/山渕/ピアニカ清掃員/覇道きてぃ/Y氏/駄三盆/へサリム/じす/jomajoma/ばりそば/ねむみ/後悔しない名前を付けよう/カンガルーノート/男も育休(2)/がんばりま翔/ハッスル運動会/とほ/前菜/りろ/お嬢様ですわぁ/机上で実演(2)/二階から手続き(2)/ギトウ(2)/不幸の雨/名詞句移動/小脳/ヘクトパスカルもりみち/スポーツバッグ/ジュディコング/のとさわ/屋内用雨傘/トドのつまみ/半丙太/ゆゆしき(3)/家雨/客員教授(2)/大残渣/ヨッすぃ〜/こんぺいとう雑誌(2)/投票ボーナス(3)
3752_0754_FRO,2023-03-12,144人,｢優しい｣だけで食べログで星4.0を取った店,NA,4位,かごの中の鳥,俺らは飯じゃなくあのおばあちゃんに金を払ってる,36,68.62,めがじ/みなぱら(2)/白滝BOX/泥のぷーまん/山渕(2)/ナルシマアンバイ/駄三盆/じす/ねむみ/なまこP(2)/やや不安(2)/ノビッタ/とほ/こんなところにエビチリ/二階から手続き(2)/チャールズ・チャール/旋風客/小脳(2)/スポーツバッグ/蛙科/実家に帰った鶴/棘2/のとさわ/屋内用雨傘/トドのつまみ/ミッツ乾電池/赤色のメイさん/投票ボーナス(3)
3752_0754_FRO,2023-03-12,144人,｢優しい｣だけで食べログで星4.0を取った店,NA,5位,ちぇん,クレーマーを抱きしめた,35,67.65,ライカ/ピアニカ清掃員/野島久助/けんぞう(2)/じす/jomajoma/低保証(3)/とりふぐ/やや不安/赤い髪/前菜/二階から手続き/ジャック/バーチャルバナナ/ハゲヤスリ/ここはが/未来永劫ちゃんねる/のとさわ(2)/東京縦断12km/monmon26(3)/ゆゆしき/客員教授(2)/風吹かぬ/ヨッすぃ〜/づら/投票ボーナス(3)
3752_0754_FRO,2023-03-12,144人,｢優しい｣だけで食べログで星4.0を取った店,NA,6位,むらさき,本当に欲しい時だけ水が来る,33,65.71,ししだ/ボサライミ/Y氏/ナルシマアンバイ/けんぞう/santotsu/ばりそば/敵刺/後悔しない名前を付けよう/がんばりま翔/ハッスル運動会/なまこP(2)/ノビッタ/骨密度/さんべ商会/確率論のパラテママ/二階から手続き/ギトウ/gas/斧湯/ジュディコング/ニューロン/のとさわ/東京縦断12km(2)/屋内用雨傘/トドのつまみ/木製の脚立/客員教授/投票ボーナス(3)
3752_0754_FRO,2023-03-12,144人,｢優しい｣だけで食べログで星4.0を取った店,NA,6位,ピザ4回転,料理をだっこして持ってくる,33,65.71,MODY/きゅーきゅー/icytrial(3)/ナルシマアンバイ/へサリム/ねむみ/ゆず茶/後悔しない名前を付けよう/ハッスル運動会/せりか/ノビッタ/幻/赤い髪/前菜/ジャック/vio/すーず/ここはが/蛙科/ニューロン/のとさわ/東京縦断12km(2)/半丙太/オーバーニート/ミッツ乾電池/大残渣/置鱈ねるね/投票ボーナス(3)
3752_0754_FRO,2023-03-12,144人,｢優しい｣だけで食べログで星4.0を取った店,NA,8位,ししだ,丸焼きの豚も笑顔だった,32,64.74,めがじ/ゆめみ/白滝BOX/ボサライミ/ナルシマアンバイ/白黒まみれ/へサリム/堅あげポテト好き/ねむみ/男も育休/せりか/とりふぐ/ちぇん/ノビッタ/赤い髪/骨密度/確率論のパラテママ/螺旋貝柱/二階から手続き/ジェット/ハゲヤスリ/ヘクトパスカルもりみち/すーず/未来永劫ちゃんねる/のとさわ/屋内用雨傘/モチ/客員教授(2)/投票ボーナス(3)
3752_0754_FRO,2023-03-12,144人,｢優しい｣だけで食べログで星4.0を取った店,NA,8位,ミッツ乾電池,食い逃げが転ばないか心配してた,32,64.74,ゆめみ(2)/みなぱら/ししだ/きゅーきゅー(2)/泥のぷーまん/山渕/むらさき/野島久助/BBG/桃山ももたろう/ねむみ/やる/がんばりま翔/せりか/やや不安/赤い髪/さんべ商会/前菜/りろ/お嬢様ですわぁ/螺旋貝柱/vio/ハゲヤスリ/名詞句移動/チャールズ・チャール/スポーツバッグ/赤色のメイさん/投票ボーナス(3)
3752_0754_FRO,2023-03-12,144人,｢優しい｣だけで食べログで星4.0を取った店,NA,10位,お風呂ブラザーズ,食べ終わると拍手してくれる,31,63.78,MODY/きゅーきゅー/泥のぷーまん/むらさき/BBG/駄三盆/ねむみ/還暦ジャニーズJr./せりか/小テスト/幻/赤い髪/骨密度/前菜/バーチャルバナナ/ヘクトパスカルもりみち/すーず/ここはが/堀井星/蛙科/gas/棘2/東京縦断12km(2)/半丙太/家雨(2)/客員教授(2)/ヨッすぃ〜/こんぺいとう雑誌
