お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0576_9422_DUX,2023-03-21,131人,この後輩私の事ナメてるな。なぜ？,NA,1位,揚げたてメンチメン,全部いらすとやの年賀状が届いた,60,93.23,あらあら帝国/おきよ/とろ火(2)/小テスト/カシオカカシオ/螺旋貝柱(2)/半ちく/よれよれ/半丙太/まるまる(3)/かくれどり/大残渣/キタムランド/のっぺ/暴風よ吹け/海産物/脚/オーベル(2)/物数/メスカマキリ/顔面激戦区/浅間山から真っ逆さま/お嬢様ですわぁ/えびちゃん🦐/なまこP/おだンゴ/きみをゆるさない。/ノビッタ/そいそーす(3)/ぜ。(3)/先輩(2)/ゆめみ/しろみかん。/santotsu(3)/パンジ/シャイシャイ(3)/よれん/六角星人/バルチャイ/MODY/納屋の鍵/頭脳まさき/ナルシマアンバイ/投票ボーナス(3)
0576_9422_DUX,2023-03-21,131人,この後輩私の事ナメてるな。なぜ？,NA,2位,モチ,教えたことを教えてくる,55,88.43,あらあら帝国/ミッツ乾電池/おきよ/町内ビブリオ/ヘクトパスカルもりみち/螺旋貝柱(2)/半ちく/ベンジャミン(2)/えのきときのこ/ゆらう/かくれどり/大残渣/キタムランド/敵刺/海産物/屋内用雨傘/ヒカル/物数/メスカマキリ(2)/浅間山から真っ逆さま/なまこP(2)/おだンゴ/ちきちきた/ほんもののイカ/帰る亭中野周辺/ニューロン/そいそーす(2)/ぜ。/先輩/しろみかん。/音に乗る及び腰(2)/ちくわうし/のす/ロベルト(2)/あいだほ＠俳句/タイファイター/9月が終わったら起こして(2)/バルチャイ/中沢の人/せりか/納屋の鍵/頭脳まさき(2)/やもりみゆき/投票ボーナス(3)
0576_9422_DUX,2023-03-21,131人,この後輩私の事ナメてるな。なぜ？,NA,3位,長谷川キモ彦,「ウチら」に含められた,51,84.58,所々ジョージ/Guuden2009(2)/ミッツ乾電池(2)/おきよ/小テスト/煮込みVUITTON/及川広大(2)/下衆なキャット/フラワーベース/ベンジャミン(2)/えのきときのこ/ゆらう(2)/恥さらしのスパゲッティ/オーベル(2)/物数/モチ/浅間山から真っ逆さま/メリケンジョッキ/お嬢様ですわぁ/えびちゃん🦐/きみをゆるさない。/ほんもののイカ/ノビッタ/白ジョーア/揚げたてメンチメン/しろみかん。/音に乗る及び腰/とんこつ/田口さん🍙/のす/シャイシャイ/あいだほ＠俳句/もんさん/元横綱/六角星人/バルチャイ/納屋の鍵(2)/こんぺいとう雑誌/頭脳まさき(2)/赤い髪/投票ボーナス(3)
0576_9422_DUX,2023-03-21,131人,この後輩私の事ナメてるな。なぜ？,NA,4位,シャイシャイ,アドバイスを4色ボールペンの緑でメモする,46,79.78,ミッツ乾電池/とろ火/骨密度/カシオカカシオ/えーす(2)/螺旋貝柱/半ちく/よれよれ/まるまる(2)/双葉柿浦六番線/恥さらしのスパゲッティ/海産物/脚(2)/オーベル(2)/物数/きゅーきゅー/顔面激戦区/えびちゃん🦐(2)/なまこP/きみをゆるさない。/ノビッタ/仮性トーマス(3)/白ジョーア/ぜ。/揚げたてメンチメン(2)/先輩(3)/しろみかん。/田口さん🍙(2)/バルチャイ/MODY/せりか/ナルシマアンバイ/投票ボーナス(3)
0576_9422_DUX,2023-03-21,131人,この後輩私の事ナメてるな。なぜ？,NA,5位,ベンジャミン,1番弱いクワガタを私の名前で育てていた,45,78.82,Guuden2009(2)/小テスト/カシオカカシオ(2)/煮込みVUITTON/下衆なキャット/竜の叫び/半ちく/大残渣/暴風よ吹け/脚/屋内用雨傘/浅間山から真っ逆さま/お嬢様ですわぁ/えびちゃん🦐(2)/なまこP/ちきちきた/仮性トーマス(3)/練田(3)/しろみかん。/まゆへる(3)/田口さん🍙/少しだけ賢い/さんかくとろっぴ/のす/ふもー/シャイシャイ(2)/あいだほ＠俳句/りくがめ/バルチャイ/納屋の鍵(2)/ナルシマアンバイ/投票ボーナス(3)
0576_9422_DUX,2023-03-21,131人,この後輩私の事ナメてるな。なぜ？,NA,6位,ノビッタ,「よくやった」みたいな拍手してくる,42,75.94,玄の字。/おきよ/螺旋貝柱/及川広大/下衆なキャット/よれよれ/半丙太/ゆらう/かーたー/恥さらしのスパゲッティ/海産物/メスカマキリ/きゅーきゅー(2)/顔面激戦区/メリケンジョッキ/えびちゃん🦐/なまこP/ちきちきた/ドロップシンカー(2)/揚げたてメンチメン/先輩/ゆめみ/しろみかん。/まゆへる/受験生(2)/少しだけ賢い/さんかくとろっぴ/のす/あいだほ＠俳句/もんさん/元横綱/バルチャイ(2)/せりか/納屋の鍵/ナルシマアンバイ/投票ボーナス(3)
0576_9422_DUX,2023-03-21,131人,この後輩私の事ナメてるな。なぜ？,NA,7位,骨密度,録音した相槌を流す,33,67.3,TKD/世界/えーす/ヘクトパスカルもりみち/半ちく/半丙太/ゆらう/双葉柿浦六番線/大残渣/海産物/屋内用雨傘/物数/顔面激戦区/モチ/メリケンジョッキ/お嬢様ですわぁ(2)/なまこP/きみをゆるさない。/幻/ニューロン/仮性トーマス(2)/先輩(2)/とんこつ/受験生/あいだほ＠俳句/タイファイター/納屋の鍵/投票ボーナス(3)
0576_9422_DUX,2023-03-21,131人,この後輩私の事ナメてるな。なぜ？,NA,8位,下衆なキャット,玄関でもてなされた,32,66.34,あらあら帝国/ヘクトパスカルもりみち/及川広大/竜の叫び/ベンジャミン(2)/かくれどり/屋内用雨傘/メスカマキリ/がんばりま翔/顔面激戦区/メリケンジョッキ/きみをゆるさない。/ドロップシンカー/練田(2)/ぜ。/まゆへる/ちくわうし/のす/ふもー/ロベルト/りくがめ/六角星人/9月が終わったら起こして/納屋の鍵(2)/頭脳まさき/赤い髪/投票ボーナス(3)
0576_9422_DUX,2023-03-21,131人,この後輩私の事ナメてるな。なぜ？,NA,9位,頭脳まさき,レモン絞ってすぐ肩触られた,29,63.46,あらあら帝国/世界(2)/鈴本/螺旋貝柱/フラワーベース/半丙太/大残渣/がんばりま翔/顔面激戦区(2)/帰る亭中野周辺/幻/ニューロン/仮性トーマス/先輩(2)/ゆめみ/ちくわうし/大王にのまえ/シャイシャイ(2)/続きを読む/せりか/納屋の鍵/こんぺいとう雑誌/投票ボーナス(3)
0576_9422_DUX,2023-03-21,131人,この後輩私の事ナメてるな。なぜ？,NA,10位,ミッツ乾電池,ゆっくりはっきり喋る,28,62.5,所々ジョージ/TKD/おきよ/えーす/下衆なキャット/暗黒神からあげ(3)/ゆらう/物数/きゅーきゅー(2)/がんばりま翔/えびちゃん🦐/きみをゆるさない。/ほんもののイカ/揚げたてメンチメン/先輩/音に乗る及び腰/santotsu/田口さん🍙/のす/ふもー(2)/9月が終わったら起こして/投票ボーナス(3)
