お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
5213_7421_IDV,2023-03-29,165人,ゲーマーだけが住む島、どうなった？,NA,1位,くじ運,あああああさんがたくさんいる,73,91.69,Sun/さんかくしかく(2)/みやまる(2)/四回転サル子/テラコッタ/ゆとられ(2)/まきびし/ヨッすぃ〜/LPPPPP(2)/やから/オチのないミレ/男も育休/神武天皇(2)/まくがいあ/オーバーニート(2)/うしろ/アルブラレリー/ミスティカティ(2)/伊勢島/ハッスル運動会/みくすし/モロダッシュ(2)/特効さん/チャールズ・チャール/ペイ(2)/9時のクジラ(2)/りくがめ/しゅーきち/オールド/カッツウォ/jinseitsurao/さんべ商会(2)/こもち(2)/みなぱら(2)/ところ天のすけ/丈希/梨/ねこめんたい/コッパー/野菜って大事だよね/竜の叫び/冷凍ミラノ/柚苑/ちきちきた/やや不安/新Goo/シャイシャイ/フイ(2)/シング/マルイは二進法で5/なまこP/プルインザボ/つくり真顔(2)/BBG(2)/投票ボーナス(3)
5213_7421_IDV,2023-03-29,165人,ゲーマーだけが住む島、どうなった？,NA,2位,ニューロン,木がWi-Fiに向かって育つ,62,83.02,みやまる/四回転サル子/テラコッタ(3)/二階から手続き/赤色(2)/オーバーニート(2)/ミスティカティ/タイファイター/剣豪/なごみこはる/ハッスル運動会/ハンムラビ盲点(3)/チャールズ・チャール(2)/河川敷と高架橋、時雨/ぐすく(2)/モチ/のっぺ/机上で実演/まつきよ/棘2/xixi/耳ぶた(2)/黒胡椒/少しだけ賢い/毒桃/こもち/マービィ/仙河/みなぱら/ニンニキニキニキ/さけのなかのいくら/小テスト/ヒョロガリ非対称(3)/梅盾/飾りハイボール(2)/フクリク/幻/未来永劫ちゃんねる/ししだ/くじ運(2)/IWA/いれいあ(2)/マルイは二進法で5/なまこP/つくり真顔/投票ボーナス(3)
5213_7421_IDV,2023-03-29,165人,ゲーマーだけが住む島、どうなった？,NA,3位,luck,taka723さんのお宅がさ,61,82.23,みやまる/ターンブル/四回転サル子/ゆとられ/まきびし/やから(2)/コモリヤ/オチのないミレ(2)/男も育休/鈴本/オーバーニート(2)/うしろ/アルブラレリー/タイファイター/剣豪/トドのつまみ/みくすし/特効さん/にふだうぐも/お嬢様ですわぁ/ソラポテ/ぐすく(3)/机上で実演(2)/めがじ/金天街(3)/9時のクジラ(3)/しゅーきち/耳ぶた(2)/古い絵画/赤色のメイさん/仙河/みなぱら/所沢カウボーイ(2)/さけのなかのいくら/梨/柚苑/フクリク(2)/ちきちきた/手も繋いで/物数/ちこまる/ギギギーヌ/奈良シカマル/マルイは二進法で5/なまこP/投票ボーナス(3)
5213_7421_IDV,2023-03-29,165人,ゲーマーだけが住む島、どうなった？,NA,4位,なまこP,ニンテンドーダイレクトの日は祝日になる,56,78.29,みやまる/四回転サル子/コオロギ(2)/カタン(2)/テラコッタ(3)/二階から手続き/あかのすけ/ヨッすぃ〜/コモリヤ/オチのないミレ/鈴本/うしろ/やもりみゆき/石/剣豪/ハッスル運動会/炭酸ヵ乗/特効さん/にふだうぐも/腹痛の友達/チャールズ・チャール/お嬢様ですわぁ/jomajoma/ぐすく/まつきよ/鳥乙(2)/ながと/棘2/TwistNight/からすみうどん/りくがめ/xixi(2)/しゅーきち/luck/オールド/jinseitsurao/毒桃/ごじょう　さとらない/マービィ/ところ天のすけ/ベギラゴンちゃん/梨/やや不安/シャイシャイ(2)/カンガルーノート/ギギギーヌ/投票ボーナス(3)
5213_7421_IDV,2023-03-29,165人,ゲーマーだけが住む島、どうなった？,NA,5位,ししだ,お母さんが発電所を止めた,54,76.72,ターンブル/ろむ/二階から手続き(2)/まきびし/ミスティカティ(2)/剣豪/トドのつまみ(2)/ふさふさマカオ/ハッスル運動会/みくすし/モロダッシュ(2)/サメVS巨大タコス/お嬢様ですわぁ(2)/河川敷と高架橋、時雨(2)/ぐすく(2)/机上で実演(2)/まつきよ/めがじ/鳥乙/棘2(2)/TwistNight(2)/ダスチン・コフマン(2)/黒胡椒/ケレン味(2)/梅盾/竜の叫び/気球マイスター/ちきちきた/やや不安/幻(2)/物数(2)/ギギギーヌ(2)/音鳴ヨチ/つくり真顔(3)/投票ボーナス(3)
5213_7421_IDV,2023-03-29,165人,ゲーマーだけが住む島、どうなった？,NA,6位,マービィ,豊作だと「GG」って言う,51,74.35,さんかくしかく(2)/ゆとられ/二階から手続き/まきびし/LPPPPP/やから(2)/コモリヤ/男も育休(2)/ぐすく/モチ/TwistNight(2)/からすみうどん/xixi(3)/しゅーきち(2)/luck(2)/11人ニキ/古い絵画/オールド(2)/jinseitsurao/ごじょう　さとらない/けいたこ(2)/仙河/ところ天のすけ/梅盾(2)/竜の叫び(2)/ニューロン/ちきちきた/未来永劫ちゃんねる/IWA/かめおか/シング(2)/ギギギーヌ/音鳴ヨチ/なまこP/大喜利の母/投票ボーナス(3)
5213_7421_IDV,2023-03-29,165人,ゲーマーだけが住む島、どうなった？,NA,7位,竜の叫び,ラグい鹿に畑を荒らされた,46,70.41,四回転サル子/高見盛/コモリヤ(2)/男も育休/アルブラレリー/石(3)/なごみこはる/祟り君/チャールズ・チャール/ソラポテ/ぐすく(2)/机上で実演(2)/めがじ/鳥乙(2)/ながと/りくがめ/しゅーきち(2)/わんこそば/黒胡椒/ソトノトス(2)/マービィ/ところ天のすけ/梅盾/飾りハイボール(2)/ちきちきた/手も繋いで(2)/ししだ/IWA/ちこまる/奈良シカマル/音鳴ヨチ(2)/なまこP/投票ボーナス(3)
5213_7421_IDV,2023-03-29,165人,ゲーマーだけが住む島、どうなった？,NA,8位,祟り君,いつしか「任天島」と呼ばれ始めた,45,69.62,さんかくしかく/コオロギ/テラコッタ(2)/あかのすけ(2)/やから(2)/男も育休/コーラル(2)/ミスティカティ/剣豪/なごみこはる/伊勢島/トドのつまみ/炭酸ヵ乗/特効さん/ハンムラビ盲点/jomajoma/こんなところにエビチリ(3)/モチ/まつきよ/ペイ/しゅーきち/カッツウォ/鮒侍/さけのなかのいくら/ねこめんたい/コッパー/飾りハイボール/野菜って大事だよね/竜の叫び/杏露酒(2)/ちこまる/いれいあ/なまこP/BBG(2)/投票ボーナス(3)
5213_7421_IDV,2023-03-29,165人,ゲーマーだけが住む島、どうなった？,NA,9位,まきびし,島から本名が消えた,44,68.83,さんかくしかく/みやまる(2)/薬屋のコタロー/うしろ/コーラル(2)/ハッスル運動会/炭酸ヵ乗/特効さん/こんなところにエビチリ(3)/モチ/鳥乙/棘2/TwistNight/りくがめ/わんこそば/カッツウォ/ケレン味/毒桃/ごじょう　さとらない/よれん/けいたこ/みなぱら/ベギラゴンちゃん(2)/梨/冷凍ミラノ/気球マイスター/ニューロン/幻(2)/けん坊/奈良シカマル(2)/音鳴ヨチ/プルインザボ/BBG(2)/投票ボーナス(3)
5213_7421_IDV,2023-03-29,165人,ゲーマーだけが住む島、どうなった？,NA,9位,ポコ太郎,島の名前を後から変えられなくて後悔している,44,68.83,まきびし/コモリヤ(2)/オチのないミレ/男も育休(2)/神武天皇(2)/うしろ/ミスティカティ/タイファイター/トドのつまみ(2)/炭酸ヵ乗/モロダッシュ/特効さん/ソラポテ/ぐすく/まつきよ/9時のクジラ/からすみうどん/jinseitsurao(2)/黒胡椒/さんべ商会/ごじょう　さとらない/こもち/仙河/みなぱら/所沢カウボーイ/さけのなかのいくら/小テスト/ベギラゴンちゃん/竜の叫び(3)/物数/上村/ギギギーヌ/なまこP(2)/プルインザボ/BBG(2)
