お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
8445_8753_HTR,2023-03-31,105人,とある女子高生の一人称が俺の理由,NA,1位,しゅーきち,「俺」か「俺以外」かの二択を迫られた,45,86.88,ここはが/冷凍ミラノ/ダダダチョウ/コーラル/剣豪/そいそーす(3)/ミスティカティ/お嬢様ですわぁ/プルインザボ/ひきにく/埼の河原(3)/ビッグシャーク/ぐすく(2)/ながと/オールド/少しだけ賢い/女将/ソトノトス/河川敷と高架橋、時雨/納屋の鍵/けーこ/中サラ(2)/テラコッタ/鮒侍/珍百景のクロ(2)/各A/monmon26(3)/幻/和栗モンブランソフト山田/パンフ/梨/あかのすけ(2)/投票ボーナス(3)
8445_8753_HTR,2023-03-31,105人,とある女子高生の一人称が俺の理由,NA,2位,あぐら,生理を騙したい,35,75.02,頭脳まさき/鈍感/ダダダチョウ/ユズリハ(2)/そにぃ/ニューロン/そいそーす/耳ぶた(2)/雑兵(2)/ぐすく/紗和和和/メスカマキリ/ヒョロガリ非対称/おもしろ大喜利KING/河川敷と高架橋、時雨/納屋の鍵(2)/中サラ(2)/やすな/吉田武(3)/ねむみ/和栗モンブランソフト山田/パンフ(3)/れあ/投票ボーナス(3)
8445_8753_HTR,2023-03-31,105人,とある女子高生の一人称が俺の理由,NA,3位,よれん,この顔で「私」だとエロ過ぎる,33,72.65,頭脳まさき/冷凍ミラノ/棘2/あぐら/ユズリハ/そにぃ(2)/みなぱら/ひきにく/フイ/コモリヤ/メスカマキリ/おもしろ大喜利KING(2)/ソトノトス/脚/納屋の鍵/さくらんぼソフト/ねむみ/ミッツ乾電池/幻/砂彩(2)/パンフ/さいとむ/けいたこ(3)/はまちおまち/FREA/投票ボーナス(3)
8445_8753_HTR,2023-03-31,105人,とある女子高生の一人称が俺の理由,NA,4位,おもしろ大喜利KING,再翻訳したらそうなった,32,71.47,A味噌汁/冷凍ミラノ/棘2/あぐら/luck/サメVS巨大タコス(2)/となりのあいつ/ｍｍ/蛸パ/かごの中の鳥/プルインザボ/iodoform/紗和和和/竜の叫び(2)/蛍雪/けーこ/梅ヒドラ/センチメンタル後藤(3)/ねむみ/和栗モンブランソフト山田/砂彩(2)/梨/よれん/はまちおまち/投票ボーナス(3)
8445_8753_HTR,2023-03-31,105人,とある女子高生の一人称が俺の理由,NA,4位,ニューロン,ポイントが倍貯まる,32,71.47,シュヴァルツ/船端(3)/鈍感/のす/冷凍ミラノ/あぐら/luck/耳ぶた/あな番/埼の河原/iodoform/おもしろ大喜利KING/ソトノトス/納屋の鍵/けーこ/中サラ/梅ヒドラ(2)/テラコッタ(2)/鮒侍/しゅーきち/TwistNight/ねむみ/砂彩/梨/さいとむ/投票ボーナス(3)
8445_8753_HTR,2023-03-31,105人,とある女子高生の一人称が俺の理由,NA,6位,ダダダチョウ,父親と父親に育てられた,29,67.91,ここはが/luck/剣豪/ニューロン/音無/みなぱら(3)/かごの中の鳥/雑兵(2)/あな番(3)/少しだけ賢い/女将/納屋の鍵(3)/テラコッタ/よろ/砂彩(3)/はまちおまち/れあ/投票ボーナス(3)
8445_8753_HTR,2023-03-31,105人,とある女子高生の一人称が俺の理由,NA,6位,竜の叫び,花びらをちぎって「俺」に決まった,29,67.91,頭脳まさき(2)/がんばりま翔/0Shara(2)/ダダダチョウ/ミスティカティ/大喜利人工知能/フイ/iodoform/紗和和和/コモリヤ/モチ/納屋の鍵/けーこ/中サラ/梅ヒドラ(2)/monmon26(3)/TwistNight/幻/砂彩(2)/FREA/投票ボーナス(3)
8445_8753_HTR,2023-03-31,105人,とある女子高生の一人称が俺の理由,NA,8位,ここはが,福引で「俺」が当たった,28,66.72,シュヴァルツ/ダダダチョウ/あぐら/luck/ミスティカティ/みなぱら/お嬢様ですわぁ/かごの中の鳥/プルインザボ/母はSP/ひきにく/フイ/紗和和和/モチ/蛍雪/けーこ/テラコッタ(2)/高菜筆おろし大臣/しゅーきち/タクシードライバー/ねむみ/梨/よれん/さいとむ/投票ボーナス(3)
8445_8753_HTR,2023-03-31,105人,とある女子高生の一人称が俺の理由,NA,8位,埼の河原,ディベート中に何かが芽生えた,28,66.72,シュヴァルツ/あぐら/となりのあいつ(2)/ニューロン/ｍｍ/みなぱら/プルインザボ/大喜利人工知能/フイ/ビッグシャーク(3)/オールド/メスカマキリ/少しだけ賢い/中サラ/やすな/品川大膳(3)/さくらんぼソフト/木刀/タクシードライバー/ミッツ乾電池/投票ボーナス(3)
8445_8753_HTR,2023-03-31,105人,とある女子高生の一人称が俺の理由,NA,10位,A味噌汁,この関係を崩したくない,27,65.54,0Shara(3)/棘2/あぐら/となりのあいつ/お嬢様ですわぁ/iodoform/ヒカル/納屋の鍵(2)/中サラ/やすな/センチメンタル後藤/よろ/珍百景のクロ(3)/吉田武(2)/ミッツ乾電池(2)/幻/れあ/投票ボーナス(3)
8445_8753_HTR,2023-03-31,105人,とある女子高生の一人称が俺の理由,NA,10位,かごの中の鳥,私の場合エッチすぎる,27,65.54,ぽく/棘2/あぐら/サメVS巨大タコス/となりのあいつ(3)/そにぃ/音無(2)/そいそーす/ミスティカティ(2)/みなぱら/メスカマキリ/ヒカル/少しだけ賢い/モチ/納屋の鍵/タクシードライバー/和栗モンブランソフト山田/砂彩/けいたこ(2)/投票ボーナス(3)
8445_8753_HTR,2023-03-31,105人,とある女子高生の一人称が俺の理由,NA,10位,冷凍ミラノ,新海誠の性癖,27,65.54,A味噌汁(3)/がんばりま翔/0Shara/棘2/あぐら/となりのあいつ/そいそーす(2)/あな番/ながと/iodoform/ヒカル/中サラ(2)/センチメンタル後藤(2)/さくらんぼソフト/各A/けいたこ(3)/はまちおまち/投票ボーナス(3)
