お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,1位,棘2,尾木ママが尾木ママに帯を書いてた,47,81.75,灰色こたつ(3)/是非(2)/azurite/補助輪３/路肩/ロンモア/シャンプー(3)/籠城の月/堅あげポテト好き(2)/おかしい(2)/右肩重心/二階から手続き/ダンス2/ピアニカ清掃員/りろ/下衆なキャット/りす/嫁の実家/梨/さんかくとろっぴ/杜野/とりふぐ/やせたかなしい(2)/jomajoma(2)/バルチャイ/フクリク/シュヴァルツ/平凡亭パンチ(2)/耳ぶた/luck/pokeki/まつきよ/TwistNight(2)/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,2位,家雨,低すぎて取れない本がある,44,78.47,住まなくても都/なんこつ/ねむみ/子ザビくん(3)/寺井/是非/納屋の鍵(2)/馬to量子化/モチ/800/ペンチョ/ドゥラちゃん(2)/りす/とりふぐ/じゃん/日直/猫屋敷/紗和和和/トレトレ(3)/てっぺんざしお(2)/及川広大/たいら/jomajoma/バルチャイ/シュヴァルツ/雑兵/れあ/かに/うえじゅん/ポコ太郎/少しだけ賢い/watoson/ラジウス/ジョン/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,3位,ドゥラちゃん,走ってきた人に全部借りられた,39,73.0,ちくわうし/灰色こたつ(3)/なんこつ/ねむみ/是非/さいとむ/補助輪３/納屋の鍵/ロンモア(2)/各A/シャンプー/堅あげポテト好き/ネキ(2)/ペンチョ/二階から手続き/世界/嫁の実家/さんかくとろっぴ/半丙太(2)/とりふぐ/スクハムハーフ/あぐら/バルチャイ(2)/雑兵/木刀/れあ/赤黄色/ポコ太郎/ネオ/なか卯ー/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,4位,ヒカル,貸してもらえないおじさんが頑張ってる,37,70.82,ちくわうし/業務用虚無/灰色こたつ/なんこつ/子ザビくん(2)/たくめ/是非/azurite(2)/納屋の鍵/馬to量子化/堅あげポテト好き(2)/800/受験生/棘2/下衆なキャット/嫁の実家/半丙太/川崎弟/日直/猫屋敷/おもうさん/紗和和和/きみをゆるさない。/スクハムハーフ/家雨/あぐら/暴風よ吹け/雑兵/ほに/耳ぶた/なか卯ー/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,4位,丈希,浪人生が恐竜の本を探してる,37,70.82,住まなくても都/灰色こたつ(2)/ぽうず/なんこつ/タカノリ・タカノ/azurite(2)/さいとむ/納屋の鍵/水猫ラテ/馬to量子化/シャンプー(2)/堅あげポテト好き(2)/ドゥラちゃん(3)/下衆なキャット(2)/さんかくとろっぴ/紗和和和/やせたかなしい(2)/たいら/遠くを見ている/暴風よ吹け/雑兵/ひきにく/ほに/pokeki/なか卯ー/ジョン/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,6位,水猫ラテ,本を閉じる音が重なった,35,68.63,ちくわうし/野島久助/寺井/是非/補助輪３/ナルシマアンバイ/ロンモア/馬to量子化/packetman/籠城の月/モチ/ガトームソン/ネキ/ペンチョ/世界(2)/ｍｍ/じゃん/頭脳まさき(2)/モロカルチャー経済/田口さん🍙/アイワ/てっぺんざしお(2)/及川広大/遠くを見ている/ひきにく/お嬢様ですわぁ/れあ/うえじゅん/ふもー/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,7位,たくめ,山田勝己が怪談レストランで泣いてた,34,67.54,たくとる(2)/なんこつ/寺井/さいとむ/納屋の鍵/路肩/タクシードライバー/受験生/おだンゴ/総合料理研究家/ダンス2(3)/嫁の実家/アシダケテナガザル/高菜筆おろし大臣/vio/ｍｍ/川崎弟/ビッグシャーク/アイワ/jomajoma/バルチャイ/古い絵画/大喜利の母/テラコッタ(3)/pokeki/ジョン/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,7位,ロンモア,ヤギが我慢してる,34,67.54,野島久助/なんこつ/納屋の鍵(2)/ナルシマアンバイ/堅あげポテト好き(3)/モチ/800/ネキ/生身/棘2/ドゥラちゃん(2)/下衆なキャット/嫁の実家/さんかくとろっぴ/杜野/じゃん/及川広大/家雨/女将/お嬢様ですわぁ(2)/ほに/れあ/うえじゅん/ポコ太郎/ふもー/なか卯ー/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,9位,右肩重心,司書さんの一人称が司書さんだった,33,66.45,ちくわうし/業務用虚無/なんこつ/タカノリ・タカノ/ほくとまこと/goigois/よろ/馬to量子化/各A/母はSP/モチ/受験生/おだンゴ/生身/頭脳まさき(3)/やせたかなしい(2)/スクハムハーフ/シュヴァルツ/女将/いわな/雑兵/luck/かに/ポコ太郎/ふもー/なか卯ー/ラジウス/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,9位,日直,司書がサブタイトルまで読み上げた,33,66.45,ぽく/タカノリ・タカノ/さいとむ/補助輪３(2)/納屋の鍵/goigois(3)/クリシェ/800/受験生/生身(2)/棘2/高校生17/梨/アシダケテナガザル/ｍｍ/ノビッタ/猫屋敷/きみをゆるさない。/シュヴァルツ/お嬢様ですわぁ/れあ/赤黄色/大喜利の母(2)/高見盛/ラジウス/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,11位,テラコッタ,全員が同じタイミングで立った,32,65.35,ちくわうし/業務用虚無/是非/azurite/補助輪３/各A/クマ牧場/りくがめ/ネキ(2)/ダンス2/生身/なぐ/高校生17/りす/白滝BOX/田口さん🍙/家雨/jomajoma/女将/遠くを見ている/いわな/ミッツ乾電池/雑兵/おとはぎこうへい/ほに/かに/高見盛/えびちゃん🦐/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,11位,嫁の実家,イノシシが現れて荒らさずに帰った,32,65.35,住まなくても都/たくめ(2)/さいとむ/納屋の鍵(3)/路肩/シャンプー/800/ネキ/なぐ/下衆なキャット/杜野/vio(2)/とりふぐ/猫屋敷/おもうさん/紗和和和/jomajoma/あぐら/バルチャイ(3)/ミッツ乾電池/雑兵/ひきにく/ラジウス/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,11位,少しだけ賢い,手が100本同時に触れあった,32,65.35,子ザビくん/さいとむ/ナルシマアンバイ/goigois(2)/ロンモア/籠城の月/おかしい(3)/くま骸(3)/ペンチョ/世界(2)/ドゥラちゃん/半丙太/ノビッタ/てっぺんざしお(2)/スクハムハーフ/たいら/あぐら/バルチャイ/シュヴァルツ/いわな/お嬢様ですわぁ/耳ぶた/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,11位,覇道きてぃ,バーコードかざしたらペイペイって言った,32,65.35,業務用虚無(3)/こんぺいとう雑誌/各A(2)/籠城の月/白ジョーア/受験生/右肩重心/なぐ/しゅーきち/梨/vio(2)/頭脳まさき/ビッグシャーク/モロカルチャー経済/田口さん🍙/jomajoma/あぐら/いわな/おとはぎこうへい/古い絵画/うえじゅん/高見盛/まつきよ/少しだけ賢い/watoson(3)/ラジウス
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,11位,馬to量子化,無音でうどんすすってる奴がいた,32,65.35,ねむみ/納屋の鍵/白ジョーア(2)/クマ牧場/ネキ(2)/右肩重心/生身/世界/りろ/ドゥラちゃん/アシダケテナガザル/半丙太/吉田武(2)/紗和和和/スクハムハーフ/あぐら/フクリク/女将/ミッツ乾電池/暴風よ吹け/古い絵画/高見盛/えびちゃん🦐/TwistNight/少しだけ賢い/ジョン/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,16位,バルチャイ,強盗が現金を要求した,31,64.26,業務用虚無(2)/補助輪３/納屋の鍵/ナルシマアンバイ/ほくとまこと/ロンモア/packetman/クリシェ(2)/おだンゴ/総合料理研究家/二階から手続き/生身/りろ/りす/さんかくとろっぴ/高菜筆おろし大臣/vio/とりふぐ/紗和和和/アイワ/雑兵/おとはぎこうへい/お嬢様ですわぁ(2)/れあ/まつきよ/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,16位,平凡亭パンチ,美川憲一が閲覧室の地面からせり上がってきて「あらヤダ」と言ってそのまませり下がった,31,64.26,たくとる/業務用虚無(3)/ぽうず/タカノリ・タカノ/さいとむ/納屋の鍵(2)/路肩/ヒカル/ほくとまこと/泥のぷーまん/タクシードライバー/ネキ/二階から手続き/ピアニカ清掃員/アシダケテナガザル/杜野/吉田武(2)/猫屋敷/バルチャイ/フクリク/ひきにく/耳ぶた/ポコ太郎/えびちゃん🦐/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,18位,フラワーベース,司書さんが場を回しはじめた,30,63.17,住まなくても都/野島久助/ぽうず/ぽく/ナルシマアンバイ/ヒカル/馬to量子化/籠城の月/泥のぷーまん/右肩重心/しゅーきち(2)/高校生17/りす/梨/猫屋敷/モロカルチャー経済/てっぺんざしお(2)/きみをゆるさない。/シュヴァルツ/女将/未だ闘争中/耳ぶた/ふもー/少しだけ賢い/ラジウス/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,19位,スクハムハーフ,息切れしてる人いた,29,62.07,住まなくても都/補助輪３/ナルシマアンバイ/ロンモア(2)/シャンプー/堅あげポテト好き(2)/モチ/800/ドゥラちゃん(3)/梨/さんかくとろっぴ/スパルタ/アイワ/及川広大/家雨/水戸/遠くを見ている/ミッツ乾電池/ほに/れあ/赤黄色/TwistNight/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,19位,タクシードライバー,英和辞典を開いたらsexの欄にアンダーラインがひかれてた,29,62.07,ぽうず(2)/ぽく(2)/goigois/シャンプー/クマ牧場/母はSP/ガトームソン(3)/総合料理研究家/高校生17/高菜筆おろし大臣/ｍｍ/ビッグシャーク/おもうさん(2)/やせたかなしい/木刀(2)/未だ闘争中(2)/タロノスケ/まつきよ/ジョン/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,21位,なぐ,全部の本にウォーリーがいる,28,60.98,ちくわうし/納屋の鍵/goigois(2)/ロンモア/馬to量子化/母はSP/800/くま骸/右肩重心/二階から手続き(2)/りろ/りす/さんかくとろっぴ/杜野/頭脳まさき/jomajoma/水戸(2)/フクリク/お嬢様ですわぁ(2)/テラコッタ/ジョン/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,21位,トレトレ,本に笑い声を聞かせたい,28,60.98,野島久助/ねむみ/子ザビくん/azurite/ナルシマアンバイ/よろ(3)/馬to量子化/packetman/りくがめ/ペンチョ/りろ/ドゥラちゃん/嫁の実家/梨/フラワーベース(2)/デマゴイゴイスー/ノビッタ/日直/おもうさん/いわな/お嬢様ですわぁ/大喜利の母/投票ボーナス(3)
1142_2666_QUT,2023-04-02,134人,図書館で爆笑が起こっている理由,NA,21位,生身,これまでの静寂が全て「間」だった,28,60.98,丈希/業務用虚無(3)/さいとむ/路肩/よろ/りくがめ(2)/モチ/ピアニカ清掃員/嫁の実家/フラワーベース/じゃん/スクハムハーフ(2)/水戸/古い絵画/luck/かに(3)/ポコ太郎(2)/まつきよ/投票ボーナス(3)
