お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0119_2364_KPK,2023-04-10,114人,三日三晩かけて書き上げたレポートがPCに保存されていなくて一言,NA,1位,800,らしい人生になって来たな,36,76.92,クルペッコの手羽元/ひじかた/さんべ商会(2)/ゆとられ/明鏡シスコン/白ジョーア/ノビッタ/家雨/まつきよ/平下(2)/タイファイター/双葉柿浦六番線/ポコ太郎/ping3500/あらあら帝国/珍百景のクロ/気球マイスター/大残渣/充/田口さん🍙/ふわっと(3)/ヨッすぃ〜/ミソンジーエ/Shineman/秋月杏子/ニナモリ(2)/幻/あぶらトリガミ/投票ボーナス(3)
0119_2364_KPK,2023-04-10,114人,三日三晩かけて書き上げたレポートがPCに保存されていなくて一言,NA,1位,大残渣,じゃあ悪口も書いときゃよかった,36,76.92,ととまる/骨密度/下衆なキャット/ひじかた/rayleigh(2)/懐かしむ会/明鏡シスコン/顔面激戦区(2)/炭酸ヵ乗/家雨/ほろほろ/錯乱/双葉柿浦六番線/ポコ太郎/珍百景のクロ/ふわっと/小テスト/800/ザクロニシキ/ニナモリ(2)/ジェリ/みなぱら/ニラ玉/幻/物数/きゅーきゅー(2)/こども/めめめダイス(2)/投票ボーナス(3)
0119_2364_KPK,2023-04-10,114人,三日三晩かけて書き上げたレポートがPCに保存されていなくて一言,NA,3位,ノビッタ,だいたい游ゴシックってなんだよ,34,74.46,骨密度/さんべ商会(2)/明鏡シスコン(2)/双葉柿浦六番線/縁/ポコ太郎(2)/珍百景のクロ/大残渣/かるかん圭/ふわっと/けん坊/みやまる/ミソンジーエ(2)/Shineman(3)/からすみうどん(2)/梅盾/0Shara(2)/物数(2)/ここからがインターネット(2)/めめめダイス(2)/投票ボーナス(3)
0119_2364_KPK,2023-04-10,114人,三日三晩かけて書き上げたレポートがPCに保存されていなくて一言,NA,4位,寺井,パソコンが思い出す番だぞ,33,73.24,ととまる/坂の上雑木林/ひじかた/ボサライミ/さんべ商会/rayleigh/A筋/炙りタゲリ/ねこの耳の裏/まつきよ/ほろほろ/錯乱(2)/ping3500/こねぎ/大残渣/蛙科/充/りろ/籠城の月/他のＰ/バトルアックス(2)/ジェリ/かぶな/むくち/恥さらしのスパゲッティ/きゅーきゅー/こども/資本ネコ/投票ボーナス(3)
0119_2364_KPK,2023-04-10,114人,三日三晩かけて書き上げたレポートがPCに保存されていなくて一言,NA,5位,ダダダチョウ,とりあえずキーボードの裏には無いな,30,69.56,ととまる(2)/ひじかた/さんべ商会(2)/A筋/平下/ほろほろ/双葉柿浦六番線/ちきちきた/ふわっと(3)/小テスト/800/ザクロニシキ/ミソンジーエ/頭脳まさき(2)/未来永劫ちゃんねる/秋月杏子/ヒカル/奇妙な男(2)/たこかいな/東京縦断12km/めめめダイス/投票ボーナス(3)
0119_2364_KPK,2023-04-10,114人,三日三晩かけて書き上げたレポートがPCに保存されていなくて一言,NA,5位,家雨,あのエモい段落もか,30,69.56,ととまる(2)/クルペッコの手羽元/坂の上雑木林/rayleigh/A筋/寺井/顔面激戦区/ノビッタ/ほろほろ/よれよれ(2)/充(2)/小テスト/籠城の月(2)/未来永劫ちゃんねる/秋月杏子/0Shara(2)/かぶな/奇妙な男(2)/たこかいな(2)/東京縦断12km/投票ボーナス(3)
0119_2364_KPK,2023-04-10,114人,三日三晩かけて書き上げたレポートがPCに保存されていなくて一言,NA,7位,恥さらしのスパゲッティ,次の達成感エグいな,29,68.33,ボサライミ/rayleigh/ノビッタ/タイファイター/ほろほろ/錯乱/ちきちきた/ポコ太郎/愛上尾/ちんほ。(3)/充/りろ/田口さん🍙/けん坊/ヨッすぃ〜/ジェリ/生き馬/たこかいな/東京縦断12km/きゅーきゅー(2)/ここからがインターネット/平凡亭パンチ(2)/投票ボーナス(3)
0119_2364_KPK,2023-04-10,114人,三日三晩かけて書き上げたレポートがPCに保存されていなくて一言,NA,8位,たこかいな,テーマを「儚さ」に変えるか,28,67.11,ととまる/ボサライミ/炙りタゲリ(3)/郭チャン(3)/ゆとられ/寺井/炭酸ヵ乗/タイファイター/ちきちきた/コーラル/縁(2)/こねぎ/充/クリシェ/他のＰ/マルイは二進法で5/バトルアックス(2)/くま骸/むくち/投票ボーナス(3)
0119_2364_KPK,2023-04-10,114人,三日三晩かけて書き上げたレポートがPCに保存されていなくて一言,NA,8位,りろ,これで勝ったつもりか,28,67.11,骨密度/坂の上雑木林/さんべ商会(2)/錯乱/双葉柿浦六番線/ちきちきた/気球マイスター/充/田口さん🍙/籠城の月/ミソンジーエ/頭脳まさき/Shineman(2)/秋月杏子/梅盾(2)/ヒカル/ジェリ/くま骸/みなぱら/かぶな/東京縦断12km/きゅーきゅー/投票ボーナス(3)
0119_2364_KPK,2023-04-10,114人,三日三晩かけて書き上げたレポートがPCに保存されていなくて一言,NA,8位,小テスト,セミなら人生半分損してたな,28,67.11,绣金/さんべ商会(3)/錯乱(2)/縁/愛上尾(3)/よれよれ/かるかん圭/ふわっと(2)/けん坊/たつ(2)/ミソンジーエ/からすみうどん/他のＰ/ニナモリ/くま骸/大王にのまえ/幻/東京縦断12km/投票ボーナス(3)
0119_2364_KPK,2023-04-10,114人,三日三晩かけて書き上げたレポートがPCに保存されていなくて一言,NA,8位,珍百景のクロ,動機できたな,28,67.11,rayleigh/A筋/懐かしむ会/寺井/ほろほろ/ping3500/気球マイスター/蛙科/よれよれ/ちんほ。(3)/かるかん圭/暴風よ吹け/田口さん🍙/Shineman/未来永劫ちゃんねる/ペンチョ/生き馬/むくち/たこかいな(2)/物数/きゅーきゅー(2)/投票ボーナス(3)
