お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1654_5309_RBS,2023-04-13,105人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1654_5309_RBS.jpg,1位,セトピア,出られれば最高の部屋なんだけど,35,77.36,明転や/おおたぬき/棒/副菜/おだンゴ/家雨/ウラニワ(2)/半丙太/あぐら/やすな/春風亭たわし(2)/ザクロニシキ/玄の字。/ゆうとってゆうとるやん/白黒まみれ/奇妙な男/Houston/さいころちゃらみん/金天街/すーず/ぐすく/すけ/長老_M/きみをゆるさない。/女モノレール/母の写真/懐かしむ会/杜野/のとさわ/やまだ/投票ボーナス(3)
1654_5309_RBS,2023-04-13,105人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1654_5309_RBS.jpg,2位,カナリカリガ・タカ,私が作ったクッキーだけ残ってたな,32,73.55,明転や/タイファイター/川北にあいたい/棒/クルペッコの手羽元/ちくわうし/アテナイで飲酒(3)/確率論のパラテママ/アイワ/ひじかた/Houston/寿司ブルドーザー/ととまる/オーバーニート(2)/ジェンツーペンギン(2)/春屋○イ/めがじ/ちきちきた/紗和和和/両面/たこ焼きボンバー/母の写真/懐かしむ会/杜野/かくれどり/投票ボーナス(3)
1654_5309_RBS,2023-04-13,105人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1654_5309_RBS.jpg,3位,のす,置き配って誰が取るのかしら,30,71.01,川北にあいたい/家雨/ウラニワ(2)/セトピア/半丙太(2)/open/平凡亭パンチ/ゆうとってゆうとるやん/確率論のパラテママ/白黒まみれ/アイワ/Y-Not(2)/すーず/ジェンツーペンギン/薄力粉/すけ/紗和和和/カタン/両面(2)/きみをゆるさない。/女モノレール/たこ焼きボンバー/かくれどり/投票ボーナス(3)
1654_5309_RBS,2023-04-13,105人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1654_5309_RBS.jpg,4位,副菜,鳴っちゃダメな音したわ,29,69.74,明転や/うしろ/おおたぬき/棒/家雨(2)/平凡亭パンチ/机上で実演/白黒まみれ/Houston/古い絵画/さいころちゃらみん/オーバーニート(2)/薄力粉/HS三遊間/嫁の実家/すけ(2)/赤い髪/紗和和和/女モノレール/懐かしむ会/杜野/かくれどり/おきよ/投票ボーナス(3)
1654_5309_RBS,2023-04-13,105人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1654_5309_RBS.jpg,5位,すーず,遅刻確定でもちゃんとやる,28,68.47,明転や/トリニダード木箱/おだンゴ/セトピア(2)/半丙太/open/春風亭たわし(3)/確率論のパラテママ/ひきにく/Y-Not(2)/金天街/ジェンツーペンギン/生身/嫁の実家/母の写真/懐かしむ会/杜野/ぴょん/おきよ/業務用虚無(2)/投票ボーナス(3)
1654_5309_RBS,2023-04-13,105人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1654_5309_RBS.jpg,6位,ぐすく,次はどの生活感を消そうかな,27,67.2,明転や/うしろ/タイファイター/副菜/ナンの一部/クルペッコの手羽元/机上で実演/白黒まみれ/アイワ/さいころちゃらみん/砂彩(2)/寿司ブルドーザー/ととまる/ひきにく/Y-Not/嫁の実家/両面(2)/母の写真/杜野/かくれどり/業務用虚無(2)/投票ボーナス(3)
1654_5309_RBS,2023-04-13,105人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1654_5309_RBS.jpg,6位,玄の字。,水虫さんもおはよう,27,67.2,Figaro/トリニダード木箱/カナリカリガ・タカ/ナンの一部/ちくわうし/かごの中の鳥/ウラニワ/あぐら/よれよれ(2)/ザクロニシキ(2)/机上で実演(2)/アイワ/Y-Not(2)/すーず/オーバーニート/ピチピチマッチョまちゅり/母の写真/のとさわ/ヨッすぃ〜/業務用虚無/投票ボーナス(3)
1654_5309_RBS,2023-04-13,105人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1654_5309_RBS.jpg,8位,やすな,身代金は明日でいっか,26,65.93,明転や/スリッパ/タイファイター/副菜/おだンゴ/open/敵刺/平凡亭パンチ/玄の字。/机上で実演/アイワ/奇妙な男/Y-Not/金天街/たくめ/ぐすく/生身/うえじゅん/女モノレール/懐かしむ会/ほしこ/ぴょん/おきよ/投票ボーナス(3)
1654_5309_RBS,2023-04-13,105人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1654_5309_RBS.jpg,8位,アナゴさん,その作戦、詳しく聞かせて,26,65.93,Figaro/おおたぬき(2)/副菜/おだンゴ/やすな/春風亭たわし/大残渣/玄の字。/ゆうとってゆうとるやん/確率論のパラテママ/ひじかた/砂彩/Y-Not/生身/嫁の実家/紗和和和/初ギプス/両面(2)/女モノレール/たこ焼きボンバー/かくれどり/投票ボーナス(3)
1654_5309_RBS,2023-04-13,105人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1654_5309_RBS.jpg,8位,ラスター,地球最後の日ってやることないね,26,65.93,川北にあいたい/カナリカリガ・タカ/家雨/クルペッコの手羽元/ちくわうし/半丙太/のす/やすな/白黒まみれ/奇妙な男/ひじかた/寿司ブルドーザー/すーず/きれいな市役所/ちきちきた/初ギプス/懐かしむ会/やまだ/ぴょん/ヨッすぃ〜/業務用虚無(2)/育毛/投票ボーナス(3)
