お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,1位,やる,ヒントなら出せます,47,87.7,大喜利/TooRIkaI(3)/ふもー/屋内用雨傘/same/ずずエさん/こんぺいとう雑誌/こども/タクラマカン砂漠(2)/薄力粉/奇妙な男(2)/バルチャイ/のす/バレッサ/好色一代ケバブ男/あかのすけ/がんばりま翔/ところ天のすけ/イライラする周波数/ナルシマアンバイ/ふわっと/半ちく/コオロギ/おだンゴ/熱々のマホカンタ/みーくん/和栗モンブランソフト山田/ザクロニシキ/わんこそば/ゆず茶/生身/deepnavy/ミスティカティ/春風亭たわし(2)/宗教鍋/きゅーきゅー(2)/野島久助/ジェンツーペンギン/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,2位,大喜利,俺、やっぱ政治が好きだわ,44,84.28,野菜って大事だよね/ふもー/あおごおり(2)/砂糖/same/ねこめんたい/水のつくだに/十三指腸/赤黄色/タクラマカン砂漠(2)/ウザいアイコン/MODY/奇妙な男/バルチャイ(2)/机上で実演(2)/からすみうどん/のれん/しゅーきち/よろ/ハルマレ/煮込みVUITTON(2)/新大/副菜/ザクロニシキ/東京縦断12km/ゆず茶/トレトレ(2)/生身/スミ/やや不安/deepnavy/ミスティカティ/宗教鍋/でっかいパフェ(2)/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,3位,低下価格,今からが記憶でございます,34,72.91,恥さらしのスパゲッティ/same/ペイ(2)/ミズイチ/rayleigh/杜野/十三指腸/業務用虚無(3)/ぜ。/MODY/好色一代ケバブ男/机上で実演/がんばりま翔/からすみうどん/BBG/ふわっと/半ちく(2)/ハルマレ/F難度フェルナンド(2)/おだンゴ/下衆なキャット/カビブギウギ/りす/生身/やや不安(2)/固定残業代/春風亭たわし/ジェンツーペンギン
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,4位,BBG,今までの私ならね,33,71.77,えのきときのこ/ペイ/こども/杜野/800/十三指腸/業務用虚無(3)/ウザいアイコン/のす/しょしょ/しゅーきち/半ちく/F難度フェルナンド(3)/コオロギ(2)/おだンゴ/熱々のマホカンタ/春屋○イ/和栗モンブランソフト山田/ゆず茶/りす/やる/固定残業代/ちくわうし/灰色こたつ/野島久助/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,5位,ジェンツーペンギン,これに関しては自信があります,31,69.49,砂糖/same/ねこめんたい/ふともも/rayleigh/杜野/金天街/ノビッタ/業務用虚無/ウザいアイコン/ぜ。/奇妙な男/がんばりま翔/しょしょ/のれん/ナルシマアンバイ/おだンゴ/和栗モンブランソフト山田/カビブギウギ/東京縦断12km(2)/あああ/やや不安/deepnavy/やる/ちくわうし/資本ネコ/きゅーきゅー/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,6位,ちくわうし,ございません冷めやらぬ中ですが,30,68.35,恥さらしのスパゲッティ/ふもー(3)/ねこめんたい/赤黄色/ノビッタ/奇妙な男(2)/のす/新田.jpg/がんばりま翔/よろ/コオロギ(2)/下衆なキャット/春屋○イ/みーくん/ザクロニシキ/カビブギウギ/生身/やや不安/やる/コッパー/野島久助/ジェンツーペンギン/収蔵/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,7位,コッパー,追憶にありました,29,67.22,えのきときのこ/ふもー/屋内用雨傘/ミズイチ/水のつくだに/金天街/業務用虚無(2)/WILL/ウザいアイコン/好色一代ケバブ男/机上で実演/BBG/しゅーきち/半ちく(2)/おだンゴ/みーくん(2)/副キャプテンアメリカ/トレトレ/ミスティカティ/やる/春風亭たわし(2)/スパルタ/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,7位,熱々のマホカンタ,みなさんは奇跡を信じますか？,29,67.22,砂糖/屋内用雨傘/ふともも/rayleigh/十三指腸/薄力粉/バルチャイ/新田.jpg/好色一代ケバブ男/がんばりま翔/からすみうどん/のれん/しゅーきち/煮込みVUITTON/おだンゴ/生身/あああ/ミスティカティ/ちくわうし/春風亭たわし(2)/きゅーきゅー(2)/ろむ07(2)/収蔵/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,9位,がんばりま翔,"その上でもう一つ信じていただきたいのですが
",27,64.94,屋内用雨傘/ペイ/ミズイチ/杜野/金天街/ノビッタ/業務用虚無(2)/WILL/奇妙な男/バレッサ/ところ天のすけ/よろ/おだンゴ/みーくん/副菜/ゆず茶/トレトレ/ミスティカティ/春風亭たわし/宗教鍋/資本ネコ/ろむ07(2)/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,10位,ハルマレ,でも「やってない」で大丈夫です,26,63.8,大喜利/恥さらしのスパゲッティ/えのきときのこ/屋内用雨傘/ペイ/ミズイチ/ノビッタ(2)/業務用虚無/ぜ。/MODY/薄力粉/からしツナ(2)/イライラする周波数/よろ/煮込みVUITTON/春屋○イ/ゆず茶/ちくわうし/春風亭たわし/きゅーきゅー(2)/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,10位,奇妙な男,うぉっ　あの夏だ,26,63.8,ふもー/あおごおり/ずずエさん/こども/十三指腸/赤黄色/タクラマカン砂漠/業務用虚無/ぜ。/新田.jpg/好色一代ケバブ男/しょしょ/のれん/ハルマレ(2)/みーくん(2)/カビブギウギ/やや不安(2)/ちくわうし/灰色こたつ/収蔵/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,10位,（宇宙）,恋だったのかもしれません,26,63.8,大喜利/あおごおり/rayleigh/金天街/ぜ。/奇妙な男/バルチャイ/のす/新田.jpg/からすみうどん/ハルマレ(3)/コオロギ(2)/春屋○イ/生身/あああ/deepnavy/ミスティカティ/春風亭たわし/スパルタ/コッパー/きゅーきゅー/灰色こたつ/でっかいパフェ
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,13位,ふともも,思い出は確かにございました,25,62.67,こども/水のつくだに(2)/金天街/800/ウザいアイコン/奇妙な男/がんばりま翔/しょしょ/のれん/煮込みVUITTON/コオロギ(2)/ザクロニシキ/fukuinneet/あああ/ちくわうし/きゅーきゅー/ろむ07/収蔵(3)/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,13位,金天街,"あれはよく冷える夜のことでした
",25,62.67,恥さらしのスパゲッティ/あおごおり/砂糖/赤黄色/タクラマカン砂漠(2)/バレッサ/がんばりま翔/しょしょ/のれん/BBG/ハルマレ/F難度フェルナンド/春屋○イ/和栗モンブランソフト山田/りす/deepnavy/ミスティカティ/未来永劫ちゃんねる/きゅーきゅー/野島久助/ジェンツーペンギン/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,15位,コオロギ,そこにございましたか,24,61.53,ふもー/あおごおり/屋内用雨傘/こんぺいとう雑誌/ペイ/こども/ふともも(2)/杜野/800/むかえ(3)/好色一代ケバブ男/カモ鍋/ハルマレ/おだンゴ/生身/未来永劫ちゃんねる/きゅーきゅー/野島久助/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,16位,閾値,私は国のガン,23,60.39,大喜利/TooRIkaI(3)/砂糖/こんぺいとう雑誌/こども/赤黄色/ぜ。/薄力粉/奇妙な男/机上で実演/がんばりま翔/ふわっと/熱々のマホカンタ/春屋○イ/東京縦断12km(2)/宗教鍋/例えば/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,17位,のす,思い出にありました,22,59.25,屋内用雨傘/绣金/十三指腸/ノビッタ/業務用虚無(2)/薄力粉/のれん/カモ鍋/fukuinneet(2)/あああ/やる/コッパー/きゅーきゅー(2)/野島久助/でっかいパフェ(2)/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,17位,十三指腸,こういうの無くしたくて政治家になったのにな,22,59.25,ボサノバ(3)/野菜って大事だよね/やじうさん/rayleigh(2)/赤黄色/ノビッタ/奇妙な男/のす/イライラする周波数/副菜/やや不安/ミスティカティ/宗教鍋/スパルタ/野島久助/収蔵/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,17位,煮込みVUITTON,そうだ、バッククロージャーだ,22,59.25,大喜利/ふもー/same/ねこめんたい/やじうさん/ミズイチ/ふともも/绣金/業務用虚無/MODY/むかえ/あかのすけ(2)/机上で実演/がんばりま翔/ところ天のすけ/BBG/和栗モンブランソフト山田/コッパー/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,20位,ふもー,失礼、今この瞬間から新しい私です,21,58.11,こども/ふともも/800/タクラマカン砂漠/業務用虚無(3)/奇妙な男/のす/しゅーきち/副菜/ゆず茶/スミ/ミスティカティ/例えば/きゅーきゅー/でっかいパフェ(2)/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,20位,和栗モンブランソフト山田,あ、今回は何も悪くないんだったわ,21,58.11,大喜利/えのきときのこ/砂糖/屋内用雨傘/杜野/業務用虚無(2)/WILL/MODY/のれん/イライラする周波数/よろ(3)/副菜/固定残業代/でっかいパフェ/収蔵/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,22位,800,こんな脳を信用するんですか,20,56.98,屋内用雨傘/ずずエさん/ねこめんたい/ミズイチ/rayleigh/業務用虚無/ウザいアイコン/薄力粉/新田.jpg/机上で実演/しょしょ/あああ/やや不安(2)/春風亭たわし/コッパー/灰色こたつ/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,23位,えのきときのこ,まずは泣かせてください,19,55.84,ずずエさん/ぜ。/奇妙な男/好色一代ケバブ男/がんばりま翔/イライラする周波数(2)/春屋○イ/ザクロニシキ/fukuinneet(3)/ミスティカティ/やる/宗教鍋/ろむ07/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,23位,やじうさん,罪悪感はございます。,19,55.84,ボサノバ/ずずエさん/ペイ(2)/800/WILL/のす/イライラする周波数/ふわっと/半ちく/F難度フェルナンド/もすげ/未来永劫ちゃんねる/やる/春風亭たわし/きゅーきゅー/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,23位,わんこそば,言うてますけど…,19,55.84,TooRIkaI(3)/こども/ノビッタ/バルチャイ(2)/新田.jpg/机上で実演/半ちく/ゆず茶/やる/春風亭たわし(3)/ジェンツーペンギン/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,26位,おだンゴ,回想を差し控えます,18,54.7,ボサノバ/閾値/野菜って大事だよね/ふもー/BBG/しゅーきち/ふわっと/F難度フェルナンド/りす/あああ/ミスティカティ/資本ネコ/スパルタ/きゅーきゅー/ジェンツーペンギン/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,26位,こども,あ、あでも言いたくないかも,18,54.7,あおごおり/ずずエさん/绣金/水のつくだに/タクラマカン砂漠/ノビッタ/バルチャイ/バレッサ/ナルシマアンバイ/副キャプテンアメリカ/スミ/ミスティカティ/春風亭たわし(2)/きゅーきゅー/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,26位,半ちく,嘘ってついてもいいですか,18,54.7,恥さらしのスパゲッティ/800/WILL/むかえ/バレッサ/机上で実演/しょしょ/下衆なキャット/春屋○イ/東京縦断12km(2)/わんこそば/deepnavy/ミスティカティ/ろむ07/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,26位,机上で実演,俺ごと槍で貫け,18,54.7,閾値/こんぺいとう雑誌/ふともも/タクラマカン砂漠/ぜ。/バルチャイ/のす/新田.jpg/しゅーきち/熱々のマホカンタ/春屋○イ/みーくん/もすげ/ゆず茶/灰色こたつ/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,26位,绣金,整いました,18,54.7,閾値/ふもー/やじうさん/業務用虚無/MODY/ところ天のすけ/ナルシマアンバイ/BBG/下衆なキャット/新大/熱々のマホカンタ/もすげ/春風亭たわし/宗教鍋/コッパー/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,31位,よろ,「でした。」,17,53.56,恥さらしのスパゲッティ/same/こども/ふともも/十三指腸/業務用虚無(2)/カモ鍋/ふわっと/F難度フェルナンド/カビブギウギ/生身/スパルタ/コッパー/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,31位,春屋○イ,とりあえず花とか見てみますか,17,53.56,ボサノバ(3)/えのきときのこ/こんぺいとう雑誌/ペイ/rayleigh/のす/新田.jpg/おだンゴ/ザクロニシキ/副キャプテンアメリカ/fukuinneet/deepnavy/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,31位,灰色こたつ,ちょっと見えたかも,17,53.56,ずずエさん/やじうさん/金天街/800/ウザいアイコン/薄力粉/奇妙な男/のす/好色一代ケバブ男/新大/トレトレ/春風亭たわし/宗教鍋/きゅーきゅー/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,34位,WILL,やったんですけど、家に忘れてきました,16,52.42,大喜利/same/ミズイチ/バルチャイ/しゅーきち/半ちく(2)/ゆず茶/副キャプテンアメリカ/トレトレ/fukuinneet/例えば/きゅーきゅー/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,34位,きゅーきゅー,ていうか言いたくないかも,16,52.42,こんぺいとう雑誌/800/赤黄色/WILL/奇妙な男/のす/机上で実演/煮込みVUITTON/新大/fukuinneet/あああ/deepnavy/ジェンツーペンギン/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,34位,りす,罰ゲームの出馬だったな,16,52.42,大喜利/TooRIkaI(3)/えのきときのこ/野菜って大事だよね/あおごおり/赤黄色/薄力粉/ふわっと/みーくん(2)/もすげ/投票ボーナス(3)
2772_0160_LFK,2023-04-14,104人,「記憶にございません」と言った直後に記憶を取り戻した政治家が一言,NA,34位,恥さらしのスパゲッティ,記念の増税をします,16,52.42,TooRIkaI(3)/野菜って大事だよね/same/あかのすけ/半ちく/熱々のマホカンタ/ザクロニシキ/りす/deepnavy/ミスティカティ/コッパー/投票ボーナス(3)
