お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1307_6288_NZY,2023-04-18,123人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1307_6288_NZY.jpeg,1位,学歴不問,参った、俺はロボットでいい,53,90.45,及川広大/ちくわうし(2)/うぇーい(2)/ぐすく(2)/猫屋敷/熱々のマホカンタ/のとさわ(3)/寿司ブルドーザー/フィジカル非力/こんぺいとう雑誌(2)/明転や/rayleigh(2)/はひふーへ・ほーほほ/顔面激戦区(2)/いわな/クリシェ(2)/水猫ラテ/ゆず茶/新田.jpg(2)/柚苑/たこ焼きボンバー/和栗モンブランソフト山田/スピ力/ライトオンキュー(3)/紗和和和/懐かしむ会(2)/ふもー(2)/baseball /hp/ゆらう(3)/玄の字。/レッスン(2)/あああ/投票ボーナス(3)
1307_6288_NZY,2023-04-18,123人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1307_6288_NZY.jpeg,2位,手すり野郎,とうとう俺も「はい」を押せる年になったのか,38,74.61,れれれのれき/暴風よ吹け/ぴーにじょう/Houston/モチ/ベリー/浪人/あああ3/きれいな市役所/二階から手続き/猫屋敷/リック/明転や/ふくらぎ三太郎/大喜利の母(2)/いわな/カリエス/オーバーニート(2)/柚苑/牛頭馬頭/関戸SA/ななし/よれよれ(2)/湯沸かしポット/ふもー/hp/ゆらう(2)/玄の字。/jomajoma/十三指腸/あああ/投票ボーナス(3)
1307_6288_NZY,2023-04-18,123人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1307_6288_NZY.jpeg,3位,きゅーきゅー,今日のログイン最高だったな,37,73.55,ミスティカティ/れれれのれき/800/ぴーにじょう/Houston/ベリー(2)/ちくわうし/蟹電話/のっぺ/きれいな市役所/うぇーい/T@/日直/ぐすく/熱々のマホカンタ/手すり野郎/リック/フィジカル非力/明転や/ミニベロ/rayleigh/へサリム/煮込みVUITTON/学歴不問/オーバーニート/新田.jpg/たこ焼きボンバー/スピ力/懐かしむ会/薫/月の瞼/ふもー/十三指腸/投票ボーナス(3)
1307_6288_NZY,2023-04-18,123人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1307_6288_NZY.jpeg,4位,例えば,電源入れたから一回休むか,36,72.49,暴風よ吹け/新Goo(2)/初対面(2)/グリングリン死因(2)/のっぺ/紺色/川北にあいたい/よろ/金天街/二階から手続き/T@/日直/寿司ブルドーザー/明転や/ミニベロ/はひふーへ・ほーほほ/顔面激戦区/白黒まみれ(2)/いわな/みあっこ/たこ焼きボンバー(2)/牛頭馬頭/紗和和和(2)/ななし/薫/玄の字。/副菜/投票ボーナス(3)
1307_6288_NZY,2023-04-18,123人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1307_6288_NZY.jpeg,5位,伊坂,道徳さえなくなればなぁ,35,71.44,れれれのれき(2)/及川広大/800/モチ/ちくわうし/初対面(2)/馬to量子化/のっぺ/くすも/金天街/ぐすく/猫屋敷/鳥取トリトン/のとさわ/明転や/ふくらぎ三太郎(2)/たこまけ/煮込みVUITTON/酢人/はさまり/はひふーへ・ほーほほ/いわな/学歴不問(2)/ゆず茶/新田.jpg/紗和和和/よれよれ/ゆらう/投票ボーナス(3)
1307_6288_NZY,2023-04-18,123人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1307_6288_NZY.jpeg,5位,和栗モンブランソフト山田,パスコード2桁だとは思わなかったな,35,71.44,クルペッコの手羽元(2)/及川広大/800/りす/島原てのべ/きゅーきゅー/Houston/よろ/あああ3/伊坂/きれいな市役所/グレープ(2)/二階から手続き/ぐすく/寿司ブルドーザー(2)/rayleigh/煮込みVUITTON/顔面激戦区/しん爺(2)/みあっこ/ライトオンキュー/ななし/薫/RIKI/ゆらう/玄の字。/副菜/あああ/投票ボーナス(3)
1307_6288_NZY,2023-04-18,123人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1307_6288_NZY.jpeg,7位,ちくわうし,知恵袋では犯罪だって言われてるな,33,69.33,ミスティカティ/ぴーにじょう(2)/Houston/ベリー/よろ/くすも/伊坂/きれいな市役所/洋介山/二階から手続き/日直/ぐすく/手すり野郎(2)/リック/明転や/えーす(2)/へサリム/オモチョレ/煮込みVUITTON/ナルシマアンバイ/クリシェ/夏川/たこ焼きボンバー(2)/玄の字。/副菜/あああ/投票ボーナス(3)
1307_6288_NZY,2023-04-18,123人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1307_6288_NZY.jpeg,7位,ライトオンキュー,ひと通り低評価つけ終えた〜,33,69.33,ミスティカティ/及川広大/Houston/ちくわうし/馬to量子化/あああ3/洋介山/グレープ/蛍雪/二階から手続き/手すり野郎/からすみうどん/えーす/fukuinneet/顔面激戦区/しん爺/学歴不問/ゑゆ子/ぴーたん(3)/関戸SA/ななし/よれよれ(2)/湯沸かしポット/ふもー(2)/hp/副菜/投票ボーナス(3)
1307_6288_NZY,2023-04-18,123人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1307_6288_NZY.jpeg,7位,明転や,俺のアンチスレ盛り上がってるな,33,69.33,レイルレイル/クルペッコの手羽元/ミスティカティ/及川広大/Houston/あああ3/伊坂/うぇーい/金天街/二階から手続き/ぐすく/のとさわ/手すり野郎/からすみうどん/寿司ブルドーザー/えーす(2)/たこまけ/大喜利の母(2)/煮込みVUITTON/はさまり/はひふーへ・ほーほほ/ゆず茶/アテナイで飲酒/懐かしむ会/長谷川キモ彦/ゆらう/jomajoma/副菜/投票ボーナス(3)
1307_6288_NZY,2023-04-18,123人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1307_6288_NZY.jpeg,10位,こんぺいとう雑誌,陸軍が1番文句言うなぁ,32,68.27,レイルレイル(2)/島原てのべ/ちくわうし/洋介山/蛍雪(3)/ぐすく(2)/熱々のマホカンタ/鳥取トリトン/フィジカル非力(2)/レターパイの実パック(3)/へサリム/大喜利の母/煮込みVUITTON/酢人(2)/水猫ラテ/ゑゆ子/新田.jpg/みあっこ/進化しないコイキング/Shineman/TwistNight/投票ボーナス(3)
