お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1790_6079_HNY,2023-04-27,80人,バイクで事故った日に金髪にした理由,NA,1位,パブロ風の犬,せめてこっちはゴールドで,38,81.95,ぴーたん/ちんほ。/微生物のかたまり/こえだ/トレトレ/スキャンダル/昨日のおみや/ひきにく/こうし/堅あげポテト好き(2)/腕の大根のあれ(2)/おびわん/窓/学歴不問/超星人(2)/deepnavy/ペイ/porocra(2)/幻/山紫水明のかがやき(2)/ぴょん/しゅーきち/taka/ゆるむ/発狂レジデンス/オズ/双葉柿浦六番線/ちゃん/しばらく(2)/投票ボーナス(3)
1790_6079_HNY,2023-04-27,80人,バイクで事故った日に金髪にした理由,NA,1位,ペイ,親に怒られる理由を分散したかった,38,81.95,漁業の星/メスカマキリ(2)/diti/トレトレ/熱と気体/ここはが/かなりえずき/スキャンダル/BBG/放尿魔/売るラマ/大残渣/ケルン(2)/A筋/ぶり(2)/収蔵/スクハムハーフ/manntT(2)/のっぺ/パブロ風の犬/taka/ゆるむ(2)/発狂レジデンス(2)/オズ/双葉柿浦六番線/ちゃん/しばらく(3)/投票ボーナス(3)
1790_6079_HNY,2023-04-27,80人,バイクで事故った日に金髪にした理由,NA,3位,しゅーきち,病院でカルテに「黒髪なのにバイクで事故」って書かれてた,35,78.25,葱仮面/2iこりん/ユズリハ(2)/メビ/微生物のかたまり/スキャンダル/中原ぽ麦/こうし/こぬ/おびわん/しけもくちゃん(2)/放尿魔/納屋の鍵(2)/野茂FC/売るラマ/ケルン/ことこ/サバイブレーション(2)/吉田武/ぶり/山紫水明のかがやき/射的屋/パブロ風の犬/taka(2)/双葉柿浦六番線/ちゃん(2)/投票ボーナス(3)
1790_6079_HNY,2023-04-27,80人,バイクで事故った日に金髪にした理由,NA,4位,ちゃん,加害者らしくありたい,30,72.07,apple0149(2)/ちんほ。/ひきにく/こぬ/堅あげポテト好き/しけもくちゃん/放尿魔/納屋の鍵/野茂FC(2)/deepnavy/売るラマ/ペイ/大残渣/ハバネロ智(2)/収蔵/射的屋/のっぺ/ぴょん/赤黄色/発狂レジデンス/オズ(2)/ウザいアイコン/shu/投票ボーナス(3)
1790_6079_HNY,2023-04-27,80人,バイクで事故った日に金髪にした理由,NA,5位,トレトレ,髪の毛のダメージとかどうでも良くなった,27,68.36,葱仮面/熱と気体/昨日のおみや/ひきにく/優しいダンプカー/のす/かに/売るラマ/porocra/ケルン/ことこ/もぶ猫/四つ首舞妓バーバリアン/スクハムハーフ/山紫水明のかがやき(2)/manntT(3)/のっぺ/しゅーきち/しばらく(3)/投票ボーナス(3)
1790_6079_HNY,2023-04-27,80人,バイクで事故った日に金髪にした理由,NA,5位,堅あげポテト好き,この方が裁判がスムーズに進む,27,68.36,葱仮面/トレトレ/ここはが/かなりえずき/ぞの/腕の大根のあれ/鴨とサイコロ/右中間/納屋の鍵(2)/野茂FC/deepnavy/ことこ/もぶ猫/四つ首舞妓バーバリアン/スクハムハーフ/射的屋/manntT/しゅーきち/パブロ風の犬/ウザいアイコン/shu/ちゃん(2)/投票ボーナス(3)
1790_6079_HNY,2023-04-27,80人,バイクで事故った日に金髪にした理由,NA,5位,辺見豪,美容院に搬送された,27,68.36,猫八百(2)/ぴーたん(3)/昨日のおみや/ひきにく/ぞの/堅あげポテト好き/のす/鴨とサイコロ/桃山ももたろう(2)/学歴不問/deepnavy/ペイ/porocra/ことこ/A筋/収蔵/がんばる蟹/ぴょん/しゅーきち/shu/投票ボーナス(3)
1790_6079_HNY,2023-04-27,80人,バイクで事故った日に金髪にした理由,NA,8位,オズ,「覚醒」を匂わせたい,26,67.12,apple0149(2)/diti/トレトレ/かなりえずき/こぬ/BBG/腕の大根のあれ(2)/おびわん/しけもくちゃん(2)/のす/放尿魔/納屋の鍵/ペイ/大残渣/ケルン/A筋/もぶ猫/ゆるむ/双葉柿浦六番線/ちゃん/投票ボーナス(3)
1790_6079_HNY,2023-04-27,80人,バイクで事故った日に金髪にした理由,NA,9位,かに,校則はオレを守らない,25,65.89,漁業の星/トレトレ/熱と気体/かなりえずき(2)/なんこつ/BBG/堅あげポテト好き/放尿魔/窓/学歴不問/超星人/deepnavy/ぴーにじょう/大残渣/ケルン(2)/A筋/ぶり/山紫水明のかがやき(2)/ウザいアイコン/投票ボーナス(3)
1790_6079_HNY,2023-04-27,80人,バイクで事故った日に金髪にした理由,NA,10位,かくれどり,「事故の人」で覚えられたくない,23,63.42,猫八百/2iこりん/ユズリハ/漁業の星/微生物のかたまり/辺見豪/ひきにく/堅あげポテト好き/鴨とサイコロ/野茂FC/売るラマ/吉田武/収蔵/幻/がんばる蟹/パブロ風の犬/ゆるむ/発狂レジデンス/オズ/双葉柿浦六番線/投票ボーナス(3)
1790_6079_HNY,2023-04-27,80人,バイクで事故った日に金髪にした理由,NA,10位,もぶ猫,明日からチャリ通はさすがに舐められる,23,63.42,葱仮面/2iこりん/ぴーたん/トレトレ/熱と気体/昨日のおみや/中原ぽ麦/ねこめんたい/かに/ハバネロ智(3)/ケルン/ことこ/A筋/射的屋/がんばる蟹/オズ/shu/ちゃん/投票ボーナス(3)
1790_6079_HNY,2023-04-27,80人,バイクで事故った日に金髪にした理由,NA,12位,納屋の鍵,賢いライオンだと思われたい,21,60.95,メスカマキリ(3)/スキャンダル/優しいダンプカー/ぞの(3)/しけもくちゃん(2)/のす/鴨とサイコロ/右中間/窓/かくれどり/山紫水明のかがやき/射的屋/双葉柿浦六番線/投票ボーナス(3)
