お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1074_1528_ABB,2023-04-28,62人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1074_1528_ABB.jpg,1位,すでショ,私怨超えてぱおん…と,24,84.47,珍百景のクロ/ぴーたん(2)/洋介山/炭酸ヵ乗/吉田武/オズ/がんばる蟹(3)/のす/親子丼ら〜めん(2)/バニラ/ましましのしま/だんしゃり君/Houston/おおもり(2)/ペイ/さっつん/投票ボーナス(3)
1074_1528_ABB,2023-04-28,62人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1074_1528_ABB.jpg,2位,電車追いかけ殴り,日本登録工芸員 藁人形職人13代目　ゅぁ,21,77.78,Saturn/珍百景のクロ/ぐすく/ぴーたん/炭酸ヵ乗/屋内用雨傘/バニラ(2)/ましましのしま(2)/すでショ(3)/金天街/骨/おおもり(3)/投票ボーナス(3)
1074_1528_ABB,2023-04-28,62人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1074_1528_ABB.jpg,3位,珍百景のクロ,ダメだ、手編みだと愛着湧いちゃう,18,71.08,赤い髪/蜃気楼/ぴーたん/MaemawariU(2)/洋介山/紗和和和/吉田武/屋内用雨傘/白滝BOX/親子丼ら〜めん/ましましのしま/すでショ/deepnavy/骨/投票ボーナス(3)
1074_1528_ABB,2023-04-28,62人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1074_1528_ABB.jpg,4位,キタムランド,藁人形には、「泣き虫だった昨日までのアタシ」と書かれている,17,68.85,たうよまる(3)/蜃気楼/MaemawariU(3)/カナリカリガ・タカ/さらえん/平凡亭パンチ/deepnavy/骨/Houston/電車追いかけ殴り/投票ボーナス(3)
1074_1528_ABB,2023-04-28,62人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1074_1528_ABB.jpg,5位,女将,なんとか引き分けにしてみるね,16,66.62,プーアル茶/珍百景のクロ/ぐすく/3ねこ/嫁の実家/洋介山/屋内用雨傘/平凡亭パンチ/キタムランド/白滝BOX/のす/ましましのしま/ペイ/投票ボーナス(3)
1074_1528_ABB,2023-04-28,62人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1074_1528_ABB.jpg,6位,Houston,名前忘れたから「あいつ」でいいか,15,64.39,3ねこ/ユッケ/屋内用雨傘/平凡亭パンチ/オズ/キタムランド/がんばる蟹(3)/じゃん/ましましのしま/さっつん/投票ボーナス(3)
1074_1528_ABB,2023-04-28,62人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1074_1528_ABB.jpg,6位,さっつん,ご注文を繰り返します,15,64.39,蜃気楼/3ねこ/嫁の実家/洋介山/紗和和和/ナルシマアンバイ/吉田武/キタムランド/USB15B/deepnavy/新Goo/スパムおにぎり同担拒否/投票ボーナス(3)
1074_1528_ABB,2023-04-28,62人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1074_1528_ABB.jpg,6位,アナゴさん,いいよ、コツ教える,15,64.39,Saturn/珍百景のクロ(2)/フォートナイト前田/女将/白滝BOX/のす/＃の中のカマ吉くん/じゃん/USB15B(2)/タゲック/投票ボーナス(3)
1074_1528_ABB,2023-04-28,62人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1074_1528_ABB.jpg,9位,deepnavy,パジェロ　パジェロ,13,59.93,たこまけ/Saturn/ユッケ/オズ/すでショ/新Goo/スパムおにぎり同担拒否/ペイ/さっつん(2)/投票ボーナス(3)
1074_1528_ABB,2023-04-28,62人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1074_1528_ABB.jpg,9位,バニラ,べび、たっ、ぴ,13,59.93,フォートナイト前田/蜃気楼/アナゴさん/ぴーたん/炭酸ヵ乗/さらえん(3)/金天街/スパムおにぎり同担拒否/投票ボーナス(3)
