お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,1位,みやまる,奥歯ガタンゴトン言わしたろか,37,84.59,danDMComega(3)/fukuinneet/おびわん/ぐすく/MC埼玉県民/いちご/印税ライフ/丈希/放尿魔/ペイ(2)/おおもり/人喰い翁/まったん冷え性/Shineman(2)/慮(2)/しめじぃ(3)/母の写真/加熱/明鏡シスコン/こたけ既視感/濡れたテレビジョン/山本社出版数学Ⅲ/からすみうどん/嫁の実家/蟹電話(3)/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,2位,ゆんける,命集めすぎだろ,34,80.07,danDMComega/うみのいきもの/ナルシマアンバイ/暴風よ吹け/売るラマ/くまのこみていた発電所(3)/印税ライフ(2)/野島久助/よろ/丈希/おおもり/みなぱら/仙河/みやまる/しめじぃ/月の瞼/トレトレ/ぴょん/伊坂/チャントシタベイビー/住まなくても都/濡れたテレビジョン/すでショ(2)/日直/MCリットル(2)/馬to量子化/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,3位,住まなくても都,便利の化け物め,32,77.06,fukuinneet/ふわっと/ナルシマアンバイ/ぐすく/MC埼玉県民(2)/ニナモリ/くまのこみていた発電所(3)/しょしょ/おおもり/仙河/慮/アッサム/月の瞼/トレトレ/クイバタ運極のみ！！/中沢の人/カレーラ水/恥さらしのスパゲッティ/泥のぷーまん/明鏡シスコン/ゆんける/濡れたテレビジョン/すでショ(2)/野茂FC(2)/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,4位,糸目の鮟鱇,俺は中で大きい声とか出したい,27,69.53,アテナイで飲酒/うみのいきもの/ぐすく/ニナモリ/うわぁ(2)/丈希/放尿魔/幻/アッサム/たこ焼きボンバー/ぴょん/母の写真/伊坂/住まなくても都/明鏡シスコン/濡れたテレビジョン/シーサイド品川/MCリットル(2)/からすみうどん/野茂FC(2)/嫁の実家/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,5位,抹茶餅,車両が増えろよ,26,68.03,業務用虚無(2)/うわぁ/くまのこみていた発電所(3)/印税ライフ(3)/9月が終わったら起こして/丈希/放尿魔/みっきー/人喰い翁/みなぱら/たこ焼きボンバー/母の写真/バイトイップス/アニキ/明鏡シスコン/こたけ既視感/濡れたテレビジョン/寿司ブルドーザー/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,6位,スクハムハーフ,今の撮ってる人いたら送ってほしいです,25,66.52,うみのいきもの/ぐすく(2)/こえび/丈希/糸目の鮟鱇/みなぱら/幻/慮/アッサム/バイトイップス(3)/チャントシタベイビー/恥さらしのスパゲッティ/明鏡シスコン(2)/濡れたテレビジョン/からすみうどん/野茂FC(2)/蟹電話/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,6位,中沢の人,荷物だけ乗ってる,25,66.52,ふふふ(3)/うみのいきもの/ふわっと/いちご/放尿魔/人喰い翁/まったん冷え性(2)/みやまる/たこ焼きボンバー(2)/ぴょん/伊坂/住まなくても都/加熱/濡れたテレビジョン/馬to量子化/嫁の実家/まるまる(2)/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,6位,暴風よ吹け,朝が1番敵を作れるのよ,25,66.52,ナルシマアンバイ/ぐすく/MC埼玉県民/うわぁ/igotetukatu(3)/放尿魔(2)/珍百景のクロ/アッサム/しめじぃ/たこ焼きボンバー/加熱/濡れたテレビジョン/瀬名/日直(2)/蟹電話(3)/まるまる/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,9位,サバイブレーション,これでも降りてこないのか,24,65.02,fukuinneet/MC埼玉県民/スクハムハーフ/半ちく(2)/おもしろ大喜利KING/よろ/放尿魔(2)/ペイ/母の写真/ぞの(2)/泥のぷーまん/加熱/明鏡シスコン/ゆんける/こたけ既視感/濡れたテレビジョン/瀬名/山本社出版数学Ⅲ/馬to量子化/野茂FC(2)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,10位,蟹電話,しかし春だな,23,63.51,ふふふ/抹茶餅/おびわん/売るラマ/珍百景のクロ(2)/幻/おぎぎ/Shineman/慮/トレトレ/伊坂/クイバタ運極のみ！！/資本ネコ/ゆんける/濡れたテレビジョン/タイファイター/瀬名(2)/みーくん/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,11位,うみのいきもの,いつかこの中指に全員乗せてみせる,22,62.01,業務用虚無(2)/ﾈｺﾁｬﾝ(2)/MC埼玉県民/よろ/白ジョーア/たこ焼きボンバー(2)/トレトレ/伊坂/クイバタ運極のみ！！/家雨/濡れたテレビジョン/タイファイター/日直/からすみうどん/馬to量子化/みーくん/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,12位,ぐすく,「メトロ」の可愛さに背負わせていい密度じゃない,21,60.5,ふふふ/ﾈｺﾁｬﾝ/ニナモリ/売るラマ/印税ライフ/ペイ/珍百景のクロ/保湿アヒル(3)/伊坂(2)/チャントシタベイビー/濡れたテレビジョン/緑峰/山本社出版数学Ⅲ/からすみうどん/まるまる/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,13位,カレーラ水,働くのそんなに楽しいか,20,59.0,うみのいきもの/おびわん/スクハムハーフ/おもしろ大喜利KING(2)/野島久助/白ジョーア/月の瞼/ぞの(2)/恥さらしのスパゲッティ/加熱/気球マイスター/明鏡シスコン/濡れたテレビジョン/瀬名/まるまる/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,13位,嫁の実家,快速ファッ急,20,59.0,おびわん/ﾈｺﾁｬﾝ/こえび/半ちく/うわぁ(2)/バニラ/まったん冷え性(2)/みやまる/しめじぃ/保湿アヒル(2)/チャントシタベイビー/アニキ/濡れたテレビジョン/寿司ブルドーザー/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,13位,家雨,1人ぐらい愛してよ,20,59.0,抹茶餅/おびわん/ﾈｺﾁｬﾝ/9月が終わったら起こして/みっきー/Shineman/月の瞼/トレトレ/バイトイップス/カレーラ水/資本ネコ/濡れたテレビジョン/シーサイド品川/緑峰(2)/嫁の実家/蟹電話/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,13位,放尿魔,次は4号車だから薬指か,20,59.0,抹茶餅/MC埼玉県民/igotetukatu(3)/しょしょ/丈希/珍百景のクロ/クイバタ運極のみ！！/チャントシタベイビー/泥のぷーまん/ゆんける/濡れたテレビジョン/からすみうどん/蟹電話(2)/寿司ブルドーザー/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,13位,緑峰,南極行くみたいなリュックで入るぜ,20,59.0,ナルシマアンバイ/ﾈｺﾁｬﾝ/ぐすく(2)/ニナモリ/半ちく/バニラ/igotetukatu/たこ焼きボンバー/クイバタ運極のみ！！/みりあの日常/明鏡シスコン/濡れたテレビジョン/シーサイド品川/日直/MCリットル/嫁の実家/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,18位,TooRIkaI,普通にゆずとか居たごめん,19,57.49,ふふふ(2)/ナルシマアンバイ/ぐすく/MC埼玉県民/売るラマ/みっきー/糸目の鮟鱇/みなぱら(3)/おぎぎ/しめじぃ/カレーラ水/家雨/泥のぷーまん/加熱/濡れたテレビジョン/瀬名
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,18位,open,こっちも苦しいぜ,19,57.49,ふわっと/テニスたろう/9月が終わったら起こして/幻/ぞの(2)/カレーラ水/恥さらしのスパゲッティ/住まなくても都/泥のぷーまん/気球マイスター/濡れたテレビジョン/シーサイド品川/タイファイター/山本社出版数学Ⅲ/MCリットル(2)/馬to量子化/みーくん
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,18位,うわぁ,イラッときた人は帰って休め,19,57.49,ニナモリ(2)/とんじる/スクハムハーフ/売るラマ/おぎぎ/仙河/慮/チャントシタベイビー/家雨/資本ネコ/こたけ既視感/濡れたテレビジョン/緑峰/馬to量子化/寿司ブルドーザー/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,18位,クイバタ運極のみ！！,お前らは悪くない,19,57.49,アテナイで飲酒/おびわん/ふわっと/業務用虚無/暴風よ吹け/スクハムハーフ/珍百景のクロ/仙河/月の瞼/住まなくても都/アニキ/濡れたテレビジョン/すでショ/タイファイター/山本社出版数学Ⅲ/馬to量子化/投票ボーナス(3)
0907_9823_BRI,2023-04-29,97人,満員電車に中指を立てて一言,NA,18位,野茂FC,俺無しで満足しやがって…,19,57.49,抹茶餅/アテナイで飲酒/いちご/野島久助/ペイ/糸目の鮟鱇/トレトレ/伊坂/泥のぷーまん/加熱/明鏡シスコン/ゆんける/濡れたテレビジョン/緑峰(2)/山本社出版数学Ⅲ/投票ボーナス(3)
