お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0384_8926_TJZ,2023-05-15,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0384_8926_TJZ.jpeg,1位,アイワ,ここまで水位上がったんですよ,38,89.63,撒き餌/ととまる(2)/元気者/びろびろーん/ichiichi/ましましのしま/棒/福井とマルコ/ちゃ柴/てっぺんざしお(2)/のす/しゃも/レイルレイル(2)/BFGH/充/じす/双葉柿浦六番線/相見エル/watoson(2)/みちる/業務用虚無(2)/こころ飴/前後左右/平凡亭パンチ/白滝BOX/丸いペンタゴン(3)/にらお/寿司ブルドーザー/投票ボーナス(3)
0384_8926_TJZ,2023-05-15,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0384_8926_TJZ.jpeg,2位,ととまる,瞬間接着剤、怖いですよね,25,70.16,ichiichi/ましましのしま/福井とマルコ/ｼﾌﾞｽﾃ/ちゃ柴/ねこめんたい/しゃも(2)/ぴーたん(2)/相見エル/marumarumaru(2)/業務用虚無/フイ/前後左右/平凡亭パンチ/白滝BOX/冷食パスタレビュー(2)/長谷川キモ彦/いさぽろん/投票ボーナス(3)
0384_8926_TJZ,2023-05-15,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0384_8926_TJZ.jpeg,2位,長谷川キモ彦,脳内で法事は済ませたので欠席します,25,70.16,スパムおにぎり同担拒否/福井とマルコ/ねこめんたい(2)/のす/そいそーす/しゃも/ぴーたん/とほ/じす/各A/わんぱく大盛カレーライス/相見エル/業務用虚無(2)/のぎへっぺん/りあ/前後左右(2)/平凡亭パンチ/煮込みVUITTON/寿司ブルドーザー/投票ボーナス(3)
0384_8926_TJZ,2023-05-15,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0384_8926_TJZ.jpeg,4位,住まなくても都,安直な案ならあるぜ,24,68.66,元気者/ましましのしま(2)/柚苑/てっぺんざしお(2)/のす/落葉/しもさかべ/9月が終わったら起こして/あぐら/じす/わんぱく大盛カレーライス(2)/赤黄色/のぎへっぺん(3)/度蔵まぐら/敵刺/ゆらう/投票ボーナス(3)
0384_8926_TJZ,2023-05-15,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0384_8926_TJZ.jpeg,5位,てっぺんざしお,ここを郵便局としたらまず左目に向かって,23,67.17,スパムおにぎり同担拒否/元気者/ましましのしま/棒/ｼﾌﾞｽﾃ/チカアラシ/ねこめんたい/破壊王/じす/各A/みちる/業務用虚無/おかっぱちゃん/前後左右/敵刺/冷食パスタレビュー(2)/まるまるもりもり(3)/投票ボーナス(3)
0384_8926_TJZ,2023-05-15,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0384_8926_TJZ.jpeg,5位,前後左右,仮にここがアメリカだとしましょう,23,67.17,びろびろーん/ichiichi/ましましのしま/チカアラシ/のす/しゃも/サンクス仕立て/レイルレイル/BFGH/あぐら/カステラ伯爵/みちる/業務用虚無/おかっぱちゃん/フイ/のぎへっぺん/えーす/度蔵まぐら/敵刺/くものす/投票ボーナス(3)
0384_8926_TJZ,2023-05-15,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0384_8926_TJZ.jpeg,7位,しもさかべ,俺は悲劇だと思ってる,22,65.67,元気者/びろびろーん/ましましのしま/チカアラシ(3)/のす/サンクス仕立て/9月が終わったら起こして(2)/破壊王/T@/わんぱく大盛カレーライス/みちる/敵刺/まくがいあ/キャッツアイ/寿司ブルドーザー/住まなくても都/投票ボーナス(3)
0384_8926_TJZ,2023-05-15,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0384_8926_TJZ.jpeg,8位,T@,ここ押さないと笑えないんだ,21,64.17,アイワ/元気者/ichiichi/棒/ちゃ柴/サンクス仕立て/BFGH/あぐら/じす/わんぱく大盛カレーライス/業務用虚無(2)/フイ/平凡亭パンチ/ゆらう/にらお/でぃーぷ田きす夫/丈希/投票ボーナス(3)
0384_8926_TJZ,2023-05-15,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0384_8926_TJZ.jpeg,9位,度蔵まぐら,「パスワードを忘れた場合」のアイコンが腹立つ,20,62.67,ｼﾌﾞｽﾃ/ちゃ柴/てっぺんざしお/ねこめんたい/しゃも/落葉/カステラ伯爵(2)/わんぱく大盛カレーライス/marumarumaru(3)/業務用虚無(3)/乖/くものす/投票ボーナス(3)
0384_8926_TJZ,2023-05-15,75人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0384_8926_TJZ.jpeg,10位,そいそーす,暇だし自分脅迫するか,19,61.18,撒き餌(2)/スパムおにぎり同担拒否/びろびろーん/ましましのしま/超星人/ベターなチェア/9月が終わったら起こして/あぐら/よれよれ(2)/双葉柿浦六番線/業務用虚無/赤黄色/白滝BOX/いさぽろん/投票ボーナス(3)
