お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1100_2406_PGR,2023-05-19,96人,少年漫画「遊☆具☆王」の名場面,NA,1位,チャックザジッパー,年々禁止制限される遊具が増えていく,28,76.1,枕詞(2)/虚無虚無プリン(2)/反抗期/U7ypK/高見盛/敵刺(2)/だんしゃり君(2)/しんのてき/Isamu/後悔しない名前を付けよう/ファッキンガム宮殿/あかのすけ(2)/にらお/レッシー/USB15B/五目あんかけ/じす/さりつかいし(2)/こねぎ(2)/はがね/人拓
1100_2406_PGR,2023-05-19,96人,少年漫画「遊☆具☆王」の名場面,NA,2位,あずメロ,みんなの思いがブランコを押してくれた,26,73.09,陰湿なJK・JD/U7ypK(2)/きつね右近/しぴ/T-FOX/ゴリラJKお嬢様/住まなくても都/宮殿(2)/あ門(2)/いぬまる(2)/しんのてき/にらお/アマテイン/ミズイチ(2)/のらののら/USB15B(2)/五目あんかけ/きなこ/優しいダンプカー/hikage
1100_2406_PGR,2023-05-19,96人,少年漫画「遊☆具☆王」の名場面,NA,3位,manth,まだ俺のブランコは終わってないぜ,25,71.58,及川広大/カナリカリガ・タカ/hiha(3)/しばらく/しぴ(3)/だんしゃり君/かくれどり(2)/柔らかい夏(2)/しんのてき/ツーベア(2)/後悔しない名前を付けよう/チャイニーズマフィア/アガリブル(2)/にらお/アマテイン/ミズイチ/きなこ
1100_2406_PGR,2023-05-19,96人,少年漫画「遊☆具☆王」の名場面,NA,3位,年下の義母,砂場から5色のBB弾を見つけて特殊勝利する,25,71.58,baseball /枕詞/Matchart(3)/敵刺/T-FOX/デジ加減/柔らかい夏(3)/宮殿/いぬまる/Isamu/ツーベア/おびわん/ファッキンガム宮殿/にらお/すらさん/ミズイチ/五目あんかけ/優しいダンプカー/投票ボーナス(3)
1100_2406_PGR,2023-05-19,96人,少年漫画「遊☆具☆王」の名場面,NA,5位,ミッツ乾電池,大人になると小さく見えた,24,70.07,及川広大/枕詞/陰湿なJK・JD/虚無虚無プリン(2)/hiha/きつね右近/T-FOX/かくれどり/住まなくても都/Isamu/ファッキンガム宮殿/白滝BOX/もんさん/年下の義母(2)/USB15B(2)/優しいダンプカー(2)/しもさかべ/投票ボーナス(3)
1100_2406_PGR,2023-05-19,96人,少年漫画「遊☆具☆王」の名場面,NA,5位,白滝BOX,姫が「出れるだろ」みたいなジャングルジムに囚われてる,24,70.07,虚無虚無プリン(2)/反抗期/phrase186(3)/U7ypK/T-FOX/ゆんける/宮殿/ツーベア(2)/ちょっぱー/ベターなチェア/ミズイチ/もんさん/きなこ/優しいダンプカー/あの日のニンニ/はがね/初対面/投票ボーナス(3)
1100_2406_PGR,2023-05-19,96人,少年漫画「遊☆具☆王」の名場面,NA,7位,すらさん,トラップカード、熱された滑り台,23,68.57,及川広大/hiha(2)/T-FOX/デジ加減/柔らかい夏(3)/フェルミ(2)/しんのてき/アガリブル/にらお/レッシー/もんさん/ミッツ乾電池/やや不安/さりつかいし/優しいダンプカー/こねぎ/投票ボーナス(3)
1100_2406_PGR,2023-05-19,96人,少年漫画「遊☆具☆王」の名場面,NA,7位,イワコデジマ,ブランコ・マジコギ・ガール,23,68.57,カナリカリガ・タカ/枕詞(2)/T-FOX(2)/デジ加減(2)/ゴリラJKお嬢様(2)/資本ネコ/焼きサバ/あ門/ツーベア/marcy(2)/にらお/レイルレイル(2)/レッシー/のらののら/五目あんかけ/じす/初対面
1100_2406_PGR,2023-05-19,96人,少年漫画「遊☆具☆王」の名場面,NA,7位,カタン,《クレーマー老人》１体に壊滅させられる,23,68.57,phrase186(3)/柔らかい夏/いぬまる/Isamu/marcy(2)/アガリブル/年下の義母/五目あんかけ/さりつかいし(2)/優しいダンプカー/しもさかべ/はがね(2)/からしツナ/hikage(3)/人拓(2)
1100_2406_PGR,2023-05-19,96人,少年漫画「遊☆具☆王」の名場面,NA,10位,じす,闇の自分にブランコ押してもらう,22,67.06,T-FOX/デジ加減/かくれどり(2)/住まなくても都/アガリブル/ちょっぱー/にらお/すらさん/レイルレイル/ぎが(2)/レッシー/ミズイチ/USB15B(2)/やや不安(3)/投票ボーナス(3)
