お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2443_9554_MVW,2023-05-28,149人,天狗の日常カルタ「た」,NA,1位,煮込みVUITTON,たぶん｢フリーランス｣でいいよな,64,91.69,Isamu/副編集長/街メロン/信号待ち/ほろほろ/洋介山/フィジカル非力(2)/刀鱒/ダァ(2)/ジョンとも/セトピア(2)/あがぺい(2)/アンビバレンス/おらしょ/春屋○イ/鴨とサイコロ/jinseitsurao/とほ/八畳キートン(2)/ノビッタ/vio/やねうら(2)/夭手/アーマーナイトハブザガン(2)/あらあら帝国/糸目の鮟鱇(2)/wanumayu(3)/クマ牧場/ガ行(2)/ベリー/絶品味噌汁/おぴょぴょ/さくらんぼソフト(2)/なまこP(2)/sAwArA/えのきときのこ/ななし/揚げたてメンチメン/ユカリ・エルゴ・スム(3)/他のＰ/jomajoma/自動車部員(2)/Meer(3)/投票ボーナス(3)
2443_9554_MVW,2023-05-28,149人,天狗の日常カルタ「た」,NA,1位,赤い髪,たまにはうつ伏せで寝たい,64,91.69,アナゴさん/パピーゲバ/ほろほろ/りす/MODY/弁財天(3)/洋介山/いちご/いわな/屋内用雨傘/BBG/オーバーニート(2)/ダスチン・コフマン/アンビバレンス/てねんすい/塩鮭(2)/春屋○イ/鴨とサイコロ/お嬢様ですわぁ/ししだ(2)/猫屋敷/弓(3)/モチ/エキセントリック配牌/伊坂/三遊亭たわし/やねうら/サカナクシュン(2)/自家用車洗浄用bot(3)/白黒まみれ/たくみす(2)/wanumayu/ガ行/ソトノトス/T-FOX/なまこP/男も育休/ゆきだるま/他のＰ/じろ/循環器/そにぃ(3)/住まなくても都/自動車部員(2)/あなにいれろ/Meer(2)/投票ボーナス(3)
2443_9554_MVW,2023-05-28,149人,天狗の日常カルタ「た」,NA,3位,パピーゲバ,タートルネックが通らない,56,84.51,洋介山/ランゲル・ハンス/刀鱒/いちご/屋内用雨傘/高だの高代(2)/さすけのお兄/ダスチン・コフマン/あがぺい/アンビバレンス/てねんすい/塩鮭(2)/煮込みVUITTON(2)/jinseitsurao/だんしゃり君/猫屋敷/シンマイ子/とんじる/ノビッタ/モチ/エキセントリック配牌/セーター/サカナクシュン(2)/アーマーナイトハブザガン/やもりみゆき/いのゆう/あらあら帝国/クマ牧場(2)/こねぎ/ガ行/ベリー(2)/ソトノトス/T-FOX/なまこP/ボサノバ(2)/バトルアックス(2)/ななし/赤い髪/高見盛/ユカリ・エルゴ・スム(2)/じろ(2)/加山友情/自動車部員/投票ボーナス(3)
2443_9554_MVW,2023-05-28,149人,天狗の日常カルタ「た」,NA,4位,揚げたてメンチメン,助けた子供に嫌われる,47,76.43,パピーゲバ/りす/洋介山/セトピア(2)/高だの高代/スクハムハーフ/あがぺい/ぜ。/類い/春屋○イ(2)/度蔵まぐら(2)/jinseitsurao/猫屋敷/シンマイ子/田口さん🍙/vio(2)/伊坂/赤色のメイさん/白黒まみれ/あらあら帝国/たくみす(2)/おだンゴ/おぴょぴょ/なまこP/sAwArA/平凡亭パンチ/其ノ蜩/はんドレ/トリニダード木箱/はいどぼーい(3)/赤い髪/高見盛/ユカリ・エルゴ・スム(2)/循環器/そにぃ/加山友情/投票ボーナス(3)
2443_9554_MVW,2023-05-28,149人,天狗の日常カルタ「た」,NA,5位,てねんすい,卵くらいなら鼻で溶く,42,71.94,信号待ち/ほろほろ/いちご/いわな/屋内用雨傘/BBG(2)/さすけのお兄/塩鮭/煮込みVUITTON/閾値/度蔵まぐら(3)/カステラ伯爵/ししだ/弓(3)/サカナクシュン/アーマーナイトハブザガン(3)/サメナイス/いのゆう(2)/白黒まみれ/あらあら帝国/たくみす/ソトノトス/がんばりま翔/さくらんぼソフト(2)/其ノ蜩/揚げたてメンチメン/赤い髪/高見盛/ポレモロ/加山友情/投票ボーナス(3)
2443_9554_MVW,2023-05-28,149人,天狗の日常カルタ「た」,NA,6位,オーバーニート,「高い」な?「長い」じゃなくて,40,70.14,うえじゅん/ほろほろ/りす/凡/刀鱒/da/茶抓(2)/アンビバレンス/おらしょ(3)/だんしゃり君(3)/お嬢様ですわぁ/八畳キートン/とんじる/田口さん🍙/ノビッタ/モチ/やねうら/こんぺいとう雑誌/ガ行(3)/絶品味噌汁/なまこP/sAwArA/えのきときのこ/まるまるもりもり/ノラクラ(2)/ユカリ・エルゴ・スム(2)/jomajoma/あなにいれろ/投票ボーナス(3)
2443_9554_MVW,2023-05-28,149人,天狗の日常カルタ「た」,NA,6位,鴨とサイコロ,たまには悪口以外で喩えてほしい,40,70.14,Isamu/パピーゲバ/ほろほろ/弁財天/凡/da(2)/屋内用雨傘/スクハムハーフ/てねんすい/類い(2)/閾値/度蔵まぐら/お嬢様ですわぁ(2)/ししだ/八畳キートン/vio/三遊亭たわし/たくみす/はんなり/糸目の鮟鱇/がんばりま翔/なまこP(2)/男も育休/其ノ蜩/はいどぼーい/高見盛/他のＰ/循環器/冬憑……(2)/加山友情/あなにいれろ(2)/投票ボーナス(3)
2443_9554_MVW,2023-05-28,149人,天狗の日常カルタ「た」,NA,8位,ししだ,たまに影でバレる,38,68.35,sayudot/marakasu/イガイガの栗/洋介山/棘2/フィジカル非力/ジョンとも/いちご/da/屋内用雨傘/BBG/さすけのお兄/春屋○イ/八畳キートン/シンマイ子/モチ/エキセントリック配牌/いのゆう/あらあら帝国/おだンゴ/ガ行/おおちゃん@ジャン鶴/さくらんぼソフト/なまこP(2)/トリニダード木箱/ななし/及川広大/循環器/あわもち(2)/加山友情/自動車部員(2)/Meer/投票ボーナス(3)
2443_9554_MVW,2023-05-28,149人,天狗の日常カルタ「た」,NA,9位,ほろほろ,楽しんでるのに「怒ってる？」って聞かれる,37,67.45,sayudot/街メロン/パピーゲバ/弁財天/フィジカル非力/刀鱒/鮒侍/いわな/屋内用雨傘/ダスチン・コフマン/おらしょ(2)/煮込みVUITTON/春屋○イ/だんしゃり君/灰根/また師走が来たよ/とんじる/モチ/やねうら/絶品味噌汁/男も育休(2)/えのきときのこ(2)/バトルアックス(2)/ゆきだるま/他のＰ/循環器/冬憑……(3)/jomajoma/投票ボーナス(3)
2443_9554_MVW,2023-05-28,149人,天狗の日常カルタ「た」,NA,9位,屋内用雨傘,たまには海の幸も食べたい,37,67.45,ヒカル/Isamu/副編集長/信号待ち/棘2/凡/いわな/ぜ。(2)/煮込みVUITTON/jinseitsurao/とほ/猫屋敷/とんじる/ノビッタ/vio/エキセントリック配牌/セーター/やねうら/こねぎ(2)/絶品味噌汁/おぴょぴょ/T-FOX/男も育休/ノラクラ(2)/揚げたてメンチメン/高見盛/他のＰ/ポレモロ/あわもち(2)/Meer/投票ボーナス(3)
