お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,1位,寿司ブルドーザー,おかえりなさい、フロア沸いてるわよ,39,82.23,とほ/ばしろうまる/スカイブルー/那由多/探偵Ｏ/アーマーナイトハブザガン/ツチノコ(3)/GYAI/鈴本(2)/うううあ(3)/トリニダード木箱/なぐ/洋介山/福井とマルコ(2)/詫びシャイニング(2)/サバイブレーション/おかっぱちゃん/下鶴(3)/男も育休/まるまる/アンビバレンス/凡/えのきときのこ/てねんすい/しらす/突然及川/ふかふかの/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,2位,やすな,ごめんね勝手に入って,38,80.97,寿司ブルドーザー/金星人/カタン/かざむら/那由多/探偵Ｏ/いぬまる(2)/生薬/官能亭ましゅまろ(2)/先輩/＃の中のカマ吉くん/Haruru(2)/トリニダード木箱/かぎや(2)/焼きサバ/Y-Not/パペットパレット/アリスしらべ/大喜利の母(3)/いくらん/じゃん/へなちょこ/木製の脚立/雑兵/yuta4869/えのきときのこ/中沢の人/ぜ。/しらす/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,3位,くすも,ﾐﾎｻﾝ､ﾐﾎｻﾝﾐﾎｻﾝ､ﾐﾎｻﾝ､ﾐﾎｻﾝ､ﾐﾎｻﾝ､ﾐﾎｻﾝ､ﾐﾎｻﾝ､ﾐﾎ､ﾐﾎ､ﾐﾎ､ﾐﾎ､ﾐﾎ､ﾐﾎ､ﾐﾎ､ﾐﾎ､ﾐ､ﾐ､ﾐ､ﾐ､ﾐ､ﾐ､ﾐ､ﾐﾐﾐﾐﾐﾐﾐﾐﾄﾞｩｰﾝ…………ﾄﾞｩﾝﾐﾎﾄﾞｩﾝﾐﾎﾄﾞｩﾝﾐﾎﾄﾞｩﾝﾐﾎﾄﾞｩﾝﾐﾎﾄﾞｩﾝﾐﾎ,35,77.18,あぐら/デカいメロンパン/金星人/ばしろうまる/スカイブルー(3)/くま骸(2)/きゅーきゅー(2)/後悔しない名前を付けよう/ラッシー病(2)/鈴本/fukuinneet/相見エル/ミチガン(3)/敵刺/まるまる(3)/中沢の人(3)/白キごはん/桃山ももたろう(3)/突然及川/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,4位,スカイブルー,阿sa.k.a.谷姉妹,34,75.92,寿司ブルドーザー/金星人(3)/ばしろうまる/絶品味噌汁/那由多/リトマス試験紙(2)/めんつゆ飲み放題/後悔しない名前を付けよう/うううあ(2)/なぐ/アリスしらべ/サバイブレーション/ミチガン(2)/おかっぱちゃん(3)/下鶴(3)/へなちょこ/タカノリ・タカノ/おっふ(3)/てねんすい/腰痛餅/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,5位,ノビッタ,両手いっぺんに動いちゃうわね,30,70.87,珍百景のクロ(2)/あぐら/カタン(2)/都落ち/アーマーナイトハブザガン(2)/また師走が来たよ/官能亭ましゅまろ/きゅーきゅー(2)/後悔しない名前を付けよう/トリニダード木箱/短歌/焼きサバ/Y-Not/アリスしらべ/木製の脚立/敵刺/まるまる/スポーツバッグ/えのきときのこ/中沢の人/ぜ。(2)/突然及川/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,5位,珍百景のクロ,毎月届くのよ,30,70.87,あぐら/はがね/スカイブルー/くま骸/ねむみ/いぬまる/また師走が来たよ/Haruru/GYAI/かぎや/fukuinneet/相見エル/USB15B/馬to量子化/スパムおにぎり同担拒否/じゃん/へなちょこ/Cafesippin(3)/雑兵/勃ちポン(2)/凡/プーさんたち/腰痛餅/雪雪崩/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,7位,アリスしらべ,残ったおかずはラップにしとくわね,28,68.35,絶品味噌汁(2)/7コイン/微生物のかたまり/いぬまる/生薬/ラッシー病/GYAI/うううあ(3)/かぎや/福井とマルコ/サバイブレーション(2)/竹城(2)/勃ちポン(2)/yuta4869/ぜ。/おっふ(2)/てねんすい/犬ヒロシ/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,8位,下鶴,確かに「今晩はアゲものにしようかしら」って言ってたな…,26,65.83,デカいメロンパン/絶品味噌汁(2)/那由多/アーマーナイトハブザガン(2)/いぬまる(2)/リトマス試験紙(2)/ラッシー病/アウク/サバイブレーション/非営利団体(2)/スパムおにぎり同担拒否/竹城/アンビバレンス/おっふ/腰痛餅(2)/雪雪崩(2)/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,9位,生薬,先にフロア沸かします？,25,64.56,とほ/7コイン/かざむら/那由多/探偵Ｏ/＃の中のカマ吉くん/ツチノコ(3)/GYAI/大喜利の母/洋介山/福井とマルコ/馬to量子化/スパムおにぎり同担拒否/じゃん/男も育休/まるまる/アンビバレンス/えのきときのこ/てねんすい/白キごはん/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,9位,男も育休,スーパーの曲は全部私なの,25,64.56,珍百景のクロ/デカいメロンパン(2)/ばしろうまる/7コイン/スカイブルー/くま骸/ねむみ/先輩/めんつゆ飲み放題/きゅーきゅー(2)/かぎや/パペットパレット/とりせん/馬to量子化/いくらん/へなちょこ/雑兵/スポーツバッグ/えのきときのこ/突然及川/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,11位,Haruru,初めは息子の趣味だったんですけど,24,63.3,ばしろうまる(3)/ねむみ/探偵Ｏ/いぬまる/官能亭ましゅまろ/むらさき/焼きサバ/アウク(2)/アリスしらべ/大喜利の母(2)/phrase186/木製の脚立(2)/スポーツバッグ/ぜ。(2)/犬ヒロシ/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,11位,あぐら,回覧板見て来てくれたの？,24,63.3,珍百景のクロ(2)/寿司ブルドーザー(2)/絶品味噌汁/生薬/先輩(2)/きゅーきゅー/GYAI/トリニダード木箱/かぎや/Y-Not/だんしゃり君(2)/とりせん/スパムおにぎり同担拒否/Cafesippin(2)/雑兵/腰痛餅/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,11位,那由多,フロア湧かしといたわよ〜,24,63.3,とほ/7コイン(2)/くま骸/ねむみ/リトマス試験紙(2)/先輩/Haruru/GYAI/短歌/詫びシャイニング(3)/男も育休/敵刺/まるまる/竹城/凡/てねんすい/突然及川/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,14位,のとさわ,皆さま、お立ちになって,23,62.04,とほ/寿司ブルドーザー/7コイン(2)/ねむみ/先輩/きゅーきゅー/うううあ(2)/ノビッタ/やすな/Y-Not/なぐ/だんしゃり君/大喜利の母/馬to量子化/イタリア人/敵刺/しらす/ふかふかの/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,14位,スパムおにぎり同担拒否,ちょっと高円寺すぎるかしら？,23,62.04,あぐら/松尾(2)/探偵Ｏ/また師走が来たよ/生薬/先輩/めんつゆ飲み放題/むらさき/後悔しない名前を付けよう/鈴本/ノビッタ/のとさわ/相見エル/大喜利の母/へなちょこ/タカノリ・タカノ(2)/えのきときのこ/雪雪崩/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,16位,こころ飴,ここ抑えててくれない？,22,60.78,あぐら/金星人/那由多/くま骸/また師走が来たよ/くすも/きゅーきゅー(2)/GYAI/ノビッタ/トリニダード木箱/やすな/パペットパレット/USB15B/大喜利の母/イタリア人/おかっぱちゃん(2)/じゃん/まるまる/プーさんたち/しらす
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,16位,じゃん,1チェケラ200円ね,22,60.78,とほ/かごの中の鳥/カタン/かざむら/那由多/生薬/めんつゆ飲み放題/覇道きてぃ/後悔しない名前を付けよう/GYAI/ノビッタ/Y-Not/なぐ/アウク/アリスしらべ/大喜利の母/ふかふかの(3)/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,16位,ぜ。,副業と呼んでいいのかしら,22,60.78,あぐら/金星人(2)/絶品味噌汁/かごの中の鳥/探偵Ｏ/めんつゆ飲み放題/＃の中のカマ吉くん/Haruru/後悔しない名前を付けよう/短歌/焼きサバ/やすな/相見エル/とりせん/phrase186/木製の脚立/雑兵/凡/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,19位,非営利団体,彼女と良いムードになると、母親がBPMをあげる,21,59.52,ばしろうまる/スカイブルー/いぬまる(2)/めんつゆ飲み放題/かぎや/Y-Not/パペットパレット/洋介山/とりせん/イタリア人/男も育休/竹城/勃ちポン(3)/yuta4869/ふかふかの/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,20位,はがね,妹の結婚式でやるのよ,20,58.26,珍百景のクロ/あぐら/ばしろうまる/スカイブルー/都落ち/探偵Ｏ(2)/＃の中のカマ吉くん/むらさき/後悔しない名前を付けよう/トリニダード木箱/焼きサバ/phrase186(2)/スポーツバッグ/アンビバレンス/ぜ。/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,21位,えのきときのこ,皿洗いみたいなことよね,19,56.99,松尾(3)/きゅーきゅー/ツチノコ(3)/短歌/やすな/パペットパレット/詫びシャイニング/馬to量子化/イタリア人/ぜ。/てねんすい/しらす/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,21位,イタリア人,子供を私立に通わせるために,19,56.99,あぐら/デカいメロンパン/はがね/かざむら/都落ち/くすも/むらさき/GYAI/短歌/phrase186/サバイブレーション/新Goo/非営利団体/へなちょこ/雑兵/アンビバレンス/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,21位,竹城,YoYoとか言っちゃって,19,56.99,とほ/はがね(2)/松尾/アーマーナイトハブザガン/めんつゆ飲み放題/覇道きてぃ/Haruru/後悔しない名前を付けよう/鈴本(3)/非営利団体/スポーツバッグ/えのきときのこ/白キごはん/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,24位,なぐ,まずはリアルそうなあなた,18,55.73,はがね/ばしろうまる/カタン/生薬/先輩(2)/Haruru/むらさき/鈴本/トリニダード木箱/のとさわ(2)/焼きサバ/やすな/アリスしらべ/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,24位,中沢の人,音圧が違うのよ,18,55.73,寿司ブルドーザー/はがね/ねむみ/探偵Ｏ/めんつゆ飲み放題/Haruru/のとさわ/phrase186/新Goo/いくらん/じゃん/Cafesippin/yuta4869/プーさんたち/腰痛餅/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,24位,洋介山,昭和歌謡を冒涜しに参りました,18,55.73,カタン/アーマーナイトハブザガン/官能亭ましゅまろ(3)/覇道きてぃ/Haruru(2)/後悔しない名前を付けよう/GYAI/相見エル/phrase186/タカノリ・タカノ/スポーツバッグ/ぜ。/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,24位,鈴本,エリコさん今回も8小節4回かしら？,18,55.73,絶品味噌汁(2)/スカイブルー/後悔しない名前を付けよう/のとさわ/Y-Not/fukuinneet/相見エル/詫びシャイニング/サバイブレーション/非営利団体/敵刺/タカノリ・タカノ/竹城/凡/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,28位,トリニダード木箱,ほら、ここにもホコリ,17,54.47,あぐら/後悔しない名前を付けよう/かぎや/fukuinneet/相見エル/サバイブレーション(2)/スパムおにぎり同担拒否(2)/おかっぱちゃん/敵刺/竹城/犬ヒロシ/突然及川/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,28位,木製の脚立,なぜかヴァイオリンの音が鳴る,17,54.47,微生物のかたまり/ねむみ/後悔しない名前を付けよう/ラッシー病(3)/短歌/大喜利の母(2)/じゃん/凡/えのきときのこ/中沢の人/てねんすい/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,28位,犬ヒロシ,お姉様、フロアと風呂は沸かしたわよ,17,54.47,とほ/微生物のかたまり/ツチノコ(2)/GYAI/洋介山/詫びシャイニング(2)/非営利団体/下鶴(2)/男も育休/てねんすい/ふかふかの/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,28位,短歌,何もしてないのに壊れちゃって,17,54.47,珍百景のクロ/とほ/覇道きてぃ/きゅーきゅー/トリニダード木箱/だんしゃり君/アリスしらべ/じゃん/敵刺/雑兵/スポーツバッグ/アンビバレンス/プーさんたち(2)/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,32位,きゅーきゅー,ほら、あなたもチェケりなさい,16,53.21,とほ/かざむら/スカイブルー/生薬/めんつゆ飲み放題/むらさき/やすな/洋介山/イタリア人/yuta4869/おっふ/しらす/雪雪崩/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,32位,カンズメ,六本木姉妹に改名しようかしら,16,53.21,絶品味噌汁/7コイン/那由多/微生物のかたまり/ラッシー病/ノビッタ/のとさわ/福井とマルコ/下鶴(3)/yuta4869/えのきときのこ/プーさんたち/おっふ/ふかふかの
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,32位,敵刺,手を当てると聞こえるの,16,53.21,あぐら/絶品味噌汁/かざむら(2)/また師走が来たよ/のとさわ/やすな/パペットパレット/だんしゃり君(2)/USB15B/じゃん/雑兵/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,32位,新Goo,はい皆さん、ここで3回擦ります,16,53.21,カタン/那由多/また師走が来たよ/生薬/＃の中のカマ吉くん/後悔しない名前を付けよう/アウク/馬to量子化/へなちょこ/凡/yuta4869/おっふ/腰痛餅/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,32位,突然及川,ファンモンの後ろの彼、やっぱ要らなかったのね,16,53.21,松尾(2)/かごの中の鳥(2)/かざむら/都落ち/先輩/覇道きてぃ/むらさき/phrase186(3)/タカノリ・タカノ/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,37位,めんつゆ飲み放題,まだ始まったばかりよ,15,51.95,7コイン/くま骸/ねむみ/くすも/Haruru/トリニダード木箱/かぎや/USB15B/じゃん/へなちょこ/てねんすい/白キごはん/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,37位,旅人,嘘のユーキャン,15,51.95,後悔しない名前を付けよう/GYAI/焼きサバ/なぐ/パペットパレット/USB15B/アリスしらべ/洋介山/竹城/スポーツバッグ/えのきときのこ/ぜ。/おっふ(2)/白キごはん
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,37位,福井とマルコ,30年間皿洗い続けて気づいたらここにいたんです,15,51.95,かごの中の鳥/都落ち(2)/リトマス試験紙(2)/木製の脚立/中沢の人/しらす/腰痛餅/ふかふかの(3)/投票ボーナス(3)
1813_4263_VUA,2023-05-29,108人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1813_4263_VUA.jpeg,40位,USB15B,生きるためにやってる,14,50.68,とほ/寿司ブルドーザー(2)/ねむみ/きゅーきゅー/短歌/Y-Not/スポーツバッグ/yuta4869/中沢の人/雪雪崩/投票ボーナス(3)
