お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0072_5719_MRW,2023-05-30,82人,いろんな料理のコックのバトル漫画の展開,NA,1位,おだンゴ,次のページまで汁が飛ぶ,31,82.25,fukuinneet(3)/黒胡椒/男爵いも(3)/Sierra/熱燗/エスニック美女軍団/優しいダンプカー(3)/じす/寺田/GYAI/でたらめーかー/のす/れあ/ミニベロ/Haruru/こねぎ/みこみこ/洋介山/かごの中の鳥/新田.jpg/当たり梅/さけのなかのいくら/投票ボーナス(3)
0072_5719_MRW,2023-05-30,82人,いろんな料理のコックのバトル漫画の展開,NA,2位,黒胡椒,10話経ったけどまだ煮込んでいる,29,79.03,がんばりま翔/ジェンツーペンギン/男も育休/Sierra(2)/カリモーチョ(2)/レッシー/優しいダンプカー/たいや/おだンゴ/れあ/ミニベロ/偶出殴流/双葉柿浦六番線/シーサイド品川/Haruru/さすらいの彫刻家(2)/Hiyu/洋介山/チャーカス/スカイブルー/当たり梅/さけのなかのいくら(2)/投票ボーナス(3)
0072_5719_MRW,2023-05-30,82人,いろんな料理のコックのバトル漫画の展開,NA,3位,のす,給食のおばさんが勝ち上がる,25,72.61,女将/がんばりま翔/fukuinneet/男爵いも/Sierra/ところ天のすけ/はいどぼーい/レッシー/GYAI/でたらめーかー(2)/ミニベロ/あがぺい/シーサイド品川/加山友情/さすらいの彫刻家/大山ひろのり/Hiyu/カタン/灰根/当たり梅/さけのなかのいくら/投票ボーナス(3)
0072_5719_MRW,2023-05-30,82人,いろんな料理のコックのバトル漫画の展開,NA,3位,犬ヒロシ,京料理が敵か味方か分からない,25,72.61,がんばりま翔/ジェンツーペンギン/男も育休/熱燗/MODY/秋月杏子/ねこめんたい/でたらめーかー/ミニベロ/偶出殴流/こねぎ/さすらいの彫刻家(2)/みこみこ(2)/ふもー/スカイブルー/りぐべる/新田.jpg/当たり梅/さけのなかのいくら(2)/投票ボーナス(3)
0072_5719_MRW,2023-05-30,82人,いろんな料理のコックのバトル漫画の展開,NA,5位,かごの中の鳥,何って、レンチンしただけだが？,21,66.19,ジェンツーペンギン/カリモーチョ/はいどぼーい/熱燗/MODY/エスニック美女軍団/GYAI/のす/双葉柿浦六番線/あがぺい/Haruru/みこみこ(2)/ふもー(3)/fuu2510/灰根/投票ボーナス(3)
0072_5719_MRW,2023-05-30,82人,いろんな料理のコックのバトル漫画の展開,NA,5位,スカイブルー,再生能力「豆苗」が強い,21,66.19,がんばりま翔/黒胡椒/Sierra/そよくら(2)/エスニック美女軍団/ぽ/たいや/かきぴー(3)/のす/双葉柿浦六番線/〆縄/細/板原/浅間山から真っ逆さま/当たり梅/投票ボーナス(3)
0072_5719_MRW,2023-05-30,82人,いろんな料理のコックのバトル漫画の展開,NA,5位,那由多,奴は四川料理の中でも最も甘口…,21,66.19,男も育休/レッシー/熱燗/エスニック美女軍団/ぽ/じす(2)/寺田(3)/かきぴー/偶出殴流/双葉柿浦六番線/ふもー(2)/チャーカス/当たり梅/さけのなかのいくら/投票ボーナス(3)
0072_5719_MRW,2023-05-30,82人,いろんな料理のコックのバトル漫画の展開,NA,8位,シーサイド品川,包丁を持ち替えて「本当は左利きなんだ」,20,64.58,女将/fukuinneet/ジェンツーペンギン/ところ天のすけ/MODY/ねこめんたい/ゴリラガラス/のす/双葉柿浦六番線/イタリア人/細/こねぎ/カニうまい/浅間山から真っ逆さま/チャーカス(2)/灰根/投票ボーナス(3)
0072_5719_MRW,2023-05-30,82人,いろんな料理のコックのバトル漫画の展開,NA,9位,こねぎ,ラスボスはおふくろの味,19,62.98,女将/fukuinneet/はいどぼーい/ねこめんたい/おだンゴ/GYAI/でたらめーかー(2)/かきぴー/ミニベロ/偶出殴流/ポレモロファン/犬ヒロシ/さすらいの彫刻家/Hiyu/スカイブルー/投票ボーナス(3)
0072_5719_MRW,2023-05-30,82人,いろんな料理のコックのバトル漫画の展開,NA,9位,秋月杏子,スイーツ！なぜ今お前が出てくる！,19,62.98,女将/黒胡椒/ジェンツーペンギン/zenza-desu/ぽ/たいら/GYAI/ミニベロ/偶出殴流/こねぎ/みこみこ(3)/カタン/当たり梅/さけのなかのいくら/投票ボーナス(3)
0072_5719_MRW,2023-05-30,82人,いろんな料理のコックのバトル漫画の展開,NA,11位,そよくら,"あっ、貴方は！！
そうです、今回の審査員はこの方、
「好き嫌いが多い子供」でございます……",18,61.37,女将/zenza-desu/暴風よ吹け/レッシー/熱燗/かきぴー(2)/Haruru(2)/こねぎ/カタン(2)/ふもー(2)/当たり梅/投票ボーナス(3)
