お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,1位,da,今どっちが勝ってるの？,46,91.5,大浴場恥垢浮ノ介(3)/小テスト/形状記憶ヒロタ/ところ天のすけ/ラジウス/ちょっぱー/懐ヒロイン(3)/揚げたてメンチメン/タマドラゴン(2)/カリモーチョ/メスカマキリ(3)/木製の脚立(2)/烈風ぺんぎん/でたらめーかー(2)/ノビッタ/くものす/糸目の鮟鱇/明転や/副菜/終電卍/野宮/眠りアザラシ羽交締め/アイダホバーガー/ふたつめ/肘から5分/こんなところにエビチリ(3)/パブロ風の犬/きゅーきゅー(2)/ゆきだるま/針/勃ちポン/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,2位,スクハムハーフ,ホイッスルを｢ピッピのやつ｣って言う,36,78.68,形状記憶ヒロタ(2)/ちゃ柴/MODY/〜トリコ、完結〜/黒胡椒/ぺーるおれんじ/メスカマキリ/あかのすけ(2)/木製の脚立(2)/チャン・ツノ/ノビッタ/Isamu/駄三盆/ミッツ乾電池/スカイブルー/終電卍/アイダホバーガー/パブロ風の犬/みくすし/jomajoma/きゅーきゅー/とらさん_226(2)/寿司ブルドーザー/救済パン/針/Yまと/雑貨(3)/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,3位,ゆきだるま,更衣室にノックせずに入ってくる,33,74.83,大浴場恥垢浮ノ介(3)/〜トリコ、完結〜/Y-Not/焼鮭/ヒデオ(2)/赤い髪/住まなくても都/タマドラゴン(2)/よめぼん/くものす/スカイブルー/副菜/焼きアイスクリーム/終電卍/岡村世界観(3)/たけこ/弐四八/jomajoma/三ル貝/針/あまちゃんIII/苔むす/勃ちポン/５周年/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,4位,ノビッタ,全部まとめてスポーツと呼んでいる,31,72.26,小テスト/ところ天のすけ/〜トリコ、完結〜/Y-Not/バスボールケット/wha/住まなくても都/カリモーチョ/メスカマキリ/ほぼ赤ちゃん/紺色/烈風ぺんぎん/下衆なキャット(2)/糸目の鮟鱇(2)/ミッツ乾電池(2)/スカイブルー/終電卍(2)/野宮/信号待ち/アイダホバーガー/肘から5分/救済パン/苔むす/スクハムハーフ/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,5位,jomajoma,あんた早よプール入りや,27,67.13,MODY/バスボールケット/ラジウス/wha/揚げたてメンチメン/カリモーチョ/まさ(3)/紺色/チャン・ツノ/悲しげな女が踊る/エスニック美女軍団/岡村世界観(3)/たけこ/弐四八(2)/きゅーきゅー/ゆきだるま/平凡亭パンチ(2)/Yまと/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,6位,MODY,更衣室にノックせず入る,26,65.85,バスボールケット/焼鮭/ラジウス/ヒデオ(2)/タマドラゴン(2)/メスカマキリ/木製の脚立(2)/はさまり/糸目の鮟鱇/スカイブルー/明転や/副菜/岡村世界観(3)/あんだー村/三皿/jomajoma/苔むす/５周年/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,6位,信号待ち,他教科の成績にも口を出す,26,65.85,小テスト/ところ天のすけ/ぺーるおれんじ/住まなくても都/揚げたてメンチメン/ファッキンガム宮殿/たゆたう風/まさ/ぬこま/ふえるなわかめ/でたらめーかー/ゆで/控えめなピース/スカイブルー/明転や/副菜/焼きアイスクリーム/エスニック美女軍団/たけこ(2)/パブロ風の犬/針/スクハムハーフ/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,8位,ふたつめ,キッチンタイマーでタイムを計る,25,64.57,小テスト/MODY/ところ天のすけ/ちょっぱー/懐ヒロイン(3)/ぺーるおれんじ/わんわんお/こねぎ/まさ/ノビッタ/副菜/焼きアイスクリーム/信号待ち/HS三遊間(2)/パブロ風の犬/ゆきだるま/三ル貝/平凡亭パンチ(2)/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,8位,またか,なに急にクラウチングスタートなんかして色気づいちゃって。,25,64.57,ちゃ柴(2)/バスボールケット/wha/タマドラゴン(2)/カリモーチョ/たゆたう風/でたらめーかー/チャン・ツノ/Isamu/駄三盆/サンプリ/悲しげな女が踊る/エスニック美女軍団/野宮(2)/眠りアザラシ羽交締め/こんなところにエビチリ(3)/三皿/パブロ風の犬/寿司ブルドーザー/Yまと
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,8位,よめぼん,あれ倉庫から取ってきて、あれ,25,64.57,焼鮭/黒胡椒/wha/赤い髪/揚げたてメンチメン/カリモーチョ/紺色/ふえるなわかめ/はさまり/ぴーたん/ノビッタ/りす/悲しげな女が踊る/信号待ち/アイダホバーガー/ふたつめ/jomajoma/きゅーきゅー/ゆきだるま/Hiyu/あまちゃんIII/勃ちポン/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,8位,黒胡椒,「大丈夫大丈夫、死なへんよ」,25,64.57,大浴場恥垢浮ノ介/形状記憶ヒロタ/Y-Not/ぺーるおれんじ/赤い髪/タマドラゴン/よめぼん/アナゴさん/はさまり/ぴーたん/でたらめーかー/ノビッタ/Isamu/糸目の鮟鱇/スカイブルー/野宮/信号待ち/アイダホバーガー/グリパ(3)/Yまと/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,12位,こんなところにエビチリ,全員が「お母さん」と呼び間違える。,23,62.0,〜トリコ、完結〜/焼鮭(3)/懐ヒロイン/おかっぱちゃん(2)/こねぎ/よめぼん/はさまり/悲しげな女が踊る/三皿/みくすし/jomajoma/とらさん_226(2)/Hiyu/グリパ(3)/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,12位,揚げたてメンチメン,ごめんね今日忙しくて授業ドッジボールになっちゃうわ,23,62.0,小テスト/da/タマドラゴン(3)/こねぎ/アナゴさん/烈風ぺんぎん/ゆで(2)/Isamu/スカイブルー/眠りアザラシ羽交締め(3)/肘から5分/こんなところにエビチリ(3)/寿司ブルドーザー/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,14位,きゅーきゅー,ペア組ませて余った子をタッパーに入れた,22,60.72,ほぼ赤ちゃん/ぬこま(2)/紺色(2)/Isamu/控えめなピース/副菜/野宮/眠りアザラシ羽交締め/ふたつめ(2)/こんなところにエビチリ(2)/救済パン/苔むす/グリパ(3)/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,14位,５周年,勝手に更衣室を掃除する,22,60.72,ちゃ柴(2)/ぺーるおれんじ/わんわんお/メスカマキリ/あかのすけ/木製の脚立/下衆なキャット(2)/控えめなピース/くものす/悲しげな女が踊る/ミッツ乾電池/スカイブルー/焼きアイスクリーム/信号待ち/三皿(2)/苔むす/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,16位,サンプリ,男女の2人1組をやたら作りたがる,21,59.44,小テスト/〜トリコ、完結〜/焼鮭/黒胡椒(2)/赤い髪/ぬこま/でたらめーかー/りす/悲しげな女が踊る/ミッツ乾電池/終電卍(2)/信号待ち/あんだー村/三皿/あまちゃんIII/スクハムハーフ/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,16位,肘から5分,他教科の先生と話すとき別人みたい,21,59.44,〜トリコ、完結〜/バスボールケット/黒胡椒/wha/タマドラゴン(2)/ほぼ赤ちゃん(2)/たゆたう風/ふえるなわかめ/はさまり/長谷川キモ彦/チャン・ツノ/ノビッタ/悲しげな女が踊る/信号待ち/きゅーきゅー/ゆきだるま/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,18位,ぬこま,"他教科は他教科、体育は体育
",20,58.15,da/Y-Not/ちょっぱー/ヒデオ(2)/タマドラゴン/あかのすけ(2)/ふえるなわかめ(2)/ぴーたん/タゴニ/スカイブルー/明転や/アイダホバーガー/５周年(2)/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,18位,りす,保健の話は濁す,20,58.15,大浴場恥垢浮ノ介/小テスト/ラジウス/ファッキンガム宮殿/タマドラゴン/ほぼ赤ちゃん/ここからがインターネット/木製の脚立(2)/ふえるなわかめ(3)/ぴーたん/糸目の鮟鱇/明転や/終電卍(2)/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,18位,副菜,ペアの余りをご近所に配る,20,58.15,住まなくても都/わんわんお/こねぎ/アナゴさん/ここからがインターネット/烈風ぺんぎん(2)/はさまり/ぴーたん(2)/Isamu/控えめなピース/ふたつめ/みくすし/きゅーきゅー(2)/ゆきだるま/投票ボーナス(3)
3866_3627_ZWE,2023-06-02,103人,オカン過ぎる体育教師,NA,18位,木製の脚立,あんた腹筋するするって言って全然してへんやないの,20,58.15,小テスト/ところ天のすけ/Y-Not/wha/揚げたてメンチメン/烈風ぺんぎん/チャン・ツノ/ノビッタ/駄三盆/明転や/焼きアイスクリーム/終電卍/エスニック美女軍団/こんなところにエビチリ/きゅーきゅー/ゆきだるま/勃ちポン/投票ボーナス(3)
