お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1223_4648_HMB,2023-06-04,87人,最近彼氏が冷たいの…に一言,NA,1位,小テスト,地球には優しいじゃん,34,84.57,くわい/アイワ/ベンチとペンチ/かごの中の鳥/サミダレ/＃の中のカマ吉くん/抹茶餅/錠剤ロンド(3)/キムさん(3)/イワザル/もふめ/うえじゅん/副菜(2)/明石家かつお/ねこめんたい/ニコニコ尿管結石/高だの高代/白滝BOX/りくがめ/waaaan(2)/しろねこ/ナンの一部/及川広大/つぶあん/桜桃/投票ボーナス(3)
1223_4648_HMB,2023-06-04,87人,最近彼氏が冷たいの…に一言,NA,1位,放尿魔,体温目的だったってこと？,34,84.57,くわい(2)/鈴本/サミダレ/ううまる/ライスペーパーに落書き/ダンス部(2)/副菜(2)/気球マイスター/鮒侍/菊之助(2)/ごじょう　さとらない/揚げたてメンチメン(2)/U7ypK/こねぎ/ダダダチョウ/パピヨン/横恋慕の君(2)/ウザいアイコン(2)/ヤマモト(2)/桜桃(3)/someイヨシノ/投票ボーナス(3)
1223_4648_HMB,2023-06-04,87人,最近彼氏が冷たいの…に一言,NA,3位,アイワ,故障かな？と思ったら,31,80.14,くわい/北戸田スイッチ/紗和和和/しらす/大河丸(2)/うえじゅん/明転や/明石家かつお/恥のみジョニー(3)/プロサーファー/白滝BOX/放尿魔/りくがめ/waaaan(2)/しろねこ/パピヨン/悲しげな女が踊る/横恋慕の君/仙河/ヤマモト(3)/桜桃/機関車/投票ボーナス(3)
1223_4648_HMB,2023-06-04,87人,最近彼氏が冷たいの…に一言,NA,4位,waaaan,4°Cだね,25,71.29,鈴本/ううまる/ライスペーパーに落書き/あんだー村(3)/抹茶餅/ダンス部/山本社出版数学Ⅲ/プロサーファー(3)/ごじょう　さとらない/バスカス爆発/江口 蒼🎧(2)/こねぎ/小テスト/ダダダチョウ/ヤマモト(3)/投票ボーナス(3)
1223_4648_HMB,2023-06-04,87人,最近彼氏が冷たいの…に一言,NA,4位,ゆんける,電源は入ってる？,25,71.29,アイワ/あんだー村/イワザル/うえじゅん/明転や/気球マイスター/揚げたてメンチメン/こねぎ/りくがめ/waaaan(2)/せいじ/しろねこ/小テスト/固定残業代/リック/横恋慕の君/Chunbeam(2)/ウザいアイコン/つぶあん/かぼちゃのばしゃ/投票ボーナス(3)
1223_4648_HMB,2023-06-04,87人,最近彼氏が冷たいの…に一言,NA,4位,ナンの一部,相関図、書き換えるね ,25,71.29,鈴本/かごの中の鳥/あんだー村/紗和和和/たゆたう風/もふめ/明転や/菊之助(3)/バスカス爆発/揚げたてメンチメン/高だの高代/白滝BOX/放尿魔/りくがめ/waaaan/ゆんける/リック/形状記憶ヒロタ(2)/桜桃/投票ボーナス(3)
1223_4648_HMB,2023-06-04,87人,最近彼氏が冷たいの…に一言,NA,7位,鈴本,五人ばやしの笛太鼓みたいに言うな,22,66.87,にじょー(2)/北戸田スイッチ/紗和和和/たゆたう風/ダンス部(2)/ねこめんたい(2)/揚げたてメンチメン/U7ypK(2)/高だの高代/放尿魔/しろねこ/固定残業代(2)/悲しげな女が踊る/機関車/投票ボーナス(3)
1223_4648_HMB,2023-06-04,87人,最近彼氏が冷たいの…に一言,NA,8位,くわい,チンしたら？,21,65.39,ううまる/大河丸(2)/たゆたう風/明転や/菊之助/ニコニコ尿管結石(2)/揚げたてメンチメン/なぐ/こねぎ/りくがめ/小テスト/ダダダチョウ/悲しげな女が踊る/Chunbeam(2)/桜桃/投票ボーナス(3)
1223_4648_HMB,2023-06-04,87人,最近彼氏が冷たいの…に一言,NA,8位,揚げたてメンチメン,ここ小児科ですよ,21,65.39,アイワ/サミダレ/＃の中のカマ吉くん/大河丸(2)/たゆたう風/イワザル(2)/もふめ(2)/明石家かつお/ねこめんたい/バスカス爆発/放尿魔/悲しげな女が踊る/リック/ナンの一部/someイヨシノ/投票ボーナス(3)
1223_4648_HMB,2023-06-04,87人,最近彼氏が冷たいの…に一言,NA,10位,りくがめ,電気代浮くじゃん,18,60.97,アイワ/ダンス部/イワザル/副菜/気球マイスター/なぐ/白滝BOX/しろねこ/小テスト/悲しげな女が踊る/仙河/ナンの一部/ウザいアイコン/つぶあん/桜桃/投票ボーナス(3)
