お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2748_3653_THV,2023-06-05,91人,「うちの旦那、最近援交してるかも・・・」なぜそう思った？,NA,1位,pdf.jpg,1時間を60分って言うようになった,55,105.05,ジョンとも(2)/鴨とサイコロ/イワザル/ドクエリアス(2)/男爵いも/サケタコタン(2)/ネオサイボーグ/すえひろ(2)/オレコマンダー/ポジハメ/おらしょ(2)/watoson/ペン/ギギギーヌ(2)/コナミスポーツ/うえじゅん/らぷんつぇるん/ネクストン(2)/ちょろと/ゆきだるま/半そで/ボッロミーニ/下衆なキャット(2)/デンジャラス/なえとる(3)/フェルメール/土産/こねぎ/だんしゃり君/乖/控えめなピース/射的屋(2)/つぶあん/にじょー/仙河/プーさんたち/こんなところにエビチリ(3)/人拓(2)/投票ボーナス(3)
2748_3653_THV,2023-06-05,91人,「うちの旦那、最近援交してるかも・・・」なぜそう思った？,NA,2位,ネオサイボーグ,｢無料の方｣って言いかけてた,31,74.34,Shineman(3)/鴨とサイコロ/ゆかりそめ大明神/ところ天のすけ/すえひろ(3)/オレコマンダー/放尿魔/じろ(2)/ここはが/肘から5分/イタリア人/半そで/デンジャラス/バーチャルはしやすめ/土産/野島久助/埼の河原/控えめなピース/射的屋(2)/仙河/あかのすけ(2)/投票ボーナス(3)
2748_3653_THV,2023-06-05,91人,「うちの旦那、最近援交してるかも・・・」なぜそう思った？,NA,2位,放尿魔,「あの制服どこ校だっけ」に全部答えられる,31,74.34,焼きアイスクリーム/えむきち/イワザル/パスタスタ/サケタコタン/グリ坊/Matchart/エスニック美女軍団/ペン/じろ/ちょろと/Heaven/プライム/土産/埼の河原/控えめなピース/射的屋/にじょー/pdf.jpg(2)/ふるえるわかめちゃん/レッシー/大盛り無料/ノコノコdeath/こんなところにエビチリ(3)/あかのすけ/投票ボーナス(3)
2748_3653_THV,2023-06-05,91人,「うちの旦那、最近援交してるかも・・・」なぜそう思った？,NA,4位,ダスチン・コフマン,居酒屋で生中を頼むとき「ナマナカ」と言った。,28,70.5,多々/鴨とサイコロ/ドクエリアス(3)/urama000(2)/パスタスタ/放尿魔/いち/うえじゅん/ネクストン(2)/ちょろと/ゆきだるま/デンジャラス/バーチャルはしやすめ/プライム/だんしゃり君(2)/にじょー/pdf.jpg/レッシー/あかのすけ(2)/投票ボーナス(3)
2748_3653_THV,2023-06-05,91人,「うちの旦那、最近援交してるかも・・・」なぜそう思った？,NA,5位,いち,終わった後財布出した,25,66.66,さけふれーく(3)/鴨とサイコロ(2)/男爵いも(3)/ネオサイボーグ/Matchart/ペン/じろ/ここはが/肘から5分/Heaven/土産/乖/にじょー/レッシー/プーさんたち/人拓/クマ牧場/投票ボーナス(3)
2748_3653_THV,2023-06-05,91人,「うちの旦那、最近援交してるかも・・・」なぜそう思った？,NA,5位,うえじゅん,短い動画ばっかり見てる,25,66.66,Shineman(2)/多々(2)/ニナモリ/ところ天のすけ/すえひろ(2)/グリ坊/ダスチン・コフマン/ここはが/ランゲル・ハンス/バーチャルはしやすめ(2)/野島久助/だんしゃり君/射的屋/夭手/三ル貝/クロロフィル(3)/投票ボーナス(3)
2748_3653_THV,2023-06-05,91人,「うちの旦那、最近援交してるかも・・・」なぜそう思った？,NA,7位,ポジハメ,庭のことを「家横」と呼ぶ,23,64.1,多々/やる/かに玉御前(3)/ネオサイボーグ/グリ坊/ciansio(3)/エスニック美女軍団/ここはが/肘から5分(2)/うえじゅん/イタリア人/控えめなピース/射的屋/夭手/仙河/投票ボーナス(3)
2748_3653_THV,2023-06-05,91人,「うちの旦那、最近援交してるかも・・・」なぜそう思った？,NA,8位,すえひろ,細いタバコ吸い始めた,22,62.82,ゆかりそめ大明神/サケタコタン/エスニック美女軍団/ランゲル・ハンス/らぷんつぇるん/イタリア人/ちょろと/Heaven/ボッロミーニ/下衆なキャット/フェルメール/だんしゃり君/射的屋/つぶあん/pdf.jpg/ふるえるわかめちゃん/こんなところにエビチリ(3)/投票ボーナス(3)
2748_3653_THV,2023-06-05,91人,「うちの旦那、最近援交してるかも・・・」なぜそう思った？,NA,9位,男爵いも,YOASOBIが過ぎる,21,61.54,焼きアイスクリーム(3)/ラジウス/ciansio/morisho/watoson/ペン/じろ/ネクストン(2)/なえとる(3)/フェルメール/こねぎ/埼の河原/射的屋/投票ボーナス(3)
2748_3653_THV,2023-06-05,91人,「うちの旦那、最近援交してるかも・・・」なぜそう思った？,NA,10位,コナミスポーツ,帰宅時にお邪魔しますと言った,19,58.98,ジョンとも/鴨とサイコロ/ゆかりそめ大明神/グリ坊/放尿魔/ここはが/Heaven/半そで/土産/野島久助/埼の河原/乖/射的屋/pdf.jpg/ふるえるわかめちゃん/人拓/投票ボーナス(3)
