お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1439_6912_AWQ,2023-06-23,82人,警備員をくすぐり続けてたら、こんなことになった,NA,1位,初心者まゆげ,悔やみきれないほど人が死んだ,21,72.89,カステラ伯爵/ヤンマー部隊隊長/luck/棒(2)/兔味来果(うさみらいか)(2)/イルカドルフィン/アキクレノナゴリ/くろばら/提灯ショパン/カリモーチョ/井上ヘノシタ/林きつね(2)/スクハムハーフ/鳥たち/綿白 雪/投票ボーナス(3)
1439_6912_AWQ,2023-06-23,82人,警備員をくすぐり続けてたら、こんなことになった,NA,2位,アラカビ,誰かを想うように「お父さん頑張るから」と言った,20,70.96,せいちゃん/ヤンマー部隊隊長/棒/SHIWASU/兔味来果(うさみらいか)/きれいな市役所/野宮/くろばら/江野/覚える天ぷら/しろひり(3)/けつの園/放尿魔/林きつね/パブロ風の犬/投票ボーナス(3)
1439_6912_AWQ,2023-06-23,82人,警備員をくすぐり続けてたら、こんなことになった,NA,3位,アキクレノナゴリ,SEKICOM,19,69.04,ヤンマー部隊隊長/兔味来果(うさみらいか)/くろばら/はげダッ通/しろひり(3)/ゆるむ/初心者まゆげ/咲(2)/さらえん/二階から手続き/omiun(2)/さっつん/投票ボーナス(3)
1439_6912_AWQ,2023-06-23,82人,警備員をくすぐり続けてたら、こんなことになった,NA,3位,提灯ショパン,「これって、本当に、警備なんです、よね？」,19,69.04,群像/大喜利の母/くろばら/江野/カリモーチョ/覚える天ぷら/けつの園/放尿魔(2)/アテナイで飲酒/ssssekiiiii(3)/ノラクラ/omiun(2)/投票ボーナス(3)
1439_6912_AWQ,2023-06-23,82人,警備員をくすぐり続けてたら、こんなことになった,NA,3位,綿白 雪,だんだん体が小さくなって、最終的に一輪の花になった。,19,69.04,サザンドラ/カステラ伯爵/ヤンマー部隊隊長/きらら/野宮/アキクレノナゴリ/ボサノバ/いーな/提灯ショパン/ジョンムケ/林きつね(3)/ssssekiiiii(3)/投票ボーナス(3)
1439_6912_AWQ,2023-06-23,82人,警備員をくすぐり続けてたら、こんなことになった,NA,6位,FISHMANS,100回目で違うテキストが表示された,18,67.11,サザンドラ/ヤンマー部隊隊長/luck/きれいな市役所/野宮/紗和和和/江野/提灯ショパン/カリモーチョ/放尿魔/自惚れヌーヴォー(2)/さらえん/パブロ風の犬/ノラクラ/omiun/さっつん(2)
1439_6912_AWQ,2023-06-23,82人,警備員をくすぐり続けてたら、こんなことになった,NA,6位,鳥たち,誘導灯が淡いピンク色に光った,18,67.11,kuga(3)/サザンドラ/SHIWASU/大喜利の母/けつの園/放尿魔/林きつね/ssssekiiiii(2)/パブロ風の犬/ほとけ/さっつん(2)/投票ボーナス(3)
1439_6912_AWQ,2023-06-23,82人,警備員をくすぐり続けてたら、こんなことになった,NA,8位,SHIWASU,「寒い。」とつぶやいてから動かなくなった,17,65.18,探偵Ｏ(2)/アキクレノナゴリ/井上ヘノシタ/けつの園(2)/ジョンムケ/放尿魔/鳥たち/morisho/綿白 雪/three-all/ノラクラ/ほとけ/投票ボーナス(3)
1439_6912_AWQ,2023-06-23,82人,警備員をくすぐり続けてたら、こんなことになった,NA,8位,無知な豚キムチ,レパートリーの少なさを指摘された,17,65.18,ヤンマー部隊隊長/きらら/大喜利の母/ボサノバ(2)/提灯ショパン/ジョンムケ/放尿魔/あい/three-all(2)/ほとけ/さっつん(2)/投票ボーナス(3)
1439_6912_AWQ,2023-06-23,82人,警備員をくすぐり続けてたら、こんなことになった,NA,10位,おやま,口からカギがでてきた,16,63.25,探偵Ｏ(2)/せいちゃん/兔味来果(うさみらいか)/ここはが/無知な豚キムチ/いーな/PD/けつの園/ジョンムケ/アテナイで飲酒/morisho/綿白 雪/雑兵/three-all/ほとけ
