お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0036_2169_XYC,2023-06-29,87人,爆乳先生、母校に帰る,NA,1位,煮込みVUITTON,この頃はまだ右も左も分からない巨乳で,40,83.14,pdf.jpg/バニラソフト(2)/まきびし/otogi/DJBK/五言舌禍/サバ缶くん(3)/多々/omiun(2)/すーず(2)/シコウサクゴロー(2)/キャタピラ(2)/嶺の子/三ル貝/アンチョビ(2)/しゅみ(2)/江口 蒼🎧/アラカビ/揚げたてメンチメン/シィザa.k.a.檸檬/GYAI/ウェカピポ/Haruru/アキクレノナゴリ/アナゴさん/せせらぎ/しろひり(2)/投票ボーナス(3)
0036_2169_XYC,2023-06-29,87人,爆乳先生、母校に帰る,NA,2位,揚げたてメンチメン,これ私が乗せてた机だ,36,78.26,＃の中のカマ吉くん/みちる/じす/シーサイド品川/バニラソフト/りくがめ/杏露酒/新Goo/せりか/さらえん/しろねこ/尻海/こんなところにエビチリ(3)/煮込みVUITTON/電車を止める少女/残高200₩(3)/嶺の子/三ル貝/リック/悲しげな女が踊る/テツ/Haruru/アキクレノナゴリ(2)/四捨五入/にふだうぐも/ヤクルトレディ/さんべ商会(2)/投票ボーナス(3)
0036_2169_XYC,2023-06-29,87人,爆乳先生、母校に帰る,NA,3位,各A,１つ寄贈した,32,73.37,みちる/三遊亭たわし(2)/まきびし/ぼんぼら/りくがめ/ほとけ(2)/新Goo/無mean/さらえん/質素キン/すーず/じゃん(2)/尻海/バラバラの鳥/煮込みVUITTON/電車を止める少女/ぺるとも(2)/順也/揚げたてメンチメン/メスカマキリ/GYAI/四捨五入/すでショ/突然及川/せせらぎ/投票ボーナス(3)
0036_2169_XYC,2023-06-29,87人,爆乳先生、母校に帰る,NA,3位,四捨五入,懐かしい視線ね,32,73.37,＃の中のカマ吉くん/みちる/じす/シーサイド品川/バニラソフト/りくがめ/新Goo/気球マイスター/しろねこ/質素キン/じゃん/キャタピラ(2)/残高200₩(3)/クルペッコの手羽元/アンチョビ(2)/倉田 をるけ/テツ/卑怯なヘビ(2)/揚げたてメンチメン/ぴーたん/にふだうぐも/ヤクルトレディ/突然及川(2)/投票ボーナス(3)
0036_2169_XYC,2023-06-29,87人,爆乳先生、母校に帰る,NA,5位,りくがめ,「立派になって」と顔を見ずに言われる,31,72.15,＃の中のカマ吉くん/みちる/じす/黒胡椒/まきびし/アマントササ/DJBK/ほとけ/五言舌禍/多々/やじうさん/せりか/しろねこ/シコウサクゴロー/こんなところにエビチリ(2)/咲/リック/しゅみ(3)/各A/テツ/揚げたてメンチメン/シィザa.k.a.檸檬(3)/四捨五入/投票ボーナス(3)
0036_2169_XYC,2023-06-29,87人,爆乳先生、母校に帰る,NA,5位,ヤクルトレディ,狭くなったわねがウケる,31,72.15,pdf.jpg/＃の中のカマ吉くん/ジェンツーペンギン/DAKARA/黒胡椒/シーサイド品川/まきびし/ぼんぼら/みかやな(2)/りくがめ/ほとけ/五言舌禍/せりか/すーず/シコウサクゴロー/尻海/クルペッコの手羽元/三ル貝/アンチョビ/倉田 をるけ/アラカビ/サケタコタン/にふだうぐも/きなこステップ/さんべ商会/せせらぎ(2)/投票ボーナス(3)
0036_2169_XYC,2023-06-29,87人,爆乳先生、母校に帰る,NA,7位,大仏作ってる,知らない間に校歌になってた,28,68.49,うろじうそ/じす/ぼんぼら(2)/DJBK/ほとけ/MODY/気球マイスター/せりか/尻海/煮込みVUITTON/電車を止める少女(2)/ぺるとも/倉田 をるけ/悲しげな女が踊る/各A/江口 蒼🎧/揚げたてメンチメン/メスカマキリ/GYAI/ぴーたん/四捨五入/もんじゃら(2)/投票ボーナス(3)
0036_2169_XYC,2023-06-29,87人,爆乳先生、母校に帰る,NA,8位,ぺるとも,もしかしてこの音は,27,67.27,＃の中のカマ吉くん/みちる/シーサイド品川/りくがめ/新Goo/多々/omiun/すーず/キャタピラ/こんなところにエビチリ(2)/残高200₩(3)/三ル貝/テツ/揚げたてメンチメン/四捨五入/にふだうぐも/アナゴさん/もんじゃら/ずずエさん/さんべ商会(2)/投票ボーナス(3)
0036_2169_XYC,2023-06-29,87人,爆乳先生、母校に帰る,NA,8位,気球マイスター,丸いシルエットが見えて、まさかとなる,27,67.27,ジェンツーペンギン/みちる/まきびし/アマントササ(2)/みかやな/DJBK/杏露酒/omiun/さらえん/しろねこ/バラバラの鳥(2)/煮込みVUITTON/三ル貝/順也(2)/アラカビ/揚げたてメンチメン/四捨五入/アナゴさん(2)/突然及川/しろひり/投票ボーナス(3)
0036_2169_XYC,2023-06-29,87人,爆乳先生、母校に帰る,NA,10位,充,乳の分も給食出された,26,66.05,ジェンツーペンギン/三遊亭たわし/アマントササ(2)/ぼんぼら/みかやな(2)/サバ缶くん/多々/omiun(3)/せりか/しろねこ/バラバラの鳥(2)/咲/ぺるとも(2)/アラカビ/メスカマキリ(2)/GYAI/ぴーたん/しろひり(2)
