お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3917_4715_PQB,2023-07-03,123人,50年後の未来、遅刻の言い訳の定番は？,NA,1位,住まなくても都,全然人格決まんなくて,45,89.89,架空の島田(2)/まくら計画 かなめ(2)/きらら/いちご/たくみす(2)/ここはが/江野/赤色のメイさん/さくらんぼソフト(2)/資本ネコ/祟り君/あわもち/高見盛/SUPER宇多田MAX/順也/jinseitsurao/mochifu/白黒まみれ/いわな/ギギギーヌ(3)/苔むす/やもりみゆき/パパよりママ派/ねくび/おびわん/げんき/やや不安/魚粉/ジョンムケ/イガイガの栗/男も育休(2)/きれいな市役所/たがはずれ/ポジ/ぶりぶり大根/投票ボーナス(3)
3917_4715_PQB,2023-07-03,123人,50年後の未来、遅刻の言い訳の定番は？,NA,2位,SUPER宇多田MAX,情報の川でおばあちゃんが溺れてて,42,86.05,きなこステップ/たくみす/あかのすけ/かい/轢死(3)/さくらんぼソフト/MODY/土産/Longab/ともすれば(2)/つゆだQ/べべべ/ふわっと/順也/jinseitsurao/のとさわ(2)/こねぎ/わんわんお/ちゃ柴(2)/今日未明/白黒まみれ/しらす/DJBK/パパよりママ派/ぷっちょにあ/土編に花でゴミと読む/国産/HS三遊間(2)/男も育休/ずずエさん/救済パン(2)/ほぼ赤ちゃん/投票ボーナス(3)
3917_4715_PQB,2023-07-03,123人,50年後の未来、遅刻の言い訳の定番は？,NA,3位,ギギギーヌ,もう僕だけだしいいかなって,37,79.65,ヤバいマイケル屋さん/架空の島田/たくみす/そにぃ/あかのすけ/資本ネコ/fukuinneet(2)/烈風ぺんぎん/つきかかか/土産/あわもち(2)/べべべ/SUPER宇多田MAX(2)/ニコニコ尿管結石(3)/苔むす/フイ/住まなくても都/げんき/じす/やや不安(2)/街メロン/Haruru/鉄シャリ/イガイガの栗/男も育休/ほぼ赤ちゃん/たがはずれ/ぶりぶり大根/投票ボーナス(3)
3917_4715_PQB,2023-07-03,123人,50年後の未来、遅刻の言い訳の定番は？,NA,4位,りあ,OKA-3が起こしてくれなくて,33,74.53,ヤバいマイケル屋さん/架空の島田/そろばん６級/MODY/祟り君/土産/Longab/あわもち(2)/べべべ/高見盛/jinseitsurao/のとさわ/ちんほ。/自家用車洗浄用bot/ちゃ柴(2)/mochifu(2)/白黒まみれ/kou/DJBK/ヤンマー部隊隊長/夜食/ねくび/ぽゃぽゃ/HS三遊間(2)/ほぼ赤ちゃん/たがはずれ/投票ボーナス(3)
3917_4715_PQB,2023-07-03,123人,50年後の未来、遅刻の言い訳の定番は？,NA,5位,Haruru,親機が起こしてくれなくて,32,73.25,まくら計画 かなめ(2)/いちご/たくみす/そにぃ(3)/あかのすけ(2)/赤色のメイさん/BFGH/資本ネコ/スコール/ガッボデ(2)/jinseitsurao/はがね/ちんほ。/ヤンマー部隊隊長/はんドレ/おびわん/じす/やや不安(2)/HS三遊間(2)/イガイガの栗/ずずエさん/ほぼ赤ちゃん/投票ボーナス(3)
3917_4715_PQB,2023-07-03,123人,50年後の未来、遅刻の言い訳の定番は？,NA,5位,かい,道に迷ってる旧型がいて,32,73.25,いちご/たくみす/ここはが/そろばん６級/祟り君(3)/ガッボデ(2)/順也/jinseitsurao/白黒まみれ/ひろふみ/しらす/DJBK/ヤンマー部隊隊長/三遊亭たわし(3)/パパよりママ派/ねくび/はいどぼーい/じす(2)/魚粉/男も育休/下沼恵美子/ぶりぶり大根(2)/投票ボーナス(3)
3917_4715_PQB,2023-07-03,123人,50年後の未来、遅刻の言い訳の定番は？,NA,7位,架空の島田,今朝はまだ肉体が無くて,31,71.97,いちご/BFGH/スコール/烈風ぺんぎん(2)/つきかかか/ガッボデ/あわもち(2)/順也/こねぎ/キムさん(2)/ミスティカティ/今日未明/ひろふみ/三遊亭たわし/おびわん/住まなくても都/みなも/げんき/じす/ジョンムケ/イガイガの栗/はげダッ通/男も育休/ずずエさん/きれいな市役所/投票ボーナス(3)
3917_4715_PQB,2023-07-03,123人,50年後の未来、遅刻の言い訳の定番は？,NA,8位,土編に花でゴミと読む,メタバース出勤の日と思ってて,27,66.86,ヤバいマイケル屋さん/きらら/あかのすけ(2)/ノラクラ/ししだ/固定残業代/MODY/土産/ともすれば(2)/順也/jinseitsurao/ちんほ。/ミスティカティ(2)/こんなところにエビチリ/kou(2)/ひろふみ/ヤンマー部隊隊長/はいどぼーい/はげダッ通/ぶりぶり大根/投票ボーナス(3)
3917_4715_PQB,2023-07-03,123人,50年後の未来、遅刻の言い訳の定番は？,NA,9位,順也,上も下も渋滞で…,26,65.58,ヤバいマイケル屋さん(2)/きらら(2)/たくみす(2)/ここはが/ノラクラ/さくらんぼソフト/資本ネコ/土産/Longab/つゆだQ(2)/SUPER宇多田MAX/ミスティカティ/ギギギーヌ/ヤンマー部隊隊長/やもりみゆき/三遊亭たわし(2)/春雨/ぶりぶり大根/投票ボーナス(3)
3917_4715_PQB,2023-07-03,123人,50年後の未来、遅刻の言い訳の定番は？,NA,10位,やや不安,また変えられなかった…,25,64.3,架空の島田/まくら計画 かなめ(3)/ししだ/資本ネコ/ガッボデ/土産/つゆだQ(2)/高見盛/自家用車洗浄用bot/モチ/白黒まみれ/DJBK/秋月杏子/はいどぼーい/じす(2)/焼きサバ/イガイガの栗/ぶりぶり大根/投票ボーナス(3)
3917_4715_PQB,2023-07-03,123人,50年後の未来、遅刻の言い訳の定番は？,NA,11位,つきかかか,回線が混んでて,24,63.02,きなこステップ/まくら計画 かなめ/たくみす/パピヨン/かい/江野/そろばん６級/ガッボデ/ふわっと/わんわんお/ミスティカティ/苔むす/やもりみゆき/三遊亭たわし/はんドレ/ぷっちょにあ/みなも/焼きサバ/下沼恵美子/きれいな市役所/ぶりぶり大根/投票ボーナス(3)
3917_4715_PQB,2023-07-03,123人,50年後の未来、遅刻の言い訳の定番は？,NA,11位,国産,ルンバの親子が道路横断してて,24,63.02,きなこステップ/ここはが/あかのすけ/そろばん６級/夭手(2)/fukuinneet/祟り君(2)/Longab/べべべ/高見盛/ちんほ。/mochifu/苔むす/ねくび/みなも/HS三遊間(2)/ほぼ赤ちゃん/下沼恵美子/投票ボーナス(3)
3917_4715_PQB,2023-07-03,123人,50年後の未来、遅刻の言い訳の定番は？,NA,13位,ぽゃぽゃ,道で故障したおバーチャルを助けてて……,23,61.74,きらら(2)/ノラクラ/祟り君/ガッボデ/鮒侍/mochifu(2)/ギギギーヌ(2)/ヤンマー部隊隊長/ぷっちょにあ/春雨/HS三遊間(2)/魚粉/街メロン/理知(2)/たがはずれ/投票ボーナス(3)
