お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1225_9720_YBR,2023-07-06,94人,癌の宣告を上手く誤魔化してください,NA,1位,ひとしおのよろこび,でもほら笑った顔にも見える,34,81.84,ぷっちょにあ/jomajoma(3)/カレーラ水/秋月杏子/ねむり/ふわっと/パープルハーフ(3)/GYAI/マルイは二進法で5/りと°/バム/机上で実演(2)/T-FOX(3)/辰巳竜/げんき(2)/浅間山から真っ逆さま/湿る気持ち(3)/なんこつ/ラスター(3)/投票ボーナス(3)
1225_9720_YBR,2023-07-06,94人,癌の宣告を上手く誤魔化してください,NA,1位,控えめなピース,映画化の可能性もあります,34,81.84,ベターなチェア/こんぺいとう雑誌/ずずエさん/jomajoma/ダイニッポン(3)/たいや/顔面激戦区/秋月杏子/ある人(2)/ふわっと/あかのすけ/さいころちゃらみん(2)/日本国憲法(2)/人民元(2)/ねこめんたい/バム/机上で実演/ここはが/フェルメール/たくみす/桜田モンタージュ/高見盛/げんき/冷食パスタレビュー/りす/投票ボーナス(3)
1225_9720_YBR,2023-07-06,94人,癌の宣告を上手く誤魔化してください,NA,3位,へなちょこ,革命起きたら一番強いです,31,77.46,おびわん/偶出殴流/たいや/桃山ももたろう(2)/顔面激戦区(2)/控えめなピース/ふわっと/パープルハーフ(3)/日本国憲法(2)/カタン/タカノリ・タカノ/やんわり/りと°/ねこめんたい/バム/ここはが/T-FOX(2)/げんき/湿る気持ち(3)/ミニベロ/投票ボーナス(3)
1225_9720_YBR,2023-07-06,94人,癌の宣告を上手く誤魔化してください,NA,4位,ある人,はたらく細胞でいう、神回ですね,26,70.17,ベターなチェア/jomajoma/莉蒼/ひとしおのよろこび/ねむり/ポジハメ/あかのすけ/GYAI/するめ/タカノリ・タカノ/微生物のかたまり/アウク/轢死/りと°/ねこめんたい/水星ドラムロール/T-FOX(2)/なぐ/桜田モンタージュ/教えて欲しいテクノロジー/あの日のニンニ/他のＰ/投票ボーナス(3)
1225_9720_YBR,2023-07-06,94人,癌の宣告を上手く誤魔化してください,NA,4位,たくみす,ランキングで言う1位です,26,70.17,男爵いも/偶出殴流/桃山ももたろう(2)/ポジハメ/するめ/カタン/桜桃/アイワ/微生物のかたまり/wanumayu(2)/轢死/ノコノコdeath/やんわり/りと°/ここはが/くに/水星ドラムロール/浅間山から真っ逆さま/BFGH/りす/他のＰ/投票ボーナス(3)
1225_9720_YBR,2023-07-06,94人,癌の宣告を上手く誤魔化してください,NA,6位,hashiba,あと半年無敵です,25,68.71,ぷっちょにあ/偶出殴流/ずずエさん/鴨とサイコロ/莉蒼/各A/ある人/ポジハメ/やんわり/バム/机上で実演/月見里/へなちょこ/水星ドラムロール(2)/大喜利の母/高見盛/冷食パスタレビュー/あの日のニンニ/りす/京セラ/ラスター/投票ボーナス(3)
1225_9720_YBR,2023-07-06,94人,癌の宣告を上手く誤魔化してください,NA,7位,げんき,マジカルバナナ♪死因といったら,24,67.25,おびわん/ひとしおのよろこび/ねむり(3)/ふわっと(3)/するめ/カタン/ほろほろ/wanumayu(2)/土産/なぐ/桜田モンタージュ/教えて欲しいテクノロジー(2)/冷食パスタレビュー/屋内用雨傘/ラスター/投票ボーナス(3)
1225_9720_YBR,2023-07-06,94人,癌の宣告を上手く誤魔化してください,NA,8位,りと°,ネクストステージ進出です,23,65.79,たいや/ひとしおのよろこび/各A(2)/ふわっと/するめ/人民元/マルイは二進法で5/wanumayu/やんわり/机上で実演/大喜利の母/げんき/浅間山から真っ逆さま/教えて欲しいテクノロジー/りす/プーアル茶/他のＰ/なんこつ/ラスター/投票ボーナス(3)
1225_9720_YBR,2023-07-06,94人,癌の宣告を上手く誤魔化してください,NA,8位,ノコノコdeath,まずはステージ2進出おめでとうございます,23,65.79,ぷっちょにあ/ずずエさん/莉蒼/ひとしおのよろこび/ある人/ねむり/するめ/カタン/タカノリ・タカノ(2)/黒胡椒/月見里/へなちょこ/T-FOX/發狂亭怪樂/大喜利の母(2)/BFGH/京セラ/他のＰ/投票ボーナス(3)
1225_9720_YBR,2023-07-06,94人,癌の宣告を上手く誤魔化してください,NA,8位,偶出殴流,勉強とかやめてもいいよ,23,65.79,鴨とサイコロ/顔面激戦区/ひとしおのよろこび/秋月杏子/ねむり/塩サバ/ほろほろ/wanumayu/轢死(2)/ノコノコdeath/黒胡椒/バム/土産/くに/なぐ/發狂亭怪樂/りす/ミニベロ/屋内用雨傘/投票ボーナス(3)
