お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0889_1671_PNY,2023-07-11,133人,"志望校落ちたやつにそんなこと言うな。
",NA,1位,近視性乱視,明日もう一回見に来るか,43,83.18,愛²/鴨とサイコロ(2)/所々ジョージ/荒川憩(2)/魔児(2)/ぼんぼら(3)/はんドレ/みちる/四捨五入/ALE/紺色/優しいダンプカー/奇妙な男/よしお/おきよ/ニア・ディゾン/Houston/偶出殴流/gas/苛烈王/豪遊詩人/shu/お嬢様ですわぁ/住まなくても都/万物/ミズイチ/哲学ミミズ/800/rayleigh/紗和和和/ＣＭＣ/じゃい/辰巳竜/Heaven/のとさわ/投票ボーナス(3)
0889_1671_PNY,2023-07-11,133人,"志望校落ちたやつにそんなこと言うな。
",NA,2位,麺青め,かなり早めに過去問解けてよかったな,40,79.63,江野/所々ジョージ/荒川憩(2)/はんドレ/高だの高代/大喜利/コウ門科(2)/ALE(2)/waaaan/大山ひろのり/よしお/循環器/Houston/gas/肘から5分(2)/shu/自動車部員/お嬢様ですわぁ/万物/落合監督(2)/ザクロニシキ/カステラ伯爵/パピーゲバ/哲学ミミズ/rayleigh/半丙太(2)/白玉(3)/轢死/ＣＭＣ/投票ボーナス(3)
0889_1671_PNY,2023-07-11,133人,"志望校落ちたやつにそんなこと言うな。
",NA,3位,鳥たち,▼オートセーブ中……,39,78.45,ギンギンなサル(3)/江野/ぼんぼら/理科インターネット/近視性乱視/ほのぼの乳首/よしお(2)/マルイは二進法で5/Houston/こっぺ/ねこめんたい/いちとっと/三度の飯より間食/豪遊詩人/桃山ももたろう(3)/お嬢様ですわぁ/つゆだQ/ミズイチ/juju/パピーゲバ/イケダ/たこまけ(3)/白玉(2)/紗和和和/パステルゆんゆん/ＣＭＣ(2)/へなちょこ(2)/泡山田/全王様
0889_1671_PNY,2023-07-11,133人,"志望校落ちたやつにそんなこと言うな。
",NA,4位,骨密度,何のハチマキだったの,38,77.27,愛²/所々ジョージ/みちる/理科インターネット/近視性乱視/R😶/珍百景のクロ/fcfc(2)/奇妙な男/マルイは二進法で5/こっぺ(3)/偶出殴流(2)/無糖好き(3)/恥さらしのスパゲッティ/shu/洋介山/みずもと/住まなくても都(2)/万物/落合監督(2)/BBG/哲学ミミズ/800/rayleigh/半丙太/紗和和和/新田.jpg/投票ボーナス(3)
0889_1671_PNY,2023-07-11,133人,"志望校落ちたやつにそんなこと言うな。
",NA,5位,大喜利,学食は生徒以外も食えるらしいぞ,34,72.54,鴨とサイコロ/突然及川/荒川憩(2)/ごくごくアイスティー(3)/みちる/理科インターネット/近視性乱視/珍百景のクロ/fcfc/おきよ/ニア・ディゾン/洋介山/ただならぬ綿棒/ばちゃごぶ/つゆだQ/ザクロニシキ/Lilなすx(3)/BBG/麺青め/我我我/紗和和和/ＣＭＣ/へなちょこ/辰巳竜/泡山田/きゅん/投票ボーナス(3)
0889_1671_PNY,2023-07-11,133人,"志望校落ちたやつにそんなこと言うな。
",NA,6位,waaaan,今度は誰のせい？,33,71.36,鴨とサイコロ(2)/魔児/はんドレ(2)/四捨五入/珍百景のクロ/骨密度/fcfc/優しいダンプカー/奇妙な男/おきよ/gas/shu/ただならぬ綿棒/桃山ももたろう(3)/つゆだQ/ミズイチ/ザクロニシキ/カステラ伯爵/たこまけ/我我我/紗和和和/ＣＭＣ/へなちょこ/田口さん🍙/泡山田/きゅん/投票ボーナス(3)
0889_1671_PNY,2023-07-11,133人,"志望校落ちたやつにそんなこと言うな。
",NA,7位,へなちょこ,受けてなくても一緒だね,32,70.18,突然及川/荒川憩/魔児/ぼんぼら/はんドレ/理科インターネット/しゅーきち/EPOCALC/おきよ/こっぺ(3)/偶出殴流/gas/無糖好き/まったん冷え性/みずもと/つゆだQ/カステラ伯爵/BBG/パピーゲバ/800/半丙太/我我我/轢死(2)/紗和和和/ポジ/ひろふみ/投票ボーナス(3)
0889_1671_PNY,2023-07-11,133人,"志望校落ちたやつにそんなこと言うな。
",NA,8位,鴨とサイコロ,何をしゃべっても言い訳に聞こえるね,31,69.0,魔児/長谷川キモ彦/コウ門科(2)/しゅーきち/紺色/ほのぼの乳首/waaaan(2)/偶出殴流/eipen(3)/ねこめんたい/gas/苛烈王(2)/まったん冷え性/お嬢様ですわぁ/住まなくても都/落合監督/juju/麺青め/轢死(2)/かーむ/田口さん🍙/Heaven/投票ボーナス(3)
0889_1671_PNY,2023-07-11,133人,"志望校落ちたやつにそんなこと言うな。
",NA,9位,いくらん,胴上げのキャンセルしてくるね,29,66.64,魔児(2)/ぼんぼら/大喜利/四捨五入/奇妙な男/さんべ商会(2)/恥さらしのスパゲッティ/洋介山/つゆだQ/万物/ミズイチ/哲学ミミズ/rayleigh/半丙太/たこまけ/紗和和和/パステルゆんゆん/ＣＭＣ/がんばりま翔/辰巳竜/ふさふさマカオ/Heaven/のとさわ/きゅん/投票ボーナス(3)
0889_1671_PNY,2023-07-11,133人,"志望校落ちたやつにそんなこと言うな。
",NA,9位,オモチョレ,ようやくスキーの話できるわ,29,66.64,突然及川/江野/高だの高代/理科インターネット/R😶/骨密度(2)/waaaan/循環器/ニア・ディゾン/無糖好き/shu/ただならぬ綿棒(2)/ミズイチ(2)/800/rayleigh/麺青め/半丙太/ＣＭＣ(3)/がんばりま翔/Heaven/新田.jpg/投票ボーナス(3)
0889_1671_PNY,2023-07-11,133人,"志望校落ちたやつにそんなこと言うな。
",NA,9位,万物,受験態度は首席だったよ,29,66.64,江野/高だの高代/みちる/四捨五入/ALE/珍百景のクロ/ルシファー/露骨/Houston/モチ/偶出殴流/ねこめんたい/いちとっと/チャーリーさん(2)/まったん冷え性/ばちゃごぶ/みずもと/スシざんがい/Lilなすx(2)/800/rayleigh/ブトマ/ひろふみ/全王様/投票ボーナス(3)
0889_1671_PNY,2023-07-11,133人,"志望校落ちたやつにそんなこと言うな。
",NA,12位,モチ,運転任せていい？,28,65.45,鴨とサイコロ/魔児/大喜利/理科インターネット/ザワⅡ/珍百景のクロ/ニア・ディゾン/恥さらしのスパゲッティ/BBG/パピーゲバ/オモチョレ/rayleigh/犬ヒロシ/麺青め/あぐら(3)/紗和和和/かーむ/がんばりま翔/ふさふさマカオ/Heaven/新田.jpg(2)/全王様/投票ボーナス(3)
0889_1671_PNY,2023-07-11,133人,"志望校落ちたやつにそんなこと言うな。
",NA,12位,恥さらしのスパゲッティ,ウチで赤飯食べるけど来る？,28,65.45,荒川憩/魔児/みちる/コウ門科/しゅーきち(2)/骨密度/fcfc/おきよ/ルシファー/露骨/モチ/三度の飯より間食/肘から5分/豪遊詩人/ぽぅぽ/自動車部員/お嬢様ですわぁ/Lilなすx/イケダ/半丙太/白玉(2)/紗和和和/田口さん🍙/投票ボーナス(3)
0889_1671_PNY,2023-07-11,133人,"志望校落ちたやつにそんなこと言うな。
",NA,14位,eipen,来年から敬語使えよ,26,63.09,所々ジョージ/みちる/四捨五入/近視性乱視/ほのぼの乳首/EPOCALC/循環器/マルイは二進法で5/もんじゃら/モチ/gas/苛烈王/恥さらしのスパゲッティ/ぽぅぽ(2)/自動車部員/BBG/哲学ミミズ/半丙太/我我我/ひろふみ/Heaven/全王様/投票ボーナス(3)
0889_1671_PNY,2023-07-11,133人,"志望校落ちたやつにそんなこと言うな。
",NA,14位,のとさわ,春はお前のこと嫌いだって,26,63.09,ギンギンなサル/高だの高代/しゅーきち(2)/ALE(3)/くに/ほのぼの乳首/奇妙な男(2)/鈴本/偶出殴流/gas/ばちゃごぶ/みずもと/万物/カステラ伯爵/哲学ミミズ/パステルゆんゆん/ＣＭＣ/ポジ/へなちょこ/投票ボーナス(3)
