お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,1位,800,これ用の脳いるだろ,44,83.14,SSR/嫁用の秋茄子/みやまる/尻海/ナンの一部/轢死/生ハム子(2)/げんき/三ル貝/循環/和栗餡(3)/土編に花でゴミと読む/なまこP/BBG/jinsei/ぎゅっとハムスター/鳥たち/Haruru(2)/骨密度/灰色こたつ/揚げたてメンチメン/鴨とサイコロ/マンションポエム/ランゲル・ハンス/机上で実演/910器/ミズイチ/気球マイスター/星ドッラ/ガセの子/アナゴさん/DJBK/rayleigh/業務用虚無(2)/伊坂/半丙太/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,2位,あぐら,説明するとね,42,80.84,嫁用の秋茄子/さまんさまんさ/ナンの一部/800/生ハム子/げんき/循環/ららら/BBG/jinsei/元お年玉/ジェンツーペンギン/餃子味のラーメン/やる/edo/実家に帰った鶴/明石家かつお/ただならぬ綿棒(2)/板原(3)/田口さん🍙/超ピンク/放尿魔/うえじゅん/910器/ミズイチ/puranarixa/ガセの子/扇風機(2)/Tinderなら当たり(2)/ALE(3)/まったん冷え性/やんわり/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,3位,上田スヌーピー,これって嘘ついていいんですか？,40,78.54,まきびし/尻海/ベターなチェア/wanumayu(2)/ナンの一部/轢死/新大/大仏作ってる/あると/戸田ニッパー/なまこP/ぜ。(2)/憶霜論(2)/やる/むふう/実家に帰った鶴/あい/骨密度/もんさん/ただならぬ綿棒(2)/揚げたてメンチメン/机上で実演/パープルハーフ(3)/れいり໒꒱. ﾟ/ミズイチ/星ドッラ/rayleigh/業務用虚無(3)/やんわり/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,4位,アナゴさん,なんかみんな必死ですね,38,76.24,まきびし/ベターなチェア/やなな/あると(2)/循環/ららら/やじうさん/なまこP/インドスカイ/BBG/ぎゅっとハムスター/生薬/憶霜論/鳥たち/骨密度/灰色こたつ/鴨とサイコロ(2)/ランゲル・ハンス(2)/シーサイド品川/くに(2)/板原/田口さん🍙/机上で実演/れいり໒꒱. ﾟ/910器/puranarixa/気球マイスター/星ドッラ/扇風機/伊坂/まったん冷え性/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,4位,気球マイスター,あのこれ正解なんですけど,38,76.24,さまんさまんさ/wanumayu(2)/ナンの一部/轢死(2)/げんき/三ル貝/大仏作ってる/あると(2)/なまこP/BBG/生薬/犬ヒロシ/はいどぼーい/エレメノピー/憶霜論/やる/灰色こたつ/揚げたてメンチメン/ランゲル・ハンス(2)/くに/板原(2)/超ピンク/放尿魔/リトマス試験紙/机上で実演/パープルハーフ(3)/りあ/確率論のパラテママ/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,6位,Haruru,若い子には伝わんないか,34,71.64,まきびし/さまんさまんさ/尻海/wanumayu/生ハム子(2)/三ル貝/あると(2)/山本社出版数学Ⅲ/コナミスポーツ/ぜ。(2)/生薬/餃子味のラーメン/はいどぼーい/ふわっと/むふう/あい/骨密度/当たり梅/田口さん🍙(3)/放尿魔/机上で実演/puranarixa/DJBK/扇風機/Tinderなら当たり/まったん冷え性/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,6位,ふわっと,言いたいことは一緒だろ,34,71.64,嫁用の秋茄子/まきびし/尻海/800/生ハム子/新大/循環/和栗餡/そよくら/近視性乱視/なまこP/インドスカイ/生薬/ノビッタ/ジェンツーペンギン/後厄/むふう/明石家かつお/骨密度/もんさん/灰色こたつ/揚げたてメンチメン/マンションポエム/板原/田口さん🍙/うえじゅん/プーアル茶/確率論のパラテママ/気球マイスター/rayleigh/業務用虚無/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,8位,土編に花でゴミと読む,部分点ありますか,32,69.34,まきびし/ナンの一部/げんき/そよくら/なまこP/BBG/コナミスポーツ/ぜ。/元お年玉(2)/ノビッタ/ジェンツーペンギン/はいどぼーい/edo/明石家かつお/骨密度/マンションポエム/リトマス試験紙/うえじゅん/れいり໒꒱. ﾟ/ミズイチ/ガセの子/rayleigh/テツ/伊坂/Tinderなら当たり/ALE/焼きすぎたカルビ/まったん冷え性/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,9位,BBG,これ親なら笑ってます,31,68.19,アラカビ/wanumayu/800/近視性乱視/なまこP/ゆめみ/ぜ。/生薬/所々ジョージ/やる/むふう/鳥たち/ただならぬ綿棒(2)/揚げたてメンチメン/超ピンク/机上で実演/うえじゅん/れいり໒꒱. ﾟ/910器/puranarixa/気球マイスター/上田スヌーピー(3)/テツ/伊坂/やんわり/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,10位,あると,どれも嫌だろ,30,67.04,新人しじみ/嫁用の秋茄子/まきびし/アラカビ/みやまる/ナンの一部/轢死(3)/げんき/循環/山本社出版数学Ⅲ/Haruru/当たり梅/ランゲル・ハンス/シーサイド品川/超ピンク/放尿魔/うえじゅん/確率論のパラテママ/あぐら(2)/ミズイチ/ガセの子/アナゴさん/DJBK/rayleigh/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,11位,新大,本当のこと言ってる人いますか,28,64.74,アラカビ/尻海/ナンの一部/800/循環/そよくら/戸田ニッパー/近視性乱視/なまこP/ぜ。/ふわっと/edo/鳥たち/Haruru/シーサイド品川/放尿魔/うえじゅん/りあ/プーアル茶/れいり໒꒱. ﾟ/あぐら/ミズイチ/気球マイスター/ALE/やんわり/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,12位,りあ,回答例とかありますか？,26,62.44,まきびし/さまんさまんさ/轢死/大仏作ってる/あると/なまこP/ジェンツーペンギン/はいどぼーい/春雨/ふわっと/むふう/実家に帰った鶴/灰色こたつ/シーサイド品川/机上で実演/確率論のパラテママ/気球マイスター/業務用虚無/テツ/伊坂/ALE(2)/やんわり/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,12位,放尿魔,どこで改行したらウケますか,26,62.44,まきびし/ベターなチェア/wanumayu/三ル貝/あると(2)/和栗餡/ららら/BBG/餃子味のラーメン/春雨/憶霜論/ふわっと/鳥たち(2)/明石家かつお/Haruru/揚げたてメンチメン/れいり໒꒱. ﾟ/910器/確率論のパラテママ/伊坂/まったん冷え性/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,14位,マンションポエム,まず小喜利から練習したい,25,61.28,さまんさまんさ/大仏作ってる/やじうさん/戸田ニッパー/マイケルコース/犬ヒロシ/所々ジョージ/ノビッタ/春雨/エレメノピー(2)/憶霜論/鳥たち/揚げたてメンチメン/プーアル茶/910器/ガセの子/業務用虚無/伊坂/Tinderなら当たり/焼きすぎたカルビ(2)/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,14位,大仏作ってる,ムキムキのドラえもん描いて大爆笑取れてた頃に戻りたい,25,61.28,SSR/まきびし/みやまる/やじうさん/なまこP(2)/元お年玉/所々ジョージ/憶霜論/実家に帰った鶴/もんさん/リトマス試験紙/机上で実演/910器/puranarixa/rayleigh/業務用虚無(2)/上田スヌーピー(3)/やんわり/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,14位,近視性乱視,投票ボーナスさんだけがウチの味方かも,25,61.28,SSR/新人しじみ/まきびし/大仏作ってる/そよくら(3)/なまこP(2)/むふう/実家に帰った鶴/もんさん(2)/マンションポエム/当たり梅/田口さん🍙/910器/ガセの子(2)/DJBK/テツ/伊坂/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,17位,当たり梅,なにしてんの、これ、今,24,60.13,まきびし/ベターなチェア/新大(2)/大仏作ってる/循環/なまこP/ノビッタ/やる/揚げたてメンチメン/ランゲル・ハンス/シーサイド品川/放尿魔/うえじゅん/あぐら(2)/扇風機/業務用虚無(2)/Tinderなら当たり(2)/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,17位,所々ジョージ,こんな自分は嫌だ,24,60.13,SSR/ナンの一部/800/あると/やじうさん/そよくら(3)/なまこP/憶霜論/あい/Haruru(2)/ただならぬ綿棒(2)/鴨とサイコロ(2)/放尿魔/れいり໒꒱. ﾟ/ミズイチ/伊坂/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,19位,半丙太,信用してる一人にだけ見せたい,23,58.98,まきびし/尻海/800/新大/げんき/三ル貝/やなな/そよくら/なまこP/BBG/ぎゅっとハムスター/ノビッタ/エレメノピー(2)/揚げたてメンチメン/鴨とサイコロ/ランゲル・ハンス/机上で実演/うえじゅん/焼きすぎたカルビ/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,20位,まったん冷え性,お題側がもっと歩み寄って来い,22,57.83,さまんさまんさ/800/生ハム子/三ル貝/あると(2)/循環/ららら/山本社出版数学Ⅲ/なまこP/BBG/餃子味のラーメン/春雨/あい/もんさん/ランゲル・ハンス/板原/リトマス試験紙/テツ/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,20位,れいり໒꒱. ﾟ,スピードを褒めて欲しい,22,57.83,嫁用の秋茄子(2)/ららら/近視性乱視/なまこP/エレメノピー(3)/やる/灰色こたつ/シーサイド品川/田口さん🍙/机上で実演/パープルハーフ(3)/rayleigh(2)/まったん冷え性/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,20位,田口さん🍙,そっちだったかー,22,57.83,wanumayu/あると/戸田ニッパー/なまこP/ぜ。(3)/元お年玉/やる/くに(2)/超ピンク/あぐら(2)/業務用虚無(2)/テツ/Tinderなら当たり/まったん冷え性/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,23位,なまこP,昨日はウケけてたんだけどな,21,56.68,まきびし/さまんさまんさ/大仏作ってる/山本社出版数学Ⅲ/インドスカイ/生薬/元お年玉/ふわっと/せいじ/マンションポエム/田口さん🍙/リトマス試験紙/プーアル茶/星ドッラ/扇風機/テツ/ALE/焼きすぎたカルビ/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,23位,もんじゃら,どうせ組織票だよな,21,56.68,SSR/wanumayu/生ハム子/三ル貝/循環/山本社出版数学Ⅲ(3)/なまこP/jinsei/餃子味のラーメン/明石家かつお/リトマス試験紙/910器/puranarixa/業務用虚無/半丙太/まったん冷え性/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,23位,シーサイド品川,この1位要素拾ってないだろ,21,56.68,ベターなチェア/轢死/三ル貝/なまこP(2)/どらごんちゅ(3)/はいどぼーい/ふわっと/マンションポエム/リトマス試験紙/机上で実演/れいり໒꒱. ﾟ/DJBK/業務用虚無/伊坂/まったん冷え性/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,23位,ノビッタ,嫌なアイドルなんていないのに,21,56.68,ベターなチェア/げんき/近視性乱視/なまこP/ゆめみ/ぎゅっとハムスター/ジェンツーペンギン(2)/やる/あい/ランゲル・ハンス/もんじゃら/910器/ミズイチ/星ドッラ/rayleigh/伊坂/半丙太/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,27位,やなな,わかった、起承転結だ,20,55.53,みやまる/wanumayu/ナンの一部/なまこP/ノビッタ(2)/ふわっと/edo/むふう/鳥たち/明石家かつお/せいじ/確率論のパラテママ/あぐら/業務用虚無/テツ/やんわり/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,28位,rayleigh,でも現代文ではそうじゃん,19,54.38,800/あると/戸田ニッパー/マイケルコース/元お年玉/後厄/やる/実家に帰った鶴/明石家かつお/灰色こたつ/リトマス試験紙/910器/気球マイスター/業務用虚無(2)/半丙太/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,28位,マイケルコース,またアホ山じゃん,19,54.38,みやまる/轢死(2)/ららら/土編に花でゴミと読む/そよくら/骨密度/机上で実演/うえじゅん/910器(2)/星ドッラ/ガセの子/DJBK/業務用虚無/伊坂/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,28位,元お年玉,でも喧嘩は強いよ,19,54.38,新人しじみ/あると(2)/そよくら/なまこP/ゆめみ/ジェンツーペンギン/Haruru/超ピンク/リトマス試験紙/ミズイチ/扇風機/業務用虚無/上田スヌーピー(3)/投票ボーナス(3)
0144_4536_PKK,2023-07-12,118人,大喜利が苦手な人が一言,NA,28位,春雨,このお題で上位取れるって、何か皮肉ですよね,19,54.38,まきびし/ナンの一部/三ル貝/やじうさん/なまこP(2)/ぎゅっとハムスター/犬ヒロシ/はいどぼーい/edo/むふう/もんさん/超ピンク/放尿魔/910器/業務用虚無/投票ボーナス(3)
