お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0345_7236_LPT,2023-07-20,134人,素人が10分で作った神話,NA,1位,白昼ドードー,説明するだけの神がいる,61,91.59,ゆめみ/野狐(2)/落雁/ミニベロ/理科インターネット/みずもと(2)/業務用虚無(3)/テツ/んまもんも/ニューロン/ガセの子/three-all/きゃりーまらまら/住まなくても都/こなま/詫びシャイニング/直ちに下校する/やる/オーバーニート(2)/二階から手続き/U7ypK/台湾まぜそば(2)/ベンチとペンチ/ししだ/井上ヘノシタ/荒川憩/泥豚/ぬりかべ/溢れ出る肉汁/生ハム子/Sierra/街メロン/カワサキ/木星/干し柿/たこかいな(2)/＃の中のカマ吉くん/いぬまる/スカイブルー/高見盛/堅あげポテト好き(3)/副菜/GYAI/なぐ/緑峰/むらさき/エレメノピー/野島久助/あああ3/投票ボーナス(3)
0345_7236_LPT,2023-07-20,134人,素人が10分で作った神話,NA,2位,台湾まぜそば,｢そして｣を多用してる,51,82.34,ゆめみ/みやまる/懐かしむ会/理科インターネット/業務用虚無(2)/んまもんも/ニューロン/ぷう３/three-all/す(3)/住まなくても都/我々(3)/微生物のかたまり/オーバーニート(2)/玄の字。/学歴不問/うえじゅん/珍百景のクロ/修行修行/井上ヘノシタ(2)/ねこめんたい/ぬりかべ/溢れ出る肉汁/白昼ドードー/たくみす(2)/街メロン/カワサキ(2)/木星/干し柿/たこかいな(3)/高見盛/レイルレイル/けつの園(2)/緑峰/エレメノピー/野島久助/投票ボーナス(3)
0345_7236_LPT,2023-07-20,134人,素人が10分で作った神話,NA,3位,直ちに下校する,後半畳み掛けるように創造した,47,78.64,ゆめみ/野狐/ペン/ゃまゃま/理科インターネット/みずもと/業務用虚無(2)/んまもんも/ガセの子/three-all/二階から手続き/ハルマレ/うえじゅん/珍百景のクロ/ししだ/架空の島田/ねこめんたい/惑星ソラリス/泥豚/ぬりかべ(2)/アキクレノナゴリ/ところ天のすけ/生ハム子/ねこの耳の裏/干し柿/たこかいな/スカイブルー/教えて欲しいテクノロジー/ぼんやり/堅あげポテト好き/三ル貝/zenza-desu/ナルシマアンバイ/副菜/TGTRK(2)/GYAI/なぐ/緑峰/エレメノピー/おだンゴ/野島久助/投票ボーナス(3)
0345_7236_LPT,2023-07-20,134人,素人が10分で作った神話,NA,4位,井上ヘノシタ,神が清水建設を、清水建設がそれ以外を,46,77.72,17(2)/野狐/落雁(3)/んまもんも/three-all/す(3)/ありさん/詫びシャイニング/直ちに下校する/うえじゅん/クイズ次郎/台湾まぜそば/珍百景のクロ/ししだ(2)/ねこめんたい/荒川憩(2)/泥豚/ぬりかべ/すくお(3)/犬クジラ/街メロン/げんき(2)/木星/いぬまる(2)/がんばりま翔(2)/お嬢様ですわぁ/カニビーム/GYAI(2)/緑峰/めこめこ/投票ボーナス(3)
0345_7236_LPT,2023-07-20,134人,素人が10分で作った神話,NA,5位,二階から手続き,やけに負担の大きい神がいる,44,75.87,17/ゆめみ/ゃまゃま/理科インターネット(3)/業務用虚無(2)/ガセの子/ぷう３/three-all/もふめ/住まなくても都/こなま/骨密度/ふもー(2)/ハルマレ/うえじゅん/珍百景のクロ/修行修行/ししだ/スパチキから世界へ/架空の島田/すーず/泥豚/白昼ドードー/カワサキ/ずずエさん/干し柿/たこかいな/いぬまる/スカイブルー/高見盛/こんなところにエビチリ/堅あげポテト好き/カニビーム/副菜(2)/GYAI/緑峰/投票ボーナス(3)
0345_7236_LPT,2023-07-20,134人,素人が10分で作った神話,NA,6位,お嬢様ですわぁ,トーナメントが始まった,39,71.24,みらきの/やなな/みやまる/懐かしむ会/理科インターネット/業務用虚無(2)/ニューロン/アリスしらべ/ふわっと/こなま/骨密度/詫びシャイニング(2)/直ちに下校する/ハルマレ/クイズ次郎/珍百景のクロ(2)/ベンチとペンチ/ぬりかべ/たくみす/ずずエさん/干し柿/いぬまる/スカイブルー/ルーキーさん/がんばりま翔(2)/高見盛/ぼんやり/ごじょう　さとらない/三ル貝/けつの園/きみをゆるさない。/BBG/投票ボーナス(3)
0345_7236_LPT,2023-07-20,134人,素人が10分で作った神話,NA,7位,惑星ソラリス,友達とかも出てくる,37,69.39,17(3)/みらきの/カンガルーノート/野狐/みやまる/懐かしむ会/ゃまゃま/ガセの子/こなま/架空の島田/ゆかりそめ大明神/リヤ(2)/ぬりかべ/溢れ出る肉汁(2)/生ハム子/たくみす(2)/げんき/カワサキ(2)/木星/干し柿/いぬまる/鹿野バンビ/スカイブルー/ルーキーさん/なぐ/初ギプス(2)/エレメノピー/投票ボーナス(3)
0345_7236_LPT,2023-07-20,134人,素人が10分で作った神話,NA,7位,珍百景のクロ,同じ方角守ってる,37,69.39,ゆめみ/野狐(2)/落雁/ペン/懐かしむ会/理科インターネット/テツ/ニューロン/ガセの子/各A/住まなくても都/詫びシャイニング/やる/ハルマレ/玄の字。/修行修行/ししだ/すーず/生ハム子/Sierra/＃の中のカマ吉くん/鹿野バンビ/高見盛/堅あげポテト好き/ごじょう　さとらない/GYAI/きみをゆるさない。/緑峰/むらさき/イタリア長介/エレメノピー/黄侍(2)/投票ボーナス(3)
0345_7236_LPT,2023-07-20,134人,素人が10分で作った神話,NA,7位,緑峰,食べるだけのりんごがあった,37,69.39,野狐/ペン/懐かしむ会/ガセの子/アリスしらべ/微生物のかたまり/やる/学歴不問/U7ypK/珍百景のクロ/修行修行/泥豚/溢れ出る肉汁/白昼ドードー/げんき/カワサキ(2)/いぬまる/がんばりま翔/こんなところにエビチリ(3)/ぼんやり/お嬢様ですわぁ/きみをゆるさない。/BBG/かい/鮒侍/エレメノピー(2)/野島久助/あああ3(3)/投票ボーナス(3)
0345_7236_LPT,2023-07-20,134人,素人が10分で作った神話,NA,7位,自動車部員, ”既に同じ神が使われています”,37,69.39,みやまる(2)/テツ/ガセの子/three-all/我々(2)/クイズ次郎(2)/台湾まぜそば/珍百景のクロ/ベンチとペンチ/荒川憩/ところ天のすけ/桃山ももたろう(3)/犬クジラ/度蔵まぐら/ねこの耳の裏/いぬまる/鹿野バンビ/レイルレイル/ぼんやり/ごじょう　さとらない/zenza-desu/お嬢様ですわぁ/カニビーム(2)/なぐ/たいら/緑峰(2)/黄侍/投票ボーナス(3)
0345_7236_LPT,2023-07-20,134人,素人が10分で作った神話,NA,11位,ぬりかべ,ゼウスがめっちゃ説明する,34,66.62,みらきの/ゆめみ/野狐/落雁/業務用虚無(2)/ガセの子/ぷう３/three-all/きゃりーまらまら/骨密度/直ちに下校する/学歴不問/クイズ次郎/珍百景のクロ/ベンチとペンチ/ししだ/井上ヘノシタ(2)/惑星ソラリス/溢れ出る肉汁/たくみす(2)/いぬまる/高見盛/堅あげポテト好き(2)/ごじょう　さとらない/なぐ/むらさき/あああ3/投票ボーナス(3)
0345_7236_LPT,2023-07-20,134人,素人が10分で作った神話,NA,12位,さいとむ,デカさの話しかしない,32,64.77,落雁/ゃまゃま/みずもと/業務用虚無/きゃりーまらまら(2)/ありさん/住まなくても都/こなま(2)/骨密度/直ちに下校する/ベンチとペンチ/架空の島田/ぬりかべ/溢れ出る肉汁(2)/白昼ドードー/げんき/カワサキ/干し柿/たこかいな/高見盛/堅あげポテト好き/三ル貝/お嬢様ですわぁ/けつの園/きみをゆるさない。/BBG/たいら/野島久助/黄侍
0345_7236_LPT,2023-07-20,134人,素人が10分で作った神話,NA,12位,ニューロン,海どけたら居た,32,64.77,やなな/野狐/みやまる/ペン(2)/テツ/んまもんも/各A(2)/住まなくても都/我々/微生物のかたまり/直ちに下校する/やる/ハルマレ/玄の字。/うえじゅん/架空の島田/ゆかりそめ大明神/犬クジラ/げんき/木星/干し柿/＃の中のカマ吉くん/鹿野バンビ/GYAI/なぐ/初ギプス/むらさき/投票ボーナス(3)
0345_7236_LPT,2023-07-20,134人,素人が10分で作った神話,NA,14位,教えて欲しいテクノロジー,俺マジで見ましたもん,30,62.92,やなな(2)/野狐/みずもと/テツ/んまもんも/three-all/各A/もふめ/こなま/珍百景のクロ/ベンチとペンチ/惑星ソラリス/すーず/すくお(3)/Sierra/犬クジラ/ねこの耳の裏/げんき/木星(2)/干し柿/堅あげポテト好き/けつの園/たいら/投票ボーナス(3)
