お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1995_2913_DMD,2023-07-22,115人,町娘「せめてお名前だけでも」侍「名乗るほどの者ではござらぬ」町娘「〇〇〇〇」侍「え？」,NA,1位,学歴不問,それは既に登録されてますね,49,93.1,ねこの耳の裏/多々/丹下(3)/シコウサクゴロー/突然及川/杜野/あーとん(3)/まり/えちえち/HS三遊間/あおい∞(3)/ウラニワ/江野/MODY/高見盛/煮沸消毒七段/發狂亭怪樂(2)/生薬/ヒカル/せいじ/きゅーきゅー(2)/マンションポエム/お嬢様ですわぁ/するめ/たいら/ルシファー/よれん(2)/Heaven(3)/ミチガン(2)/まきびし/フイ/ノビッタ/ごじょう　さとらない/匿名匿名/投票ボーナス(3)
1995_2913_DMD,2023-07-22,115人,町娘「せめてお名前だけでも」侍「名乗るほどの者ではござらぬ」町娘「〇〇〇〇」侍「え？」,NA,2位,jinseitsurao,では仮に田渕としますが,38,79.0,丹下/ドバイ民謡(2)/突然及川/さつき/あおい∞(3)/ミスティカティ(2)/MODY/發狂亭怪樂/生薬/続きを読む/ヒカル/ななし/カレーラ水/きゅーきゅー/春屋○イ/フェルメール/乳白色の駱駝/小統領(2)/ルシファー/よれん(2)/ぎのもの/冷食パスタレビュー(2)/ニア・ディゾン/関戸SA/小テスト/ホトココア/ふもー/ALE/投票ボーナス(3)
1995_2913_DMD,2023-07-22,115人,町娘「せめてお名前だけでも」侍「名乗るほどの者ではござらぬ」町娘「〇〇〇〇」侍「え？」,NA,3位,waaaan,あの女には名乗ってただろ,32,71.3,わんこそば/突然及川/杜野/まり/えちえち/HS三遊間/💃/高見盛/きゅーきゅー/マンションポエム/フェルメール/ゔぉん(3)/ヨッすぃ〜/修行修行/アーマード・ネコ(2)/ぎのもの/冷食パスタレビュー/机上で実演/メリケンジョッキ/小テスト/ホトココア/いっぱい秋(2)/フイ/ごじょう　さとらない/匿名匿名/投票ボーナス(3)
1995_2913_DMD,2023-07-22,115人,町娘「せめてお名前だけでも」侍「名乗るほどの者ではござらぬ」町娘「〇〇〇〇」侍「え？」,NA,3位,じゃがりこ救助隊,では、不採用となります,32,71.3,ねこの耳の裏/多々/丹下(2)/よれよれ/突然及川/愛²/哲学ミミズ/かーむ/猫屋敷/あおい∞(3)/江野/MODY/及川広大/無明海/するめ/乳白色の駱駝/古い絵画/日本国憲法/ぐれいそん/大山ひろのり/Heaven/中指/木星/アンサイン/すくみ/小テスト/ALE/ごじょう　さとらない/匿名匿名
1995_2913_DMD,2023-07-22,115人,町娘「せめてお名前だけでも」侍「名乗るほどの者ではござらぬ」町娘「〇〇〇〇」侍「え？」,NA,3位,住まなくても都,用意してた言葉だ,32,71.3,哲学ミミズ/杜野/テイクあくる日(3)/中沢の人/えちえち/にじょー/ウラニワ/💃/發狂亭怪樂/及川広大/懐かしむ会/ななし/きゅーきゅー(2)/春屋○イ/お嬢様ですわぁ/するめ/乳白色の駱駝(3)/母の写真/ジェンツーペンギン/関戸SA/ふもー/フイ/ノビッタ(2)/投票ボーナス(3)
1995_2913_DMD,2023-07-22,115人,町娘「せめてお名前だけでも」侍「名乗るほどの者ではござらぬ」町娘「〇〇〇〇」侍「え？」,NA,6位,カナリカリガ・タカ,ではゲスト侍さんでよろしい？,29,67.46,ドバイ民謡/いぬまる/jinseitsurao/あーとん(3)/HS三遊間/にじょー/ウラニワ/江野(2)/アナゴさん/💃/煮沸消毒七段/及川広大/懐かしむ会/フェルメール/学歴不問/Haruru(2)/メリケンジョッキ/木星/小テスト/ふもー/いくらん/ノビッタ/投票ボーナス(3)
1995_2913_DMD,2023-07-22,115人,町娘「せめてお名前だけでも」侍「名乗るほどの者ではござらぬ」町娘「〇〇〇〇」侍「え？」,NA,7位,納屋の様子,大きく出ましたね,28,66.18,多々/シコウサクゴロー/住まなくても都/テイクあくる日/中沢の人/まり/ミスティカティ/生薬/及川広大/懐かしむ会/カレーラ水/せりか/きゅーきゅー/春屋○イ/お嬢様ですわぁ/乳白色の駱駝(2)/たいら/学歴不問/修行修行/ぎのもの/Haruru/机上で実演/小テスト/いっぱい秋(2)/フイ/ごじょう　さとらない
1995_2913_DMD,2023-07-22,115人,町娘「せめてお名前だけでも」侍「名乗るほどの者ではござらぬ」町娘「〇〇〇〇」侍「え？」,NA,8位,すくみ,私はギガンテスよ,27,64.89,多々/ドバイ民謡(3)/よれよれ/愛²/シーフードパエリア/白ジョーア/jinseitsurao(3)/猫屋敷/カナリカリガ・タカ/生薬/お嬢様ですわぁ/たいら(2)/学歴不問/ぎのもの/大山ひろのり/Haruru/ニア・ディゾン/机上で実演/ホトココア/投票ボーナス(3)
1995_2913_DMD,2023-07-22,115人,町娘「せめてお名前だけでも」侍「名乗るほどの者ではござらぬ」町娘「〇〇〇〇」侍「え？」,NA,8位,春屋○イ,語り継ぎますけど,27,64.89,さらえん/シコウサクゴロー/住まなくても都/中沢の人/白ジョーア/jinseitsurao/あおい∞(3)/💃/じくじもた/無明海/カレーラ水/ゔぉん/鮒侍/たいら/修行修行/日本国憲法/ぎのもの/冷食パスタレビュー/ニア・ディゾン/ホトココア/いくらん/まきびし/投票ボーナス(3)
1995_2913_DMD,2023-07-22,115人,町娘「せめてお名前だけでも」侍「名乗るほどの者ではござらぬ」町娘「〇〇〇〇」侍「え？」,NA,10位,かーむ,このようにキラキラネームが原因で苦労する大人は少なくありません,26,63.61,ねこの耳の裏/わんこそば/よれよれ(2)/突然及川/猫屋敷/HS三遊間/にじょー/カナリカリガ・タカ/無明海/ゔぉん/鮒侍/ニア・ディゾン/このしお(3)/アンサイン(3)/ALE/ノビッタ(2)/ごじょう　さとらない/投票ボーナス(3)
