お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
4191_5391_LEV,2023-07-29,100人,爆買い中国人だらけの野球大会,NA,1位,たいら,ずっと電話してる人いる,35,88.15,💃/ミチガン/のとさわ/きらら(2)/なまこP/五右衛門センター/麺青め(2)/DJBK/_ゆゆゆ/すずめがヒューストン(2)/みずもと/恥さらしのスパゲッティ/ほどよい/ハッタリ君/Heaven/da/ジョニー/江野/二等辺なんだっけ(2)/四季うどん/椎茸キング(2)/高だの高代/及川広大/実家に帰った鶴(2)/わんこそば/紫式部舌ピ/投票ボーナス(3)
4191_5391_LEV,2023-07-29,100人,爆買い中国人だらけの野球大会,NA,2位,双星,もう既にパンパンのリュックに土を詰め込む,29,78.11,ニア・ディゾン/💃/チャイニーズマフィア/新人しじみ/three-all/ベイクド鈴田ポテト(2)/理科インターネット(2)/まきな/シコウサクゴロー(2)/電電虫/控えめなピース/春雨/むらさき/ラーギ(2)/ホトココア/たいふぃ(2)/ガチ★ボーイ/ラニーニャ/せりか/雪だるま弁当(2)/投票ボーナス(3)
4191_5391_LEV,2023-07-29,100人,爆買い中国人だらけの野球大会,NA,3位,及川広大,まだ会計してる奴がいて人数が揃わなかった,25,71.42,チャイニーズマフィア/哲学ミミズ/なまこP/three-all/DJBK/もんさん(2)/革先/ハッタリ君/ベイクド鈴田ポテト/シコウサクゴロー/ぬこま/控えめなピース/Heaven/なめたっけ/桃山ももたろう(2)/ずずエさん/ラーギ/実家に帰った鶴/リコリス・ラヂアータ(2)/投票ボーナス(3)
4191_5391_LEV,2023-07-29,100人,爆買い中国人だらけの野球大会,NA,4位,_ゆゆゆ,敬遠されてるのに構わずどんどん来る,24,69.74,土産/ニア・ディゾン/チャイニーズマフィア/なまこP/タカノリ・タカノ/弐四八/すずめがヒューストン/ほどよい/ハッタリ君/ベイクド鈴田ポテト/ボサノバ(3)/電電虫/Heaven/春雨/江野/ずずエさん/高だの高代/やじうさん/ヤバいマイケル屋さん/投票ボーナス(3)
4191_5391_LEV,2023-07-29,100人,爆買い中国人だらけの野球大会,NA,4位,のとさわ,マツキヨから代走が出てきた,24,69.74,Kichiham/たいら(2)/まったん冷え性/哲学ミミズ(3)/なまこP/生薬/three-all/革先/F難度フェルナンド/電電虫/出席番号5番/ホトココア(2)/及川広大(2)/リコリス・ラヂアータ(2)/せりか/投票ボーナス(3)
4191_5391_LEV,2023-07-29,100人,爆買い中国人だらけの野球大会,NA,6位,Kichiham,「インバウンド！インバウンド！！」,23,68.07,MODY/ぐれいそん/エレメノピー(2)/チャイニーズマフィア/のとさわ/きらら(2)/パピヨン/生薬/three-all/タカノリ・タカノ(2)/弐四八/電電虫/出席番号5番(2)/ずずエさん/二等辺なんだっけ/むらさき/投票ボーナス(3)
4191_5391_LEV,2023-07-29,100人,爆買い中国人だらけの野球大会,NA,6位,革先,本当に塁を盗んでく奴がいる,23,68.07,ぐれいそん/ニア・ディゾン/古い絵画/たいら/哲学ミミズ/なまこP/麺青め(2)/揚げたてメンチメン/_ゆゆゆ/みずもと/ほどよい/シコウサクゴロー/ラーギ/四季うどん/赤HELL党/ホトココア/やじうさん/ラニーニャ/ヤバいマイケル屋さん/投票ボーナス(3)
4191_5391_LEV,2023-07-29,100人,爆買い中国人だらけの野球大会,NA,8位,ニア・ディゾン,アウト！を無視する,22,66.4,土産/ぷるちぽん/なまこP/生薬/公カツ/_ゆゆゆ/もんさん(2)/恥さらしのスパゲッティ/革先/シコウサクゴロー(2)/ぬこま/da/なめたっけ/江野/むらさき/せりか/鈴本/投票ボーナス(3)
4191_5391_LEV,2023-07-29,100人,爆買い中国人だらけの野球大会,NA,8位,パピヨン,ベンチのやつもサングラスしてる,22,66.4,MODY/たいら/なまこP/麺青め/揚げたてメンチメン/ハッタリ君/ベイクド鈴田ポテト/ボサノバ/よれん/理科インターネット(3)/シコウサクゴロー/わんわんお/出席番号5番/ずずエさん/むらさき/わんこそば/HS三遊間/投票ボーナス(3)
4191_5391_LEV,2023-07-29,100人,爆買い中国人だらけの野球大会,NA,8位,古い絵画,三塁コーチが紙袋をぶん回す,22,66.4,Kichiham/のとさわ/three-all/watoson/タカノリ・タカノ/革先(2)/よれん/理科インターネット/F難度フェルナンド/電電虫/Heaven/ping3500/出席番号5番/ずずエさん/ラーギ/四季うどん/及川広大/ヤバいマイケル屋さん/投票ボーナス(3)
