お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0562_2755_IPT,2023-08-07,100人,手の本数が多い保育士はこんなことができる,NA,1位,bigjoy,いただきますで神々しくなる,41,91.78,土編に花でゴミと読む/近視性乱視/右肩重心/くりとりーむ/綿白 雪/ランゲル・ハンス/ふもー/雑兵/恥さらしのスパゲッティ/レッシー/見ちきち/おーしゃん(3)/kiki/洋介山/💃/ペリカンパレード(2)/サンズイ/じゃん/そうめん次郎(2)/three-all/匿名匿名/fcfc/j僧侶brothers/祟り君/土井善晴(2)/五右衛門センター(2)/まきびし/ニバガエル(2)/kobe3(3)/投票ボーナス(3)
0562_2755_IPT,2023-08-07,100人,手の本数が多い保育士はこんなことができる,NA,2位,three-all,白熱した多数決にできる,28,72.4,右肩重心/さむちょ/出席番号5番/ランゲル・ハンス/雑兵/見ちきち/揚げたてメンチメン/おーしゃん(2)/ニューロン/kiki/rayleigh/弱攻撃/ジョンムケ/紺色(2)/9月が終わったら起こして/じす/みくすし/匿名匿名/哲学ミミズ/農家/bigjoy/松尾(2)/投票ボーナス(3)
0562_2755_IPT,2023-08-07,100人,手の本数が多い保育士はこんなことができる,NA,2位,じす,保護者の口を一斉にふさぐ,28,72.4,あんていく(3)/綿白 雪/SSR/ふもー/danes-sakano(2)/恥さらしのスパゲッティ(2)/ラジウス/ナス十郎/ニューロン/ウエディングドレス男/弱攻撃/さいころちゃらみん/💃/three-all/fcfc/bigjoy/革先/ペン/Y-Not/こころ飴/kobe3/投票ボーナス(3)
0562_2755_IPT,2023-08-07,100人,手の本数が多い保育士はこんなことができる,NA,2位,洋介山,都合の良い手相を信じる,28,72.4,さむちょ/ナス十郎/荒川憩/おーしゃん(2)/ニューロン/さいころちゃらみん/貝鳴らす(2)/絶命/紺色/ペリカンパレード/みくすし/three-all/哲学ミミズ/革先/あまちゃんIII/祟り君/まきびし/ペン/松尾/watoson/夜食/スパチキから世界へ/えのきときのこ/投票ボーナス(3)
0562_2755_IPT,2023-08-07,100人,手の本数が多い保育士はこんなことができる,NA,5位,恥さらしのスパゲッティ,撫でながら殴る,25,67.92,さむちょ/あんていく(2)/綿白 雪/ぺーるおれんじ/ラジウス/臀部/揚げたてメンチメン/ニューロン/rayleigh/洋介山/食う寝るアトム(2)/💃/そにぃ/ぬいぬいぬいぐるみ/じゃん/three-all/fcfc/街メロン/農家/Y-Not/投票ボーナス(3)
0562_2755_IPT,2023-08-07,100人,手の本数が多い保育士はこんなことができる,NA,6位,えのきときのこ,泣いてる子を隠してあげる,24,66.43,物数/げんき/出席番号5番/綿白 雪/福井とマルコ/sAwArA(2)/ぺーるおれんじ/自動車部員/快活プラチナ会員/9月が終わったら起こして/サンズイ/ぬいぬいぬいぐるみ(2)/じゃん/じす/みくすし/コヲキ/ラータ/あまちゃんIII/松尾/投票ボーナス(3)
0562_2755_IPT,2023-08-07,100人,手の本数が多い保育士はこんなことができる,NA,6位,さむちょ,螺旋式の高い高いができる,24,66.43,ふもー/恥さらしのスパゲッティ/大妄想(2)/kiki/さいころちゃらみん/そにぃ/古い絵画/じす/匿名匿名/fcfc/j僧侶brothers/農家/むにぴり/土井善晴(2)/watoson/夜食(2)/えのきときのこ/薪割り/投票ボーナス(3)
0562_2755_IPT,2023-08-07,100人,手の本数が多い保育士はこんなことができる,NA,8位,ぬいぬいぬいぐるみ,みんなをお辞儀させる,23,64.94,物数/近視性乱視/ららら/出席番号5番/小トロ/ランゲル・ハンス/TMY/雑兵/ラジウス/ウエディングドレス男/rayleigh/弱攻撃/さいころちゃらみん/自動車部員/💃/絶命/サンズイ/j僧侶brothers/革先/祟り君/投票ボーナス(3)
0562_2755_IPT,2023-08-07,100人,手の本数が多い保育士はこんなことができる,NA,9位,ぺーるおれんじ,組織票,22,63.45,小トロ(2)/見ちきち/揚げたてメンチメン/大妄想(2)/ジョンムケ/貝鳴らす(3)/快活プラチナ会員/アラカビ/哲学ミミズ/街メロン/農家/Y-Not/松尾/watoson/夜食/投票ボーナス(3)
0562_2755_IPT,2023-08-07,100人,手の本数が多い保育士はこんなことができる,NA,9位,💃,悪い子には9本目が出るよ〜？,22,63.45,近視性乱視/右肩重心/出席番号5番/小トロ/SSR/ナス十郎/見ちきち/揚げたてメンチメン/リコリス・ラヂアータ/サンズイ/そうめん次郎(3)/fcfc/農家/祟り君/ねくび/まきびし/kobe3/投票ボーナス(3)
