お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3462_7980_CQJ,2023-08-30,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3462_7980_CQJ.JPG,1位,てっぺんざしお,この通り責任能力はありません,40,87.29,はへん/クープラン(2)/徒歩0分/支援魔/白昼ドードー/パララ雪崩(2)/固定残業代/こころ飴/Chunbeam/半丙太/ミズイチ/黒太郎/Show/さんれん/業務用虚無/３スカイ/nmazakitani(2)/堅あげポテト好き(2)/やまもん/名物/レイルレイル/白滝BOX/ヒトーン(3)/猫皮ニャン志(2)/紗和和和/玄の字。/奇妙な男/baseball /さらえん/ホトココア/投票ボーナス(3)
3462_7980_CQJ,2023-08-30,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3462_7980_CQJ.JPG,2位,マス田中,さすが前回チャンピオンだ,34,78.88,はへん(2)/白昼ドードー/パララ雪崩(2)/kamenoue/螺旋貝柱/架空の島田/Chunbeam/恥さらしのスパゲッティ/ミズイチ(2)/黒太郎/Show/nmazakitani(3)/堅あげポテト好き/超ピンク/尻海/惑星ソラリス/冷凍トイレ/世界(2)/枡田アンディ/大盛りハッピッピ/マルイは二進法で5/ぜ。/生薬/ナンの一部/世界の牛肉/投票ボーナス(3)
3462_7980_CQJ,2023-08-30,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3462_7980_CQJ.JPG,3位,パララ雪崩,社長の息子だから強く言えない,28,70.46,徒歩0分/わんわんお/突然及川/憶霜論/恐竜土偶/螺旋貝柱/架空の島田/フォートナイト前田/恥さらしのスパゲッティ/やや不安/福井とマルコ/業務用虚無(2)/nmazakitani/超ピンク/レイルレイル(2)/じゃん/尻海/玄の字。/三遊亭たわし(2)/ぜ。/すずめがヒューストン/アガリブル/投票ボーナス(3)
3462_7980_CQJ,2023-08-30,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3462_7980_CQJ.JPG,4位,フイ,9羽目でやっと笑顔になりましたね,27,69.06,はへん(2)/クープラン/支援魔/固定残業代/恥さらしのスパゲッティ/やや不安/黒太郎/DAKARA/さんれん/伊坂/nmazakitani/naasa/惑星ソラリス/アナゴさん/大盛りハッピッピ(3)/さらえん/Y-Not/ホトココア/すずめがヒューストン/アガリブル(2)/投票ボーナス(3)
3462_7980_CQJ,2023-08-30,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3462_7980_CQJ.JPG,5位,にいがた,これ満点出るんだ,26,67.66,わんわんお/パララ雪崩/螺旋貝柱/架空の島田/フォートナイト前田/恥さらしのスパゲッティ/フイ/福井とマルコ/黒太郎/さんれん/伊坂/nmazakitani(2)/堅あげポテト好き/せい/フェイクファー/レイルレイル/紗和和和/生薬/ナンの一部/オーバーニート(2)/アガリブル/投票ボーナス(3)
3462_7980_CQJ,2023-08-30,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3462_7980_CQJ.JPG,5位,犬ヒロシ,楽しんでる奴を負かすことはできない,26,67.66,近視性乱視/架空の島田/Houston/恥さらしのスパゲッティ/やや不安(2)/黒太郎/たがはずれ/nmazakitani(3)/超ピンク/及川広大(2)/遺跡発掘調査補助員(2)/レイルレイル/じゃん/猫皮ニャン志/ブンカサイブンコボン/玄の字。/マス田中/すずめがヒューストン/投票ボーナス(3)
3462_7980_CQJ,2023-08-30,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3462_7980_CQJ.JPG,7位,kamenoue,知ってる人たちで良かった,25,66.25,犬ヒロシ/わんわんお/にいがた/固定残業代/螺旋貝柱/架空の島田/ミズイチ/やや不安(2)/たがはずれ(2)/３スカイ/堅あげポテト好き/及川広大/遺跡発掘調査補助員/尻海(2)/惑星ソラリス/紗和和和/なぐ/Y-Not/ぜ。/投票ボーナス(3)
3462_7980_CQJ,2023-08-30,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3462_7980_CQJ.JPG,7位,奇妙な男,3、2、1、沸騰,25,66.25,クープラン/支援魔/にいがた/近視性乱視/森久保YesYes/架空の島田/恥さらしのスパゲッティ/福井とマルコ/ヤンマー部隊隊長/たがはずれ/伊坂/nmazakitani(2)/長谷川キモ彦/レイルレイル/赤黄色/さらえん/三遊亭たわし/Y-Not/ふもー(2)/世界の牛肉/投票ボーナス(3)
3462_7980_CQJ,2023-08-30,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3462_7980_CQJ.JPG,7位,惑星ソラリス,予想を上回るペースで産んでるぞ,25,66.25,昨今/突然及川/憶霜論/螺旋貝柱/架空の島田/こころ飴/Houston/Chunbeam/ミズイチ/福井とマルコ/ヤンマー部隊隊長/nmazakitani(2)/堅あげポテト好き/やまもん/長谷川キモ彦/冷凍トイレ(2)/枡田アンディ/大盛りハッピッピ/なぐ/くものす/投票ボーナス(3)
3462_7980_CQJ,2023-08-30,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/3462_7980_CQJ.JPG,10位,ヒトーン,ギネスって何でもいいんだ,24,64.85,犬ヒロシ/突然及川/憶霜論/恐竜土偶/kamenoue/螺旋貝柱/てっぺんざしお/半丙太/Show/伊坂/３スカイ/nmazakitani(2)/堅あげポテト好き/超ピンク/名物/大盛りハッピッピ(2)/なぐ/三遊亭たわし/ホトココア/投票ボーナス(3)
