お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0818_3373_UJP,2023-09-12,80人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0818_3373_UJP.jpg,1位,泥豚,内蔵しとけって話ですよね,37,93.67,トガリ/半丙太/tea-cat/おてもと(3)/たこかいな(2)/オードリーカットバーン/フォークソング研究部/過疎バス(2)/黒太郎/watoson/夏川/wanumayu(2)/マゴノテ狂信者/煮込みVUITTON/りと°/りあ/ニア・ディゾン/bigjoy/はちわれ/ヤンマー部隊隊長(2)/あの日のニンニ/サカナクッション(3)/kubodi/大喜るのすけ/TMY/干し柿/投票ボーナス(3)
0818_3373_UJP,2023-09-12,80人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0818_3373_UJP.jpg,2位,骨密度,うわあ、僕なら使わないや,30,81.93,トガリ/グシャグシャバキバキ/おてもと(2)/SSR(2)/オードリーカットバーン/ニンニキニキニキ/あがぺい/ねこめんたい/黒太郎/まきびし/夏川/wanumayu/なかにし/💃/泥豚/猫皮ニャン志/ニア・ディゾン/bigjoy/まるまる/セーター/kubodi/クイズ次郎/ほろほろ/えび/いわな/投票ボーナス(3)
0818_3373_UJP,2023-09-12,80人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0818_3373_UJP.jpg,3位,トガリ,褒めろってことですか,24,71.86,半丙太/てっぺんざしお/グシャグシャバキバキ/SSR(3)/たこかいな/オードリーカットバーン/あがぺい/ちゅ〜犬(2)/黒太郎/watoson/なかにし/💃/泥豚/猫皮ニャン志/はちわれ/骨密度/クイズ次郎/ほろほろ/投票ボーナス(3)
0818_3373_UJP,2023-09-12,80人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0818_3373_UJP.jpg,4位,てっぺんざしお,通知消さない人なんですね,21,66.82,半丙太/tea-cat/おてもと/あがぺい/フォークソング研究部/夏川/なかにし/やんわり/💃/猫皮ニャン志/夜食/3ねこ/Yokuboy/あの日のニンニ/kubodi/骨密度/突然及川/TMY/投票ボーナス(3)
0818_3373_UJP,2023-09-12,80人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0818_3373_UJP.jpg,5位,j僧侶brothers,AIに描かせたモグライダー,20,65.14,SSR(3)/ニンニキニキニキ/あがぺい/ねこめんたい/随契/夏川/なかにし(2)/大晦日(2)/あおだも/やなな/プーアル茶/突然及川/えび/投票ボーナス(3)
0818_3373_UJP,2023-09-12,80人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0818_3373_UJP.jpg,6位,あると,ちゃんとした収入源がある人なんだ,18,61.79,てっぺんざしお/ニンニキニキニキ/随契/まきびし/wanumayu/なかにし/やんわり/泥豚/猫皮ニャン志/ニア・ディゾン/j僧侶brothers/ﾀﾞｳｿﾀｳｿ(2)/たくめ/いわな/投票ボーナス(3)
0818_3373_UJP,2023-09-12,80人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0818_3373_UJP.jpg,6位,やなな,もうどっちが副業か分かんないっすね,18,61.79,tea-cat/フォークソング研究部/黒太郎/watoson/マゴノテ狂信者/やんわり/泥豚/ニア・ディゾン/鮒侍/あると(2)/大喜るのすけ/プーアル茶/クイズ次郎/突然及川/投票ボーナス(3)
0818_3373_UJP,2023-09-12,80人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0818_3373_UJP.jpg,6位,突然及川,お、パスワード3939いいね,18,61.79,トガリ/半丙太/SSR(2)/たこかいな/オードリーカットバーン/黒太郎/随契/こんぺいとう雑誌/マゴノテ狂信者/泥豚/泥のぷーまん/まるまる/やなな/セーター/投票ボーナス(3)
0818_3373_UJP,2023-09-12,80人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0818_3373_UJP.jpg,9位,3ねこ,見るだけ見ますね,17,60.11,wanumayu/マゴノテ狂信者/やんわり/煮込みVUITTON/猫皮ニャン志/りあ/ニア・ディゾン/bigjoy/セーター/骨密度/クイズ次郎(2)/TMY(2)/投票ボーナス(3)
0818_3373_UJP,2023-09-12,80人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0818_3373_UJP.jpg,9位,まるまる,間違ったまま覚えてるね,17,60.11,半丙太/オードリーカットバーン/ニンニキニキニキ/はさまり/黒太郎/まきびし/💃/泥豚/りと°/ニア・ディゾン/あると/クイズ次郎/ほろほろ/いわな/投票ボーナス(3)
