お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,1位,three-all,「俺じゃダメか？」と隣のレジへ誘導する,30,84.34,qvzcx/鳥井ぬ/とほ/へそ煮込み(3)/弐四八/パステルゆんゆん/899/家主(2)/スイートランド/こねぎ/干し柿/U7ypK/ななぴ/あぺ/物数/大喜るのすけ/全然わからん/じす/眼帯/テツ/毒ぶどう/Heaven/のとさわ/アジシオおむすび/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,2位,テツ,自動ドアを開けてくれる,28,80.87,下位打線/kubodi/鵺野凛音/とほ/IWA(2)/PD/家主/スイートランド/three-all/U7ypK/ななぴ/ヤンマー部隊隊長/頭脳まさき/救済パン(2)/ホルシュタイン(3)/ばば/ランゲル・ハンス/鴨mo.(2)/じす/やまもん/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,3位,ホルシュタイン,お酒を買うとき毎回「え、十代だと思った！」という下りをしてくれる,25,75.66,下位打線/スピカ(2)/鵺野凛音(2)/３スカイ/へそ煮込み(3)/弐四八/899/走れ犬のように/もるぺちda/こねぎ/干し柿/ヤンマー部隊隊長/新品のラジオ/空力/てっぺんざしお/全然わからん/じす/やまもん/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,4位,アレイ,あなたと懇意に,23,72.19,スピカ(3)/鳥井ぬ/あさっち/パステルゆんゆん/899/立板に流水(3)/世間体/激エロ海苔bot(3)/スイートランド/コオロギ(3)/へなちょこ(2)/じす/眼帯/やまもん
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,4位,毒ぶどう,私だけに見せてくれるバーコードがある,23,72.19,犬クジラ/鳥井ぬ/３スカイ/とほ/IWA/走れ犬のように/厄災/家主(2)/2番管/U7ypK/ななぴ/ヤンマー部隊隊長/救済パン/かきあげうどん/ばば/へなちょこ/物数/じす/Heaven/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,6位,パステルゆんゆん,先輩、コイツ俺の客なんで,21,68.72,qvzcx/黒胡椒/すでショ/スピカ(2)/kubodi/鳥井ぬ/立板に流水/PD/three-all/干し柿/ななぴ/ヤンマー部隊隊長/かきあげうどん/ホルシュタイン/あぺ/粉石鹸/のとさわ/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,7位,800,最初は温めたくないって言う,19,65.25,黒胡椒/あさっち/IWA/パステルゆんゆん/厄災/PD/2番管/three-all/頭脳まさき/ばば/へなちょこ/あぺ(2)/じす/毒ぶどう/のとさわ/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,7位,あぺ,店員別売上ランキングがある,19,65.25,qvzcx/黒胡椒/下位打線/スピカ/犬クジラ/鳥井ぬ/899/長谷川キモ彦/煮付けの魚(2)/救済パン/ホルシュタイン(2)/じす/毒ぶどう/アジシオおむすび/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,9位,Heaven,おでこツンツン男がいる,17,61.78,kubodi/とほ/IWA/パステルゆんゆん/899/800/厄災/ヤンマー部隊隊長/かきあげうどん/てっぺんざしお/じす(2)/テツ/未来永劫ちゃんねる/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,9位,すでショ,わざと高いところに商品置いてる,17,61.78,鵺野凛音(2)/３スカイ/899/800/家主/頭脳まさき/かきあげうどん/ばば/空力/あぺ/テツ/毒ぶどう/のとさわ/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,9位,へなちょこ,届かない場所に商品がある,17,61.78,すでショ/３スカイ/あさっち/とほ/IWA/パステルゆんゆん/899/こねぎ/空力/物数/大喜るのすけ/全然わからん/のとさわ/アジシオおむすび/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,9位,コオロギ,セルフレジに埃が積もっている,17,61.78,すでショ(2)/長谷川キモ彦/そいそーす/スイートランド/煮付けの魚/干し柿/ヤンマー部隊隊長/頭脳まさき(2)/ぷるちぽん/粉石鹸/眼帯/アジシオおむすび/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,13位,犬クジラ,おでこツンツン男がいる,16,60.04,qvzcx/IWA/パステルゆんゆん/899/PD/かきあげうどん/ぷるちぽん/大喜るのすけ/じす(2)/Heaven(3)/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,14位,大喜るのすけ,車道側にある,15,58.3,下位打線/３スカイ/厄災/激エロ海苔bot(3)/煮付けの魚/救済パン/かきあげうどん/空力/全然わからん/アジシオおむすび/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,14位,干し柿,1枚羽織りたい寒さ,15,58.3,犬クジラ/899/800/もるぺちda/コオロギ(3)/かきあげうどん/へなちょこ/鴨mo./大喜るのすけ/毒ぶどう/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,16位,PD,お前と俺で1点,14,56.57,すでショ/899/立板に流水(2)/激エロ海苔bot(3)/2番管/救済パン/てっぺんざしお/全然わからん/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,16位,かきあげうどん,なるべくお釣りが出るように払う,14,56.57,黒胡椒/すでショ(2)/899/ホルシュタイン(2)/へなちょこ/物数/粉石鹸/眼帯/がちゃぽん/投票ボーナス(3)
1360_3848_JZB,2023-10-05,80人,女の子がメロメロになってしまうコンビニ「イケメンマート」ってどんな所？,NA,16位,鳥井ぬ,角でぶつかり待機してる,14,56.57,PD/2番管/スイートランド/おまる！！(3)/ミラー/頭脳まさき/未来永劫ちゃんねる/毒ぶどう/アジシオおむすび/投票ボーナス(3)
