お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,1位,よれよれ,自由律俳句,23,76.08,大喜利の母/耳ぶた/錆缶/あまちゃんIII/カナリカリガ・タカ/おもしろ大喜利KING/阿吽/あると/たかはす/アヒージョ/Candy?/無知な豚キムチ/さよならナトリウム/フェイクファー/未来永劫ちゃんねる/お雑煮ボーリング/五段階右折(2)/干し柿/おとうふ。/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,1位,阿吽,SみたいなLL,23,76.08,ぼんやり/男は黙って大三元/フイ/あると/ことぶき/さよならナトリウム/TMY/松尾(2)/へそ煮込み(3)/Chunbeam/お雑煮ボーリング(2)/ちぇみちぇみ！/デス・サップ/駅/ガリガリプリン/すーず/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,3位,ちぇみちぇみ！,ワニを叩くゲーム,22,74.05,犬クジラ/コーラ中将/お嬢様ですわぁ/阿吽/Candy?/無知な豚キムチ/修行修行/ミズイチ/フェイクファー/まきびし/未来永劫ちゃんねる/ギロッポンの課長/さんれん/みやまる/近視性乱視/骨密度/雲ひとつない撒き餌/おとうふ。/てんまる/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,4位,おとうふ。,俺が悪いみたいな空気,21,72.03,かにさん/ぼんやり/あまちゃんIII/カナリカリガ・タカ/取引先/ミラー/阿吽/無知な豚キムチ/さよならナトリウム/まきびし/てっぺんざしお/お雑煮ボーリング/Heaven/骨密度/駅/市川/あぐら(2)/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,4位,てっぺんざしお,新宿駅の広さ,21,72.03,ふじじじがが/阿吽/フイ/激玉子/9月が終わったら起こして/ことぶき/リコリス・ラヂアータ/ミズイチ/フェイクファー/みやまる/Chunbeam/かふぇおれ(3)/五段階右折/天国かラスベガス/おとうふ。/あぐら/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,6位,ふじじじがが,母親に見える木目,18,65.96,ぼんやり/ミニお馬/男は黙って大三元(3)/お嬢様ですわぁ/そてー(2)/阿吽/無知な豚キムチ/未来永劫ちゃんねる/さんれん/赤い髪/お雑煮ボーリング/てんまる/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,6位,取引先,電話越しに土下座するOL,18,65.96,かにさん/もりそば/お嬢様ですわぁ/おもしろ大喜利KING(2)/フイ/激玉子/さよならナトリウム/リコリス・ラヂアータ/ミズイチ/TMY/よれよれ(2)/駅/五段階右折/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,8位,しろゆり,満員電車を押す駅員,17,63.94,かにさん/耳ぶた/優しい電磁波/カナリカリガ・タカ/もりそば/お嬢様ですわぁ/ミラー/何ともなきふぐ汁/フイ/無知な豚キムチ/ミズイチ/松尾/へそ煮込み(3)/よれよれ/すーず
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,9位,お嬢様ですわぁ,自国の擬人化キャラ,16,61.91,ぼんやり/錆缶/ミニお馬/取引先/仁義/あると/さよならナトリウム/リコリス・ラヂアータ/てっぺんざしお/ギロッポンの課長/赤い髪/駅/干し柿/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,9位,ラータ,分かってない「なるほど」,16,61.91,ミニベロ/もりそば/取引先/お嬢様ですわぁ/何ともなきふぐ汁/たかはす/リコリス・ラヂアータ/ミズイチ(2)/てっぺんざしお/ふゆる(2)/すーず/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,9位,匿名匿名,「おかえり」の看板,16,61.91,大喜利の母/耳ぶた/おもしろ大喜利KING(2)/ネクストン/フェイクファー/まきびし/みやまる/お雑煮ボーリング/ちぇみちぇみ！/ガリガリプリン/おとうふ。/すーず/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,12位,お雑煮ボーリング,三重県で満足してる人,15,59.89,犬クジラ/ラータ/優しい電磁波/男は黙って大三元/何ともなきふぐ汁/たかはす/修行修行/赤い髪/Heaven/骨密度/天国かラスベガス/あぐら/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,12位,へそ煮込み,箸の持ち方を指摘するYouTubeコメント,15,59.89,かにさん/錆缶/ミニお馬/ミニベロ/もりそば/激玉子/たかはす/ミズイチ/匿名匿名/よれよれ/てっぺんざしお/五段階右折/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,12位,やなな,獅子舞がガチの説教受けてた,15,59.89,錆缶/カナリカリガ・タカ/男は黙って大三元(3)/さよならナトリウム(3)/デス・サップ/Heaven/駅/干し柿/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,12位,カナリカリガ・タカ,セーラー服を着たおじさん,15,59.89,コーラ中将/優しい電磁波/ミニベロ/何ともなきふぐ汁/フイ/さよならナトリウム/リコリス・ラヂアータ/Chunbeam/ふゆる/デス・サップ/市川/五段階右折/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,12位,錆缶,失敗したアキラ100%,15,59.89,ラータ/やなな/優しい電磁波/ミニベロ/取引先/Candy?/ミズイチ/てっぺんざしお/ギロッポンの課長/赤い髪/天国かラスベガス/おとうふ。/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,17位,アヒージョ,島根,14,57.87,大喜利の母(2)/コーラ中将/ネクストン/阿吽/たかはす(2)/未来永劫ちゃんねる/近視性乱視/ふゆる/あぐら/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,17位,フェイクファー,高い自販機,14,57.87,かにさん/やなな/お嬢様ですわぁ/ミラー/アヒージョ(2)/無知な豚キムチ/9月が終わったら起こして/みやまる/ちぇみちぇみ！/骨密度/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,17位,天国かラスベガス,不意打ちを狙うサムライ,14,57.87,犬クジラ/取引先/男は黙って大三元/仁義/修行修行/フェイクファー/TMY/かふぇおれ(3)/てんまる/投票ボーナス(3)
2054_9713_OTQ,2023-10-07,83人,日本に来た留学生が5秒で帰国、何を見た,NA,17位,耳ぶた,敬語のダレノガレ,14,57.87,無知な豚キムチ/フェイクファー/松尾/よれよれ(2)/さんれん/お雑煮ボーリング/雲ひとつない撒き餌(3)/あぐら/投票ボーナス(3)
