お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2889_7104_ZMW,2023-10-21,108人,銀行強盗が犯行前日の夜に集まってこっそりやってること,NA,1位,トリニダード木箱,一応裏声も聞いておく,40,87.3,エーゴ/nimuemu/wanumayu/干し柿/シンマイ子/ごまもなか/ほろほろ/ミニベロ/ずずエさん/救済パン/やる/奇妙な男/ダンボール重戦車/田多夫/No Image/💃/自動車部員/くろねこ商会/脳裏/ニューロン/松尾(2)/ゴマ忍者(3)/そいそーす/IWA/馬to量子化/じす(2)/nada/低血圧/トニー/懐ヒロイン/約13個入り/リコリス・ラヂアータ/二階から手続き/投票ボーナス(3)
2889_7104_ZMW,2023-10-21,108人,銀行強盗が犯行前日の夜に集まってこっそりやってること,NA,2位,ヨークシャベルナ,「せーの」で「強盗まであと００日」にする,38,84.6,nimuemu/狂ったパン屋さん/ウメ/犬ドリル/三ル貝/もりそば(2)/巻けないカッパ巻/クイズ次郎/やまもん/ぽち(3)/救済パン/T-FOX(3)/ばっは/Heaven/prpp/No Image/自動車部員/へこへこ火炎手裏剣/脳裏/鈴木ヘッジホッグ/skyhi/ドブねずみ/トリニダード木箱/じす/はちすぴー(3)/nada/あかのすけ/リコリス・ラヂアータ/投票ボーナス(3)
2889_7104_ZMW,2023-10-21,108人,銀行強盗が犯行前日の夜に集まってこっそりやってること,NA,3位,wanumayu,スタメン発表,30,73.82,ウメ(3)/tea-cat/ほろほろ/茄ッ子/ミニベロ/ずずエさん/Heaven/やる/奇妙な男/No Image/くろねこ商会/鈴木ヘッジホッグ/わんこそば/玄の字。/IWA/馬to量子化/すかい/五月雨/低血圧/トニー/女将/みやまる/ヨークシャベルナ/阿曽氏/二階から手続き/投票ボーナス(3)
2889_7104_ZMW,2023-10-21,108人,銀行強盗が犯行前日の夜に集まってこっそりやってること,NA,3位,シンマイ子,銀行のほうに足向けて寝る,30,73.82,エーゴ/nimuemu(2)/狂ったパン屋さん/毒ぶどう/ハ生ム/迷探亭困難/カタン/よれよれ(2)/ほろほろ/こころ飴/ぽち(3)/ずずエさん/救済パン(2)/やる/No Image(2)/ニューロン/玄の字。/IWA/じす/むにぴり/トニー/投票ボーナス(3)
2889_7104_ZMW,2023-10-21,108人,銀行強盗が犯行前日の夜に集まってこっそりやってること,NA,5位,こころ飴,馴染むまでコードネーム呼ぶ,29,72.48,wanumayu/ハ生ム/犬ドリル/干し柿/T-FOX(2)/奇妙な男/prpp(2)/へこへこ火炎手裏剣(3)/ニューロン/カルデラ/ゴマ忍者(2)/shu/みくすし/鼻腔炭酸(2)/muhyo/じす/すかい/約13個入り/リコリス・ラヂアータ/二階から手続き/投票ボーナス(3)
2889_7104_ZMW,2023-10-21,108人,銀行強盗が犯行前日の夜に集まってこっそりやってること,NA,6位,三ル貝,目出し帽にみんなで寄せ書きする,26,68.43,狂ったパン屋さん/毒ぶどう/ハ生ム/犬ドリル/ごまもなか/カタン/よれよれ/ミニベロ/Heaven/ダンボール重戦車/prpp/田多夫/No Image/くろねこ商会/松尾/温め鳥(3)/わんこそば/玄の字。/じす/むにぴり/約13個入り/投票ボーナス(3)
2889_7104_ZMW,2023-10-21,108人,銀行強盗が犯行前日の夜に集まってこっそりやってること,NA,7位,ぽち,「銀行強盗　コツ」でググる,25,67.09,物販部(3)/オレコマンダー/カタン/よれよれ/救済パン/田多夫/松尾(2)/温め鳥(3)/IWA/トニー/みやまる/ヨークシャベルナ/切腹きゅうり(2)/あかのすけ(2)/阿曽氏/投票ボーナス(3)
2889_7104_ZMW,2023-10-21,108人,銀行強盗が犯行前日の夜に集まってこっそりやってること,NA,7位,鼻腔炭酸,布袋にアイロンを掛けている,25,67.09,狂ったパン屋さん/オレコマンダー/ハ生ム/ごまもなか/カタン/よれよれ(2)/ずずエさん/T-FOX/prpp/くろねこ商会/へこへこ火炎手裏剣(3)/カルデラ/わんこそば/すかい/はちすぴー(2)/低血圧/みやまる/二階から手続き/投票ボーナス(3)
2889_7104_ZMW,2023-10-21,108人,銀行強盗が犯行前日の夜に集まってこっそりやってること,NA,9位,nimuemu,LINEをコードネームにする,24,65.74,オレコマンダー/ハ生ム/迷探亭困難/もりそば/干し柿/シンマイ子/巻けないカッパ巻/ほろほろ/茄ッ子/こころ飴/T-FOX/ばっは/やる/ダンボール重戦車/💃/鈴木ヘッジホッグ/じす/nada/みやまる(2)/懐ヒロイン/投票ボーナス(3)
2889_7104_ZMW,2023-10-21,108人,銀行強盗が犯行前日の夜に集まってこっそりやってること,NA,10位,muhyo,どの供述か決めとく,23,64.39,毒ぶどう/もりそば/シンマイ子/巻けないカッパ巻/ほろほろ/やまもん/No Image/カルデラ/トリニダード木箱/そいそーす/IWA/馬to量子化/すかい(2)/低血圧/あかのすけ(2)/約13個入り/リコリス・ラヂアータ/阿曽氏/投票ボーナス(3)
2889_7104_ZMW,2023-10-21,108人,銀行強盗が犯行前日の夜に集まってこっそりやってること,NA,11位,カルデラ,一応謝る練習だけしとこう,22,63.04,ウメ/tea-cat/干し柿/ごまもなか/ぽち(3)/T-FOX/ばっは/Heaven/奇妙な男/ダンボール重戦車/田多夫/No Image/ニューロン/skyhi/じす/トニー/みやまる/投票ボーナス(3)
