お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0868_1249_WJL,2023-10-30,115人,健康になりたいアホ山くんがやったこと,NA,1位,昨今,緑に塗ってから食べる,35,77.68,二階から手続き/ふじじじがが/あまちゃんIII/きゅーきゅー/下り坂まで/墨汁一滴/干し柿/酢飯(2)/へのへの/F難度フェルナンド/shu(2)/気球マイスター/みつやLoL/ミスティカティ(2)/あとひとつ流星群/みずもと(2)/シンマイ子/生身/ねこ太郎/突然及川/はいどぼーい/クープラン/     ToritoN/キト/埼玉西武ライオンズ(3)/低血圧/投票ボーナス(3)
0868_1249_WJL,2023-10-30,115人,健康になりたいアホ山くんがやったこと,NA,2位,マイナスいち髪,診断のリセマラした,34,76.39,いいも/うおい(2)/かずてん(3)/フェイクファー/ピンストライプ春巻/ペン/ああああああ/マービィ/パーくん/さかまろ/ユートピアだんす/絶命/shika shika/Speedcater/へのへの/杜野/りと°/てれび/うたたねキビちゃん(2)/あとひとつ流星群(2)/みずもと/シンマイ子/突然及川/ワトゥー/mksm/クープラン/投票ボーナス(3)
0868_1249_WJL,2023-10-30,115人,健康になりたいアホ山くんがやったこと,NA,3位,二段階出っ歯,お腹いっぱいになるまで薬を飲んだ,33,75.1,二階から手続き/いいも/ハッスル運動会/ふじじじがが/あまちゃんIII/ペン/玄の字。/ほん/黒胡椒/コヲキ(2)/インドスカイ/さかまろ/shika shika/放尿魔/犬ドリル/skyhi/逃げ遅れたメタルスライム(3)/りと°/マス田中/気球マイスター/みつやLoL/Ai(3)/クープラン/     ToritoN/キト/投票ボーナス(3)
0868_1249_WJL,2023-10-30,115人,健康になりたいアホ山くんがやったこと,NA,3位,釜ちびちび,医者の喋り方真似した,33,75.1,二階から手続き/あまちゃんIII/きゅーきゅー/下り坂まで(2)/初ギプス/完備(2)/玄の字。/shaman/墨汁一滴/平凡ぽんち/アンサイン/干し柿/まったん冷え性/shu/杜野/屋内用雨傘/パステルゆんゆん/てれび/みずもと/生身/ねこ太郎/突然及川/ねこめんたい/ワトゥー/はいどぼーい/クープラン/半ちく/低血圧/投票ボーナス(3)
0868_1249_WJL,2023-10-30,115人,健康になりたいアホ山くんがやったこと,NA,5位,はいどぼーい,オムライスに「野菜」って書いた,32,73.8,特殊人間/ドロレス・グランギニョル/ペン/玄の字。/マービィ/パーくん/さかまろ(2)/二段階出っ歯/放尿魔/干し柿/キチン南蛮(3)/リトマス試験紙/skyhi/へのへの/杜野/うたたねキビちゃん(2)/マス田中/気球マイスター/Ai(3)/生身/ねこめんたい/ララヴィヨ/半ちく/投票ボーナス(3)
0868_1249_WJL,2023-10-30,115人,健康になりたいアホ山くんがやったこと,NA,6位,ゆうとってゆうとるやん,強そうな名前の薬を買う,30,71.22,フェイクファー/ピンストライプ春巻/マゴノテ狂信者/玄の字。/釜ちびちび/コヲキ/shika shika/犬ドリル/酢飯/能動的三半規管(3)/屋内用雨傘/パステルゆんゆん/てれび/気球マイスター/シンマイ子/みやまる/ねこ太郎/突然及川/犬ヒロシ/mksm/ゆい(2)/     ToritoN/キト/低血圧/投票ボーナス(3)
0868_1249_WJL,2023-10-30,115人,健康になりたいアホ山くんがやったこと,NA,7位,DAKARA,毎日病院をにらむ,28,68.64,MF式角砂糖/ハッスル運動会/きゅーきゅー(2)/ピンストライプ春巻/ほん/ブンカサイブンコボン(2)/釜ちびちび/黒胡椒/二段階出っ歯(2)/酢飯(2)/まったん冷え性/へのへの/ちんほ。/屋内用雨傘/てれび/みやまる/生身/はいどぼーい/犬ヒロシ/ゆうとってゆうとるやん/低血圧/投票ボーナス(3)
0868_1249_WJL,2023-10-30,115人,健康になりたいアホ山くんがやったこと,NA,8位,shu,暗いと思ったら寝る,27,67.34,二階から手続き/ぷるちぽん/あまちゃんIII/ドロレス・グランギニョル/初ギプス/フェイクファー/女将/釜ちびちび/黒胡椒/ユートピアだんす/犬ドリル/まったん冷え性/へのへの/F難度フェルナンド/バルチャイ/パステルゆんゆん/気球マイスター/みずもと/シンマイ子/ラータ/はいどぼーい/ゆい/ゆうとってゆうとるやん/低血圧/投票ボーナス(3)
0868_1249_WJL,2023-10-30,115人,健康になりたいアホ山くんがやったこと,NA,9位,放尿魔,風船もって体重計に乗った,26,66.05,いいも/特殊人間/きゅーきゅー/下り坂まで/玄の字。/さかまろ/shaman/絶命/平凡ぽんち/ドラゴンサンダル/マイナスいち髪/屋内用雨傘/たくめ(2)/うたたねキビちゃん(2)/みつやLoL/みずもと(2)/ねこ太郎/はいどぼーい/ふゆる(2)/投票ボーナス(3)
0868_1249_WJL,2023-10-30,115人,健康になりたいアホ山くんがやったこと,NA,10位,Ai,青汁でうがいをした,25,64.76,MF式角砂糖/ハッスル運動会/あまちゃんIII/フェイクファー/ピンストライプ春巻/ほん/コヲキ/shaman/shika shika(2)/放尿魔/F難度フェルナンド(2)/マス田中/ミスティカティ/あとひとつ流星群/クープラン/右回りドサイドン(2)/ふゆる(3)/投票ボーナス(3)
0868_1249_WJL,2023-10-30,115人,健康になりたいアホ山くんがやったこと,NA,10位,ああああああ,近所のジム全部入会した,25,64.76,DAKARA/うおい(2)/ほん/マービィ/黒胡椒(2)/イタリア人/shika shika/Speedcater/リトマス試験紙/まったん冷え性/ちんほ。/迷探亭困難/バルチャイ(2)/屋内用雨傘/生身/ねこめんたい(2)/mksm/     ToritoN/投票ボーナス(3)
