お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0594_7989_BSC,2023-11-01,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0594_7989_BSC.jpeg,1位,さかまろ,一番安い解体業者に頼んだ,40,88.98,さんだる/とほ/ミズイチ/雨安吾/大晦日/白黒まみれ/滅相もない/アンダンテ(3)/双葉柿浦六番線/四季うどん/神横垂直落下/黒太郎/酢飯(2)/まったり/Koki/赤い髪/サバイブレーション/ホソカワタタ/TGTRK(2)/たくみす(2)/知恵の輪/ぺんぺん草/えちえち/オワコン太郎(2)/あす/マット式としき/くうねる/泥のぷーまん/砂鉄泥棒/タニンノネコニ/ゃまゃま/投票ボーナス(3)
0594_7989_BSC,2023-11-01,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0594_7989_BSC.jpeg,2位,夏のワルプルギス,昔のやり方ですいません,31,75.84,さんだる/おさる(2)/みっくすテイラー/はさまり/ジェンツーペンギン/さんれん/嘘海老/白黒まみれ/きゃりーまらまら/四季うどん(3)/るーりき/黒太郎/まったり/すーず/仙河/いわな/オワコン太郎/かくれどり/マイナスいち髪/akamutu/生薬/ゃまゃま/しょゆう(3)/投票ボーナス(3)
0594_7989_BSC,2023-11-01,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0594_7989_BSC.jpeg,3位,watoson,この時だけ涙が止まる,30,74.38,800/さんれん/嘘海老/さかまろ/初ギプス/酢飯(2)/夏のワルプルギス/Koki/たくみす/仙河/いわな/えちえち/じじじい/あす/にじょー/かくれどり/マット式としき(2)/クルペッコの手羽元/生薬/優しさの木/しょゆう(3)/新大(2)/投票ボーナス(3)
0594_7989_BSC,2023-11-01,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0594_7989_BSC.jpeg,4位,さんれん,理由は今から作る,28,71.46,あまちゃんIII/雨安吾/わんわんお/白黒まみれ/滅相もない/きゃりーまらまら/ぎのもの/四季うどん/黒太郎/Koki/赤い髪/ホソカワタタ/TGTRK/いわな/ぺんぺん草/無知な豚キムチ/泥のぷーまん/ノーウェア/生薬/ゃまゃま/優しさの木/しょゆう(3)/ガ行/投票ボーナス(3)
0594_7989_BSC,2023-11-01,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0594_7989_BSC.jpeg,5位,すーず,するなとは言われなかった,27,69.99,とほ(3)/800/大晦日/さんれん/ぎのもの/双葉柿浦六番線/黒太郎/夏のワルプルギス/まったり/Koki/フェイクファー/直ちに下校する/ぺんぺん草/えちえち/じじじい/にじょー/かくれどり/マット式としき/くうねる/オールド/砂鉄泥棒/ゃまゃま/投票ボーナス(3)
0594_7989_BSC,2023-11-01,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0594_7989_BSC.jpeg,5位,みっくすテイラー,お前も食える時に食っとけ,27,69.99,さんだる/とほ(2)/ミズイチ/ポレモロ/大晦日/ジェンツーペンギン/わんわんお/ノコノコdeath/滅相もない/黒太郎/酢飯/赤い髪/Haruru/阿曽氏/エーゴ/えちえち/無知な豚キムチ/クルペッコの手羽元/バサ喜利/ノーウェア(2)/ガ行(2)/投票ボーナス(3)
0594_7989_BSC,2023-11-01,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0594_7989_BSC.jpeg,7位,しょゆう,だから高校行かせてほしかったんだ,24,65.61,あまちゃんIII/ポレモロ/雨安吾/よれん/さんれん/滅相もない/神横垂直落下(2)/みずもと/酢飯(2)/Koki/たくみす/無知な豚キムチ/マイナスいち髪/オールド/akamutu/はちすぴー(3)/こども/投票ボーナス(3)
0594_7989_BSC,2023-11-01,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0594_7989_BSC.jpeg,8位,きゃりーまらまら,しっかり1000万回テストするぜ,23,64.15,ミズイチ/muhyo/はさまり/雨安吾/さんれん/ノコノコdeath/アンダンテ(2)/こんぺいとう雑誌/黒太郎/向井/サバイブレーション(2)/まきな/たくみす/ぺんぺん草/えちえち/かくれどり/くうねる/あるくうに/投票ボーナス(3)
0594_7989_BSC,2023-11-01,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0594_7989_BSC.jpeg,8位,ガ行,寝ちゃったみたい,23,64.15,遺跡発掘調査補助員(2)/ポレモロ/muhyo/メイド・イン・ムーン/はさまり(2)/嘘海老/白黒まみれ/双葉柿浦六番線/TOEIC5点/直ちに下校する/すーず/無知な豚キムチ/かくれどり(2)/くうねる/クルペッコの手羽元/タニンノネコニ/こども/投票ボーナス(3)
0594_7989_BSC,2023-11-01,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0594_7989_BSC.jpeg,8位,斎,重くて運べないから減らそう,23,64.15,ポレモロ/苲(2)/ノコノコdeath/白黒まみれ/滅相もない/初ギプス/四季うどん/赤い髪/サバイブレーション/k=/すーず/エーゴ/じじじい/あす/にじょー/くうねる/タニンノネコニ(2)/こども/投票ボーナス(3)
0594_7989_BSC,2023-11-01,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0594_7989_BSC.jpeg,11位,まったり,作った証を残したい,22,62.69,斎/あまちゃんIII/はさまり/さんれん/こんぺいとう雑誌/さかまろ/初ギプス/黒太郎/みずもと/Haruru/TGTRK/たくみす(2)/じじじい/うたたねキビちゃん/watoson/にじょー/マット式としき/くうねる/投票ボーナス(3)
0594_7989_BSC,2023-11-01,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0594_7989_BSC.jpeg,12位,ノコノコdeath,それもう中古でいいです,21,61.23,斎/ミズイチ/おさる/メイド・イン・ムーン/雨安吾/800/さんれん/わんわんお/初ギプス/四季うどん/るーりき/夏のワルプルギス/赤い髪/フェイクファー/直ちに下校する/すーず/えちえち/泥のぷーまん/投票ボーナス(3)
0594_7989_BSC,2023-11-01,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0594_7989_BSC.jpeg,12位,ポレモロ,僕も測りますね,21,61.23,わんわんお/黒太郎/約13個入り/夏のワルプルギス/まったり/向井/赤い髪/Haruru(2)/阿曽氏/すーず/仙河/いわな/エーゴ/あす/クルペッコの手羽元/生薬/錆缶/投票ボーナス(3)
0594_7989_BSC,2023-11-01,107人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0594_7989_BSC.jpeg,12位,白黒まみれ,最初にウニ食った奴もこうでしたよ,21,61.23,あまちゃんIII/おさる/くものす/ジェンツーペンギン/滅相もない/ぎのもの/双葉柿浦六番線/黒太郎/サバイブレーション/TGTRK/ぺんぺん草/あす/マイナスいち髪/ノーウェア(3)/あるくうに/錆缶/投票ボーナス(3)
