お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0889_0782_LHY,2023-11-04,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0889_0782_LHY.jpg,1位,アナゴさん,わざと難しく説明してないか,37,87.0,半丙太/鳴子レプシー/ちくわうし/ここはが/こま/nada/さんれん/中肉大勢/泥豚/田口さん🍙/Candy?/コトバの踊り場(2)/あぐら/赤黄色/はちわれ/テツ/かまとと/せんだい/HS三遊間/骨密度/ちぇみちぇみ！/バニラソフト/じす/煮込みVUITTON/アリゾナおてんば娘/800/高見盛/汁物勢/ミスティカティ/アッサム/近視性乱視/さむちょ/椎茸キング/投票ボーナス(3)
0889_0782_LHY,2023-11-04,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0889_0782_LHY.jpg,2位,骨密度,あれ俺の保険証だよな,34,82.54,鳴子レプシー/ちくわうし/理科インターネット/こま/能動的三半規管(3)/nada/中肉大勢/カタン/muhyo/はちわれ/あまちゃんIII/きまぐれ悪魔/じす/原翠/コナミスポーツ/PD/ボチョムキン/ゐ。/アリゾナおてんば娘/マルヤマ/桃山ももたろう(3)/ミスティカティ/濡れコップ/星ドッラ/ダダダチョウ/あかこんにゃく(2)/投票ボーナス(3)
0889_0782_LHY,2023-11-04,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0889_0782_LHY.jpg,3位,しおひがし,映画泥棒が20分以上逃げてる,28,73.6,JIN(3)/ノーウェア/ぷるちぽん/コトバの踊り場(2)/ふるれ/muhyo/干し柿/ルドンウドン/バニラソフト/じす/ゐ。/松尾(2)/帰る亭中野周辺/アイワ/濡れコップ(2)/さむちょ/椎茸キング/あかこんにゃく(3)/投票ボーナス(3)
0889_0782_LHY,2023-11-04,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0889_0782_LHY.jpg,4位,カタン,何語の吹き替えなんだ,27,72.11,半丙太(2)/雲ひとつない撒き餌/ここはが/JIN(3)/かおー/かみそん/ふるれ/かまとと/長谷川キモ彦/きまぐれ悪魔/ちぇみちぇみ！/じす/原翠/コナミスポーツ/しおひがし/アリゾナおてんば娘(2)/800/アイワ/汁物勢/ミスティカティ/投票ボーナス(3)
0889_0782_LHY,2023-11-04,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0889_0782_LHY.jpg,5位,アッサム,準優勝の方が褒められてる,24,67.65,雲ひとつない撒き餌/ちくわうし/理科インターネット/アナゴさん/泥豚/カタン/かおー/ふるれ/muhyo/テツ/かまとと/ちぇみちぇみ！/じす/コナミスポーツ/ボチョムキン/煮込みVUITTON/アリゾナおてんば娘/モチ/近視性乱視/さむちょ/日本太郎/投票ボーナス(3)
0889_0782_LHY,2023-11-04,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0889_0782_LHY.jpg,5位,椎茸キング,全部おれの事だろ それ,24,67.65,ここはが/はちすぴー/能動的三半規管(2)/泥豚/田口さん🍙/カタン/あぐら/赤黄色/🍮倶楽部/ちぇみちぇみ！/ルドンウドン/くものす(2)/えーす/じす/きまぐれ/アイワ/高見盛/さむちょ/日本太郎/投票ボーナス(3)
0889_0782_LHY,2023-11-04,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0889_0782_LHY.jpg,7位,PD,じゃあ今のカウントダウン何,23,66.16,半丙太/ちくわうし/こま/犬クジラ/あぐら/赤黄色/はちわれ/かまとと/干し柿/じす/ボチョムキン/しおひがし/帰る亭中野周辺/アイワ/ミスティカティ/直ちに下校する/アッサム(2)/さむちょ/椎茸キング/投票ボーナス(3)
0889_0782_LHY,2023-11-04,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0889_0782_LHY.jpg,7位,きゅうり農家,俺しか拍手してなかったな,23,66.16,ここはが/さんれん/田口さん🍙/ふるれ/テツ/ミラー(2)/じす/しおひがし/800/アイワ/高見盛/桃山ももたろう(3)/濡れコップ/アッサム/モチ/星ドッラ/ダダダチョウ/投票ボーナス(3)
0889_0782_LHY,2023-11-04,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0889_0782_LHY.jpg,7位,煮込みVUITTON,またこのスライドか,23,66.16,nada/中肉大勢/泥豚/田口さん🍙/きゅうり農家/はちわれ/せんだい/干し柿/HS三遊間/あまちゃんIII/🍮倶楽部/きまぐれ悪魔/ルドンウドン/しおひがし/桃山ももたろう(3)/モチ/椎茸キング/ダダダチョウ/投票ボーナス(3)
0889_0782_LHY,2023-11-04,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0889_0782_LHY.jpg,10位,汁物勢,身に覚えのない罪状もある,21,63.18,ぷるちぽん/泥豚/テツ/かまとと/HS三遊間/あまちゃんIII/きまぐれ悪魔/骨密度/バニラソフト/ペス山ペス男/ベコラス3世(3)/ミスティカティ/濡れコップ(2)/椎茸キング/もーよー/投票ボーナス(3)
0889_0782_LHY,2023-11-04,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0889_0782_LHY.jpg,11位,アリゾナおてんば娘,あったかい便座だ,20,61.69,理科インターネット/犬クジラ/アナゴさん/さんれん/中肉大勢/Candy?/かみそん/せんだい/きまぐれ悪魔/ルドンウドン/原翠/PD/鯖のおすぃずすぃ(3)/煮込みVUITTON/マルヤマ/投票ボーナス(3)
0889_0782_LHY,2023-11-04,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0889_0782_LHY.jpg,11位,モチ,私のとなり空いてるのにな,20,61.69,雲ひとつない撒き餌/こま/はちわれ/テツ/HS三遊間/あまちゃんIII/きまぐれ悪魔/ちぇみちぇみ！/PD/松尾(2)/800/汁物勢/アッサム(2)/ダダダチョウ/日本太郎/投票ボーナス(3)
0889_0782_LHY,2023-11-04,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0889_0782_LHY.jpg,11位,松尾,俺だけ日向だ,20,61.69,ここはが/理科インターネット/はちすぴー/nada/さんれん/Candy?/かみそん/ふるれ/長谷川キモ彦/あまちゃんIII(2)/ミラー/えーす/ふゆる/PD/ゐ。(2)/投票ボーナス(3)
0889_0782_LHY,2023-11-04,96人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0889_0782_LHY.jpg,14位,ちぇみちぇみ！,もう側転はいいよ,19,60.2,半丙太/ちくわうし/さんれん/泥豚/田口さん🍙(2)/かおー/あぐら/赤黄色/かまとと/せんだい/干し柿/じす/アブミ/PD/煮込みVUITTON/投票ボーナス(3)
