お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,1位,れいり໒꒱. ﾟ,特徴が当てはまってた,30,79.84,アヒージョ/まみや(3)/ペン/ナルシマアンバイ/ターンブル/shiron./ニア・ディゾン/three-all/近視性乱視(2)/二階から手続き/えいり/katamari/ドッグラン/ユートピアだんす(3)/雪だるま弁当/たこかいな(2)/やや不安(3)/もーよー/ゆうとってゆうとるやん/投票ボーナス(3)
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,2位,立板に流水,今、何場所かわからない,29,78.24,ぜ。/かな/スイートランド/緑峰/4200/ニア・ディゾン/three-all/もっと(2)/七輪車/MachinegunOL(2)/元泉州在住/井上ヘノシタ/さかさままさか/とりふぐ/Heaven/mioja/めめる/情報ジャクソン(3)/マイパル/てれび(2)/犬ドリル/投票ボーナス(3)
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,3位,ネクストン,いつの間にか目印にされていた,26,73.46,細/ぜ。/ペン/春屋○イ/世界の牛肉/4200/ポリエステルの産物/もっと/DAKARA/へなちょこ/サバイブレーション/パーくん/みずいろのもちもち/魚粉/Heaven/ドッグラン/雪だるま弁当/マイパル/炭素(3)/山田生姜/わんわんお/投票ボーナス(3)
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,3位,バニラソフト,そういう決まり手だった,26,73.46,アヒージョ/まみや/ぜ。/緑峰/世界の牛肉/ナルシマアンバイ/ターンブル/shiron.(2)/詫びシャイニング/ひよこ豆/あかこんにゃく(3)/バム/パーくん/井上ヘノシタ/魚粉/Heaven/mioja/サバまみれ/山田生姜/アリゾナおてんば娘/投票ボーナス(3)
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,5位,kubodi,技のデパートはここですか？,23,68.68,細/ペン/春屋○イ/ナルシマアンバイ/ターンブル/three-all/タニンノネコニ/バニラソフト/サバイブレーション(2)/パーくん/井上ヘノシタ/AtoO/Heaven/雪だるま弁当/遺跡発掘調査補助員/マイパル/少しだけ賢い/山田生姜/アップルティー/投票ボーナス(3)
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,6位,近視性乱視,いつも頭がおかしい,22,67.09,細/赤黄色(2)/ネクストン(3)/バニラソフト(3)/へなちょこ/井上ヘノシタ(2)/鈴本/AtoO/katamari/マイファナ/九/少しだけ賢い/わんわんお/投票ボーナス(3)
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,7位,たこかいな,かかってこない子供たちも見たい,21,65.49,細/とろろ/ばば/赤黄色/ナルシマアンバイ/ニア・ディゾン(2)/古い絵画/ひよこ豆(2)/DAKARA/バム/へなちょこ/さかさままさか/けんけんぱ/めめる/犬ドリル/ゆうとってゆうとるやん/投票ボーナス(3)
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,7位,とりふぐ,引退後の道を間違えたくない,21,65.49,アヒージョ/緑峰/ねこみー(2)/MachinegunOL(2)/元泉州在住/えいり/埼玉西武ライオンズ/マイパル(2)/れいり໒꒱. ﾟ/白藍(2)/犬ドリル/アリゾナおてんば娘/イワザル/アンペア岡村/投票ボーナス(3)
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,7位,ノコノコdeath,ガキの涙からしか取れない塩がある,21,65.49,赤黄色/ナルシマアンバイ/ニア・ディゾン/three-all/ガス灯/ひよこ豆/あかこんにゃく/kubodi/えいり/けんけんぱ/雪だるま弁当/サバまみれ(2)/炭素(3)/山田生姜/アップルティー/投票ボーナス(3)
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,10位,まみや,ここ以外食べ尽くした,19,62.3,とろろ/ニア・ディゾン/ひよこ豆/バニラソフト/みずいろのもちもち/鈴本/魚粉/けんけんぱ/めめる/情報ジャクソン(3)/少しだけ賢い/れいり໒꒱. ﾟ/やや不安/アップルティー/投票ボーナス(3)
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,10位,サバまみれ,初めて両国から出てきた,19,62.3,とろろ/ぜ。/ペン/ポリエステルの産物/古い絵画/three-all/ガス灯/kubodi/近視性乱視/井上ヘノシタ/katamari(3)/けんけんぱ/てれび/たこかいな/投票ボーナス(3)
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,12位,ぽぽぽまる,「迷」に米が入ってるからご飯屋さんだと思った,18,60.71,ちんほ。/4200/MachinegunOL(2)/立板に流水(2)/kubodi/鯖のおすぃずすぃ(2)/マイファナ/埼玉西武ライオンズ/ドッグラン/ユートピアだんす(2)/アリゾナおてんば娘/投票ボーナス(3)
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,12位,パーくん,西ってどっちだ？,18,60.71,アヒージョ/スイートランド/4200/shiron./ポリエステルの産物/元泉州在住(2)/バム/へなちょこ/マイファナ(2)/ぽぽぽまる/もーよー/犬ドリル/イワザル/投票ボーナス(3)
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,12位,七輪車,技のデパ地下ではぐれた,18,60.71,かな/ペン/春屋○イ/ポリエステルの産物/three-all/ガス灯(2)/タニンノネコニ/井上ヘノシタ(2)/ドッグラン/ユートピアだんす/雪だるま弁当/ぽぽぽまる/やや不安/投票ボーナス(3)
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,12位,赤黄色,東ってどっちですか,18,60.71,4200/shiron./ねこみー/詫びシャイニング/ひよこ豆/バム/へなちょこ/サバイブレーション/魚粉/情報ジャクソン/白藍/サバまみれ/やや不安/犬ドリル/アンペア岡村/投票ボーナス(3)
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,16位,しゅうしゅう,うっちゃりしてた,17,59.12,細/ばば/ペン/ナルシマアンバイ/ねこみー/詫びシャイニング/ガス灯/タニンノネコニ/立板に流水(3)/パーくん/さかさままさか(2)/雪だるま弁当/ぽぽぽまる/アップルティー
1448_4178_GIH,2023-11-07,90人,迷子センターにお相撲さんがきた、一体何があった？,NA,16位,んっぽ,「迷子の押し出しをします」,17,59.12,アヒージョ/緑峰(2)/ナルシマアンバイ/ポリエステルの産物/タニンノネコニ/あかこんにゃく(2)/みずいろのもちもち/えいり/鈴本/Heaven/埼玉西武ライオンズ/めめる/山田生姜/イワザル/アンペア岡村
