お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,1位,まったん冷え性,わかったから履きなさい,26,76.15,にゃんごすちん/たいや/POPOJI/大金星(3)/さんだる/ババロア/ゆんける/こののののの/ika/たらずみ(2)/カリーいながわ/さわだもえーー/錠剤ロンド(3)/あまちゃん/ボチョムキン/ネクストン(2)/おとは/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,2位,MF式角砂糖,文句だけで勝ち上がってきたのか,25,74.4,えーす/コレカタ(2)/七草ななな/燃え尽き小籠包/パーくん/フイ/ババロア/ねこねずみ/カナダ/向井/カリーいながわ/玄の字。/あまちゃん/あまちゃんIII/リック/💃/クープラン/Figaro/ジェンツーペンギン/ボチョムキン/わんわんお/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,3位,とりふぐ,すぐコメントしてくるの君だろ,23,70.89,きれいな市役所/えーす/たいや/POPOJI/フイ/ねこねずみ/スカー/紆余曲折/田多夫/ウラニワ(2)/くものす(2)/さわだもえーー/綾浜/あまちゃん/ハ生ム/あまちゃんIII/山の麓/ジェンツーペンギン/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,4位,あとひとつ流星群,君が敗因だ,22,69.14,コレカタ/たいや/赤い髪/すけきよ/椎茸キング/MF式角砂糖/金の卵/まったん冷え性/しざりEXモード/カリーいながわ/さわだもえーー/錠剤ロンド(3)/ふゆる/鯖度80％/ハ生ム/shaman/Figaro/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,4位,💃,どうせ姉がエロいだろ,22,69.14,きれいな市役所/七草ななな/たいや/石原消し炭/rums(2)/大金星(3)/バム(2)/ねこねずみ/紆余曲折/金の卵(2)/ぺんだこ/林鍵太郎/山の麓/ボチョムキン/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,6位,すけきよ,お前がヴィーガンな訳ないだろ,21,67.39,にゃんごすちん(2)/コレカタ/七草ななな(2)/赤い髪/石原消し炭/ぽこぽこパンダ(2)/こののののの/カリーいながわ/ふゆる(2)/ブンカサイブンコボン/shaman/💃/クープラン/あぐら/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,6位,錠剤ロンド,その歳で苦労を語るな,21,67.39,にゃんごすちん(2)/赤い髪/椎茸キング/ババロア/こののののの/MF式角砂糖/まったん冷え性/しゅうしゅう/田多夫/玄の字。/💃/林鍵太郎/Figaro/山の麓/ジェンツーペンギン/クルペッコの手羽元/あぐら/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,8位,あまちゃんIII,別の質問で頼む,20,65.64,えーす/POPOJI/chiwachiwa/燃え尽き小籠包/バム/こののののの/MF式角砂糖/カナダ/スカー/田多夫/ウラニワ/カリーいながわ/shaman/リック/💃/Figaro/あぐら/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,9位,たいや,これが「注目」だ,19,63.89,とりふぐ/ジョセフ/POPOJI/ミラー/rums/あとひとつ流星群/MF式角砂糖/向井/しゅうしゅう/あまちゃん/lol子(3)/クープラン/Figaro/クルペッコの手羽元/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,9位,はちすぴー,親がすごいんだろ,19,63.89,コレカタ/甘納豆/たいや/rums(2)/MF式角砂糖/紆余曲折/錠剤ロンド/あまちゃん/鯖度80％/ハ生ム/💃/林鍵太郎/Figaro/あぐら/ボチョムキン/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,9位,バム,今日が人生のピークだぞ,19,63.89,七草ななな(2)/赤い髪/ジョセフ/chiwachiwa/燃え尽き小籠包/フイ/あとひとつ流星群/紆余曲折/まったん冷え性/たらずみ/鯖度80％/ハ生ム/shaman/クルペッコの手羽元/ちゃ柴/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,12位,あぐら,諦めて目立とうとするな,18,62.13,とりふぐ/POPOJI/chiwachiwa/レゴ泥棒/ババロア/スカー/りと°(2)/しゅうしゅう/さわだもえーー/イヌタク/つゆだQ/shaman/ボチョムキン/はちすぴー/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,12位,ジョセフ,乳首に当たったら「YES」って言うんだぞ,18,62.13,きれいな市役所/rums/さんだる/ぽこぽこパンダ/スカー/ろいやる/しゅうしゅう/しざりEXモード/あまちゃんIII/林鍵太郎/山の麓/えつこちゃん(2)/ネクストン/おとは/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,12位,狂人m,まずは一番バカそうな君,18,62.13,にゃんごすちん/たいや/ジョセフ/POPOJI/パーくん/レゴ泥棒/フイ/こののののの/りと°/まったん冷え性/さわだもえーー/あまちゃん/lol子(2)/ハ生ム/林鍵太郎/Figaro/クルペッコの手羽元
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,15位,Figaro,アリバイが無いのはお前と俺だけだ,17,60.38,えーす/コレカタ(2)/赤い髪/ジョセフ/石原消し炭/ケビ沢/燃え尽き小籠包/パーくん/ika/しゅうしゅう/しざりEXモード/shaman/えつこちゃん/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,15位,フイ,殴れないと思ってるだろ,17,60.38,コレカタ(3)/POPOJI/ミラー/石原消し炭/レゴ泥棒/MF式角砂糖/りと°/まったん冷え性/カリーいながわ/ブンカサイブンコボン/つゆだQ/shaman/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,17位,ゆんける,食べたい時が食べ時だぜ,15,56.88,にゃんごすちん/コレカタ/甘納豆/ミラー/ケビ沢/バム/りと°/ハ生ム/リック/山の麓/ジェンツーペンギン/クルペッコの手羽元/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,17位,ウラニワ,それは妊婦に聞きな,15,56.88,POPOJI/パーくん/椎茸キング/ねこねずみ/カナダ/りと°/まったん冷え性/玄の字。/あまちゃん/あぐら/ボチョムキン/おとは/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,17位,カリーいながわ,解説は私がするから,15,56.88,とりふぐ/rums/レゴ泥棒/椎茸キング/MF式角砂糖/ika(3)/田多夫/ウラニワ/鯖度80％/あぐら/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,17位,パーくん,妹の分まで食うなよ,15,56.88,石原消し炭/すけきよ/ケビ沢/金の卵(2)/まったん冷え性/ウラニワ(2)/玄の字。/鯖度80％/つゆだQ/💃/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,17位,田多夫,これ下さい,15,56.88,えーす/燃え尽き小籠包/さんだる/椎茸キング/ぽこぽこパンダ/綾浜/lol子(3)/ハ生ム/るれろ/えつこちゃん/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,17位,紆余曲折,敬語使いこなすな,15,56.88,きれいな市役所/とりふぐ/POPOJI/石原消し炭/さんだる/ねこねずみ(2)/MF式角砂糖/鯖度80％/クルペッコの手羽元/わんわんお/ネクストン/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,23位,shaman,デブに誇りを持て,14,55.13,パーくん/ぽこぽこパンダ(2)/ゆんける/カナダ/ろいやる/イヌタク/あまちゃん/あまちゃんIII/おとは(2)/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,23位,ジェンツーペンギン,No Dream,14,55.13,たいや/ジョセフ/紆余曲折/ぺんだこ/ふゆる(2)/ブンカサイブンコボン(2)/つゆだQ/Figaro/ちゃ柴/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,23位,ボチョムキン,まず敬語を勉強しなさい,14,55.13,chiwachiwa/レゴ泥棒/フイ/椎茸キング/ババロア/こののののの/スカー/あまちゃんIII/つゆだQ/山の麓/わんわんお/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,23位,林鍵太郎,「そんなに喋りたいならお前が授業しろ」って言われて本当に授業したのはお前が初めてだ,14,55.13,コレカタ/七草ななな/イヌタク/玄の字。/ハ生ム/出前(2)/リック/るれろ/クルペッコの手羽元/ちゃ柴/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,27位,ねこねずみ,まず態度が終わってる,13,53.38,POPOJI/さんだる/スカー/向井/ぺんだこ/しざりEXモード/ブンカサイブンコボン/林鍵太郎/クルペッコの手羽元/ちゃ柴/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,27位,わんわんお,デカくなってから言おうな,13,53.38,きれいな市役所/えーす/chiwachiwa/フイ/まったん冷え性/ハ生ム/リック/Figaro/あぐら/えつこちゃん/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,27位,カナダ,君は肥満になる素質がある,13,53.38,レゴ泥棒/あとひとつ流星群/ika/ぺんだこ/鯖度80％/出前(3)/るれろ/ちゃ柴/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,27位,スカー,4位はギリメダル無いのよ,13,53.38,ジョセフ/rums/ゆんける/あとひとつ流星群/こののののの/ika/金の卵(2)/田多夫/💃/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,27位,玄の字。,彼は給食をたくさん食べました,13,53.38,とりふぐ/燃え尽き小籠包(3)/さんだる/紆余曲折/田多夫/ブンカサイブンコボン/ジェンツーペンギン/ボチョムキン/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,32位,にゃんごすちん,お前がカビゴン呼びするのは違うだろ,12,51.62,ミラー/くものす(2)/綾浜/ふゆる(2)/ブンカサイブンコボン/ハ生ム/つゆだQ/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,32位,ふゆる,いいかいボールは君の心にある,12,51.62,とりふぐ/ケビ沢/カナダ/向井/くものす(2)/カリーいながわ/ハ生ム/はちすぴー/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,32位,クルペッコの手羽元,態度だけだな,12,51.62,chiwachiwa/フイ/ババロア/ゆんける/MF式角砂糖/りと°/しゅうしゅう/はちすぴー/ネクストン/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,32位,ババロア,悪いお手本くんさ,12,51.62,コレカタ(2)/あとひとつ流星群/ねこねずみ/MF式角砂糖/向井/紆余曲折/山の麓/ネクストン/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,32位,リック,プライベートまで責めるんですか,12,51.62,ミラー/ねこねずみ/くものす(2)/綾浜/玄の字。/ハ生ム/あまちゃんIII/クルペッコの手羽元/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,32位,金の卵,空気を読んで負けろよ,12,51.62,たいや/chiwachiwa/さんだる/パーくん/バム/ねこねずみ/玄の字。/あぐら/ネクストン/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,32位,鯖度80％,誰のお父さんなら嬉しい,12,51.62,とりふぐ/石原消し炭/MF式角砂糖/カリーいながわ/ハ生ム/あまちゃんIII/💃/ジェンツーペンギン/ネクストン/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,39位,ハ生ム,ここではペアルックやめてって言ったよね,11,49.87,さんだる/ゆんける/向井/ぺんだこ/たらずみ/綾浜/クープラン/ネクストン/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,39位,ミラー,なぜマイク食べた？,11,49.87,にゃんごすちん/ねこねずみ/ぺんだこ/たらずみ(2)/イヌタク/Figaro/ネクストン/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,39位,椎茸キング,ナイス ストマックだ,11,49.87,きれいな市役所/赤い髪/ケビ沢/パーくん/ジェンツーペンギン(2)/えつこちゃん/はちすぴー/投票ボーナス(3)
2159_3311_OFV,2023-12-16,85人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2159_3311_OFV.jpg,39位,赤い髪,徒競走で唯一歩いた君にはピザを,11,49.87,コレカタ/すけきよ/ケビ沢/さわだもえーー/玄の字。/ハ生ム/つゆだQ/shaman/投票ボーナス(3)
