お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1438_6189_HMS,2023-12-25,94人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1438_6189_HMS.JPG,1位,修行修行,賢い人呼ばないと,29,76.72,ベモペギ/パブロ風の犬/9月が終わったら起こして(2)/フォークソング研究部/インドスカイ/螺旋貝柱/ねくび/油玉豚/ちんほ。/まったん冷え性/ほろほろ/やんわり/そてー/ドブコック/赤黄色/うしにょこ👉🐮👈/クロレラサイダー/わぁっ！/業務用虚無/雑兵/くものす/nk/千秋楽/新Goo/骨密度/投票ボーナス(3)
1438_6189_HMS,2023-12-25,94人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1438_6189_HMS.JPG,2位,ちんほ。,円ジェルだ,28,75.05,ポリエステルの産物/西口音弥(2)/たいら/鼻くそゴリラ/すば/ねくび/錆缶/しばとも/ホトココア(2)/でーたら/まったん冷え性/えちえち/ハ生ム/2周年🍵/桜井赤/ファラオ/おぼ旬(3)/東松永/業務用虚無/新Goo/内田有紀(美人)/投票ボーナス(3)
1438_6189_HMS,2023-12-25,94人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1438_6189_HMS.JPG,3位,ねくび,うおっ野生の風刺だ,27,73.38,ベモペギ/ペンギン横移動/たし/さんだる/エビアレルギー/ギサワ/ちぇみちぇみ！/完備/黒胡麻/ホトココア/でーたら/玄の字。/wanumayu/ナイトロ(3)/コモリヤ/やんわり/kak(2)/わぁっ！/業務用虚無(2)/世界の牛肉/投票ボーナス(3)
1438_6189_HMS,2023-12-25,94人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1438_6189_HMS.JPG,4位,あると,うわあとても比喩,26,71.71,shaman/たし/桃山ももたろう/ちぇみちぇみ！/完備(2)/黒胡麻/存フリ/しばとも/自由人/玄の字。/wanumayu/コモリヤ(2)/赤黄色/ファラオ/クロレラサイダー/わぁっ！/業務用虚無/犬ヒロシ/雑兵/哲学ミミズ/千秋楽/投票ボーナス(3)
1438_6189_HMS,2023-12-25,94人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1438_6189_HMS.JPG,4位,クロレラサイダー,タワマンに集まってるぞ,26,71.71,無明海/つゆだQ/たし/パブロ風の犬/ミズイチ/みやぁ/すば/存フリ/水戸/シーサイド品川/まったん冷え性/JIN(2)/コモリヤ/えちえち/赤黄色/2周年🍵/桜井赤/業務用虚無(2)/犬ヒロシ/雑兵/新Goo/投票ボーナス(3)
1438_6189_HMS,2023-12-25,94人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1438_6189_HMS.JPG,4位,コモリヤ,いや、群れに合流するのを待とう,26,71.71,shaman/たいら/ギサワ/鼻くそゴリラ(2)/螺旋貝柱/すば/錆缶/水戸/鶴bay/でーたら/二階から手続き(2)/代々木ポトフ/やんわり/kak/あ〜ちゃん/chiwachiwa/ファラオ/東松永/土井善晴/tomodi(2)/投票ボーナス(3)
1438_6189_HMS,2023-12-25,94人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1438_6189_HMS.JPG,7位,水戸,交尾で増えるのかよ,25,70.05,ポリエステルの産物/パブロ風の犬/ミズイチ/エビアレルギー/ちぇみちぇみ！/ホトココア/玄の字。/ちんほ。/もこもこねこちゃん/シーサイド品川/コレカタ/やんわり/軽自転車(2)/ドブコック(2)/chiwachiwa/2周年🍵/東松永/クロレラサイダー/業務用虚無/内田有紀(美人)/投票ボーナス(3)
1438_6189_HMS,2023-12-25,94人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1438_6189_HMS.JPG,8位,nk,あっちが貧困か,24,68.38,しがつ/パブロ風の犬/たいら/ミズイチ(2)/Misery/あると/自由人/でーたら/玄の字。/二階から手続き(2)/ほろほろ/ハ生ム/ドブコック/chiwachiwa/さめかす/2周年🍵/東松永/クロレラサイダー/わぁっ！/投票ボーナス(3)
1438_6189_HMS,2023-12-25,94人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1438_6189_HMS.JPG,8位,ポリエステルの産物,子供のうちに見よう,24,68.38,shaman/パブロ風の犬/たいら/イタリア人/あると(2)/水戸/鶴bay/油玉豚/二階から手続き/ドブコック(2)/ファラオ/雑兵/世界の牛肉/哲学ミミズ/くものす/修行修行/千秋楽/骨密度/内田有紀(美人)/投票ボーナス(3)
1438_6189_HMS,2023-12-25,94人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/1438_6189_HMS.JPG,10位,まったん冷え性,原因が逃げた,23,66.71,無明海/ベモペギ/フォークソング研究部/ちぇみちぇみ！/完備/鼻くそゴリラ/黒胡麻/自由人/wanumayu/シーサイド品川/JIN/二階から手続き/やんわり/あ〜ちゃん/chiwachiwa/雑兵/哲学ミミズ/nk/千秋楽(2)/投票ボーナス(3)
