お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0241_1727_HTA,2024-01-10,161人,ひらがなの「へ」とカタカナの「ヘ」の意外な見分け方,NA,1位,かと,無理せず聞く,50,84.3,あぐら/はいいいえ(2)/unknown/カツカリーパン食え(3)/あの日のニンニ/ささくれ/赤黄色/フェイクファー/骨密度/ミズイチ(2)/CDTVをご覧のミナ/松尾/アホランド/敵刺/良識/もねるめろ/小森/完備/古い絵画/スイートランド/コックカワサキ/恋雅嵐(3)/汁物勢/PD/はっぴーえんど/緑汁/猫殴/はどふ(3)/かにく(3)/砂漠/ねこめんたい/くんちゅあ(3)/あると/ぬりかべ/エーゴ/投票ボーナス(3)
0241_1727_HTA,2024-01-10,161人,ひらがなの「へ」とカタカナの「ヘ」の意外な見分け方,NA,2位,あとひとつ流星群,山折りか谷折りか,48,82.19,カントリーマアム/rerereのre(2)/unknown/三人衆/屋内用雨傘/ささくれ/骨密度(2)/たし/白いインク/スカー/ぷるちぽん/hiha/ミズイチ/アホランド/モロヘイヤ/敵刺/高だの高代/ちゃんねる(2)/rayleigh/古い絵画/住田/5.5畳(2)/鈴木ヘッジホッグ(2)/ヤシの木/湿った四面体(2)/はっぴーえんど/きゃっぷ/ゼンザイさん/ミスティカティ/茄ッ子/ちーぽり/むもん/春のアレクサ/エスニック美女軍団/シーサイド品川/簪(2)/指小屋/尾崎愉快犯/投票ボーナス(3)
0241_1727_HTA,2024-01-10,161人,ひらがなの「へ」とカタカナの「ヘ」の意外な見分け方,NA,3位,とらぼーい,ご家族に見てもらう,42,75.83,のとさわ(2)/Gully/カツカリーパン食え/ドゥラちゃん/あの日のニンニ/赤黄色/MODY/ぷるちぽん/松尾/アホランド/滑らかなK/やる/良識/小森/rayleigh/あまちゃんIII/住田(3)/汁物勢/5.5畳/ヤシの木/薄切りハム(2)/緑汁/タバコを吸う女/田んぼアート/ミスティカティ(2)/クビソ/年金/シーサイド品川/くんちゅあ(3)/指小屋/とぬとま(2)/投票ボーナス(3)
0241_1727_HTA,2024-01-10,161人,ひらがなの「へ」とカタカナの「ヘ」の意外な見分け方,NA,4位,はどふ,またがってみる,41,74.78,Ponchoruno/ドゥラちゃん/赤黄色/フェイクファー/骨密度/白いインク/スカー/ぷるちぽん/hiha/なす角/敵刺/滑らかなK/小森/rayleigh/コックカワサキ/汁物勢/5.5畳(2)/副菜/Yokuboy/PD/湿った四面体(2)/緑汁/猫殴/ゼンザイさん/ココア/ミスティカティ/茄ッ子/女将/シーサイド品川/雪だるま弁当/とらぼーい(2)/あると/ぬりかべ/はちわれ/尾崎愉快犯/投票ボーナス(3)
0241_1727_HTA,2024-01-10,161人,ひらがなの「へ」とカタカナの「ヘ」の意外な見分け方,NA,4位,砂漠,「ふ」に聞いてみる,41,74.78,あぐら/jomajoma/まちょ/インパラやました(2)/ミニベロ/スカー(3)/hiha/紫ヘイズ/ミズイチ/なす角/モロヘイヤ/良識(2)/小森/らぷんつぇるん/完備/コックカワサキ/ウインナーうまい/副菜/偏差値2/鳴子レプシー/でーたら/ゃまゃま/薄切りハム(3)/monika/よしこう/ちーぽり/印税ライフ/雪だるま弁当/ねこめんたい/石原消し炭/とぬとま(2)/投票ボーナス(3)
0241_1727_HTA,2024-01-10,161人,ひらがなの「へ」とカタカナの「ヘ」の意外な見分け方,NA,6位,おおちゃん@ジャン鶴,自白するまで振り回す,39,72.66,はいいいえ/コレカタ/unknown/あの日のニンニ/赤黄色/MODY/コハ(2)/スカー/hiha/CDTVをご覧のミナ/敵刺/高だの高代/やる/良識/小森/らぷんつぇるん/古い絵画/茶色い緑茶/副菜/Yokuboy/PD/ヤシの木/でーたら/ホソカワタタ/田んぼアート/女将/ちーぽり/かにく/印税ライフ(2)/とらぼーい/あると/ぬりかべ/エーゴ/とぬとま/投票ボーナス(3)
0241_1727_HTA,2024-01-10,161人,ひらがなの「へ」とカタカナの「ヘ」の意外な見分け方,NA,7位,Gully,短気か、もっと短気か,38,71.6,のとさわ(2)/unknown/Good insect/屋内用雨傘/おおちゃん@ジャン鶴/ささくれ/あとひとつ流星群/MODY/骨密度/紫ヘイズ/アホランド/モロヘイヤ/敵刺/やる/良識/他のＰ/もねるめろ/rayleigh/完備/コックカワサキ/恋雅嵐(2)/汁物勢/Yokuboy/でーたら/monika/ジブチ(2)/猫殴/タバコを吸う女/クビソ/年金/あると(2)/投票ボーナス(3)
0241_1727_HTA,2024-01-10,161人,ひらがなの「へ」とカタカナの「ヘ」の意外な見分け方,NA,7位,ふじじじがが,赤シートで見る,38,71.6,かと/カツカリーパン食え/ドゥラちゃん/おおちゃん@ジャン鶴/白いインク/みやまる/ぷるちぽん/CDTVをご覧のミナ/自由ヌ/アホランド/高だの高代/あまちゃんIII/古い絵画/5.5畳(2)/ちゃ柴/偏差値2(2)/Yokuboy/PD/ヤシの木/ホソカワタタ/ゃまゃま/monika/ゼンザイさん/ミスティカティ(2)/茄ッ子/タブンネコ/シーサイド品川/とらぼーい/あると/指小屋/エーゴ/とぬとま/投票ボーナス(3)
0241_1727_HTA,2024-01-10,161人,ひらがなの「へ」とカタカナの「ヘ」の意外な見分け方,NA,9位,unknown,「そして伝説」の後しっくりくるかどうか,37,70.54,あぐら/はいいいえ(2)/コレカタ/あの日のニンニ/ハッピーな店員(3)/コハ/ミズイチ/CDTVをご覧のミナ/モロヘイヤ/ちゃんねる/古い絵画/ウインナーうまい/メガ・いつき(2)/鈴木ヘッジホッグ/偏差値2(2)/鳴子レプシー/デス・サップ/ゃまゃま/緑汁/クビソ/はどふ/タブンネコ/春のアレクサ(3)/砂漠/やわらか(2)/尾崎愉快犯/投票ボーナス(3)
0241_1727_HTA,2024-01-10,161人,ひらがなの「へ」とカタカナの「ヘ」の意外な見分け方,NA,10位,エーゴ,自販機に入れて戻されるかどうか,36,69.48,ちきちきた/カントリーマアム/Gully/しんぺいた/jomajoma/unknown/三人衆/白黒まみれ/あとひとつ流星群/骨密度(2)/ゑくれあ/ちゃんねる(2)/完備/茶色い緑茶/5.5畳/鈴木ヘッジホッグ(2)/偏差値2(2)/Yokuboy/でーたら/monika/ジブチ/タバコを吸う女/茄ッ子/エスニック美女軍団/もるぺちda/あると(3)/指小屋/投票ボーナス(3)
0241_1727_HTA,2024-01-10,161人,ひらがなの「へ」とカタカナの「ヘ」の意外な見分け方,NA,10位,高だの高代,「へ」で耕すと豊作になる,36,69.48,rerereのre(3)/あの日のニンニ/白黒まみれ/赤黄色/hiha/紫ヘイズ/自由ヌ/アホランド/滑らかなK/ゑくれあ/小森/カエル販売機/完備/茶色い緑茶/コックカワサキ/偏差値2(2)/鳴子レプシー/タバコを吸う女/クビソ/印税ライフ/塩鮭/くんちゅあ(3)/簪(3)/指小屋/エーゴ/とぬとま/投票ボーナス(3)
0241_1727_HTA,2024-01-10,161人,ひらがなの「へ」とカタカナの「ヘ」の意外な見分け方,NA,12位,うめめ,カタカナは炙ると閉じる,35,68.42,jomajoma/unknown/ドゥラちゃん/おおちゃん@ジャン鶴/赤黄色/ナゲット・ワイルド/松尾/マルイは二進法で5/良識/rayleigh/完備/茶色い緑茶/5.5畳/鈴木ヘッジホッグ/鳴子レプシー/ヤシの木/ゃまゃま/緑汁/猫殴/ゼンザイさん/ジョセフ/クビソ/年金/むもん/春のアレクサ/エスニック美女軍団/塩鮭/砂漠/もるぺちda/シーサイド品川/ねこめんたい/はちわれ/投票ボーナス(3)
