お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0284_8716_KLY,2024-01-18,153人,終わってる居酒屋,NA,1位,まいにちコンビーフ,注文用のタブレットにエロ漫画のバナー広告がたくさん出てくる,46,81.71,石蓴/たし/はどふ/kiyosuke/お賽銭(2)/Y-Not/はた/茶漬/生身/yms/さかまろ(2)/なめらかな斜面/三行半/田中Xemther吉行/さりつかいし/犬ピアッサ/お酢/Ponchoruno(3)/わぎり/ハルトマン(2)/自称賞レースマニア/詐病立米/かみそん/やきとり/5.5畳/ムラジュン/コレカタ(2)/る・も/無職透明(2)/ゃまゃま/禁断の惑星/Hiyu/まみや/やきにく/とうこじ/HS三遊間/投票ボーナス(3)
0284_8716_KLY,2024-01-18,153人,終わってる居酒屋,NA,2位,ごまもなか,全員で片付ける,45,80.62,お海/敵刺/なめらかな斜面/小脳(2)/低血圧/ししだ/ここはが/DJBK/PD/田中Xemther吉行(3)/メイド・イン・ムーン/クロレラサイダー(2)/この後クリーム砲/おっまる/ふゆる(2)/詐病立米(2)/水戸/トニー・サンム/健やか本社/あぐら/コレカタ/遺跡発掘調査補助員/麺青め/鯖度80％/尾崎愉快犯/骨密度/高だの高代/Hiyu/修行修行/まみや/亜忠血戦鬼(3)/Sierra/お湯ドラ/ベモペギ/投票ボーナス(3)
0284_8716_KLY,2024-01-18,153人,終わってる居酒屋,NA,3位,いち,呼ぶためにグラス割る,40,75.2,ジェンツーペンギン/黒胡椒/（宇宙）/Y-Not/お海/低血圧/ししだ/ここはが/kak/さりつかいし/ひとじまくん/かきあげうどん/大宮にいえ(2)/でーたら/クロレラサイダー/この後クリーム砲/水戸/かまとと/ドブ口臭/あまちゃんIII/あぐら(2)/市松/sasuke/理科インターネット/遺跡発掘調査補助員/白いインク/高だの高代/Hiyu/修行修行/長老_M/半丙太(2)/Sierra/お湯ドラ/よんろくにーにー/投票ボーナス(3)
0284_8716_KLY,2024-01-18,153人,終わってる居酒屋,NA,4位,渇望,一般人からもサインもらってる,39,74.12,ド水/はぁと/お賽銭(2)/例の深海狐/てれび/はた/mrm/生身/yms/低血圧/ししだ(2)/ここはが/kak/きゅうか/さりつかいし/大宮にいえ(2)/わぎり/トニー・サンム/ドライバー/かみそん/かまとと/やきとり/市松/ちーぽり/おかき/5.5畳/理科インターネット/ムラジュン/尾崎愉快犯/満天星まいてぃん/半丙太/紫ヘイズ/リッシン/投票ボーナス(3)
0284_8716_KLY,2024-01-18,153人,終わってる居酒屋,NA,5位,かまとと,サービアエリアにある,36,70.87,ジェンツーペンギン/偏差値2/小森(2)/まいにちコンビーフ/てれび/uro/DJBK/kak/犬ピアッサ/メイド・イン・ムーン/ひとじまくん/指小屋/トニー・サンム/ドライバー(2)/かみそん/やきとり(2)/あぐら/ちーぽり/おかき/5.5畳/白いインク/鯖度80％/ゃまゃま/満天星まいてぃん(2)/Hiyu/ちきちきた/長老_M/やきにく(2)/投票ボーナス(3)
0284_8716_KLY,2024-01-18,153人,終わってる居酒屋,NA,5位,シーサイド品川,ブックオフの居抜き,36,70.87,ド水/えび/黒胡椒/はどふ(2)/MODY/Y-Not/はた/さかまろ/なめらかな斜面/マルチャーナごめんね/お酢/ひとじまくん/トカトントン/でーたら/わぎり/ハルトマン(2)/とろ火(3)/lucky_m/Mebiria(2)/あぐら/ムラジュン/る・も(3)/げんが/麺青め/高だの高代/ベモペギ/投票ボーナス(3)
0284_8716_KLY,2024-01-18,153人,終わってる居酒屋,NA,5位,水戸,塾に挟まれてる,36,70.87,ジェンツーペンギン/タブンネコ/侍の友達/yms/さかまろ/ししだ(2)/藤の実/DJBK/田中Xemther吉行(2)/メイド・イン・ムーン/シーサイド品川/お酢/トカトントン/わぎり/指小屋(2)/おっまる/いち/おかき/げんが(2)/麺青め/尾崎愉快犯/骨密度/Hiyu/修行修行/きみをゆるさない。/長老_M/とうこじ/まやな/ベモペギ/投票ボーナス(3)
0284_8716_KLY,2024-01-18,153人,終わってる居酒屋,NA,8位,おっまる,営業時間が公務員と同じ,35,69.78,ド水/石蓴/えび/たし/黒胡椒/kiyosuke/侍の友達/はた/茶漬/yms/なめらかな斜面/小脳/藤の実/三行半/きゅうか/マルチャーナごめんね/トカトントン/でーたら/はいいいえ(2)/かみそん/urbandeer/やきとり/あまちゃんIII/コレカタ/鯖度80％/マービィ/ちきちきた/長老_M/まさしまさお/ベモペギ/HS三遊間/投票ボーナス(3)
0284_8716_KLY,2024-01-18,153人,終わってる居酒屋,NA,8位,でーたら,内輪ネタのカクテルがある,35,69.78,はどふ/MODY/お賽銭/はた/茶漬/yms/三行半/ここはが/kak/犬ピアッサ/マルチャーナごめんね/〆サバ/お酢/ひとじまくん/かきあげうどん/わぎり/lucky_m/健やか本社(2)/あまちゃんIII/市松/5.5畳/コレカタ/げんが/ゃまゃま/高だの高代/長老_M/やきにく(2)/まやな/HS三遊間/リッシン/投票ボーナス(3)
0284_8716_KLY,2024-01-18,153人,終わってる居酒屋,NA,10位,やきにく,ドライブスルー,34,68.7,石蓴(3)/ジェンツーペンギン/偏差値2(2)/はぁと/まいにちコンビーフ(2)/敵刺/なめらかな斜面/咲乃(2)/犬ピアッサ/ファン・ニステルローイ/マルチャーナごめんね/シーサイド品川/指小屋/この後クリーム砲/ちーぽり(2)/おかき/昭和のにほひ/マービィ/のぶとも(3)/まさしまさお/とうこじ(3)/投票ボーナス(3)
