お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0483_3620_AQF,2024-01-24,188人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0483_3620_AQF.png,1位,Y-Not,理論上のおでん,76,94.76,ゆうき/シーサイド品川/みみみT(2)/ダリト/後悔しない名前を付けよう/ちくわうし/マービィ/紆余曲折(2)/9月が終わったら起こして/NatsubiSogan(2)/ツルミチッ素/長老_M/りくがめ/きゃりーまらまら(2)/ポリエステルの産物/のちほど/クマ牧場/星ドッラ/左くつした/肉団子増し増し/nk(2)/瀧山グングニル/さすけのお兄/スピ力/かと/阿吽/半丙太/ぎゃら/紗和和和/桜桃/トニー・サンム/土星/しろねこ(2)/取引先/rayleigh/やんわり(2)/犬クジラ/クロレラサイダー/ごまもなか/あまるる/あまちゃんIII/激エロ海苔bot/西口音弥/知恵獣/アホランド(2)/エキスポ万博(2)/かにく/Houston/指小屋(2)/昨今/突然及川/恋雅嵐/チャン・ツノ/まったん冷え性/tototo/でかいミニバン/おだンゴ/新里　要/ほん/シンマイ子/やや冷奴(2)/くらばやし/投票ボーナス(3)
0483_3620_AQF,2024-01-24,188人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0483_3620_AQF.png,2位,ちぇみちぇみ！,藤井聡太はここからでも勝つ,65,85.68,すぎり/發狂亭怪樂/ダリト/monika/たーー/パーくん/マービィ/せきれいのしらせ/睡眠/北千住柱間/Good insect/ハルトマン(2)/tasko/クマ牧場/東松永/ミド/電源/Y-Not/瀧山グングニル/xos/たし/ぎゃら(2)/ちぎったレタスもどす/国民/リセ(3)/支援魔(2)/桜桃/トニー・サンム/yms/しろねこ/てばさき/やんわり/満天星まいてぃん/クイズ次郎/クロレラサイダー/西口音弥/たいよう/アホランド/kak/Houston/諏訪/石崎/くぬぎ(3)/恋雅嵐/メソッド/まったん冷え性(2)/tototo/鼻腔炭酸/懐かしむ会/かくだ/シンマイ子/コトバの踊り場/やや冷奴/くらばやし/投票ボーナス(3)
0483_3620_AQF,2024-01-24,188人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0483_3620_AQF.png,2位,ポリエステルの産物,これの配点デカかった,65,85.68,mrm/健やか本社/ハ生ム/monika/ちくわうし/たーー/パーくん(2)/マービィ/せきれいのしらせ/ぺーるおれんじ(2)/清水り/ちぇみちぇみ！/睡眠/北千住柱間(2)/りくがめ/やる/平凡亭パンチ/ハルトマン(2)/主食ワセリン/肉団子増し増し/控えめなピース/スピ力/かと/阿吽/たし/優しさの木/半丙太/紗和和和/ちぎったレタスもどす/土星/yms/ポリープマン/さすがに/満天星まいてぃん/クロレラサイダー/最果てのほうじ茶/ごまもなか/あとひとつ流星群/あまるる/含有量/あまちゃんIII/彩雨/kak/Houston/指小屋/錆缶/恋雅嵐/うしにょこ👉🐮👈/まったん冷え性/おだンゴ/かくだ/治験の人(2)/くすも/あまちゃん/冷凍トイレ/玄の字。/る・も/投票ボーナス(3)
0483_3620_AQF,2024-01-24,188人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0483_3620_AQF.png,4位,フォークソング研究部,やってない神ゲー,55,77.43,匍匐/monika/後悔しない名前を付けよう/たーー/パーくん/9月が終わったら起こして(2)/NatsubiSogan/清水り(2)/ちぇみちぇみ！/睡眠/すでショ/りくがめ/きゃりーまらまら/やる/ポリエステルの産物/のちほど/東松永/chiwachiwa(2)/左くつした(2)/さんれん/さすけのお兄/スピ力/かと/阿吽/りと°(2)/紗和和和/リセ/土星/やんわり/クイズ次郎/あまるる/含有量/へなちょこ(2)/知恵獣(2)/kak/指小屋/諏訪/恋雅嵐/メソッド/うしにょこ👉🐮👈/直ちに下校する/治験の人/ババロア/冷凍トイレ/玄の字。/投票ボーナス(3)
0483_3620_AQF,2024-01-24,188人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0483_3620_AQF.png,5位,みみみT,【意外な7個目】🏋️‍♀️,53,75.78,すぎり(3)/健やか本社/ダリト/monika/後悔しない名前を付けよう(2)/たーー/マリオタク(3)/長老_M/睡眠/北千住柱間/りくがめ/すりーぷ/Y-Not/石川(3)/nk(2)/瀧山グングニル(2)/ぎゃら/ちぎったレタスもどす/支援魔(2)/てばさき/取引先/rayleigh/犬クジラ/あまるる/含有量/ふるれ/激エロ海苔bot(2)/アホランド/錆缶(2)/石崎/くぬぎ(2)/けつの園/縁ちゃん3回っ！/くすも(2)/冷凍トイレ/玄の字。/投票ボーナス(3)
0483_3620_AQF,2024-01-24,188人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0483_3620_AQF.png,5位,ババロア,どれを選んでもサイコパスになる,53,75.78,ゆうき/ダリト/ハ生ム/マービィ/紆余曲折/大納豆(2)/ぺーるおれんじ/NatsubiSogan/長老_M/ちぇみちぇみ！/睡眠/平凡亭パンチ/Good insect/主食ワセリン/Y-Not/石川(3)/nk/かと/xos/たし/半丙太/ぎゃら/ナゲット・ワイルド/yms/やんわり/ポリープマン/満天星まいてぃん/犬クジラ/最果てのほうじ茶/あとひとつ流星群/へなちょこ/アホランド/エキスポ万博(2)/Houston/メソッド/親善小僧/カツカリーパン食え/tototo/鼻腔炭酸(2)/かくだ/治験の人(2)/ほん/コトバの踊り場/やや冷奴/投票ボーナス(3)
0483_3620_AQF,2024-01-24,188人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0483_3620_AQF.png,7位,ちくわうし,デビュー出来るのは5人,48,71.66,發狂亭怪樂/さんだる/匍匐/monika/後悔しない名前を付けよう/マービィ/紆余曲折/メメントモリ/ぺーるおれんじ/ツルミチッ素/ナシよ/tasko/のちほど/星ドッラ/アンサイン/Y-Not/xos/ウラニワ/たし/ぎゃら/紗和和和/支援魔/綿白 雪/ナゲット・ワイルド/トニー・サンム/取引先(2)/クイズ次郎/ふるれ/ちゃ柴/へなちょこ/知恵獣/指小屋/突然及川/はりまや橋子/まったん冷え性/鼻腔炭酸/ランシ/かくだ/治験の人(2)/新里　要/くすも(2)/玄の字。/投票ボーナス(3)
0483_3620_AQF,2024-01-24,188人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0483_3620_AQF.png,8位,しろねこ,理系の乳首,47,70.83,シーサイド品川/健やか本社(2)/みみみT/ダリト/ハ生ム/ちくわうし/大納豆/きゃりーまらまら/のちほど/クマ牧場/主食ワセリン/星ドッラ/肉団子増し増し/カス2(2)/アンサイン/阿吽/ウラニワ/ヘルシー帝/支援魔/マチルダ少佐/土星(2)/てばさき/やんわり/ポリープマン/クロレラサイダー/サメVS巨大タコス/ふるれ/ちゃ柴/エキスポ万博/kak/昨今/路地裏(2)/メソッド/船端(3)/チャン・ツノ(2)/くすも/シンマイ子/投票ボーナス(3)
0483_3620_AQF,2024-01-24,188人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0483_3620_AQF.png,9位,健やか本社,もう一回聞きますけどこれが間取りですか,43,67.53,すぎり/發狂亭怪樂/さんだる/ダリト/匍匐(2)/ハ生ム/マービィ/大納豆/ナシよ/ミド/すりーぷ(3)/かと(2)/りと°/固定残業代(2)/ナゲット・ワイルド/トニー・サンム/yms/やんわり/最果てのほうじ茶/含有量/知恵獣(2)/アホランド/指小屋/恋雅嵐/はりまや橋子/カツカリーパン食え/まったん冷え性/かくだ/ババロア/新里　要/冷凍トイレ/る・も(3)/投票ボーナス(3)
0483_3620_AQF,2024-01-24,188人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0483_3620_AQF.png,9位,懐かしむ会,どう洗濯すんだよ,43,67.53,匍匐/ちくわうし/パーくん/マービィ(2)/ツルミチッ素/ポリエステルの産物/のちほど/女将/主食ワセリン/morisho/電源/石川(3)/さんれん/さすけのお兄/ウラニワ/優しさの木/ぎゃら/りと°/マチルダ少佐/トニー・サンム/土星(2)/しろねこ/rayleigh/やんわり(2)/ポリープマン/満天星まいてぃん/フォークソング研究部/かにく/指小屋/やきにく(2)/がしけん/直ちに下校する/縁ちゃん3回っ！/ババロア/投票ボーナス(3)
