お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1611_8379_FBW,2024-01-26,105人,怖くする気ある？と思ったホラーゲームの特徴,NA,1位,ひら,スローでもう一回見せる,33,77.99,ゃまゃま/麦茶/mrm/urbandeer/T-FOX(2)/直ちに下校する/かきあげうどん/こぼれおちないCH/ouou/さすがに/かみそん/いち/やる/Rakuda(2)/紗和和和/優しさの木/フイ/Good insect/業務用虚無(2)/ぜ/賢(2)/なまこP/zawa332/いい感じ/yanayana/たし/投票ボーナス(3)
1611_8379_FBW,2024-01-26,105人,怖くする気ある？と思ったホラーゲームの特徴,NA,2位,かきあげうどん,ずっとチワワがついてくる,31,75.09,ゃまゃま/ムラジュン/T-FOX/直ちに下校する/素犬/Heaven/ouou/クボタです/まいくろりっとる(2)/世界の牛肉/おばすん(3)/らぷんつぇるん/ふゆる(2)/二佐/冷凍トイレ/フイ/業務用虚無/ぜ/なまこP/モチモチ/どうぶつ/くらばやし/たし/あれよ/投票ボーナス(3)
1611_8379_FBW,2024-01-26,105人,怖くする気ある？と思ったホラーゲームの特徴,NA,3位,くらばやし,物陰から「せーのっ」って聞こえる,29,72.2,ゃまゃま/urbandeer/こめだこ/ジャイロ/ouou/クボタです(3)/さすがに/ポコ軍/やきとり(2)/いえろーず/立板に流水/Rakuda/優しさの木/冷凍トイレ/zawa332/練馬のバッタ(3)/どうぶつ/つむぐ(3)/あれよ/投票ボーナス(3)
1611_8379_FBW,2024-01-26,105人,怖くする気ある？と思ったホラーゲームの特徴,NA,3位,ジャイロ,ワイプで柴田理恵が泣いてる,29,72.2,ホトココア/ゃまゃま/ざいふぉお/ミッチー/かきあげうどん/少しだけ賢い/クボタです(3)/さすがに/けんちゃんねる(2)/やきとり(2)/へび/立板に流水/コンドオ(2)/ふゆる(2)/冷凍トイレ/業務用虚無(3)/なまこP/zawa332/投票ボーナス(3)
1611_8379_FBW,2024-01-26,105人,怖くする気ある？と思ったホラーゲームの特徴,NA,5位,ふるれ,なぜ怖いかの解説が入る,28,70.75,ハルトマン/麦茶(2)/ざいふぉお/ouou/さすがに/まいくろりっとる/もるげ(2)/カツカリーパン食え/xos/アンフィ/大秦王安敦(2)/業務用虚無(2)/ダリト/なまこP/zawa332/桶(2)/きれいな市役所/モチモチ(3)/いい感じ/yanayana/たし
1611_8379_FBW,2024-01-26,105人,怖くする気ある？と思ったホラーゲームの特徴,NA,6位,ゃまゃま,ロード画面でNG集流れる,27,69.3,ゑくれあ/urbandeer/T-FOX(2)/jomajoma/直ちに下校する/Heaven/もるげ/無明海/xos/らぷんつぇるん/アンフィ/二佐/冷凍トイレ/ドブコック(2)/業務用虚無(3)/賢/なまこP/リック/桶/くらばやし/投票ボーナス(3)
1611_8379_FBW,2024-01-26,105人,怖くする気ある？と思ったホラーゲームの特徴,NA,6位,らぷんつぇるん,捕まえて育成ができる,27,69.3,ホトココア/mrm/urbandeer/こめだこ/ざいふぉお(2)/がしけん/素犬/Heaven/へび/いち/いえろーず(3)/やる/Good insect/千秋楽/業務用虚無(2)/ぜ/なまこP/zawa332/ちくわうし/平凡亭パンチ/投票ボーナス(3)
1611_8379_FBW,2024-01-26,105人,怖くする気ある？と思ったホラーゲームの特徴,NA,6位,二佐,全部科学で解決する,27,69.3,ひら/ねこめんたい/さすがに/まいくろりっとる/ポコ軍/無明海/いえろーず(3)/ふゆる(2)/ドブコック/その服装/Good insect/千秋楽/業務用虚無/賢/ダリト/なまこP/zawa332/さりつかいし/どうぶつ/メソッド/たし/投票ボーナス(3)
1611_8379_FBW,2024-01-26,105人,怖くする気ある？と思ったホラーゲームの特徴,NA,9位,少しだけ賢い,果物を収穫するミニゲームが多い,25,66.41,ゃまゃま/ムラジュン/T-FOX/ジャイロ(2)/がしけん/ねこめんたい/かきあげうどん/素犬/Heaven/さすがに/かみそん/ポコ軍/やきとり(2)/やる/猫撫での樹/フイ/千秋楽/なまこP/きれいな市役所/平凡亭パンチ/投票ボーナス(3)
1611_8379_FBW,2024-01-26,105人,怖くする気ある？と思ったホラーゲームの特徴,NA,9位,頓田,「怖」ボタンがある,25,66.41,アンペア岡村/urbandeer/jomajoma/直ちに下校する/かきあげうどん/ouou/かみそん/まいくろりっとる/もるげ/ポコ軍/やきとり(2)/カツカリーパン食え/やる/おばすん/xos/紗和和和/冷凍トイレ/Good insect/千秋楽/ダリト/なまこP/rayleigh/メソッド/あれよ
1611_8379_FBW,2024-01-26,105人,怖くする気ある？と思ったホラーゲームの特徴,NA,11位,こめだこ,監修：三谷幸喜,24,64.96,ミッチー/かみそん/けんちゃんねる/立板に流水/おばすん(2)/らぷんつぇるん/コンドオ(2)/猫撫での樹/業務用虚無/例の深海狐(2)/なまこP/練馬のバッタ(2)/モチモチ/つむぐ(3)/いい感じ/投票ボーナス(3)
