お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1903_2367_WKV,2024-02-11,93人,それを見た宮川大輔が本当に静かになった祭りの内容,NA,1位,むらさき,思い出のシールを剥がす,28,80.55,紫電/てっぺんざしお/かぎや/レフトベアー/自然光/ハナゲール船長/Mak(3)/東横桃子/たーー/長靴を履いたタイガー/カナリカリガ・タカ/わんわんお/マルイは二進法で5/石崎/ジョセフ/生存権🚷/ひこうき/伯林/たくめ(2)/POPOJI/気球マイスター/ニューロン/投票ボーナス(3)
1903_2367_WKV,2024-02-11,93人,それを見た宮川大輔が本当に静かになった祭りの内容,NA,2位,ニューロン,噛まずに飲み込む,25,75.16,てっぺんざしお/レフトベアー(2)/所々ジョージ/ハナゲール船長/放尿魔/柄本マルチタスク/shika shika/RIHI(2)/ちんほ。/東横桃子/たーー/魔法のタイらんど/森さんです。/723/とらぼーい/溢れ出る肉汁/伯林/POPOJI/ラッセン/800/投票ボーナス(3)
1903_2367_WKV,2024-02-11,93人,それを見た宮川大輔が本当に静かになった祭りの内容,NA,3位,baseball ,宮川大輔殺し祭り,23,71.57,魔法のタイらんど/ドゥル宮(2)/わんわんお/麦茶/マルイは二進法で5/春雨/723/とらぼーい/生存権🚷/井上ヘノシタ(2)/さりつかいし/福井とマルコ/狂人m/たくめ(2)/むらさき/ラッセン/MODY/投票ボーナス(3)
1903_2367_WKV,2024-02-11,93人,それを見た宮川大輔が本当に静かになった祭りの内容,NA,3位,ジョセフ,猿で牛を洗う,23,71.57,かぎや/所々ジョージ/放尿魔/黒胡椒/ロンパ/健やか本社/きまきがみ/カナリカリガ・タカ/松井秀喜/麦茶(2)/溢れ出る肉汁/井上ヘノシタ/さりつかいし/ひこうき/狂人m/伯林/ニューロン/akiyuki/清水り/投票ボーナス(3)
1903_2367_WKV,2024-02-11,93人,それを見た宮川大輔が本当に静かになった祭りの内容,NA,3位,自然光,負けたほうは木と結婚する,23,71.57,所々ジョージ(2)/いきいきボーイ/干し柿/ロンパ/縁ちゃん3回っ！/東横桃子/NatsubiSogan/松井秀喜/まねきたぬ/鯖度80％/石崎/ジョセフ/ひこうき/POPOJI/きれいな市役所/地球島　永遠子/800/MODY/Sierra/投票ボーナス(3)
1903_2367_WKV,2024-02-11,93人,それを見た宮川大輔が本当に静かになった祭りの内容,NA,6位,ちんほ。,亜空間（アｸｩカーーーン）,22,69.77,政信/柄本マルチタスク/なゆた/縁ちゃん3回っ！/カナリカリガ・タカ/とーちか/じんちぇんこ/NatsubiSogan(2)/麦茶/daredayo(3)/井上ヘノシタ/ひこうき/啓蒙思想/ラッセン/ラジウス/小野まとぺ/投票ボーナス(3)
1903_2367_WKV,2024-02-11,93人,それを見た宮川大輔が本当に静かになった祭りの内容,NA,6位,ひこうき,家族を交換している,22,69.77,おひたし蒐集家/所々ジョージ/ハナゲール船長/縁ちゃん3回っ！/ちぎったレタスもどす/健やか本社(2)/東横桃子/きまきがみ/松井秀喜/鯖度80％/723/とらぼーい/気球マイスター/ニューロン/ラジウス/800/清水り/Sierra/投票ボーナス(3)
1903_2367_WKV,2024-02-11,93人,それを見た宮川大輔が本当に静かになった祭りの内容,NA,8位,東横桃子,無許可で橋を渡る,20,66.18,自然光/ハナゲール船長/shika shika/干し柿(3)/たーー/森さんです。/カナリカリガ・タカ/723/とらぼーい(2)/伯林/POPOJI/遺跡発掘調査補助員/ニューロン/Sierra/投票ボーナス(3)
1903_2367_WKV,2024-02-11,93人,それを見た宮川大輔が本当に静かになった祭りの内容,NA,9位,紫電,人がカンガルーにどんどん負けていく,19,64.38,かぎや/放尿魔/なゆた(3)/黒胡椒/shika shika/yota_/東横桃子/たーー/きまきがみ/松井秀喜(2)/ひこうき/遺跡発掘調査補助員/きれいな市役所/投票ボーナス(3)
1903_2367_WKV,2024-02-11,93人,それを見た宮川大輔が本当に静かになった祭りの内容,NA,10位,たくめ,赤ちゃんにゼンマイを付ける,18,62.59,かぎや/放尿魔/東横桃子/麦茶(2)/鯖度80％/石崎/生存権🚷/井上ヘノシタ/その服装/さりつかいし/POPOJI/きれいな市役所/むらさき/清水り/投票ボーナス(3)
