お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0783_4982_AES,2024-02-12,113人,小人の国における重罪,NA,1位,ぺね,トミカで轢く,34,81.71,赤い髪/rayleigh/なゆた/エス(2)/モチ/パーくん/じゃん/りくがめ/デス・サップ/三流亭べんち/グレゴリ雄/しなぐち/テラコッタ/チャイニーズマフィア/土星/大喜利研究生31号/サンプリ/ホワイトデー/かたみみ/ポンポコ/ラジウス/激エロ海苔bot/おやすみ/硝酸/お嬢様ですわぁ/両者うつ伏せ/ik0906/深層心理見放題/ぺぺろん/桜井赤/投票ボーナス(3)
0783_4982_AES,2024-02-12,113人,小人の国における重罪,NA,2位,ik0906,賭けドングリ,33,80.23,ぺね/なゆた(3)/松尾(2)/ヤゴコロコージ/まめまめデスメタル(2)/羊水/GRay/スピ力/ミロ(2)/T-FOX/たく/いのゆう(2)/umenerineri/チキンケバブタ/テツ/ポリエステルの産物/白黒まみれ/ラジウス/おやすみ/塩鮭(2)/硝酸(2)/誤字/投票ボーナス(3)
0783_4982_AES,2024-02-12,113人,小人の国における重罪,NA,2位,入力３回目,子供の頃のことを「小さかったとき」と言う,33,80.23,暇と退屈/ぺね/エス(2)/ハイブリッジ/むもん/orionfires/ゆめ接骨院/まめまめデスメタル(2)/羊水/しなぐち/jin(2)/ごまもなか/JOM/秒針四拍子(3)/ホワイトデー/かみそん/まさお/かたみみ/ぴざとーすと/ラジウス/激エロ海苔bot/ひぺりおん(2)/ミズイチ(2)/投票ボーナス(3)
0783_4982_AES,2024-02-12,113人,小人の国における重罪,NA,4位,修行修行,正確な定規を持ってる,31,77.28,sasakidesu/ノニバス/エス/あると/エクスタC/じゃん/りくがめ/羊水/GRay/かくだ/wanumayu(2)/井上ヘノシタ(3)/まさお/テツ/ドカ寝/ポリエステルの産物/💃/硝酸/お嬢様ですわぁ/ひぺりおん/両者うつ伏せ/ミズイチ/ししだ(2)/桜井赤/投票ボーナス(3)
0783_4982_AES,2024-02-12,113人,小人の国における重罪,NA,5位,T-FOX,扇風機を強にする,26,69.9,いち/rayleigh/ノニバス/大ちゃんす/むもん/りくがめ/GRay/wanumayu(2)/しなぐち/いのゆう/修行修行/あ〜ちゃん(2)/umenerineri/ドカ寝/白黒まみれ/お嬢様ですわぁ/両者うつ伏せ(2)/ミズイチ(2)/桜井赤/投票ボーナス(3)
0783_4982_AES,2024-02-12,113人,小人の国における重罪,NA,5位,コナミスポーツ,タバコの箱で例える,26,69.9,いち/毒ぶどう/rayleigh/ぺね/J.ナカノ(2)/ノニバス/ここはが/まめまめデスメタル/かくだ/wanumayu/井上ヘノシタ/大喜利研究生31号/いのゆう/かみそん/まさお/テツ/ぴざとーすと(2)/ラジウス/塩鮭/ぺぺろん/桜井赤/投票ボーナス(3)
0783_4982_AES,2024-02-12,113人,小人の国における重罪,NA,7位,硝酸,ビッグマウス,25,68.43,赤い髪/せがわ/sasakidesu(2)/なゆた/さかまろ/orionfires/パーくん/三流亭べんち(2)/グレゴリ雄(2)/チャイニーズマフィア(3)/たく/いのゆう(2)/サンプリ/玄孫/あ〜ちゃん(2)/投票ボーナス(3)
0783_4982_AES,2024-02-12,113人,小人の国における重罪,NA,7位,羊水,カブトムシで公道走る,25,68.43,いち/なゆた(2)/さかまろ/パーくん/耳ぶた/本田圭佑(3)/テラコッタ/春雨/ミロ(2)/T-FOX/あ〜ちゃん/ポリエステルの産物/ポンポコ/誤字/両者うつ伏せ/ik0906/ししだ/ぺぺろん/投票ボーナス(3)
0783_4982_AES,2024-02-12,113人,小人の国における重罪,NA,9位,ポリエステルの産物,一口で食べる,23,65.48,いち/毒ぶどう/大ちゃんす/エス/松尾/ここはが/耳ぶた/じゃん/りくがめ/三流亭べんち/テラコッタ/土星(2)/T-FOX/ごまもなか/いのゆう/あ〜ちゃん/まさお/💃/ししだ/投票ボーナス(3)
0783_4982_AES,2024-02-12,113人,小人の国における重罪,NA,9位,ミズイチ,低い声で話す,23,65.48,暇と退屈/rayleigh/ノニバス/ヤゴコロコージ/耳ぶた/あると/かくだ/土星/自動車部員/ごまもなか/JOM/サンプリ/チキンケバブタ/ボタ/ポリエステルの産物/激エロ海苔bot/おやすみ/お嬢様ですわぁ/ik0906/ししだ/投票ボーナス(3)
0783_4982_AES,2024-02-12,113人,小人の国における重罪,NA,11位,サンプリ,メルヘンを否定する,21,62.53,赤い髪/J.ナカノ/sasakidesu/なゆた/エス/ここはが/しなぐち/AtoO/ごまもなか/大喜利研究生31号/JOM/秒針四拍子(3)/かたみみ/硝酸/ひぺりおん(2)/投票ボーナス(3)
