お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0695_5323_DAC,2024-02-13,176人,魚と文房具が逆の世界,NA,1位,イヌイモノの干物,ヒラメは右利き、カレイは左利き用,55,84.96,まかないフードファイター/すぐラップ&チルド(2)/完備/こま/ギサワ/白黒まみれ/失神した理由/寿司らぎ(2)/ランゲル･ハンス/世間知らず高校生/ゑくれあ/aika/鼻腔炭酸/治験の人/赤ドラの嶺上クス/しゅうねこ/茄ッ子/エキスポ万博/実名希望(2)/ふるれ/アムリタ/あの日のニンニ/荒ぶる波平/まろま(2)/ラータ/jin/さすけのお兄/ナゲット・ワイルド/ひら/戸田ニッパー(2)/はっちゃん/あんずりぼん(3)/毒ぶどう/T-FOX/桜桃/まきびし/循環/ねぎみ/肩叩き けん/あかのすけ(2)/朤燚㵘䲜䨻/ハルミヤ/ふもー/J.ナカノ/かと/モノカルチャー/インノケンティウス
0695_5323_DAC,2024-02-13,176人,魚と文房具が逆の世界,NA,2位,いち,退屈な授業で鱗取る,52,82.05,2周年🍵/完備/こま/ギサワ/春雨/石崎(3)/白黒まみれ/白いインク/寿司らぎ/ンバスピ/どるぞに(2)/鼻腔炭酸/ほぼ赤ちゃん/ポャチ/ガ行/じゃん/田中はこちらを見ている/ベモペギ/実名希望/ヘススちゃん/ふるれ/アムリタ/荒ぶる波平/さすけのお兄/激エロ海苔bot/ミスティカティ/おだンゴ/はっちゃん/こなくそ/monika/枠の外/つゆだQ/循環/もそもそ村/クロレラサイダー(2)/ヂョイマン/GRay/朤燚㵘䲜䨻/お嬢様ですわぁ/何奴/sinonome(3)/かと/インノケンティウス/投票ボーナス(3)
0695_5323_DAC,2024-02-13,176人,魚と文房具が逆の世界,NA,3位,aika,このアジを1万円で私に売ってください,51,81.07,まかないフードファイター(2)/春雨/もぬを/失神した理由/ンバスピ/世間知らず高校生/ゑくれあ/肉モニター(2)/しゅうねこ(3)/茄ッ子/エキスポ万博/かくだ/ガ行/6年2組の2組ちゃん/アムリタ/EPOCALC/たく/笑子/登山口百恵/エバラ/何かのマリネ/メソッド/ナゲット・ワイルド/戸田ニッパー/激エロ海苔bot/ミスティカティ/サンク/黄緑黄緑黄緑/ラジウス/能動的三半規管(2)/ハクシャバノビッチ/GRay/アナーキー(3)/朔(2)/何奴/ふもー(2)/劣等生の扁桃腺(3)/投票ボーナス(3)
0695_5323_DAC,2024-02-13,176人,魚と文房具が逆の世界,NA,4位,さいばハチ,受験で日本海側が有利,50,80.1,ぜ/ンバスピ/ランゲル･ハンス/世間知らず高校生/雑兵/年金/茄ッ子/かくだ/スイートランド/田中はこちらを見ている/ぐりーずまん/ヘススちゃん/まろま/ラータ/ろむ07/ざくろみるく/激エロ海苔bot/ミスティカティ(2)/黄緑黄緑黄緑/毒ぶどう/迷探亭困難/健やか本社/循環/所々ジョージ/もそもそ村/ねぎみ/お海/マルヤマ(2)/圧倒的な春巻き(2)/three-all/能動的三半規管/ハクシャバノビッチ(2)/ヂョイマン/エクレアおもち/しばらくはうに/一本松/お嬢様ですわぁ/かぎや/なゆた/長澤ささみ/市松(3)/ふもー/冷食パスタレビュー/インノケンティウス
0695_5323_DAC,2024-02-13,176人,魚と文房具が逆の世界,NA,5位,インノケンティウス,折れた鉛筆みたいな目をしてる,42,72.32,こま/ギサワ/白いインク/ンバスピ/自然光/どるぞに(2)/治験の人(2)/あまちゃんIII/田中はこちらを見ている/笑子/sAwArA(3)/エバラ/ナゲット・ワイルド/こなくそ/パーくん(2)/monika(2)/まきびし/二階から手続き(2)/ヂョイマン/GRay/ik0906(3)/お嬢様ですわぁ/朔(2)/劣等生の扁桃腺(3)/J.ナカノ(2)/かと/投票ボーナス(3)
0695_5323_DAC,2024-02-13,176人,魚と文房具が逆の世界,NA,5位,ナゲット・ワイルド,胸ポケットから頭だけ出てる,42,72.32,こーてむ(2)/完備/石崎(2)/白黒まみれ/鼻腔炭酸/雑兵/治験の人/かくだ/ガ行/田中はこちらを見ている/6年2組の2組ちゃん/まろま(2)/sAwArA(3)/さすけのお兄/メソッド/ざくろみるく/戸田ニッパー/monika/毒ぶどう/T-FOX(2)/もそもそ村/紫電/クロレラサイダー/three-all/二階から手続き(2)/GRay/ik0906(2)/お嬢様ですわぁ/かぎや/J.ナカノ/かと/投票ボーナス(3)
0695_5323_DAC,2024-02-13,176人,魚と文房具が逆の世界,NA,7位,かぎや,人を襲う筆箱の映画がある,41,71.34,2周年🍵/すぐラップ&チルド/ギサワ(2)/もぬを/白黒まみれ/白いインク/寿司らぎ/ンバスピ/世間知らず高校生/鼻腔炭酸/しゅうねこ(2)/ポャチ/弐四八/ベモペギ/ヘススちゃん/登山口百恵/さすけのお兄/メソッド/ざくろみるく/月の瞼/パーくん/monika/つゆだQ/黄緑黄緑黄緑/迷探亭困難/健やか本社/循環/three-all/GRay/肩叩き けん/ik0906(3)/市松(2)/便所虫婆さん/投票ボーナス(3)
0695_5323_DAC,2024-02-13,176人,魚と文房具が逆の世界,NA,8位,クロレラサイダー,板前の手が黒くなる,40,70.37,2周年🍵/まめまめデスメタル(2)/石崎/白いインク/自然光(2)/治験の人/茄ッ子/露骨/エキスポ万博(2)/かくだ/じゃん/アムリタ/ラータ/sAwArA(3)/さすけのお兄/耳ぶた/おだンゴ/こなくそ/monika/つゆだQ/毒ぶどう/迷探亭困難/循環/ラジウス/もそもそ村/ハクシャバノビッチ/GRay/エクレアおもち(3)/朔/モグリジャンプ/投票ボーナス(3)
0695_5323_DAC,2024-02-13,176人,魚と文房具が逆の世界,NA,9位,鼻腔炭酸,誤字をエサに消しゴムを釣る,38,68.43,まかないフードファイター/すぐラップ&チルド/こま/ギサワ/ほぼ赤ちゃん/エキスポ万博(2)/あまちゃんIII/アムリタ/たく/あの日のニンニ/いち/ざくろみるく/はっちゃん/サンク/黄緑黄緑黄緑/T-FOX/迷探亭困難(2)/もそもそ村/紫電(2)/お海/ヂョイマン/肩叩き けん/玄孫(2)/しばらくはうに/お嬢様ですわぁ(2)/モグリジャンプ(2)/冷食パスタレビュー/發狂亭怪樂/かと/投票ボーナス(3)
0695_5323_DAC,2024-02-13,176人,魚と文房具が逆の世界,NA,10位,耳ぶた,試し捌きする場所がある,37,67.45,こーてむ/石崎/寿司らぎ/PD(3)/鼻腔炭酸/ほぼ赤ちゃん(2)/肉モニター/治験の人/茄ッ子/スイートランド/ガ行/あまちゃんIII/田中はこちらを見ている/アムリタ/たく/メソッド/ざくろみるく/激エロ海苔bot/月の瞼/サンク/monika/もそもそ村/紫電/クロレラサイダー/二階から手続き/能動的三半規管(2)/しばらくはうに(3)/冷食パスタレビュー/投票ボーナス(3)
