お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,1位,鼻腔炭酸,だんだん地声に戻る,49,98.07,失神した理由(3)/もんさん/ウラニワ/むらさき/ツルミチッ素/新人しじみ/ノコノコdeath/赤い髪/たまごニキ(3)/スカイブルー/漬物屋/Nrock/りーち/優しさの木/哲学ミミズ/ししのこ/ケルン(2)/〆サバ/バム(2)/mrm/治験の人/黒胡麻/J.ナカノ/徒歩0分/暗示/イタリア人/りす(2)/ぎゃら/モロヘイヤ/すぐラップ&チルド/しざりEXモード/かなぶん(3)/干し柿/末席/ぐみとぐま/完備/ニューロン/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,2位,含有量,「任意でしょ？」のパントマイムした,31,73.61,もんさん/むらさき/ツルミチッ素/新人しじみ/赤い髪/肺炎カバディ(2)/滅相もない/6年2組の2組ちゃん/哲学ミミズ/ししのこ(2)/治験の人/J.ナカノ/犬ドリル/Candy?/ヤシの木/モロヘイヤ/白無垢のアマガエル(2)/kiyosuke/こんなところにエビチリ(3)/こなくそ/ほろほろ/あまりにも速い犬/エクスタC/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,3位,おだンゴ,話しかけといて「喋った」は違うだろ,29,70.89,新人しじみ/アムリタ/激エロ海苔bot/ノコノコdeath/kesyousui/肺炎カバディ/滅相もない/6年2組の2組ちゃん/ぜ/ケルン/〆サバ(3)/バム/J.ナカノ(2)/くとぅるふ/喋るな/モロヘイヤ/しざりEXモード/新古今パパ2/白葱/詐病立米/末席/あまりにも速い犬/orionfires/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,3位,ほろほろ,僕でもそうします,29,70.89,ウラニワ(2)/雑兵/滝から栗捨てる/アムリタ/ターンブル/kesyousui/漬物屋/Nrock/哲学ミミズ/ケルン/イタリア人/禁断の惑星/おだンゴ/お雑煮ボーリング/かなぶん(2)/新古今パパ2/干し柿/さいんそ/詐病立米/さすけのお兄(2)/くすも/完備/高見盛/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,5位,すぐラップ&チルド,いや、これは飲む用の刃物で,27,68.17,もんさん/滝から栗捨てる/新人しじみ/肺炎カバディ/スカイブルー(2)/滅相もない/愛故/J.ナカノ/くとぅるふ/喋るな(2)/モロヘイヤ/アルデンテン/y5kkt(3)/笑子/こんなところにエビチリ/新古今パパ2(2)/詐病立米/あまりにも速い犬/高見盛/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,6位,やや不安,いえ、この粉は顔に塗るんです,26,66.81,たまごニキ/スカイブルー/滅相もない/Nrock/ぜ/治験の人/黒胡麻/くとぅるふ/犬ドリル/フレブル/Gadeninsui/ヤシの木/モロヘイヤ/すぐラップ&チルド/y5kkt(3)/しざりEXモード/白葱/さいんそ/ぐみとぐま/完備/高見盛/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,6位,滅相もない,はい、あとは普通に｢エロい｣のエロで,26,66.81,失神した理由(2)/LOVE(2)/新人しじみ/いい感じ/kesyousui/漬物屋/6年2組の2組ちゃん/徒歩0分/暗示(2)/フレブル/喋るな(2)/すぐラップ&チルド/kiyosuke/しざりEXモード/新古今パパ2(3)/干し柿/詐病立米/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,8位,さすけのお兄,ポケットに鼻をしまう,25,65.46,もんさん/ひら/ペス山ペス男/新人しじみ/ターンブル/スカイブルー/Nrock/ししのこ/ぜ(2)/ケルン/バム/mrm/黒胡麻/暗示/犬ドリル/りす/ぎゃら/しざりEXモード/さいんそ/星ドッラ/高見盛/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,8位,激エロ海苔bot,どれもハッピーに必要で,25,65.46,ウラニワ/雑兵/滝から栗捨てる/アムリタ/赤い髪/スカイブルー/6年2組の2組ちゃん/りーち(2)/ぷるちぽん/含有量(2)/お雑煮ボーリング/すぐラップ&チルド/新古今パパ2/ほろほろ(2)/あまりにも速い犬/世界の牛肉/くすも/ニューロン/高見盛/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,8位,遺跡発掘調査補助員,一回洗わせてください,25,65.46,LOVE(2)/ツルミチッ素/ペス山ペス男/黒胡麻/背の順/徒歩0分/犬ドリル/パーくん(2)/Gadeninsui/笑子(2)/こんなところにエビチリ(2)/干し柿/さすけのお兄(2)/くすも/完備/ニューロン/高見盛/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,11位,しざりEXモード,顔の💧が大きくなる,24,64.1,アムリタ/ターンブル/スカイブルー/Nrock/6年2組の2組ちゃん/愛故/やや不安/J.ナカノ/くとぅるふ/徒歩0分/暗示/禁断の惑星/喋るな/お雑煮ボーリング/白無垢のアマガエル(2)/かなぶん(3)/詐病立米/末席/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,11位,りす,はいソレイユ関係の,24,64.1,ツルミチッ素/滝から栗捨てる/激エロ海苔bot/赤い髪/ターンブル/漬物屋/Nrock/優しさの木/愛故/〆サバ/含有量/犬ドリル/モロヘイヤ/すぐラップ&チルド/y5kkt(3)/しざりEXモード/こなくそ/干し柿/詐病立米/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,13位,くすも,大丈夫な爆弾見せる,23,62.74,雑兵/むらさき/アムリタ/肺炎カバディ(2)/滅相もない/おむおむ/三ル貝/ごまもなか/ぷるちぽん/りす/パーくん/ヤシの木/お雑煮ボーリング/兄者(3)/こなくそ/さいんそ/あまりにも速い犬/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,13位,末席,「職業 : 道化師」とだけ書かれたメモが見えて少し嬉しくなる,23,62.74,もんさん/ひら/新人しじみ/ししのこ(2)/おむおむ/ぜ/ケルン/〆サバ/J.ナカノ/くとぅるふ/徒歩0分/禁断の惑星/ヤシの木/アルデンテン/白無垢のアマガエル(2)/kiyosuke/こんなところにエビチリ/高見盛/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,15位,いい感じ,楽しませてもダメですか,22,61.38,ウラニワ(2)/むらさき/激エロ海苔bot/赤い髪/Nrock/哲学ミミズ/バム/黒胡麻/J.ナカノ/ぎゃら/おだンゴ/お雑煮ボーリング/かなぶん/ほろほろ/詐病立米/末席/くすも/ニューロン/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,15位,こなくそ,ショーまで同行した,22,61.38,LOVE/新人しじみ/ノコノコdeath/たまごニキ/鮭缶(3)/哲学ミミズ/ぷるちぽん/〆サバ/暗示(2)/パーくん/ぎゃら/新古今パパ2/ほろほろ(2)/星ドッラ/orionfires/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,15位,高見盛,渋谷に居たのも自分です,22,61.38,雑兵/ツルミチッ素/滝から栗捨てる/アムリタ/激エロ海苔bot/Nrock/ぷるちぽん/やや不安(3)/暗示(2)/喋るな(2)/ヤシの木/しざりEXモード/笑子/星ドッラ/ぐみとぐま/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,18位,mrm,ずっと「ほ」の口をしてる,21,60.02,もんさん/雑兵/ツルミチッ素/ペス山ペス男/いい感じ/ターンブル/滅相もない/6年2組の2組ちゃん/哲学ミミズ/ししのこ(3)/ごまもなか/治験の人/徒歩0分/y5kkt/カエル販売機/ニューロン/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,18位,雑兵,全部安全な玉です,21,60.02,ツルミチッ素/ペス山ペス男/アムリタ/たまごニキ/ほん/ごまもなか/治験の人/モロヘイヤ/すぐラップ&チルド/兄者(3)/しざりEXモード/こなくそ/白葱/あまりにも速い犬/星ドッラ/完備/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,20位,ほん,逆に大丈夫な所ありますか,19,57.3,ウラニワ/滝から栗捨てる/ターンブル/kesyousui/スカイブルー/ししのこ/愛故/黒胡麻/含有量/りす/ぎゃら/Candy?/フレブル/カエル販売機/orionfires/ニューロン/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,20位,優しさの木,いや、自分が刺される方です,19,57.3,滝から栗捨てる/ターンブル/りーち/ししのこ/含有量/お雑煮ボーリング/すぐラップ&チルド/こんなところにエビチリ(3)/干し柿/あまりにも速い犬/エクスタC/完備/ニューロン/高見盛/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,20位,完備,「ジョーカーとかの」でピンチになる,19,57.3,失神した理由/LOVE(2)/むらさき(2)/ほん/愛故/治験の人/黒胡麻/J.ナカノ/パーくん/ヤシの木/カエル販売機/しざりEXモード/こなくそ/エクスタC/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,23位,Gadeninsui,ユーモアのつもりだったんですけど,18,55.94,失神した理由(2)/むらさき/ひら/優しさの木/哲学ミミズ/愛故/〆サバ/イタリア人/モロヘイヤ/すぐラップ&チルド/こなくそ/さいんそ/詐病立米/世界の牛肉/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,23位,あまりにも速い犬,あっ、自営業です,18,55.94,雑兵/赤い髪/たまごニキ/〆サバ/mrm/くとぅるふ/イタリア人/犬ドリル/Gadeninsui/アルデンテン/kiyosuke/白葱/げら/世界の牛肉/ぐみとぐま/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,23位,さいんそ,僕もそう思うんですけど,18,55.94,ウラニワ(2)/ひら/ターンブル/6年2組の2組ちゃん/優しさの木/J.ナカノ/イタリア人/喋るな(2)/お雑煮ボーリング/すぐラップ&チルド/こなくそ/詐病立米/完備/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,23位,アムリタ,稼げてはないですよ,18,55.94,ツルミチッ素/Nrock/ぜ(2)/ケルン/J.ナカノ/イタリア人/Gadeninsui/kiyosuke/カエル販売機/新古今パパ2(2)/末席(2)/あまりにも速い犬/投票ボーナス(3)
0291_8528_PRI,2024-02-16,109人,職務質問されたピエロ,NA,23位,ツルミチッ素,「応援呼ぶぞ」で地声になる,18,55.94,もんさん/雑兵/スカイブルー/6年2組の2組ちゃん/優しさの木/哲学ミミズ/お雑煮ボーリング/すぐラップ&チルド/兄者(3)/カエル販売機/orionfires(3)/投票ボーナス(3)
