お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1363_2052_YNN,2024-02-17,96人,レベル100のことわざ,NA,1位,平凡亭パンチ,井の中の蛙　大会新記録,33,76.81,らぷんつぇるん/体育教師/わたなべいびー/すわりせまし/しばらくはうに(2)/んまもんも(3)/鈴木ヘッジホッグ(2)/㈹(2)/ひら/隣の芝生が青すぎる/寿司らぎ/そろばん６級/激エロ海苔bot/しんべぇ(2)/砂漠/優しさの木/チャプター/九/じんちぇんこ/はっちゃん/阿修羅 ハルカゼ/OWL/orionfires/たまご兄貴/投票ボーナス(3)
1363_2052_YNN,2024-02-17,96人,レベル100のことわざ,NA,2位,センライ,猿、恋に落ちる。,31,74.04,らぷんつぇるん/わたなべいびー/恩奈残/んまもんも/徒歩0分/田中はこちらを見ている/luckypunch/寿司らぎ(2)/もりそば/トカゲ燦然/えーす/ナシゴレンの連続/泥のぷーまん/チャプター/じんちぇんこ/GYAI/留学生/はっちゃん/定禅寺　翔子(3)/ふゆる(3)/簪(3)/投票ボーナス(3)
1363_2052_YNN,2024-02-17,96人,レベル100のことわざ,NA,3位,omoti,雨降って地貫く,29,71.27,無明海/体育教師(2)/ライ/ふるれ/寿司らぎ(2)/スイートランド/土星/朤燚㵘䲜䨻/魚粉/たくみす/しんべぇ(3)/えーす/完備/マグナムゴブくん/まるまるもりもり(2)/ケツ・カンパーニュ/じんちぇんこ/阿修羅 ハルカゼ/簪(2)/ポャチ/投票ボーナス(3)
1363_2052_YNN,2024-02-17,96人,レベル100のことわざ,NA,3位,じんちぇんこ,泣きっ面に拉致,29,71.27,体育教師/ジョセフ/わたなべいびー/カナリカリガ・タカ/年金/裁判官ランキング/鈴木ヘッジホッグ/徒歩0分/㈹(3)/平凡亭パンチ/田中はこちらを見ている/ふるれ/エクスタC/くろねこ商会/えーす/絶命/砂漠/のれん/wanumayu(2)/ぱいん(2)/リュカオン/OWL/投票ボーナス(3)
1363_2052_YNN,2024-02-17,96人,レベル100のことわざ,NA,5位,めっけもん,果報ならいま俺の隣で寝てるよ,28,69.89,東松永/錆缶/体育教師/わたなべいびー/すわりせまし/しばらくはうに/センライ/んまもんも/徒歩0分/平凡ぽんち/平凡亭パンチ/kobayasi(2)/そろばん６級/魚粉/絶命/ナシゴレンの連続/自然光/のれん/九/じんちぇんこ/wanumayu(2)/何かのマリネ(2)/投票ボーナス(3)
1363_2052_YNN,2024-02-17,96人,レベル100のことわざ,NA,5位,絶命,頭隠して尻爆殺,28,69.89,すわりせまし/んまもんも/含有量/㈹(2)/鳴子レプシー/ライ/田中はこちらを見ている/新Goo/隣の芝生が青すぎる/くろねこ商会/にょN/チャプター/じんちぇんこ/GYAI/はっちゃん/阿修羅 ハルカゼ/wanumayu(2)/ぱいん(2)/簪/kesyousui/OWL/何かのマリネ/投票ボーナス(3)
1363_2052_YNN,2024-02-17,96人,レベル100のことわざ,NA,7位,優しさの木,泣きっ面にシャチ,26,67.12,東松永/ジョセフ(2)/年金/実名希望(2)/すわりせまし/平凡ぽんち/ふるれ/隣の芝生が青すぎる/luckypunch/kobayasi/土星/みみみT/朤燚㵘䲜䨻/えーす/絶命/チャプター/九/じんちぇんこ/はっちゃん/阿修羅 ハルカゼ/たまご兄貴/投票ボーナス(3)
1363_2052_YNN,2024-02-17,96人,レベル100のことわざ,NA,7位,砂漠,魔界から目薬,26,67.12,年金/しばらくはうに/鈴木ヘッジホッグ/ひら/平凡ぽんち/牛込神楽/ふるれ/土星/朤燚㵘䲜䨻/たくみす/もりそば/ベリー/あったかベンチ/完備(2)/のれん/マグナムゴブくん/チャプター/じんちぇんこ/GYAI/ポャチ/たまご兄貴/何かのマリネ/投票ボーナス(3)
1363_2052_YNN,2024-02-17,96人,レベル100のことわざ,NA,7位,鈴木ヘッジホッグ,猫に国家予算,26,67.12,東松永/わたなべいびー/たいふぃ/㈹/平凡ぽんち/田中はこちらを見ている/luckypunch/エクスタC/くろねこ商会/そろばん６級/ネクストン/えーす/絶命/優しさの木/じんちぇんこ/はっちゃん/ふゆる(3)/盗塁/自由ヌ(2)/たまご兄貴/投票ボーナス(3)
1363_2052_YNN,2024-02-17,96人,レベル100のことわざ,NA,10位,らのたみ,一石二兆,25,65.74,東松永/すわりせまし/含有量/鈴木ヘッジホッグ/牛込神楽/朤燚㵘䲜䨻/ネクストン/えーす/いりぞう(2)/あったかベンチ(2)/にょN(2)/完備/チャプター/まるまるもりもり(2)/ケツ・カンパーニュ(3)/じんちぇんこ/はっちゃん/リュカオン/自由ヌ
