お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,1位,たこかいな,何のアンバサダーなの私,22,72.85,かるろす(2)/珍百景のクロ/かみそん/たし/レイルレイル/お湯ドラ/KHN/furufuru/あまりにも速い犬/Y.M/駆け付け毒三杯/シーサイド品川/冷凍トイレ/突然及川/鷹STARDOM関(2)/メダカナタ/よれん/投票ボーナス(3)
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,1位,シーサイド品川,このように私はとても忍耐力があり,22,72.85,やまもん/かみそん/たし/furufuru/rrryo(2)/アグロ失言蝶/あまりにも速い犬/米津ケンタウロス/GYAI/冷凍トイレ/伊勢八/すっしー/突然及川/誤字羅/ノニバス(2)/58/N.U./投票ボーナス(3)
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,3位,たくめ,知ってることを全て話します,21,70.84,新大/chiwachiwa/のちほど/珍百景のクロ/井上ヘノシタ(2)/エキスポ万博(2)/たこ焼きボンバー/あまりにも速い犬/赤黄色/支援魔/あまちゃんIII/GYAI/ぽせい/天国かラスベガス/鷹STARDOM関/よれん/投票ボーナス(3)
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,3位,ノニバス,はいコツ掴んだ,21,70.84,chiwachiwa/かるろす/珍百景のクロ/たし/レイルレイル/ラーギ/つゆだQ/エキスポ万博/たこ焼きボンバー/GYAI/シーサイド品川/伊勢八/ぽせい/すっしー/大ちゃんす/達筆/すまいる/N.U./投票ボーナス(3)
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,5位,ぽせい,届け、肛門まで,20,68.83,のちほど/かみそん(2)/星ドッラ/えーす(2)/ブラジリアーン柔術/Y.M/米津ケンタウロス(3)/GYAI/羊水/ちくわうし/大ちゃんす/突然及川/メダカナタ/投票ボーナス(3)
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,6位,ちくわうし,はい、ちゃんと聞いてます,19,66.82,新大(2)/chiwachiwa/のちほど/珍百景のクロ/やまもん/へなちょこ/たこかいな(2)/井上ヘノシタ/ハルトマン/たこ焼きボンバー/ポリエステルの産物/GYAI/天国かラスベガス/PD/投票ボーナス(3)
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,6位,レイルレイル,撃てるのはあと２発,19,66.82,珍百景のクロ/やまもん/敵刺/へなちょこ/たし/ハルトマン(2)/つゆだQ/メメントモリ/GYAI/駆け付け毒三杯/すっしー/田さん(2)/誤字羅(2)/投票ボーナス(3)
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,6位,星ドッラ,東京って凄い,19,66.82,chiwachiwa/のちほど/敵刺/レイルレイル(2)/お湯ドラ/井上ヘノシタ(2)/メメントモリ/赤黄色/あまちゃんIII/チキンケバブタ/ゼラチン/達筆/ランチタイムんですよね/たのしいせいかつか/投票ボーナス(3)
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,9位,コックカワサキ,目が合っただけなのに,18,64.82,紅芋紫/のちほど/たし/たこかいな/ハルトマン(2)/粟/GYAI/チキンケバブタ/ぽせい/大ちゃんす/田さん(2)/突然及川/PD/達筆/すまいる/たのしいせいかつか
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,9位,メメントモリ,目を懲らしめてる,18,64.82,chiwachiwa/かるろす(2)/udatsu558(3)/やきとり(3)/ポリエステルの産物/あまりにも速い犬/支援魔/モゲラ/突然及川/たのしいせいかつか/投票ボーナス(3)
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,11位,chiwachiwa,コツ掴んでから早い,17,62.81,のちほど/かるろす/珍百景のクロ/やまもん/ラーギ/アグロ失言蝶/たこ焼きボンバー/ポリエステルの産物/あまちゃんIII/GYAI/駆け付け毒三杯/達筆/ランチタイムんですよね/よれん/投票ボーナス(3)
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,11位,やまもん,私が食い止めてるうちに早く,17,62.81,紅芋紫/かみそん/粟/あまちゃんIII/駆け付け毒三杯/伊勢八/突然及川/ゼラチン/ノニバス/よれん/ゆっぺA.B.C-Z(3)/N.U./投票ボーナス(3)
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,11位,エキスポ万博,見てて、許されてくるから,17,62.81,やまもん/たし/furufuru/ラーギ/あまりにも速い犬/Y.M/伊勢八/ぽせい/田さん(2)/58/ランチタイムんですよね/すまいる/つぶみ/投票ボーナス(3)
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,11位,新大,料理はここが難しい,17,62.81,かるろす/珍百景のクロ/へなちょこ(2)/星ドッラ/ラーギ/Y.M/米津ケンタウロス(2)/駆け付け毒三杯/チキンケバブタ/天国かラスベガス/ノニバス/N.U./投票ボーナス(3)
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,15位,ポリエステルの産物,そこの子供逃げなさい,16,60.8,お湯ドラ/井上ヘノシタ/星ドッラ/エキスポ万博(2)/支援魔/天国かラスベガス(2)/大ちゃんす/鷹STARDOM関(2)/PD/よれん/投票ボーナス(3)
0935_4407_YZX,2024-02-23,86人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0935_4407_YZX.jpg,15位,伊勢八,口をって言いましたよ,16,60.8,のちほど/ユッケ/粟/エキスポ万博(2)/メメントモリ/駆け付け毒三杯/ちくわうし/大ちゃんす/ノニバス/58/ランチタイムんですよね/すまいる/投票ボーナス(3)
