お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2233_5611_DQB,2024-02-25,149人,この街はもう終わりだと思った理由を教えてください。,NA,1位,たし,どの車が逆走してるか分からない,55,88.4,さすら/まちょ/むちのむちむち/小脳(2)/宇治(2)/早川奈々美(2)/せりか/あまちゃんIII/カナリカリガ・タカ/shaman/イトカイ/両者うつ伏せ/はちわれ/ケツ・カンパーニュ/ハッスル運動会(2)/モノカルチャー(3)/犬クジラ/トリニダード木箱/あずーる/めっちゃ食え(2)/トドのつまみ/収蔵/留学生/ヤシの木/なまこP(2)/おきおきひ/耳ぶた/899/クルペッコの手羽元/お海/すぐラップ&チルド/ハンペ(2)/魔法のタイらんど/さとー/マリオタク(2)/ありんこ天国/超ピンク(2)/tea-cat/スシトレイン(2)/ワラピプロMEGAMAX/投票ボーナス(3)
2233_5611_DQB,2024-02-25,149人,この街はもう終わりだと思った理由を教えてください。,NA,2位,耳ぶた,ゴジラが目を逸らした,48,81.05,てー/さめかす/めでぃ/むちのむちむち/NatsubiSogan/さんだる/6年2組の2組ちゃん/早川奈々美/せりか/Nrock/両者うつ伏せ(2)/二佐/ラータ/きびだんご/ゲニア(2)/まうんうん/リュカオン/国産/桃山ももたろう/トドのつまみ/なまこP/駆け付け毒三杯/ごまもなか/899/石崎/クルペッコの手羽元/無明海/その服装(2)/やわこん。(3)/ランゲル･ハンス/ありんこ天国/ymh/tea-cat/誤字羅/一粒のイチゴ(3)/とりふぐ/メイド・イン・ムーン/イカチュウ/投票ボーナス(3)
2233_5611_DQB,2024-02-25,149人,この街はもう終わりだと思った理由を教えてください。,NA,2位,超ピンク,先週の事故がそのままある,48,81.05,てー/全王様/青色迷子(2)/まちょ/細い豆(2)/6年2組の2組ちゃん/カナリカリガ・タカ/shaman/業務用虚無(2)/イトカイ/両者うつ伏せ(2)/はちわれ/ケツ・カンパーニュ/ここはが/国産/トドのつまみ/星ドッラ/昨今/収蔵/なまこP/駆け付け毒三杯/おきおきひ/shiganhei/899/chiwachiwa/石崎/終電卍(3)/すぐラップ&チルド/ぽせい/ハンペ(2)/無明海/魔法のタイらんど/すずたき/ymh/たっくん/tea-cat/バニラソフト/イカチュウ/投票ボーナス(3)
2233_5611_DQB,2024-02-25,149人,この街はもう終わりだと思った理由を教えてください。,NA,4位,素犬,ハトが細い,41,73.71,EPOCALC/さすら/青色迷子(2)/NatsubiSogan/6年2組の2組ちゃん/せりか/シェマ/Nrock/両者うつ伏せ/古い絵画/自爆/あの日のニンニ/へなちょこ/ここはが/ムラジュン/犬クジラ/まうんうん/国産/Mr.GIFT券/じゃん/いぬもどき/なまこP/耳ぶた/Good insect/899/石崎/すぐラップ&チルド/マッターホーン/怪鳥/射的屋/ymh/フォークソング研究部(2)/松井秀喜/たし/粟/メイド・イン・ムーン/投票ボーナス(3)
2233_5611_DQB,2024-02-25,149人,この街はもう終わりだと思った理由を教えてください。,NA,5位,きれいな市役所,本名で落語してる,39,71.61,さすら/さめかす/青色迷子(2)/さんだる/シェマ/両者うつ伏せ/古い絵画/モノカルチャー(2)/へなちょこ/ラータ/ここはが/ムラジュン/ほりごめともき/まうんうん/国産/トリニダード木箱/じゃん/ふさふさマカオ/トドのつまみ/星ドッラ/昨今/耳ぶた/お海/さとー/その服装/Shineman/ymh/あぐら/旅ナ(2)/ワラピプロMEGAMAX/とりふぐ/永栄/メイド・イン・ムーン/投票ボーナス(3)
2233_5611_DQB,2024-02-25,149人,この街はもう終わりだと思った理由を教えてください。,NA,5位,リュカオン,もうできるクエストが無い,39,71.61,めでぃ/むちのむちむち/NatsubiSogan/あまちゃんIII/えきたいおもち/業務用虚無/Nrock/モノカルチャー/自爆/二佐/きびだんご/犬クジラ/あずーる/Soi/いぬもどき(2)/なまこP/耳ぶた(2)/カーボンクレープ(2)/終電卍/怪鳥/Shineman(2)/すずたき/射的屋/粥島/ゴータマ8/あぐら/たっくん(2)/tea-cat/満天星まいてぃん/控えめなピース/けいすけ/投票ボーナス(3)
2233_5611_DQB,2024-02-25,149人,この街はもう終わりだと思った理由を教えてください。,NA,7位,お海,コンビニが客引きしてる,37,69.51,まんたこん/狂ったパン屋さん/さめかす/全王様(2)/細い豆/宇治/shaman/疲労困憊の小籠包/Nrock/モノカルチャー/尾崎愉快犯/ここはが/ゲニア(2)/まうんうん/リュカオン/国産/あずーる/じゃん/なまこP/多点スタート/石崎/クルペッコの手羽元/怪鳥/Shineman/ありんこ天国/粥島/ymh/あぐら/tea-cat/バニラソフト/粟/メイド・イン・ムーン/投票ボーナス(3)
2233_5611_DQB,2024-02-25,149人,この街はもう終わりだと思った理由を教えてください。,NA,8位,ランゲル･ハンス,寺で食べ放題してる,35,67.41,さすら/突然及川/NatsubiSogan/6年2組の2組ちゃん/えきたいおもち(2)/shaman/ここはが/ムラジュン/犬クジラ/まうんうん/あずーる/じゃん/Soi/星ドッラ/なまこP/耳ぶた/石崎/お海/終電卍/ぽせい/ハンペ/さとー/その服装(2)/射的屋/あぐら/フォークソング研究部(2)/とりふぐ/永栄/メイド・イン・ムーン/投票ボーナス(3)
2233_5611_DQB,2024-02-25,149人,この街はもう終わりだと思った理由を教えてください。,NA,9位,shaman,転んだ子どもを笑ってる,34,66.36,まんたこん/てー/まちょ/さんだる/宇治/早川奈々美/あまちゃんIII/松永エンドレス/自爆/へなちょこ/リュカオン/THEマネー/アンペア岡村/桃山ももたろう/じゃん/なまこP/chiwachiwa/マッターホーン/ぽせい/さとー/ランゲル･ハンス/旅ナ/フォークソング研究部(2)/スシトレイン/素犬/松井秀喜(2)/バニラソフト/メイド・イン・ムーン/イカチュウ/投票ボーナス(3)
2233_5611_DQB,2024-02-25,149人,この街はもう終わりだと思った理由を教えてください。,NA,9位,両者うつ伏せ,消防署が燃えた,34,66.36,まんたこん/ぼんやり/突然及川/まちょ/shaman/業務用虚無(2)/イトカイ/Nrock/ハッスル運動会/自爆/ムラジュン/デス・サップ/Mr.GIFT券(3)/いぬもどき/トドのつまみ/ヤシの木/なまこP/ごまもなか/899/石崎/すぐラップ&チルド/魔法のタイらんど/ねくび/やわこん。/ランゲル･ハンス/tea-cat/バニラソフト/イカチュウ/投票ボーナス(3)
2233_5611_DQB,2024-02-25,149人,この街はもう終わりだと思った理由を教えてください。,NA,11位,ねくび,地盤沈下をゆるキャラにした,33,65.31,狂ったパン屋さん/めでぃ/突然及川/小脳/宇治(3)/きれいな市役所/業務用虚無(2)/イトカイ/はちわれ/リュカオン/THEマネー/めっちゃ食え(2)/なまこP/おきおきひ/耳ぶた/899/ぽせい/その服装(2)/Shineman/旅ナ/素犬/誤字羅/満天星まいてぃん/控えめなピース/イカチュウ/投票ボーナス(3)
2233_5611_DQB,2024-02-25,149人,この街はもう終わりだと思った理由を教えてください。,NA,12位,ラータ,どの医者も太ってる,32,64.26,EPOCALC/宇治/6年2組の2組ちゃん/マグぬ/へなちょこ/ここはが/犬クジラ/ほりごめともき/ゲニア/トリニダード木箱(2)/桃山ももたろう(2)/Mr.GIFT券(2)/じゃん/収蔵/なまこP/おきおきひ/shiganhei/お海/怪鳥/ぽせい/ハンペ/粥島/フォークソング研究部/一粒のイチゴ/とりふぐ/けいすけ/投票ボーナス(3)
