お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1086_7090_SAW,2024-03-02,95人,深夜テンションでおかしくなっている映画監督「○○」,NA,1位,しろねこ,俺を米だと思って炊いてみろ,45,89.65,手術室208/祟り君/N.U./チェドラウイ(2)/みすちーZ/しぐ/田口さん🍙/ヤンマー部隊隊長/しばらくはうに(3)/黒胡麻/春の犬/ツチノコ/石崎/じゃぱな(2)/めっけもん(2)/だしまきddd/ニューロン(2)/五言舌禍/鈴木ヘッジホッグ(2)/うめめ/ケツ・カンパーニュ/理科インターネット/ムラジュン(2)/てんしょう/さな丸/ワラピプロMEGAMAX/砂漠/二塁シャチ/関戸SA/中の中(2)/魔法のタイらんど/‎⋆ぐれいん(2)/投票ボーナス(3)
1086_7090_SAW,2024-03-02,95人,深夜テンションでおかしくなっている映画監督「○○」,NA,2位,エレメノピー,味ぽん、そうだお前味ぽんかけろ,37,79.74,クマ牧場/ダァ/みすちーZ/かるろす/田口さん🍙/ヤンマー部隊隊長/顔面激戦区(3)/睡眠(2)/コントとレール(2)/しばらくはうに(2)/黒胡麻/春の犬/石崎/半額(3)/しろねこ/鈴木ヘッジホッグ/あさなまら/うめめ/マカデミ/ケツ・カンパーニュ/昨今/深層心理見放題/理科インターネット/紫電/さな丸/かりそめカヌレ/いち/投票ボーナス(3)
1086_7090_SAW,2024-03-02,95人,深夜テンションでおかしくなっている映画監督「○○」,NA,2位,祟り君,台本シャッフルタイムいくぞ,37,79.74,らうかった/レアメタル/マルイは二進法で5/クマ牧場/N.U./かるろす/しぐ/かせ/ゆたーなる/ヤンマー部隊隊長/生々(2)/るーと/しばらくはうに/ツチノコ/じゃぱな(2)/半額(2)/犬が居ぬ(2)/あぐにん(2)/あさなまら(2)/うめめ/タイファイター/一本松/深層心理見放題/てんしょう/紫電/さな丸/ひら/二塁シャチ/投票ボーナス(3)
1086_7090_SAW,2024-03-02,95人,深夜テンションでおかしくなっている映画監督「○○」,NA,4位,マルイは二進法で5,使わない濡れ場撮るか,33,74.78,クマ牧場/祟り君/ダァ/ネズミ捕り/みすちーZ/かるろす/しぐ/田口さん🍙/しばらくはうに/鰯グミ(3)/黒胡麻/ボインの逆襲/瀧野/りす/でろ坊/げら/ノニバス/深層心理見放題/支援魔(2)/紫電/この後クリーム砲/ワラピプロMEGAMAX/二塁シャチ(2)/関戸SA/魔法のタイらんど(2)/投票ボーナス(3)
1086_7090_SAW,2024-03-02,95人,深夜テンションでおかしくなっている映画監督「○○」,NA,4位,黒胡麻,ここにもエンドロール入れよう,33,74.78,祟り君(2)/チェドラウイ(2)/しぐ(2)/ゆたーなる/えきたいおもち(2)/ヤンマー部隊隊長/しばらくはうに(2)/ケルン/ツチノコ/ボインの逆襲/ぺけじ(3)/りす/ニューロン/五言舌禍/さすら/うめめ/タイファイター/ハ生ム/てんしょう/紫電/かりそめカヌレ/この後クリーム砲/二塁シャチ/投票ボーナス(3)
1086_7090_SAW,2024-03-02,95人,深夜テンションでおかしくなっている映画監督「○○」,NA,6位,瀧野,おっけ、それも口でやろ,30,71.06,祟り君/ダァ/チェドラウイ/みすちーZ/かるろす/ゆたーなる/コントとレール/ケルン/ツチノコ/SugarKotta/鮭とババロア(3)/ぺけじ(3)/めっけもん(2)/ニューロン/さすら/しろねこ/うめめ/右乳/ノニバス/理科インターネット/いち/フォークソング研究部/投票ボーナス(3)
1086_7090_SAW,2024-03-02,95人,深夜テンションでおかしくなっている映画監督「○○」,NA,7位,おだンゴ,これカメラ邪魔だな,25,64.86,らうかった/みすちーZ/田口さん🍙/ヤンマー部隊隊長/るーと/クープラン/コントとレール/ケルン/ツチノコ/めっけもん(2)/さすら/あぐにん(3)/すのー/深層心理見放題/ハ生ム/かりそめカヌレ/寝坊/この後クリーム砲/二塁シャチ/投票ボーナス(3)
1086_7090_SAW,2024-03-02,95人,深夜テンションでおかしくなっている映画監督「○○」,NA,8位,ゆたーなる,そこもキスシーンにしよう,22,61.14,マルイは二進法で5/祟り君(3)/しぐ/ヤンマー部隊隊長/生々(2)/辻井/ケルン/りす/エレメノピー/右乳/ハ生ム/世界の牛肉/さな丸/寝坊/いち/この後クリーム砲/投票ボーナス(3)
1086_7090_SAW,2024-03-02,95人,深夜テンションでおかしくなっている映画監督「○○」,NA,8位,ツチノコ,一回俺を触れ,22,61.14,らうかった/ダァ/ネズミ捕り/みすちーZ/ヤンマー部隊隊長/クープラン/SugarKotta/ボインの逆襲/おだンゴ/石崎/だしまきddd/ニューロン/しろねこ/タイファイター/理科インターネット/ムラジュン/寝坊/いち/フォークソング研究部/投票ボーナス(3)
1086_7090_SAW,2024-03-02,95人,深夜テンションでおかしくなっている映画監督「○○」,NA,8位,超ピンク,ごめん俺の奇声入った,22,61.14,コナミスポーツ/クマ牧場/ダァ(2)/チポノキ(2)/所々ジョージ/りす/五言舌禍/エレメノピー(2)/右乳(2)/マカデミ/支援魔(2)/紫電/関戸SA/阿修羅 ハルカゼ/投票ボーナス(3)
