お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0157_1279_SRI,2024-03-03,190人,イタリアにありそうなことわざ,NA,1位,おだンゴ,急がばアモーレ,63,84.09,なんば(2)/AMIO/AtoO/インノケンティウス/ひがその/しばらくはうに/冷食パスタレビュー/あざぶ(2)/スイートランド/ストロンチウムエキス/チャーハンキッド/グッドナイトボーイ/ハミチチ/そろばん６級/hakumai4/右乳/t_k_1216(2)/鰯グミ(2)/粉石鹸/白子ちゅるちゅるノ翁/ジョセフ/ねこめんたい(2)/美辞麗句/睡眠(3)/洋介山(2)/はちわれ/真似き猫(2)/ここはが/紅芋紫/すぐラップ&チルド(2)/非情口/LOVE/ヘクトパスカルもりみち/ベモペギ/うましか(2)/うえじゅん/落雁/ちくわうし/野良猫ヅツキ/まめまめデスメタル/まいにちコンビーフ/マチルダ少佐(3)/あると/ミスイ/汁物勢/親善小僧/ひのまーる/投票ボーナス(3)
0157_1279_SRI,2024-03-03,190人,イタリアにありそうなことわざ,NA,1位,旅人,安いチーズほどよく伸びる,63,84.09,AtoO/月の瞼/お海/きゅーきゅー/kesyousui/おだンゴ/阿修羅 ハルカゼ/トンビに炭酸すすられた/グッドナイトボーイ/半額/ムラジュン/hakumai4(2)/右乳(2)/粉石鹸/T-FOX/ジョセフ/田口さん🍙/あの時のペリー/睡眠(3)/二階から手続き/真似き猫/ここはが/モチオ/紅芋紫/カタン(2)/マグぬ/ダァ(2)/LOVE(3)/ベモペギ/たこかいな(3)/うましか(3)/にゃんごすちん/羊水/落雁/禁断の惑星/ちくわうし/野良猫ヅツキ/まめまめデスメタル/戸田ニッパー/まいにちコンビーフ/桜田モンタージュ/ひぺりおん(2)/小森/あぐにん/りす/Rayla821(2)/投票ボーナス(3)
0157_1279_SRI,2024-03-03,190人,イタリアにありそうなことわざ,NA,3位,ちりめん猛者,あとはパとなれスタとなれ,55,77.32,んまもんも/ライク忍者(2)/ぴよぴよ侍/くとぅるふ/ポャチ/半額(2)/右乳(2)/深層心理見放題/ナスマヨ/サテン(3)/ドロレス・グランギニョル(2)/睡眠(3)/洋介山/はちわれ/えーす(2)/真似き猫/ペン/一本松(2)/瞳孔/犬が居ぬ/マッターホーン/寿司らぎ/レアメタル(3)/ごまもなか/紅芋紫/すぐラップ&チルド/収蔵/ヘクトパスカルもりみち/ベモペギ/屋内用雨傘/うましか(2)/にゃんごすちん/ながひろ(2)/桜田モンタージュ/あると(2)/納豆ダイオード/汁物勢/硝酸/りす/ひのまーる
0157_1279_SRI,2024-03-03,190人,イタリアにありそうなことわざ,NA,4位,鰯グミ,知らぬが伊,52,74.79,きつねそば/学園/しばらくはうに(3)/冷食パスタレビュー/くとぅるふ/ロムロムゼリー/生身(2)/ストロンチウムエキス/グッドナイトボーイ/半額/しゅうねこ/ヒデオ(2)/hakumai4/右乳/Aoi(3)/あれよ(3)/iiha/サテン/洋介山(3)/犬が居ぬ/マッターホーン/寿司らぎ/壁と虫(2)/レアメタル(2)/収蔵(2)/ヘクトパスカルもりみち(2)/屋内用雨傘/うましか(3)/羊水/あかのすけ/あると/親善小僧/りす/投票ボーナス(3)
0157_1279_SRI,2024-03-03,190人,イタリアにありそうなことわざ,NA,5位,あかのすけ,ピサの斜塔も3°まで,50,73.09,月の瞼/んまもんも/お海/ﾈﾈﾈﾈﾈ/ぴよぴよ侍/しばらくはうに(2)/がんばりま翔/鈴木ヘッジホッグ/ロムロムゼリー(2)/祟り君(2)/春立てる西陣織/グッドナイトボーイ/右乳/せりか/白子ちゅるちゅるノ翁/ナスマヨ/ジョセフ/睡眠(3)/土壇場娘/マッターホーン/寿司らぎ/ざくろみるく/きまぐれ/ヘクトパスカルもりみち/屋内用雨傘/うましか(2)/羊水/うえじゅん/桜田モンタージュ/ミスイ(2)/マルホランドドライブ/小森(3)/あぐにん(3)/りす/ひのまーる(2)/投票ボーナス(3)
0157_1279_SRI,2024-03-03,190人,イタリアにありそうなことわざ,NA,5位,りす,壁に耳アーリオ 障子に目オーリオ,50,73.09,んまもんも/ぴよぴよ侍/学園/しばらくはうに(2)/ロムロムゼリー(2)/ストロンチウムエキス/トンビに炭酸すすられた/祟り君(3)/チャーハンキッド/グッドナイトボーイ/深層心理見放題/t_k_1216/白子ちゅるちゅるノ翁/ゆっけのかたまり/ナスマヨ/Aoi(3)/ねこめんたい/サテン/ドロレス・グランギニョル(2)/睡眠(2)/はちわれ/OWL(3)/ペン/瞳孔/モチオ(3)/紅芋紫/マグぬ/やる/ベモペギ/うえじゅん/落雁/桜田モンタージュ/小森/ひのまーる(2)/投票ボーナス(3)
0157_1279_SRI,2024-03-03,190人,イタリアにありそうなことわざ,NA,5位,ジョセフ,パスタに短しペンネに長し,50,73.09,なんば/インノケンティウス/月の瞼/きゅーきゅー/ぴよぴよ侍/きつねそば(2)/ひがその/しばらくはうに/くとぅるふ/ストロンチウムエキス/トンビに炭酸すすられた/祟り君(2)/チャーハンキッド/グッドナイトボーイ/そろばん６級/hakumai4/せりか/鰯グミ(2)/第三キャッチャーゴリ(2)/旅人/ドロレス・グランギニョル/美辞麗句(2)/睡眠(3)/二階から手続き/えーす(2)/ペン/登山口百恵/レアメタル/ヤシの木(2)/じす/非情口/まめまめデスメタル/ひぺりおん/マルホランドドライブ/小森(2)/りす/ひのまーる/投票ボーナス(3)
0157_1279_SRI,2024-03-03,190人,イタリアにありそうなことわざ,NA,8位,きまぐれ,ボンゴレの背比べ,49,72.25,なんば(2)/秋月杏子/断捨離ズム/月の瞼/お海/ﾈﾈﾈﾈﾈ/きつねそば/kesyousui(2)/しばらくはうに/ストロンチウムエキス/半額/ハミチチ/ランゲル･ハンス/しゅうねこ/t_k_1216(2)/せりか(2)/デス・サップ/あの時のペリー/美辞麗句/睡眠(2)/わぎり/ここはが/マッターホーン/所々ジョージ/すぐラップ&チルド/コロコロムアニ/やる/LOVE/ベモペギ/うえじゅん/ながひろ/まめまめデスメタル/ひぺりおん/あると/納豆ダイオード(3)/汁物勢/親善小僧/りす/Rayla821/投票ボーナス(3)
0157_1279_SRI,2024-03-03,190人,イタリアにありそうなことわざ,NA,9位,にゃんごすちん,伸びたチーズは戻らない,48,71.4,インノケンティウス/月の瞼/お海/きゅーきゅー(2)/ぴよぴよ侍/きつねそば/kesyousui/くとぅるふ/ストロンチウムエキス/かくだ/そろばん６級/シンマイ子/NIGG/第三キャッチャーゴリ/きびだんご/T-FOX/白子ちゅるちゅるノ翁/ジョセフ/田口さん🍙/あれよ/睡眠(3)/二階から手続き/留学生/ペン/犬が居ぬ/マッターホーン/RUM/モチオ/じす/たまご兄貴/こぼれおちないCH/ダァ(2)/うましか/落雁/禁断の惑星/ちくわうし/戸田ニッパー/小森/こーひーたいむ/Rayla821/ひのまーる/投票ボーナス(3)
0157_1279_SRI,2024-03-03,190人,イタリアにありそうなことわざ,NA,9位,美辞麗句,どるがば回れ,48,71.4,秋月杏子/んまもんも/右耳に困る虫/しばらくはうに/スイートランド/チャーハンキッド/半額/ランゲル･ハンス/t_k_1216(2)/粉石鹸/ジョセフ/Aoi/サテン/林鍵太郎/ドロレス・グランギニョル(2)/睡眠(3)/土壇場娘(2)/はちわれ/ここはが/一本松(2)/寿司らぎ/じす/収蔵(2)/ヘクトパスカルもりみち/屋内用雨傘/うえじゅん/あかのすけ(3)/ひぺりおん/ミスイ/汁物勢/硝酸/あぐにん(3)/りす/ひのまーる/投票ボーナス(3)
