お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,1位,ゆんける,説明書見ながらやってる,31,84.44,ヤバいマイケル屋さん/ゃまゃま/nya-./マチルダ少佐/たまりラー油/ROUVIS/すぎり/ナルシマアンバイ/なまこP/哲学ミミズ/孤独のＤ/高見盛/靈燈/おあつらえ/【みかん】/THEマネー/パコム/鮫〜/財布に風穴/ひこうき/F難度フェルナンド/あの時のペリー/Mr.GIFT券/てっぺんざしお/クマ牧場/練馬のバッタ/どんぐり亭/半額/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,2位,おあつらえ,スタンドの女の子より祈ってる,27,77.6,ナンムラ/ヤバいマイケル屋さん/ゃまゃま/マチルダ少佐/遺跡発掘調査補助員/墨汁飛行機/すいみんちゃん/ナルシマアンバイ/なまこP/高見盛/ハイブリッジ/drzz/パコム/ポチオン(2)/GYAI/ごまもなか/Mr.GIFT券/井上ヘノシタ(3)/三十路味噌汁(2)/半額/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,3位,エントリー,ひじ舐めるサインに時間取られる,25,74.19,ヤバいマイケル屋さん/マチルダ少佐(3)/ROUVIS/赤ドラの嶺上クス(3)/おあつらえ/【みかん】/あさなまら/THEマネー/鮫〜/ひこうき/やまぐちみかこ/んまもんも/GYAI/Mebiria/Mr.GIFT券/クマ牧場/練馬のバッタ/半額/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,3位,ノコノコdeath,「今のハンドだろ!!」って言ってる,25,74.19,政信/たまりラー油/後悔しない名前を付けよう/アントニーきらい王(2)/靈燈/早芽ねる(3)/鯖男/薄力粉/財布に風穴/ポチオン/んまもんも/てっぺんざしお/たのしいせいかつか/エントリー/顔刑事/三十路味噌汁(2)/のお(2)/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,5位,あの時のペリー,ホームベースをみんなで守った,23,70.77,ツチノコ/ゃまゃま/政信/ROUVIS/墨汁飛行機/なまこP/高見盛/靈燈/こまんちゅ/THEマネー/ことぶき/鮫〜/GYAI/kesyousui/らいとにんぐ/江口 蒼🎧(2)/Mr.GIFT券/干し柿/半額/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,5位,政信,エラーした選手のマネをして喜ぶ,23,70.77,ヤバいマイケル屋さん/ツチノコ/すぎり/すいみんちゃん/ナルシマアンバイ/なまこP/財布に風穴(3)/んまもんも/GYAI/Mebiria/ゆんける/てっぺんざしお/ねこめんたい/たのしいせいかつか(2)/三十路味噌汁(2)/のお/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,7位,井上ヘノシタ,服汚れたら怒る,21,67.35,ナンムラ(3)/ヤバいマイケル屋さん/遺跡発掘調査補助員/ROUVIS/すいみんちゃん/なまこP/あさなまら/ハイブリッジ/鯖男/drzz/薄力粉/GYAI/たのしいせいかつか/エントリー/ざわやん/干し柿/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,7位,遺跡発掘調査補助員,ずっと出口探してる,21,67.35,ヤバいマイケル屋さん/すいみんちゃん/哲学ミミズ/アントニーきらい王(2)/おあつらえ/鯖男/THEマネー/薄力粉/F難度フェルナンド/ごまもなか/Mebiria/ノコノコdeath/ねこめんたい/井上ヘノシタ/クマ牧場/ゴータマ8/干し柿/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,9位,q館長,審判にレモンかけた,20,65.64,ヤバいマイケル屋さん/遺跡発掘調査補助員/鯖胃油(2)/孤独のＤ(2)/高見盛/早芽ねる/【みかん】/薄力粉/ポチオン/GYAI/たのしいせいかつか/井上ヘノシタ/練馬のバッタ/ゴータマ8/どんぐり亭/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,10位,たのしいせいかつか,後攻だから帰った,19,63.93,ナンムラ/ゃまゃま/政信/マチルダ少佐/たまりラー油/baseball /なまこP/哲学ミミズ/孤独のＤ/高見盛/こまんちゅ/THEマネー/らいとにんぐ/orionfires/エントリー/干し柿/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,11位,THEマネー,もう砂を集めてる,18,62.22,たまりラー油/すぎり/ハイブリッジ/drzz/パコム/財布に風穴/GYAI/ごまもなか/らいとにんぐ(2)/江口 蒼🎧/orionfires/練馬のバッタ/三十路味噌汁(2)/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,11位,マチルダ少佐,校歌の練習だけしてきた,18,62.22,nya-./バーサーカー/なまこP/赤ドラの嶺上クス/高見盛/THEマネー/薄力粉/パコム/ひこうき/F難度フェルナンド/GYAI/あの時のペリー/ノコノコdeath/たのしいせいかつか/ゴータマ8/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,13位,ヤバいマイケル屋さん,スマブラで打順決める,17,60.51,ナンムラ/ゃまゃま/おでんは/後悔しない名前を付けよう/和辻哲郎(3)/【みかん】(2)/鯖男/drzz/ノコノコdeath/クマ牧場/干し柿/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,14位,おでんは,定時で帰った,16,58.81,ゃまゃま/たまりラー油/孤独のＤ/靈燈/ことぶき/鮫〜/Mr.GIFT券/てっぺんざしお/orionfires/練馬のバッタ/顔刑事/ざわやん/のお/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,15位,ことぶき,甲子園に足を向けて寝た,15,57.1,ツチノコ/政信/おでんは/すぎり/後悔しない名前を付けよう/靈燈/薄力粉/鮫〜/やまぐちみかこ/GYAI/Mr.GIFT券/ざわやん/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,15位,すいみんちゃん,恋愛を解禁した,15,57.1,おでんは/なまこP/哲学ミミズ/赤ドラの嶺上クス/靈燈/パコム/ポチオン/江口 蒼🎧(2)/練馬のバッタ/顔刑事/どんぐり亭/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,15位,てっぺんざしお,さあキックオフだ,15,57.1,baseball /ROUVIS/孤独のＤ/ハイブリッジ/ことぶき/やまぐちみかこ/kesyousui/orionfires/パピ4ン/エントリー/どんぐり亭/ざわやん/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,18位,F難度フェルナンド,集合写真で寝そべった,13,53.68,ツチノコ/すぎり/孤独のＤ/こまんちゅ/あさなまら/drzz/薄力粉/んまもんも/ごまもなか/干し柿/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,18位,Mr.GIFT券,作戦の指示をフリップに書いて伝えてた,13,53.68,政信/たまりラー油/おでんは/バーサーカー/すいみんちゃん/なまこP/ごまもなか/Mebiria/半額/のお/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,18位,Nrock,しれっと三遊間にいる,13,53.68,ゃまゃま/政信/おあつらえ(2)/【みかん】/きみをゆるさない。/F難度フェルナンド/GYAI/あの時のペリー/Mebiria/干し柿/三十路味噌汁(2)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,18位,すぎり,選手の親をチラチラ見てた,13,53.68,ツチノコ/たまりラー油/おでんは/ナルシマアンバイ/あさなまら/THEマネー/財布に風穴/ポチオン/ごまもなか/ノコノコdeath/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,18位,なまこP,ヒットだ！9人全員走れ！,13,53.68,遺跡発掘調査補助員/バーサーカー/ホーンたくろう/後悔しない名前を付けよう/こまんちゅ/あの時のペリー/ノコノコdeath/ねこめんたい/練馬のバッタ/のお/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,18位,ポチオン,二歩,13,53.68,後悔しない名前を付けよう/和辻哲郎(3)/哲学ミミズ/あさなまら/ゆんける/Mr.GIFT券/orionfires/q館長/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,18位,三十路味噌汁,サインをエミネムの手の動きで統一した,13,53.68,おあつらえ(2)/きみをゆるさない。/ひこうき/んまもんも/らいとにんぐ(2)/ゆんける/ノコノコdeath/q館長/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,18位,練馬のバッタ,蒟蒻畑で水分補給させた,13,53.68,ヤバいマイケル屋さん/ゃまゃま/baseball /後悔しない名前を付けよう/すいみんちゃん/鯖男/きみをゆるさない。/GYAI/ゆんける/ねこめんたい/投票ボーナス(3)
0074_9818_IXU,2024-04-02,90人,高校野球大会「そりゃ負けるよ…」監督、何をした？,NA,18位,赤ドラの嶺上クス,倍速で見返してた,13,53.68,baseball /鯖胃油/墨汁飛行機/ホーンたくろう/すいみんちゃん/哲学ミミズ/おあつらえ/THEマネー/きみをゆるさない。/顔刑事/投票ボーナス(3)
